"","APOE_carrier","registration_variable","n","enough_samples"
"1","E2+","Inhib_SpX5",8,TRUE
"2","E2+","L1_SpX6",8,TRUE
"3","E2+","L1_SpX7",8,TRUE
"4","E2+","L2.3_SpX4",8,TRUE
"5","E2+","L5_SpX1",8,TRUE
"6","E2+","L6_SpX9",8,TRUE
"7","E2+","Vasc_SpX3",7,TRUE
"8","E2+","WM_SpX2",8,TRUE
"9","E2+","WMtz_SpX8",8,TRUE
"10","E4+","Inhib_SpX5",8,TRUE
"11","E4+","L1_SpX6",8,TRUE
"12","E4+","L1_SpX7",8,TRUE
"13","E4+","L2.3_SpX4",8,TRUE
"14","E4+","L5_SpX1",8,TRUE
"15","E4+","L6_SpX9",8,TRUE
"16","E4+","Vasc_SpX3",8,TRUE
"17","E4+","WM_SpX2",8,TRUE
"18","E4+","WMtz_SpX8",8,TRUE
