Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,4,-2.3118,12,-0.6997,17,-0.2195,23,0.26673,34,0.93549,26,0.52255,14,-0.4582,24,0.31369,14,-0.4881
ENSG00000188976,NOC2L,19,-1.1951,46,0.18880,50,0.32173,23,-0.9160,51,0.34929,49,0.33012,30,-0.4602,57,0.53622,36,-0.2190
ENSG00000188290,HES4,35,-0.8129,24,-1.4067,63,0.08123,87,0.60879,44,-0.4881,66,0.19332,72,0.30158,65,0.14263,75,0.36006
ENSG00000187608,ISG15,74,0.68244,36,-0.4966,37,-0.4199,80,0.81283,54,0.15783,48,-0.0465,42,-0.2450,40,-0.3023,30,-0.7461
ENSG00000188157,AGRN,26,0.48429,24,0.35409,25,0.44004,17,-0.1737,28,0.57406,17,-0.2211,14,-0.5012,12,-0.7276,13,-0.6468
ENSG00000078808,SDF4,64,0.05024,118,1.09461,52,-0.2589,55,-0.1777,58,-0.0981,62,0.00085,41,-0.6466,47,-0.4347,58,-0.0943
ENSG00000176022,B3GALT6,19,-0.7143,25,-0.2664,39,0.42859,30,0.01452,35,0.25804,33,0.18076,24,-0.3158,25,-0.2436,34,0.22845
ENSG00000160087,UBE2J2,22,-0.6705,34,0.03826,45,0.46051,27,-0.3224,43,0.38910,34,0.02332,32,-0.0588,34,0.03964,30,-0.1748
ENSG00000131584,ACAP3,59,0.04432,44,-0.4351,69,0.29373,79,0.51746,64,0.18220,51,-0.2192,41,-0.5236,62,0.12684,55,-0.0739
ENSG00000169972,PUSL1,10,-0.0846,7,-0.4883,13,0.36563,14,0.44054,17,0.82912,9,-0.1906,8,-0.4008,7,-0.5346,8,-0.3130
ENSG00000127054,INTS11,43,-0.0543,42,-0.0831,50,0.21178,59,0.47184,48,0.12548,57,0.47011,34,-0.4094,31,-0.5457,21,-1.1519
ENSG00000224051,CPTP,15,-0.9733,11,-1.4341,37,0.42221,33,0.23345,37,0.40642,34,0.33025,16,-0.8931,47,0.79256,22,-0.4243
ENSG00000107404,DVL1,59,0.09648,57,0.05568,52,-0.0885,66,0.29376,52,-0.0981,50,-0.1730,73,0.43803,48,-0.2153,45,-0.3132
ENSG00000175756,AURKAIP1,146,-0.1377,131,-0.3157,174,0.13475,125,-0.3912,198,0.35231,172,0.13298,175,0.14571,153,-0.0655,151,-0.0877
ENSG00000221978,CCNL2,58,0.42734,42,-0.1076,55,0.32726,49,0.14279,50,0.18646,48,0.11999,26,-0.8486,37,-0.2926,35,-0.3986
ENSG00000224870,MRPL20-AS1,15,0.48756,17,0.69644,13,0.22504,12,0.15039,9,-0.3310,8,-0.4847,9,-0.2631,7,-0.7315,12,0.11951
ENSG00000242485,MRPL20,176,-0.1638,205,0.07573,187,-0.0713,230,0.26394,167,-0.2511,211,0.14272,180,-0.1268,176,-0.1632,209,0.11313
ENSG00000235098,ANKRD65,32,0.61746,16,-0.4889,19,-0.1813,21,-0.0299,25,0.24288,31,0.63676,19,-0.1803,13,-0.8075,10,-1.1240
ENSG00000179403,VWA1,217,2.95541,95,1.20966,14,-1.7962,18,-1.4639,16,-1.6240,19,-1.4605,28,-0.7980,18,-1.4588,21,-1.2056
ENSG00000197785,ATAD3A,9,-0.5922,17,0.40484,19,0.55969,15,0.14058,17,0.42355,12,-0.2521,9,-0.5231,12,-0.2006,12,-0.1652
ENSG00000205090,TMEM240,14,-1.5181,18,-1.0972,33,-0.2151,32,-0.2486,43,0.23413,42,0.20746,34,-0.1372,56,0.65223,60,0.78193
ENSG00000160075,SSU72,90,-0.6333,115,-0.2578,140,0.06052,139,0.03996,155,0.22092,172,0.44681,129,-0.0792,119,-0.2008,121,-0.1741
ENSG00000228594,FNDC10,6,-2.3529,25,-0.2288,38,0.44363,39,0.48789,21,-0.5227,35,0.33790,22,-0.4124,47,0.80982,21,-0.4745
ENSG00000272106,AL691432.2,21,0.23940,16,-0.2053,26,0.57109,20,0.11034,15,-0.2869,13,-0.6062,18,0.01260,15,-0.2820,25,0.53080
ENSG00000197530,MIB2,19,-0.7526,25,-0.3569,35,0.17950,28,-0.1403,34,0.13882,34,0.14177,20,-0.6926,39,0.34648,44,0.57076
ENSG00000189339,SLC35E2B,17,0.12585,15,-0.0729,18,0.14771,16,-0.0090,12,-0.4224,20,0.42944,15,-0.1321,15,-0.0834,11,-0.5204
ENSG00000215790,SLC35E2A,20,-0.3126,17,-0.5683,25,0.04697,24,-0.0050,28,0.19439,26,0.08115,30,0.33433,29,0.24921,21,-0.2762
ENSG00000008130,NADK,12,-0.9897,28,0.39344,27,0.32893,20,-0.1609,26,0.22061,24,0.11206,21,-0.0669,25,0.20487,15,-0.5617
ENSG00000078369,GNB1,226,-0.9349,432,0.07637,532,0.41644,519,0.37524,318,-0.4100,421,0.03757,403,-0.0357,454,0.15843,394,-0.0717
ENSG00000187730,GABRD,9,-3.9251,23,-2.6146,161,0.32668,293,1.36503,254,1.10875,141,0.12168,103,-0.3779,132,0.01031,57,-1.2871
ENSG00000067606,PRKCZ,98,-0.8486,142,-0.2862,197,0.24271,129,-0.4280,190,0.18142,211,0.40349,147,-0.2294,175,0.05339,196,0.23360
ENSG00000162585,FAAP20,67,0.66998,53,0.27021,28,-0.7478,24,-0.9696,24,-0.9578,50,0.19415,53,0.27943,35,-0.3692,63,0.56667
ENSG00000157933,SKI,43,0.38962,40,0.26710,23,-0.5983,39,0.22230,21,-0.7026,28,-0.3424,33,-0.0136,49,0.61999,33,-0.0280
ENSG00000157916,RER1,75,0.40717,57,-0.0430,73,0.35319,68,0.22908,68,0.23679,61,0.07956,47,-0.3603,39,-0.6211,37,-0.7260
ENSG00000157911,PEX10,46,0.81561,31,0.17951,25,-0.1947,24,-0.2597,20,-0.5184,25,-0.2184,31,0.13439,31,0.15025,24,-0.2784
ENSG00000149527,PLCH2,9,-0.9926,2,-3.0010,15,-0.2322,23,0.51748,37,1.27670,22,0.46429,16,-0.1177,14,-0.2505,10,-0.7268
ENSG00000157881,PANK4,9,-0.7668,13,-0.1327,20,0.50329,28,1.12269,18,0.31879,13,-0.1428,11,-0.3383,8,-0.8437,10,-0.5534
ENSG00000197921,HES5,5,-1.8910,2,-3.0384,11,-0.8468,19,0.04655,11,-0.7894,21,0.18654,47,1.55487,22,0.23410,29,0.69952
ENSG00000272449,AL139246.5,0,-7.4451,1,-3.2123,3,-1.3710,10,0.34790,8,-0.0902,12,0.66401,13,0.78517,12,0.64353,11,0.49749
ENSG00000157873,TNFRSF14,2,-1.4841,1,-2.7665,6,-0.3129,21,1.77935,17,1.37834,5,-0.7430,10,0.41347,2,-1.5414,5,-0.6119
ENSG00000157870,PRXL2B,23,-1.2689,30,-0.8588,69,0.46410,71,0.51618,93,0.97213,54,0.06806,60,0.23181,33,-0.6756,31,-0.7718
ENSG00000177133,PRDM16-DT,5,-1.7879,36,1.13997,6,-1.6895,11,-0.7436,8,-1.2647,12,-0.7065,40,1.34089,22,0.29986,29,0.77328
ENSG00000158109,TPRG1L,42,-1.9205,150,0.02793,230,0.73001,142,-0.0623,164,0.16614,167,0.22242,145,-0.0303,120,-0.3360,151,0.03579
ENSG00000116213,WRAP73,21,0.68383,30,1.30133,16,0.28233,9,-0.6827,14,0.03145,12,-0.1444,8,-0.8426,4,-1.6077,9,-0.5656
ENSG00000130764,LRRC47,48,-0.7741,79,0.00153,117,0.63557,81,0.04031,100,0.37088,87,0.18018,65,-0.3155,68,-0.2342,59,-0.4647
ENSG00000116198,CEP104,39,1.43092,31,0.99307,13,-0.3703,11,-0.7077,19,0.15385,14,-0.3710,9,-0.8641,11,-0.6840,8,-1.0385
ENSG00000198912,C1orf174,10,-0.2157,17,0.57270,12,-0.0484,7,-0.7758,16,0.41998,13,0.09210,7,-0.8337,9,-0.4228,17,0.52508
ENSG00000196581,AJAP1,18,-1.3251,26,-0.7283,63,0.67368,71,0.85710,62,0.62286,39,-0.1410,27,-0.6850,38,-0.1465,38,-0.1714
ENSG00000131697,NPHP4,4,-1.1074,16,0.84280,10,0.17233,17,0.97739,9,0.02917,7,-0.3731,5,-0.8360,6,-0.6150,10,0.06542
ENSG00000069424,KCNAB2,24,-2.8654,138,-0.2605,180,0.15746,181,0.16630,212,0.42780,182,0.19740,184,0.19090,190,0.24928,158,-0.0497
ENSG00000116254,CHD5,14,-3.0269,72,-0.5921,112,0.09602,81,-0.4148,89,-0.2804,134,0.44649,79,-0.4644,206,1.11649,136,0.40472
ENSG00000116251,RPL22,1110,1.27237,689,0.44431,299,-0.8756,322,-0.7634,504,-0.0634,420,-0.3896,505,-0.0609,544,0.05902,431,-0.3114
ENSG00000116237,ICMT,25,-0.4616,25,-0.4086,39,0.25800,49,0.64602,47,0.57580,34,0.07202,29,-0.1873,18,-0.9509,29,-0.1811
ENSG00000158292,GPR153,2,-2.3859,0,-4.9094,5,-0.9901,18,0.92086,10,-0.0545,13,0.53416,15,0.66962,12,0.34667,11,0.18699
ENSG00000097021,ACOT7,70,-2.0250,215,-0.3317,407,0.70196,292,0.15332,415,0.73723,327,0.38667,180,-0.6122,239,-0.1645,182,-0.5913
ENSG00000215788,TNFRSF25,1,-2.8744,11,-0.2610,12,-0.0186,26,1.18027,20,0.77229,14,0.24132,12,-0.0444,5,-1.2049,9,-0.5757
