"cluster","pval01","FDR05"
"Astro.1",57,0
"Astro.2",59,0
"Astro.3",35,0
"Astro.4",47,0
"Astro.5",54,0
"Macro",21,0
"Micro.2",44,0
"Micro.3",11,0
"Micro.5",45,0
"OPC.2",46,0
"OPC.4",31,0
"OPC.5",44,0
"Oligo.1",72,0
"Oligo.2",85,0
"Oligo.3",51,0
"Oligo.4",74,0
"Oligo.5",32,0
"Vasc.Endo",35,0
"Vasc.PC",31,0
"Vasc.VLMC",23,0
"Excit.L2",38,0
"Excit.L2_5.mix",57,0
"Excit.L2_5.RELN",69,0
"Excit.L5.RELN",65,1
"Excit.L5.RORB",36,0
"Excit.L6.CT",29,0
"Excit.L6b",15,0
"Inhib.HTR3A",17,0
"Inhib.LAMP5_LHX6",40,0
"Inhib.PVALB",62,0
"Inhib.VIP",36,0
"Inhib.Chandelier",33,2
"Inhib.SST",41,0
