"","cell_type_anno","cell_type_hc5","cell_type_hc4","cell_type_hc3","cell_type_hc2"
"1","Inhib.Chandelier","Inhib.5.1","Inhib.4.1","Inhib.3.1","Inhib.2.1"
"2","Inhib.Lamp5_Lhx6","Inhib.5.2","Inhib.4.2","Inhib.3.2","Inhib.2.1"
"3","Inhib.Pax6","Inhib.5.3","Inhib.4.3","Inhib.3.3","Inhib.2.2"
"4","Inhib.Pvalb","Inhib.5.4","Inhib.4.4","Inhib.3.2","Inhib.2.1"
"5","Inhib.Sst","Inhib.5.4","Inhib.4.4","Inhib.3.2","Inhib.2.1"
"6","Inhib.Vip","Inhib.5.5","Inhib.4.2","Inhib.3.2","Inhib.2.1"
