feature,value,ctype,gene_name,ENTREZID,abs_value,weight_pos,datatype,rank,GO_group
ENSG00000171310,-2.895791530609131,Oligo.3,CHST11,50515,2.895791530609131,FALSE,snRNA-seq,1,Oligo3_F4-
ENSG00000117114,-2.8957457542419434,Oligo.3,ADGRL2,23266,2.8957457542419434,FALSE,snRNA-seq,2,Oligo3_F4-
ENSG00000149972,-2.889986038208008,Oligo.3,CNTN5,53942,2.889986038208008,FALSE,snRNA-seq,3,Oligo3_F4-
ENSG00000165323,-2.876235008239746,Oligo.3,FAT3,120114,2.876235008239746,FALSE,snRNA-seq,4,Oligo3_F4-
ENSG00000183098,-2.8413245677948,Oligo.3,GPC6,10082,2.8413245677948,FALSE,snRNA-seq,5,Oligo3_F4-
ENSG00000184611,-2.824921131134033,Oligo.3,KCNH7,90134,2.824921131134033,FALSE,snRNA-seq,6,Oligo3_F4-
ENSG00000108018,-2.796788215637207,Oligo.3,SORCS1,114815,2.796788215637207,FALSE,snRNA-seq,7,Oligo3_F4-
ENSG00000155974,-2.7746236324310303,Oligo.3,GRIP1,23426,2.7746236324310303,FALSE,snRNA-seq,8,Oligo3_F4-
ENSG00000134121,-2.753727912902832,Oligo.3,CHL1,10752,2.753727912902832,FALSE,snRNA-seq,9,Oligo3_F4-
ENSG00000185760,-2.7531371116638184,Oligo.3,KCNQ5,56479,2.7531371116638184,FALSE,snRNA-seq,10,Oligo3_F4-
ENSG00000156687,-2.7402617931365967,Oligo.3,UNC5D,137970,2.7402617931365967,FALSE,snRNA-seq,11,Oligo3_F4-
ENSG00000080224,-2.7293639183044434,Oligo.3,EPHA6,285220,2.7293639183044434,FALSE,snRNA-seq,12,Oligo3_F4-
ENSG00000171189,-2.7254326343536377,Oligo.3,GRIK1,2897,2.7254326343536377,FALSE,snRNA-seq,13,Oligo3_F4-
ENSG00000147408,-2.7248923778533936,Oligo.3,CSGALNACT1,55790,2.7248923778533936,FALSE,snRNA-seq,14,Oligo3_F4-
ENSG00000148826,2.7163541316986084,Oligo.3,NKX6-2,84504,2.7163541316986084,TRUE,snRNA-seq,1,Oligo3_F4+
ENSG00000134508,-2.7028355598449707,Oligo.3,CABLES1,91768,2.7028355598449707,FALSE,snRNA-seq,15,Oligo3_F4-
ENSG00000198846,-2.6980810165405273,Oligo.3,TOX,9760,2.6980810165405273,FALSE,snRNA-seq,16,Oligo3_F4-
ENSG00000145934,-2.697298765182495,Oligo.3,TENM2,57451,2.697298765182495,FALSE,snRNA-seq,17,Oligo3_F4-
ENSG00000064655,-2.6829748153686523,Oligo.3,EYA2,2139,2.6829748153686523,FALSE,snRNA-seq,18,Oligo3_F4-
ENSG00000122584,-2.682631731033325,Oligo.3,NXPH1,30010,2.682631731033325,FALSE,snRNA-seq,19,Oligo3_F4-
ENSG00000113100,-2.6716420650482178,Oligo.3,CDH9,1007,2.6716420650482178,FALSE,snRNA-seq,20,Oligo3_F4-
ENSG00000236790,-2.6678578853607178,Oligo.3,LINC00299,339788,2.6678578853607178,FALSE,snRNA-seq,21,Oligo3_F4-
ENSG00000236790,-2.6678578853607178,Oligo.3,LINC00299,339789,2.6678578853607178,FALSE,snRNA-seq,22,Oligo3_F4-
ENSG00000236790,-2.6678578853607178,Oligo.3,LINC00299,101929567,2.6678578853607178,FALSE,snRNA-seq,23,Oligo3_F4-
ENSG00000127152,-2.6646056175231934,Oligo.3,BCL11B,64919,2.6646056175231934,FALSE,snRNA-seq,24,Oligo3_F4-
ENSG00000147481,-2.660871744155884,Oligo.5,SNTG1,54212,2.660871744155884,FALSE,snRNA-seq,1,Oligo5_F4-
ENSG00000080493,-2.649824619293213,Oligo.3,SLC4A4,8671,2.649824619293213,FALSE,snRNA-seq,25,Oligo3_F4-
ENSG00000231424,-2.6490213871002197,Oligo.3,BX284613.2,NA,2.6490213871002197,FALSE,snRNA-seq,26,Oligo3_F4-
ENSG00000105088,-2.6435821056365967,Oligo.3,OLFM2,93145,2.6435821056365967,FALSE,snRNA-seq,27,Oligo3_F4-
ENSG00000196353,-2.6319453716278076,Oligo.3,CPNE4,131034,2.6319453716278076,FALSE,snRNA-seq,28,Oligo3_F4-
ENSG00000091622,-2.6301021575927734,vWMd,PITPNM3,83394,2.6301021575927734,FALSE,Visium,1,vWMd_F4-
ENSG00000134215,-2.6255853176116943,Oligo.3,VAV3,10451,2.6255853176116943,FALSE,snRNA-seq,29,Oligo3_F4-
ENSG00000185008,-2.616399049758911,Oligo.3,ROBO2,6092,2.616399049758911,FALSE,snRNA-seq,30,Oligo3_F4-
ENSG00000185052,-2.6159558296203613,Oligo.3,SLC24A3,57419,2.6159558296203613,FALSE,snRNA-seq,31,Oligo3_F4-
ENSG00000179715,-2.6103034019470215,Oligo.3,PCED1B,91523,2.6103034019470215,FALSE,snRNA-seq,32,Oligo3_F4-
ENSG00000185737,-2.6093099117279053,Oligo.3,NRG3,10718,2.6093099117279053,FALSE,snRNA-seq,33,Oligo3_F4-
ENSG00000185942,-2.606905221939087,Oligo.3,NKAIN3,286183,2.606905221939087,FALSE,snRNA-seq,34,Oligo3_F4-
ENSG00000166342,-2.6067686080932617,Oligo.3,NETO1,81832,2.6067686080932617,FALSE,snRNA-seq,35,Oligo3_F4-
ENSG00000185650,-2.6048622131347656,Oligo.3,ZFP36L1,677,2.6048622131347656,FALSE,snRNA-seq,36,Oligo3_F4-
ENSG00000149972,-2.6016550064086914,Oligo.5,CNTN5,53942,2.6016550064086914,FALSE,snRNA-seq,2,Oligo5_F4-
ENSG00000147481,-2.5865211486816406,Oligo.3,SNTG1,54212,2.5865211486816406,FALSE,snRNA-seq,37,Oligo3_F4-
ENSG00000071991,2.5841755867004395,Oligo.3,CDH19,28513,2.5841755867004395,TRUE,snRNA-seq,2,Oligo3_F4+
ENSG00000185760,-2.5826516151428223,Oligo.5,KCNQ5,56479,2.5826516151428223,FALSE,snRNA-seq,3,Oligo5_F4-
ENSG00000076356,-2.571249485015869,Oligo.3,PLXNA2,5362,2.571249485015869,FALSE,snRNA-seq,38,Oligo3_F4-
ENSG00000130287,-2.568042278289795,Oligo.3,NCAN,1463,2.568042278289795,FALSE,snRNA-seq,39,Oligo3_F4-
ENSG00000129116,-2.566689968109131,Oligo.3,PALLD,23022,2.566689968109131,FALSE,snRNA-seq,40,Oligo3_F4-
ENSG00000066382,-2.5615134239196777,Oligo.3,MPPED2,744,2.5615134239196777,FALSE,snRNA-seq,41,Oligo3_F4-
ENSG00000155897,-2.5556323528289795,Oligo.3,ADCY8,114,2.5556323528289795,FALSE,snRNA-seq,42,Oligo3_F4-
ENSG00000197584,-2.551481008529663,Oligo.3,KCNMB2,10242,2.551481008529663,FALSE,snRNA-seq,43,Oligo3_F4-
ENSG00000156113,-2.549954414367676,Oligo.3,KCNMA1,3778,2.549954414367676,FALSE,snRNA-seq,44,Oligo3_F4-
ENSG00000206579,-2.545191526412964,Oligo.3,XKR4,114786,2.545191526412964,FALSE,snRNA-seq,45,Oligo3_F4-
ENSG00000058866,-2.543393135070801,Oligo.3,DGKG,1608,2.543393135070801,FALSE,snRNA-seq,46,Oligo3_F4-
ENSG00000273079,-2.539088726043701,Oligo.3,GRIN2B,2904,2.539088726043701,FALSE,snRNA-seq,47,Oligo3_F4-
ENSG00000124440,-2.5321590900421143,Oligo.3,HIF3A,64344,2.5321590900421143,FALSE,snRNA-seq,48,Oligo3_F4-
ENSG00000078295,-2.5282511711120605,Oligo.3,ADCY2,108,2.5282511711120605,FALSE,snRNA-seq,49,Oligo3_F4-
ENSG00000170345,-2.5281155109405518,Oligo.3,FOS,2353,2.5281155109405518,FALSE,snRNA-seq,50,Oligo3_F4-
ENSG00000250722,2.526776075363159,Oligo.3,SELENOP,6414,2.526776075363159,TRUE,snRNA-seq,3,Oligo3_F4+
ENSG00000157851,2.468684196472168,Oligo.5,DPYSL5,56896,2.468684196472168,TRUE,snRNA-seq,1,Oligo5_F4+
ENSG00000166006,-2.4680352210998535,Oligo.5,KCNC2,3747,2.4680352210998535,FALSE,snRNA-seq,4,Oligo5_F4-
ENSG00000185008,-2.4419329166412354,Oligo.5,ROBO2,6092,2.4419329166412354,FALSE,snRNA-seq,5,Oligo5_F4-
ENSG00000129538,2.409853219985962,Oligo.3,RNASE1,6035,2.409853219985962,TRUE,snRNA-seq,4,Oligo3_F4+
ENSG00000185052,-2.390986204147339,Oligo.5,SLC24A3,57419,2.390986204147339,FALSE,snRNA-seq,6,Oligo5_F4-
