cluster,n_sig,n_nonsig,median_weight_sig,median_weight_nonsig,wilcox_p,p.adj
vWMpv,0,3945,NA,0.33524289727211,NA,NA
vWMd,1,2475,0.9486128687858582,0.6488444209098816,0.4507893416225018,0.4507893416225018
Oligo.3,622,3324,1.464792251586914,0.5891588628292084,1.246196823782436e-145,4.984787295129744e-145
Oligo.4,0,4934,NA,0.35965751111507416,NA,NA
Oligo.5,35,3327,1.6215077638626099,0.5637567043304443,2.3114745667709174e-13,4.622949133541835e-13
Excit.L2_5.RELN,12,4217,0.049165016040205956,0.1613873541355133,0.01327643640103763,0.017701915201383506
