Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7
ENSG00000188976,NOC2L,11,-1.9041,19,-1.2697,39,-0.0225,62,1.46374
ENSG00000188290,HES4,1168,3.16662,133,-1.3302,63,-2.3007,149,-1.3234
ENSG00000187608,ISG15,51,-1.1013,95,-0.1449,65,-0.7306,137,0.82750
ENSG00000188157,AGRN,11,-1.6615,38,0.26863,29,-0.2176,39,0.41166
ENSG00000078808,SDF4,139,0.50669,111,0.13370,49,-1.2065,105,0.04476
ENSG00000176022,B3GALT6,12,-1.3694,36,0.42807,25,-0.2202,32,0.20903
ENSG00000160087,UBE2J2,11,-1.4258,16,-1.1053,48,0.91188,37,0.68180
ENSG00000131584,ACAP3,11,-3.1860,102,0.15294,117,0.36106,110,0.40272
ENSG00000127054,INTS11,11,-2.1139,65,0.78341,41,-0.1758,45,-0.0116
ENSG00000107404,DVL1,324,2.32472,21,-2.6434,100,-0.0328,82,-0.5116
ENSG00000175756,AURKAIP1,157,0.13937,119,-0.3839,188,0.44837,144,-0.0210
ENSG00000221978,CCNL2,11,-2.4696,73,0.48553,19,-1.7381,77,0.78766
ENSG00000242485,MRPL20,572,1.75051,120,-1.1693,175,-0.4333,201,-0.2922
ENSG00000205090,TMEM240,11,-1.6913,14,-1.5967,66,1.18670,45,0.75760
ENSG00000160075,SSU72,196,0.12931,142,-0.4731,182,0.00060,203,0.29498
ENSG00000228594,FNDC10,11,-2.1933,0,-6.3272,64,0.48191,87,2.16697
ENSG00000197530,MIB2,11,-2.1072,42,-0.1449,41,-0.1690,60,0.80994
ENSG00000215790,SLC35E2A,11,-1.2212,16,-0.8307,37,0.67452,32,0.64379
ENSG00000078369,GNB1,288,-0.4382,120,-1.9937,414,0.16121,564,1.25829
ENSG00000187730,GABRD,130,-0.0952,6,-4.9700,114,-0.3022,235,1.87474
ENSG00000067606,PRKCZ,11,-4.1335,88,-1.2955,285,0.79951,264,1.15580
ENSG00000162585,FAAP20,11,-2.7487,81,0.29731,76,0.14730,80,0.35980
ENSG00000157933,SKI,11,-1.5486,25,-0.4318,43,0.55538,38,0.53430
ENSG00000157916,RER1,298,2.34869,48,-1.2065,38,-1.4140,72,-0.5788
ENSG00000157870,PRXL2B,11,-2.6452,44,-0.7374,78,0.30000,93,1.06217
ENSG00000158109,TPRG1L,176,0.02265,64,-1.7481,153,-0.2073,253,1.13765
ENSG00000130764,LRRC47,11,-2.8328,40,-1.1286,48,-0.7010,127,1.84637
ENSG00000196581,AJAP1,12,-2.2922,21,-1.5598,26,-1.0800,94,2.19561
ENSG00000069424,KCNAB2,297,0.46743,42,-2.8386,254,0.19485,317,0.99732
ENSG00000116254,CHD5,160,0.18801,34,-2.4222,199,0.57637,191,0.83307
ENSG00000116251,RPL22,719,-0.2200,1775,2.01414,471,-0.8981,335,-1.8216
ENSG00000116237,ICMT,11,-1.9614,70,1.24154,14,-1.6489,40,-0.0362
ENSG00000097021,ACOT7,45,-2.3554,52,-2.3513,120,-0.8612,387,2.52330
ENSG00000007923,DNAJC11,11,-1.8122,31,-0.3611,33,-0.1753,51,0.93182
ENSG00000171735,CAMTA1,68,-0.9191,89,-0.5875,152,0.40190,149,0.57852
ENSG00000049245,VAMP3,414,2.74249,153,0.67563,18,-2.7530,15,-3.5866
ENSG00000116288,PARK7,268,-0.2041,214,-0.6587,305,0.01245,372,0.57412
ENSG00000162426,SLC45A1,40,0.26608,9,-2.2726,18,-1.0522,55,1.51711
ENSG00000142599,RERE,60,-0.7027,66,-0.6373,66,-0.5392,129,0.99801
ENSG00000074800,ENO1,28,-4.3470,408,-0.3929,430,-0.2501,741,1.21683
ENSG00000171603,CLSTN1,11,-5.6533,241,-1.3788,261,-1.0958,953,2.33566
ENSG00000178585,CTNNBIP1,11,-2.0479,60,0.69248,47,0.13175,42,-0.0848
ENSG00000162441,LZIC,11,-1.7754,78,1.97695,34,-0.1251,17,-1.5014
ENSG00000130939,UBE4B,11,-1.3772,18,-0.7686,18,-0.7023,43,1.35048
ENSG00000054523,KIF1B,11,-4.5299,206,-0.2744,232,-0.0348,335,1.02641
ENSG00000142657,PGD,11,-2.0207,20,-1.3195,34,-0.3568,71,1.68767
ENSG00000241563,CORT,13207,7.32453,0,-11.696,71,-4.9810,140,-4.5650
ENSG00000120948,TARDBP,11,-2.6059,87,0.68089,31,-1.1476,76,0.48821
ENSG00000116649,SRM,11,-3.5148,88,-0.5638,85,-0.5469,186,1.43842
ENSG00000198793,MTOR,11,-1.3772,11,-1.6736,34,0.34894,43,1.32841
ENSG00000116661,FBXO2,11,-4.5024,169,-0.6110,275,0.28426,336,1.09954
ENSG00000132879,FBXO44,11,-3.4985,31,-2.2752,130,0.18659,205,1.99775
ENSG00000011021,CLCN6,11,-1.5727,0,-5.7259,44,0.55998,55,1.94059
ENSG00000116685,KIAA2013,161,2.25810,33,-0.8354,13,-2.0801,40,-0.5718
