"","cluster","contrast","n_genes","n_FDR05","nUP","nDown"
"1","Astro","carrier_AA",18320,98,91,7
"2","Astro","carrier_EA",18320,0,0,0
"3","Macro","carrier_AA",2931,2,2,0
"4","Macro","carrier_EA",2931,0,0,0
"5","Micro","carrier_AA",14350,3,1,2
"6","Micro","carrier_EA",14350,1,1,0
"7","Oligo","carrier_AA",21175,0,0,0
"8","Oligo","carrier_EA",21175,0,0,0
"9","OPC","carrier_AA",17290,0,0,0
"10","OPC","carrier_EA",17290,1,1,0
"11","Vasc","carrier_AA",8801,1,0,1
"12","Vasc","carrier_EA",8801,1,1,0
"13","Excit","carrier_AA",25772,0,0,0
"14","Excit","carrier_EA",25772,0,0,0
"15","Inhib","carrier_AA",21076,0,0,0
"16","Inhib","carrier_EA",21076,0,0,0
