Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,3,-2.7843,36,0.80788,31,0.59465,16,-0.4874,21,-0.0910,33,0.64143,8,-1.4472
ENSG00000188976,NOC2L,106,1.01392,94,0.81384,39,-0.6655,39,-0.6073,64,0.20845,47,-0.3342,21,-1.5308
ENSG00000188290,HES4,101,0.15128,93,0.02552,57,-0.7994,63,-0.5928,101,0.20195,222,1.51615,21,-2.2397
ENSG00000187608,ISG15,57,-0.4811,107,0.52489,34,-1.3392,62,-0.3343,95,0.45172,117,0.68447,74,-0.0574
ENSG00000188157,AGRN,3,-3.0497,47,0.83598,36,0.45867,35,0.36222,24,-0.3142,33,0.25705,19,-0.6295
ENSG00000078808,SDF4,50,-0.5555,92,0.41180,76,0.12130,55,-0.4109,70,-0.0403,77,0.13167,77,0.11397
ENSG00000176022,B3GALT6,3,-3.0453,49,1.01368,22,-0.3157,23,-0.1946,35,0.61663,29,0.15347,11,-1.3709
ENSG00000160087,UBE2J2,3,-3.6690,55,0.47077,39,-0.0783,44,0.12582,55,0.63084,30,-0.4958,35,-0.2328
ENSG00000131584,ACAP3,351,1.66857,108,-0.3407,151,0.21882,84,-0.7333,112,-0.3668,86,-0.7037,76,-0.8784
ENSG00000127054,INTS11,94,0.55843,87,0.42698,66,-0.0234,40,-0.8056,52,-0.4959,81,0.30699,79,0.27229
ENSG00000224051,CPTP,3,-3.2239,47,0.73634,27,-0.1592,31,0.02599,34,0.25540,43,0.56077,20,-0.6010
ENSG00000107404,DVL1,3,-4.4566,45,-0.6962,92,0.47796,92,0.41486,89,0.50609,69,-0.0311,47,-0.6281
ENSG00000175756,AURKAIP1,122,-0.2042,127,-0.1406,126,-0.1692,140,0.01659,136,-0.0450,219,0.74959,120,-0.2279
ENSG00000221978,CCNL2,236,2.19495,76,0.13495,53,-0.4877,24,-1.6387,47,-0.7483,58,-0.2962,57,-0.3137
ENSG00000242485,MRPL20,426,1.24861,172,-0.2643,205,0.01436,147,-0.5166,181,-0.2432,156,-0.4173,184,-0.1654
ENSG00000179403,VWA1,79,0.43342,13,-2.2929,27,-1.3201,26,-1.3045,20,-1.9613,80,0.45479,292,3.06599
ENSG00000197785,ATAD3A,3,-2.2661,19,0.32110,19,0.36684,27,0.89294,14,-0.2130,15,-0.0497,11,-0.4789
ENSG00000205090,TMEM240,77,0.39749,95,0.74654,37,-0.8496,56,-0.1141,83,0.70805,43,-0.5459,10,-2.6210
ENSG00000160075,SSU72,42,-1.8854,191,0.46203,127,-0.2148,139,-0.0528,187,0.57543,126,-0.2132,125,-0.2236
ENSG00000228594,FNDC10,67,0.90024,46,0.26492,29,-0.4705,40,0.05718,40,0.07701,44,0.20515,11,-1.8895
ENSG00000272106,AL691432.2,45,0.75651,23,-0.2890,31,0.15379,18,-0.6610,29,0.03404,15,-0.9185,32,0.22366
ENSG00000197530,MIB2,72,0.91469,44,0.11970,50,0.33873,33,-0.3361,27,-0.7814,46,0.16270,36,-0.2073
ENSG00000189339,SLC35E2B,3,-3.9679,69,0.50328,76,0.77410,41,-0.3307,59,0.32459,43,-0.2439,20,-1.3710
ENSG00000008130,NADK,64,1.10944,40,0.31649,38,0.28144,23,-0.5261,31,-0.1157,17,-1.0004,14,-1.2590
ENSG00000078369,GNB1,97,-2.1235,419,0.10862,530,0.56824,369,-0.0947,463,0.35798,394,0.01071,189,-1.1314
ENSG00000187730,GABRD,55,-1.3881,177,0.42501,204,0.77231,116,-0.2599,166,0.42615,100,-0.4881,8,-4.0859
ENSG00000067606,PRKCZ,81,-1.3658,250,0.39245,213,0.15011,223,0.20764,244,0.47221,159,-0.3356,91,-1.1807
ENSG00000162585,FAAP20,71,0.31060,56,-0.0607,27,-1.3078,90,0.71012,63,0.15506,71,0.32140,54,-0.1309
ENSG00000157933,SKI,11,-1.5996,36,0.24276,19,-0.7997,44,0.57356,38,0.41097,33,0.09371,35,0.18257
ENSG00000157916,RER1,191,1.52614,101,0.40291,59,-0.4910,49,-0.7444,64,-0.3928,69,-0.2042,64,-0.3106
ENSG00000157911,PEX10,55,0.76281,44,0.41149,24,-0.5854,39,0.22677,25,-0.5980,35,0.03562,45,0.45062
ENSG00000149527,PLCH2,3,-2.8321,23,-0.0249,38,0.94952,23,0.01645,21,-0.1664,28,0.30987,14,-0.7456
ENSG00000157881,PANK4,47,1.24224,26,0.21729,24,0.15206,10,-1.2203,19,-0.3646,23,0.01531,14,-0.7039
ENSG00000197921,HES5,3,-2.3887,20,0.27086,7,-1.3245,34,1.18837,11,-0.7553,62,2.36653,0,-6.2651
ENSG00000157870,PRXL2B,3,-4.2198,74,0.33775,79,0.52014,73,0.30628,67,0.23344,71,0.26764,20,-1.6931
ENSG00000177133,PRDM16-DT,114,2.27785,8,-2.0621,35,0.13226,25,-0.3971,19,-0.9494,38,0.27608,10,-1.8043
