Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to10,Feature log2 fold change topic 2to10
ENSG00000228794,LINC01128,3,-2.7843,24,2.78431
ENSG00000188976,NOC2L,106,1.01392,52,-1.0139
ENSG00000188290,HES4,101,0.15128,91,-0.1512
ENSG00000187608,ISG15,57,-0.4811,79,0.48118
ENSG00000188157,AGRN,3,-3.0497,31,3.04976
ENSG00000078808,SDF4,50,-0.5555,74,0.55555
ENSG00000176022,B3GALT6,3,-3.0453,29,3.04534
ENSG00000160087,UBE2J2,3,-3.6690,45,3.66902
ENSG00000131584,ACAP3,351,1.66857,110,-1.6685
ENSG00000127054,INTS11,94,0.55843,64,-0.5584
ENSG00000224051,CPTP,3,-3.2239,33,3.22394
ENSG00000107404,DVL1,3,-4.4566,78,4.45668
ENSG00000175756,AURKAIP1,122,-0.2042,141,0.20427
ENSG00000221978,CCNL2,236,2.19495,51,-2.1949
ENSG00000242485,MRPL20,426,1.24861,179,-1.2486
ENSG00000179403,VWA1,79,0.43342,58,-0.4334
ENSG00000197785,ATAD3A,3,-2.2661,17,2.26612
ENSG00000205090,TMEM240,77,0.39749,59,-0.3974
ENSG00000160075,SSU72,42,-1.8854,155,1.88541
ENSG00000228594,FNDC10,67,0.90024,35,-0.9002
ENSG00000272106,AL691432.2,45,0.75651,26,-0.7565
ENSG00000197530,MIB2,72,0.91469,38,-0.9146
ENSG00000189339,SLC35E2B,3,-3.9679,56,3.96794
ENSG00000008130,NADK,64,1.10944,29,-1.1094
ENSG00000078369,GNB1,97,-2.1235,425,2.12350
ENSG00000187730,GABRD,55,-1.3881,145,1.38815
ENSG00000067606,PRKCZ,81,-1.3658,209,1.36589
ENSG00000162585,FAAP20,71,0.31060,57,-0.3106
ENSG00000157933,SKI,11,-1.5996,33,1.59967
ENSG00000157916,RER1,191,1.52614,66,-1.5261
ENSG00000157911,PEX10,55,0.76281,32,-0.7628
ENSG00000149527,PLCH2,3,-2.8321,25,2.83214
ENSG00000157881,PANK4,47,1.24224,20,-1.2422
ENSG00000197921,HES5,3,-2.3887,18,2.38879
ENSG00000157870,PRXL2B,3,-4.2198,66,4.21983
ENSG00000177133,PRDM16-DT,114,2.27785,23,-2.2778
ENSG00000158109,TPRG1L,39,-2.0868,168,2.08681
ENSG00000130764,LRRC47,3,-4.4555,78,4.45552
ENSG00000116198,CEP104,3,-2.2263,16,2.22632
ENSG00000196581,AJAP1,3,-3.4004,37,3.40040
ENSG00000069424,KCNAB2,117,-1.1540,262,1.15406
ENSG00000116254,CHD5,24,-2.6042,149,2.60427
ENSG00000116251,RPL22,760,0.55006,519,-0.5500
ENSG00000116237,ICMT,17,-1.0735,37,1.07354
ENSG00000158292,GPR153,3,-2.2494,17,2.24940
ENSG00000097021,ACOT7,200,-0.3377,253,0.33771
ENSG00000215788,TNFRSF25,93,1.69855,28,-1.6985
ENSG00000171680,PLEKHG5,3,-3.2937,35,3.29374
ENSG00000162408,NOL9,3,-3.3211,35,3.32112
ENSG00000162413,KLHL21,3,-3.4240,38,3.42404
ENSG00000041988,THAP3,3,-2.6373,22,2.63737
ENSG00000007923,DNAJC11,3,-3.7509,48,3.75090
ENSG00000171735,CAMTA1,3,-5.4792,160,5.47921
ENSG00000049245,VAMP3,3,-3.3600,36,3.36005
ENSG00000049246,PER3,3,-3.0180,29,3.01805
ENSG00000116288,PARK7,301,-0.0859,320,0.08593
ENSG00000116285,ERRFI1,3,-2.2180,16,2.21808
ENSG00000162426,SLC45A1,3,-3.3899,37,3.38996
ENSG00000142599,RERE,35,-1.3536,90,1.35360
ENSG00000074800,ENO1,345,-0.9355,661,0.93552
ENSG00000171612,SLC25A33,3,-3.2442,34,3.24429
ENSG00000188807,TMEM201,220,3.76323,16,-3.7632
ENSG00000171608,PIK3CD,3,-2.3188,17,2.31883
ENSG00000171603,CLSTN1,344,-0.9827,680,0.98271
ENSG00000178585,CTNNBIP1,3,-3.3295,36,3.32954
ENSG00000162441,LZIC,3,-3.3030,35,3.30307
ENSG00000130939,UBE4B,3,-3.1724,32,3.17240
ENSG00000054523,KIF1B,72,-1.9317,276,1.93171
ENSG00000142657,PGD,49,0.04686,47,-0.0468
ENSG00000241563,CORT,3,-4.2670,69,4.26709
ENSG00000160049,DFFA,124,2.08358,29,-2.0835
ENSG00000142655,PEX14,3,-3.2425,33,3.24252
ENSG00000120948,TARDBP,3,-4.1034,61,4.10340
ENSG00000116649,SRM,171,0.69299,106,-0.6929
ENSG00000171824,EXOSC10,38,0.64688,24,-0.6468
ENSG00000198793,MTOR,3,-3.6650,45,3.66500
ENSG00000116661,FBXO2,393,0.36917,304,-0.3691
ENSG00000132879,FBXO44,92,-0.6187,142,0.61873
ENSG00000116670,MAD2L2,35,0.29118,28,-0.2911
ENSG00000177674,AGTRAP,46,1.17218,20,-1.1721
ENSG00000177000,MTHFR,3,-2.1201,15,2.12011
ENSG00000011021,CLCN6,3,-4.0375,58,4.03756
ENSG00000116685,KIAA2013,53,0.48234,38,-0.4823
ENSG00000083444,PLOD1,138,2.42950,25,-2.4295
ENSG00000116688,MFN2,3,-4.6283,88,4.62831
ENSG00000116691,MIIP,3,-2.4161,19,2.41615
ENSG00000048707,VPS13D,3,-3.9746,56,3.97464
ENSG00000162496,DHRS3,53,0.67331,33,-0.6733
ENSG00000116731,PRDM2,100,0.47680,71,-0.4768
ENSG00000189337,KAZN,3,-3.6662,45,3.66627
ENSG00000142634,EFHD2,23,-1.9519,91,1.95190
ENSG00000116138,DNAJC16,3,-2.6860,23,2.68609
ENSG00000197312,DDI2,3,-2.6233,22,2.62336
ENSG00000116786,PLEKHM2,3,-4.5664,85,4.56649
ENSG00000065526,SPEN,149,2.25039,31,-2.2503
ENSG00000116809,ZBTB17,3,-2.4898,20,2.48987
ENSG00000185519,FAM131C,3,-2.1696,16,2.16964
ENSG00000037637,FBXO42,3,-2.3494,18,2.34942
ENSG00000055070,SZRD1,72,1.31681,29,-1.3168
ENSG00000159363,ATP13A2,50,-1.6491,157,1.64919
ENSG00000117118,SDHB,3,-4.0676,60,4.06765
ENSG00000117115,PADI2,4,-4.1291,71,4.12911
ENSG00000179051,RCC2,46,1.19288,20,-1.1928
ENSG00000074964,ARHGEF10L,3,-2.3876,18,2.38765
ENSG00000117154,IGSF21,87,0.35144,68,-0.3514
ENSG00000159423,ALDH4A1,3,-3.1541,31,3.15412
ENSG00000169991,IFFO2,3,-1.9995,14,1.99954
ENSG00000127463,EMC1,109,1.79331,31,-1.7933
ENSG00000053372,MRTO4,52,0.31983,42,-0.3198
ENSG00000053371,AKR7A2,71,0.69103,44,-0.6910
ENSG00000077549,CAPZB,307,0.52963,212,-0.5296
ENSG00000173436,MICOS10,298,0.06628,284,-0.0662
ENSG00000158747,NBL1,571,1.36116,222,-1.3611
ENSG00000162545,CAMK2N1,394,-1.4252,1060,1.42528
ENSG00000090432,MUL1,35,0.52246,24,-0.5224
ENSG00000183114,FAM43B,3,-2.3751,18,2.37511
ENSG00000158828,PINK1,38,-3.4005,403,3.40053
ENSG00000244038,DDOST,148,2.59108,24,-2.5910
ENSG00000117245,KIF17,3,-2.1979,16,2.19798
ENSG00000189410,SH2D5,78,1.38207,30,-1.3820
ENSG00000127483,HP1BP3,185,0.61920,120,-0.6192
ENSG00000075151,EIF4G3,235,1.22169,101,-1.2216
ENSG00000117298,ECE1,54,1.32839,21,-1.3283
ENSG00000076864,RAP1GAP,3,-5.4997,162,5.49976
ENSG00000090686,USP48,3,-3.4961,40,3.49611
ENSG00000070831,CDC42,253,0.19338,221,-0.1933
ENSG00000173372,C1QA,247,3.27830,25,-3.2783
ENSG00000173369,C1QB,432,4.04295,26,-4.0429
ENSG00000004487,KDM1A,149,1.34205,58,-1.3420
ENSG00000169641,LUZP1,3,-3.8352,51,3.83525
ENSG00000125944,HNRNPR,3,-4.5337,83,4.53370
ENSG00000125945,ZNF436,3,-2.2476,17,2.24762
ENSG00000117318,ID3,221,2.07782,52,-2.0778
ENSG00000142676,RPL11,1601,1.57737,536,-1.5773
ENSG00000057757,PITHD1,153,-0.1273,167,0.12735
ENSG00000011009,LYPLA2,3,-3.6989,46,3.69899
ENSG00000117308,GALE,3,-2.2025,16,2.20259
ENSG00000117305,HMGCL,112,2.60849,18,-2.6084
ENSG00000189266,PNRC2,22,-0.9132,43,0.91329
ENSG00000188529,SRSF10,51,0.37482,39,-0.3748
ENSG00000001461,NIPAL3,3,-4.2602,68,4.26029
ENSG00000133226,SRRM1,3,-3.5576,42,3.55766
ENSG00000169504,CLIC4,3,-3.6189,44,3.61891
ENSG00000117614,SYF2,3,-3.8952,53,3.89525
ENSG00000117616,RSRP1,3,-3.9009,53,3.90095
ENSG00000183726,TMEM50A,43,-0.8481,77,0.84813
ENSG00000204178,MACO1,3,-2.8273,25,2.82736
ENSG00000117643,MAN1C1,33,-0.2087,38,0.20871
ENSG00000162430,SELENON,126,1.34904,49,-1.3490
ENSG00000117640,MTFR1L,174,1.26967,72,-1.2696
ENSG00000117632,STMN1,180,-2.4500,986,2.45005
ENSG00000158008,EXTL1,47,-0.1240,51,0.12405
ENSG00000142684,ZNF593,3,-3.3706,37,3.37069
ENSG00000142669,SH3BGRL3,162,-0.3451,206,0.34515
ENSG00000158062,UBXN11,3,-2.4407,19,2.44079
ENSG00000117682,DHDDS,3,-2.4914,20,2.49148
ENSG00000198830,HMGN2,3,-5.1280,125,5.12806
ENSG00000117713,ARID1A,3,-3.8082,50,3.80822
ENSG00000204160,ZDHHC18,3,-3.1506,32,3.15066
ENSG00000090273,NUDC,120,-0.5064,171,0.50649
ENSG00000253368,TRNP1,3,-4.1690,64,4.16907
ENSG00000090020,SLC9A1,3,-2.8071,25,2.80711
ENSG00000142784,WDTC1,86,1.29059,35,-1.2905
ENSG00000186501,TMEM222,21,-1.9273,81,1.92732
ENSG00000158195,WASF2,72,0.88581,39,-0.8858
ENSG00000126705,AHDC1,3,-3.5352,41,3.53521
ENSG00000126709,IFI6,352,1.59927,116,-1.5992
ENSG00000117758,STX12,3,-4.5250,82,4.52508
ENSG00000117751,PPP1R8,3,-2.9329,27,2.93296
ENSG00000117748,RPA2,3,-3.8297,51,3.82973
ENSG00000126698,DNAJC8,3,-4.8666,104,4.86662
ENSG00000130770,ATP5IF1,215,-0.8206,380,0.82062
ENSG00000180098,TRNAU1AP,3,-2.3642,18,2.36429
ENSG00000120656,TAF12,3,-2.1217,15,2.12170
ENSG00000198492,YTHDF2,179,1.33484,71,-1.3348
ENSG00000116350,SRSF4,29,-0.2454,34,0.24547
ENSG00000116353,MECR,3,-3.1862,32,3.18626
ENSG00000060656,PTPRU,96,2.29902,19,-2.2990
ENSG00000162511,LAPTM5,64,1.53756,22,-1.5375
ENSG00000162512,SDC3,3,-5.5624,173,5.56240
ENSG00000134644,PUM1,3,-4.8966,106,4.89665
ENSG00000060688,SNRNP40,3,-2.4887,20,2.48870
ENSG00000121766,ZCCHC17,4,-4.4938,101,4.49381
ENSG00000121769,FABP3,271,0.62187,176,-0.6218
ENSG00000162517,PEF1,8,-3.4042,85,3.40424
ENSG00000084636,COL16A1,3,-3.5325,41,3.53252
ENSG00000121753,ADGRB2,121,-1.2136,281,1.21369
ENSG00000184007,PTP4A2,3,-5.8887,212,5.88870
ENSG00000121774,KHDRBS1,117,0.17549,103,-0.1754
