Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to12,Feature log2 fold change topic 3to12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,32,1.06886
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,60,1.62620
ENSG00000188290,HES4,677,3.51560,3,-5.0680,64,-2.3937
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,51,-2.2069
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,30,-1.8615
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,83,0.40423
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,45,2.55663
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,55,0.66436
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,14,-0.8874
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,121,0.63014
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,62,0.23915
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,41,0.40917
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,71,0.96825
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,114,0.59586
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,49,-0.8235
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,130,-0.0806
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,18,-0.6989
ENSG00000179403,VWA1,139,1.48559,306,3.15592,23,-3.2182
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,15,0.98777
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,18,0.94260
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,74,2.83921
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,160,1.22432
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,47,3.42242
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,46,0.42500
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,38,1.67850
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,44,1.47432
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,26,0.32800
ENSG00000008130,NADK,32,0.03533,24,-0.4305,32,0.19859
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,380,0.49949
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,134,6.66601
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,183,1.49320
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,52,-0.9769
ENSG00000157933,SKI,93,0.80796,46,-0.3177,53,-0.3691
ENSG00000157916,RER1,96,0.48581,86,0.31655,66,-0.4504
ENSG00000157911,PEX10,0,-5.9827,33,0.60480,24,0.51339
ENSG00000149527,PLCH2,0,-6.2745,19,-0.5889,31,1.69530
ENSG00000157881,PANK4,0,-5.7198,9,-1.0754,21,2.15149
ENSG00000197921,HES5,0,-6.0103,3,-2.8941,27,3.87047
ENSG00000157870,PRXL2B,14,-2.5770,25,-1.7582,91,2.21942
ENSG00000177133,PRDM16-DT,0,-5.9290,1,-4.3636,26,5.07798
ENSG00000158109,TPRG1L,63,-1.2500,50,-1.6109,161,1.50764
ENSG00000130764,LRRC47,31,-0.9991,42,-0.5447,65,0.81357
ENSG00000116198,CEP104,26,0.55676,30,0.79955,16,-0.7718
ENSG00000196581,AJAP1,0,-6.8637,13,-1.6906,49,2.78652
ENSG00000069424,KCNAB2,56,-2.1575,20,-3.6024,273,2.82781
ENSG00000116254,CHD5,3,-6.0898,27,-3.0302,242,4.00087
ENSG00000116251,RPL22,1418,1.89571,1095,1.41462,309,-2.0198
ENSG00000116237,ICMT,28,-0.4130,12,-1.6617,40,0.98377
ENSG00000158292,GPR153,22,0.64847,0,-4.8507,15,0.44796
ENSG00000097021,ACOT7,14,-3.2100,44,-1.5689,145,2.28347
ENSG00000215788,TNFRSF25,57,0.92556,0,-6.6330,33,0.20144
ENSG00000171680,PLEKHG5,0,-6.8827,7,-2.6561,50,3.71644
ENSG00000162408,NOL9,0,-6.6240,12,-1.6170,41,2.70778
ENSG00000162413,KLHL21,32,-0.0551,36,0.11439,33,-0.0349
ENSG00000116273,PHF13,0,-5.8510,13,-0.6447,23,1.73913
ENSG00000041988,THAP3,0,-5.3615,19,0.41040,15,0.69430
ENSG00000007923,DNAJC11,0,-6.3355,18,-0.8871,36,1.98870
ENSG00000171735,CAMTA1,150,-0.4100,81,-1.3376,211,0.86804
ENSG00000049245,VAMP3,101,1.52320,170,2.54814,21,-2.6365
ENSG00000049246,PER3,28,-0.0219,36,0.34326,28,-0.1882
ENSG00000116288,PARK7,387,1.09239,227,0.21537,177,-0.7966
ENSG00000116285,ERRFI1,0,-5.7733,13,-0.5577,22,1.65217
ENSG00000162426,SLC45A1,1,-4.7955,0,-8.5138,33,5.82677
ENSG00000142599,RERE,61,-1.1362,79,-0.7461,141,0.99617
ENSG00000074800,ENO1,219,-1.1869,307,-0.6775,519,0.97794
ENSG00000171612,SLC25A33,0,-5.8766,15,-0.9505,32,2.03693
ENSG00000188807,TMEM201,0,-5.4912,14,-0.1631,18,1.25923
ENSG00000171608,PIK3CD,25,0.75449,5,-1.5583,15,0.03931
ENSG00000171603,CLSTN1,228,-1.3458,141,-2.0561,625,1.75545
ENSG00000178585,CTNNBIP1,33,0.02649,38,0.22659,32,-0.1429
ENSG00000162441,LZIC,0,-6.2898,73,1.61035,26,-0.4826
ENSG00000130939,UBE4B,61,0.39608,45,-0.0576,46,-0.2034
ENSG00000054523,KIF1B,29,-3.4318,340,0.23491,315,0.76958
ENSG00000142657,PGD,41,-0.4691,41,-0.4946,59,0.52228
ENSG00000241563,CORT,0,-6.5590,10,-1.7364,39,2.82115
ENSG00000160049,DFFA,35,0.32479,41,0.58203,27,-0.5127
ENSG00000142655,PEX14,0,-6.3331,0,-5.6036,34,6.05824
ENSG00000120948,TARDBP,17,-2.2179,95,0.40332,77,0.46582
ENSG00000116649,SRM,35,-1.5940,62,-0.7646,112,1.20115
ENSG00000171824,EXOSC10,20,-0.4714,35,0.44680,27,-0.0525
ENSG00000198793,MTOR,0,-6.6032,15,-1.2577,40,2.35751
ENSG00000116661,FBXO2,45,-2.1479,133,-0.5283,207,1.21354
ENSG00000132879,FBXO44,0,-8.5863,52,-1.4739,161,2.60038
ENSG00000116670,MAD2L2,9,-1.4934,34,0.48638,26,0.24672
ENSG00000177000,MTHFR,41,1.01617,12,-0.9482,21,-0.3246
ENSG00000011021,CLCN6,0,-7.8879,43,-1.0403,98,2.16428
ENSG00000116685,KIAA2013,39,0.13251,53,0.63459,34,-0.4476
ENSG00000083444,PLOD1,113,2.76979,19,-0.3699,16,-2.0233
ENSG00000116688,MFN2,37,-1.3363,84,-0.0869,94,0.64212
ENSG00000116691,MIIP,0,-5.4248,9,-0.6974,17,1.77546
ENSG00000048707,VPS13D,0,-6.6886,37,-0.1463,45,1.26579
ENSG00000162496,DHRS3,32,0.23776,26,-0.0773,27,-0.0963
ENSG00000116731,PRDM2,35,-0.8737,47,-0.4111,66,0.67592
ENSG00000189337,KAZN,23,-0.9577,79,0.93767,43,-0.2581
ENSG00000142634,EFHD2,39,-1.3935,41,-1.3379,110,1.45118
ENSG00000116138,DNAJC16,0,-6.2780,33,0.30662,30,0.81239
ENSG00000197312,DDI2,0,-4.6649,16,-0.4332,24,1.48584
ENSG00000116786,PLEKHM2,0,-7.5131,23,-1.5946,76,2.70709
ENSG00000065526,SPEN,52,0.10973,58,0.30550,47,-0.2331
ENSG00000116809,ZBTB17,0,-4.2829,25,0.65079,17,0.42630
ENSG00000037637,FBXO42,50,0.96761,9,-1.6631,27,-0.1230
ENSG00000055070,SZRD1,125,2.18840,62,0.89200,24,-1.9583
ENSG00000157191,NECAP2,87,2.63111,43,1.26162,11,-2.5488
ENSG00000058453,CROCC,55,1.52114,14,-0.6647,19,-0.8216
ENSG00000159363,ATP13A2,23,-2.4697,45,-1.5186,139,2.02304
ENSG00000117118,SDHB,14,-2.4147,56,-0.3526,77,1.13951
ENSG00000117115,PADI2,0,-7.0825,332,3.84224,25,-2.7086
ENSG00000179051,RCC2,37,0.52446,28,0.08346,25,-0.3533
ENSG00000074964,ARHGEF10L,64,2.12416,6,-1.6748,15,-1.1778
ENSG00000117154,IGSF21,0,-7.7969,55,-0.5748,90,1.70151
ENSG00000159423,ALDH4A1,1,-4.0245,11,-0.6966,20,1.68219
ENSG00000169991,IFFO2,0,-4.3514,10,-0.6081,16,1.62942
ENSG00000127463,EMC1,0,-6.6235,19,-0.9622,40,2.06889
ENSG00000053372,MRTO4,0,-6.5779,23,-0.6213,39,1.73301
ENSG00000053371,AKR7A2,69,0.95679,44,0.22275,34,-0.7052
ENSG00000077549,CAPZB,399,0.82394,137,-0.8540,234,-0.1970
ENSG00000173436,MICOS10,277,0.29461,263,0.21051,222,-0.2809
ENSG00000158747,NBL1,386,1.01145,42,-2.3903,206,-0.0539
ENSG00000169914,OTUD3,0,-5.6020,10,-0.8294,20,1.90982
ENSG00000162545,CAMK2N1,56,-3.9874,478,-0.8427,937,1.81050
ENSG00000090432,MUL1,0,-6.1205,20,-0.3547,28,1.46211
ENSG00000183114,FAM43B,0,-5.9612,5,-2.2026,26,3.23335
ENSG00000158828,PINK1,128,-1.1037,206,-0.3795,282,0.75582
ENSG00000244038,DDOST,107,2.21758,23,-0.3505,22,-1.5151
ENSG00000117245,KIF17,0,-5.3948,2,-2.6728,17,3.60134
ENSG00000189410,SH2D5,35,0.18673,2,-3.5849,34,0.82747
ENSG00000127483,HP1BP3,200,0.46666,119,-0.3504,147,-0.1162
ENSG00000075151,EIF4G3,40,-1.4802,72,-0.5964,117,1.04661
ENSG00000117298,ECE1,201,3.85411,28,-0.0692,12,-3.2005
ENSG00000076864,RAP1GAP,11,-4.1303,71,-1.3978,206,2.31992
ENSG00000090686,USP48,69,1.24678,36,0.20012,28,-0.9017
ENSG00000070831,CDC42,200,-0.1953,228,0.00632,229,0.10038
ENSG00000173372,C1QA,415,4.94404,21,-1.1654,12,-4.1118
ENSG00000173369,C1QB,422,4.55636,35,-0.5708,16,-3.8242
ENSG00000004487,KDM1A,43,-0.1380,18,-1.4516,50,0.71698
ENSG00000169641,LUZP1,95,1.10375,0,-7.2970,49,0.02766
ENSG00000125944,HNRNPR,96,-0.2753,139,0.29954,115,-0.0393
ENSG00000125945,ZNF436,0,-5.8705,8,-1.3453,24,2.41718
ENSG00000117318,ID3,1134,6.17414,46,-1.2981,12,-5.5481
ENSG00000142676,RPL11,2109,2.57515,1246,1.52715,264,-2.6640
ENSG00000011007,ELOA,5,-1.9073,20,0.18547,19,0.58901
ENSG00000057757,PITHD1,1,-6.2885,119,-0.2425,154,1.35493
ENSG00000011009,LYPLA2,0,-7.0190,17,-1.5028,54,2.60720
ENSG00000117308,GALE,0,-5.4103,4,-1.7860,17,2.80533
ENSG00000117305,HMGCL,43,1.58330,18,0.13533,14,-1.1328
ENSG00000189266,PNRC2,100,0.81988,47,-0.3885,57,-0.3507
ENSG00000188529,SRSF10,78,0.59832,62,0.21606,51,-0.4662
ENSG00000001461,NIPAL3,1,-5.2297,155,1.82873,48,-0.7100
ENSG00000133226,SRRM1,109,1.30871,93,1.02643,39,-1.3653
ENSG00000169504,CLIC4,427,3.15848,317,2.45213,20,-4.1499
ENSG00000117614,SYF2,164,1.72705,72,0.31990,47,-1.3213
ENSG00000117616,RSRP1,162,1.15656,115,0.58366,68,-1.0190
ENSG00000183726,TMEM50A,282,1.50200,146,0.38985,95,-1.1756
ENSG00000204178,MACO1,45,1.07024,8,-1.4906,23,-0.2452
ENSG00000117643,MAN1C1,47,-0.0149,22,-1.1399,50,0.52321
ENSG00000162430,SELENON,60,0.45722,57,0.36700,43,-0.4612
ENSG00000117640,MTFR1L,15,-2.0163,39,-0.5913,64,1.22368
ENSG00000117632,STMN1,119,-2.8976,1003,0.31411,875,0.64208
ENSG00000158008,EXTL1,37,-0.5638,2,-4.5212,60,1.60032
ENSG00000175087,PDIK1L,0,-5.6810,15,-0.3178,20,1.41556
ENSG00000142684,ZNF593,36,0.67972,23,-0.0191,22,-0.4055
ENSG00000142669,SH3BGRL3,404,1.29750,201,0.13612,160,-0.9123
ENSG00000158062,UBXN11,0,-5.5993,7,-1.2574,20,2.32025
ENSG00000117682,DHDDS,0,-5.6635,8,-1.2475,21,2.31398
ENSG00000198830,HMGN2,325,1.96584,204,1.12211,71,-1.8991
ENSG00000117713,ARID1A,0,-7.3532,61,0.07007,64,1.05737
ENSG00000204160,ZDHHC18,42,0.13628,11,-1.8264,41,0.61037
ENSG00000142751,GPN2,7,-1.1904,14,-0.2405,18,0.69798
ENSG00000090273,NUDC,47,-1.4622,156,0.36481,128,0.33647
ENSG00000253368,TRNP1,21,-1.0537,4,-3.5050,48,1.92908
ENSG00000090020,SLC9A1,61,0.98724,5,-2.6350,33,-0.0047
ENSG00000142784,WDTC1,37,0.00135,42,0.20882,36,-0.1194
ENSG00000186501,TMEM222,10,-3.1058,64,-0.3976,92,1.30249
ENSG00000158195,WASF2,136,2.46279,113,2.07668,15,-2.9735
ENSG00000126705,AHDC1,0,-7.2132,11,-2.3455,63,3.43272
ENSG00000126709,IFI6,603,2.29066,110,-0.6013,124,-1.5193
ENSG00000009780,FAM76A,0,-5.4876,15,-0.1175,17,1.21459
ENSG00000117758,STX12,0,-7.5645,75,0.13553,75,0.99359
ENSG00000117751,PPP1R8,4,-3.0568,38,0.23388,35,0.73323
ENSG00000117748,RPA2,12,-1.8774,31,-0.4382,46,1.06923
ENSG00000126698,DNAJC8,192,0.75582,82,-0.5880,117,-0.2310
ENSG00000130770,ATP5IF1,259,-0.2923,208,-0.6271,328,0.48949
ENSG00000180098,TRNAU1AP,0,-5.2666,17,0.38830,14,0.71377
ENSG00000197989,SNHG12,0,-5.4144,19,0.39635,16,0.70927
ENSG00000120656,TAF12,69,2.34114,27,0.65072,12,-1.9755
ENSG00000198492,YTHDF2,25,-1.4083,44,-0.5452,69,0.98523
ENSG00000116350,SRSF4,87,1.23744,36,-0.1861,37,-0.7408
ENSG00000116353,MECR,39,0.41377,29,-0.0637,29,-0.2115
ENSG00000060656,PTPRU,0,-6.2926,10,-1.5269,32,2.60914
ENSG00000162511,LAPTM5,187,2.56480,61,0.50522,28,-2.1140
ENSG00000162512,SDC3,145,-0.4752,129,-0.6543,209,0.60820
ENSG00000134644,PUM1,18,-2.9573,57,-1.3043,153,2.01755
ENSG00000121766,ZCCHC17,38,-1.6143,74,-0.6298,122,1.11890
ENSG00000121769,FABP3,47,-1.2045,25,-2.1251,118,1.69013
ENSG00000162517,PEF1,232,1.46625,53,-0.9132,87,-0.7122
ENSG00000084636,COL16A1,19,-1.0276,71,1.02447,36,-0.3106
ENSG00000121753,ADGRB2,41,-2.4043,51,-2.0987,237,2.35333
ENSG00000184007,PTP4A2,86,-1.1388,842,2.78974,125,-1.8895
