Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000188976,NOC2L,284,3.05383,37,-0.5802,2,-4.4337,26,-1.4053,25,-1.1980,36,-0.6338,109,1.13435,0,-6.5499,58,0.09916
ENSG00000188290,HES4,284,1.61065,80,-0.4712,64,-0.8189,47,-1.5616,0,-6.9299,6,-4.1273,85,-0.3823,54,-1.0536,541,2.95956
ENSG00000187608,ISG15,284,0.90230,90,-0.9040,67,-1.3536,39,-2.5010,51,-1.7383,19,-3.2083,56,-1.6030,226,0.52407,1001,3.52864
ENSG00000078808,SDF4,284,1.20674,273,1.14176,231,0.85490,46,-1.9784,140,0.04572,48,-1.5807,107,-0.3786,186,0.49868,182,0.46109
ENSG00000160087,UBE2J2,284,2.79489,1,-5.0595,2,-4.5875,37,-0.9708,73,0.28845,13,-2.2416,86,0.54921,94,0.69869,28,-1.1772
ENSG00000131584,ACAP3,284,1.62981,105,-0.0286,2,-5.3265,57,-1.2078,189,0.91676,96,-0.1732,195,0.97194,92,-0.2387,96,-0.1765
ENSG00000127054,INTS11,284,1.90830,2,-5.6518,359,2.38533,18,-2.8172,111,0.29120,25,-1.9404,58,-0.7156,111,0.28969,89,-0.0679
ENSG00000107404,DVL1,284,2.27586,33,-1.3003,34,-1.2231,48,-0.9269,94,0.31561,37,-1.1134,83,0.12340,107,0.52248,60,-0.3764
ENSG00000175756,AURKAIP1,284,1.51855,1,-5.9659,104,-0.1443,62,-1.1831,173,0.67149,77,-0.6063,105,-0.1269,303,1.63771,75,-0.6361
ENSG00000221978,CCNL2,284,2.50470,1,-5.2447,31,-1.2190,13,-2.8098,46,-0.6077,47,-0.6052,70,0.01994,249,2.23126,47,-0.5920
ENSG00000242485,MRPL20,284,1.32151,17,-2.9508,293,1.37842,69,-1.1740,104,-0.3127,90,-0.5322,137,0.11199,164,0.40029,163,0.39461
ENSG00000179403,VWA1,284,0.38564,161,-0.5046,143,-0.6855,66,-2.1911,1282,3.34040,334,0.64963,15,-3.9936,45,-2.4025,146,-0.6529
ENSG00000205090,TMEM240,284,2.72223,69,0.14540,23,-1.4900,33,-1.2096,0,-6.6043,19,-1.7837,145,1.39146,57,-0.1362,21,-1.6087
ENSG00000160075,SSU72,284,1.50782,88,-0.4116,8,-3.8362,61,-1.1958,92,-0.3466,92,-0.3510,202,0.91672,188,0.79609,178,0.70483
ENSG00000078369,GNB1,284,0.35718,192,-0.2552,147,-0.6661,156,-0.7477,263,0.23878,137,-0.7773,304,0.46885,452,1.13017,316,0.53407
ENSG00000067606,PRKCZ,284,2.22103,32,-1.3541,2,-4.9667,51,-0.8601,124,0.72463,66,-0.2744,160,1.14927,53,-0.6107,23,-1.8486
ENSG00000162585,FAAP20,284,1.64105,1,-5.8695,287,1.66525,64,-0.9821,125,0.25314,51,-1.1109,46,-1.2878,138,0.40505,90,-0.2664
ENSG00000157933,SKI,284,2.45425,1,-5.2783,112,0.74545,34,-1.3665,95,0.47461,32,-1.2189,72,0.03659,75,0.08239,40,-0.8624
ENSG00000157916,RER1,284,1.98910,90,0.02920,93,0.06916,34,-1.7807,133,0.64326,51,-0.8334,83,-0.1049,47,-0.9770,150,0.85073
ENSG00000157870,PRXL2B,284,2.88735,1,-5.0033,46,-0.3768,24,-1.6069,15,-1.9947,9,-2.6927,165,1.74601,24,-1.3568,59,0.02139
ENSG00000158109,TPRG1L,284,2.08619,1,-5.5346,223,1.62362,44,-1.2481,68,-0.3256,20,-2.1183,165,1.08848,58,-0.5887,20,-2.1801
ENSG00000069424,KCNAB2,284,1.95659,1,-5.6293,72,-0.3523,63,-0.7069,10,-3.2076,12,-2.9514,303,2.08422,123,0.48638,25,-1.8979
ENSG00000116254,CHD5,284,1.61136,105,-0.0499,2,-5.4214,94,-0.2936,9,-3.6188,6,-4.2089,461,2.58638,20,-2.4953,37,-1.6178
ENSG00000116251,RPL22,284,-1.6982,936,0.11885,2384,1.70606,441,-1.2933,1138,0.43128,2080,1.45551,284,-1.6976,528,-0.7675,1021,0.25695
ENSG00000097021,ACOT7,284,2.10500,1,-5.5210,134,0.75007,24,-2.1896,34,-1.3818,32,-1.4721,253,1.88102,150,0.94843,20,-2.1590
ENSG00000171735,CAMTA1,284,0.97651,1,-6.4106,252,0.77563,127,-0.4181,97,-0.7264,72,-1.1694,235,0.66210,161,0.05289,257,0.80845
ENSG00000049245,VAMP3,284,1.27549,85,-0.6575,429,2.04442,37,-2.2554,319,1.48624,197,0.65769,20,-2.8013,16,-3.0844,71,-0.9243
ENSG00000116288,PARK7,284,0.25256,40,-2.6782,447,1.00149,176,-0.6382,272,0.18494,183,-0.4360,154,-0.6912,599,1.51510,218,-0.1653
ENSG00000142599,RERE,284,1.85710,24,-2.0559,85,-0.1765,50,-1.2185,59,-0.7417,68,-0.5265,155,0.79057,135,0.55432,131,0.51491
ENSG00000074800,ENO1,284,-0.8467,1,-8.0697,990,1.14800,416,-0.3455,213,-1.2782,70,-2.9014,611,0.34683,1660,2.10581,404,-0.3071
ENSG00000171603,CLSTN1,284,0.02599,10,-4.9183,296,0.09592,140,-1.3135,155,-0.9051,91,-1.7029,723,1.59672,1003,2.23154,227,-0.3189
ENSG00000054523,KIF1B,284,0.24137,40,-2.6809,527,1.27315,162,-0.8104,460,1.03637,306,0.36523,276,0.19800,290,0.27746,91,-1.4909
ENSG00000120948,TARDBP,284,2.21640,43,-0.9278,162,1.16824,23,-2.2214,70,-0.2024,54,-0.5878,49,-0.7361,125,0.73319,74,-0.1113
ENSG00000116649,SRM,284,1.74745,3,-5.1056,243,1.46082,53,-1.2317,71,-0.5403,52,-1.0071,164,0.78632,94,-0.1037,87,-0.2247
ENSG00000116661,FBXO2,284,0.28267,2,-7.0015,161,-0.5953,233,-0.0433,53,-2.2451,39,-2.6874,291,0.32645,913,2.37269,174,-0.4820
ENSG00000132879,FBXO44,284,1.77878,123,0.34777,65,-0.6389,69,-0.7131,9,-3.4995,31,-1.7605,235,1.43057,117,0.26564,48,-1.1171
ENSG00000011021,CLCN6,284,3.18328,1,-4.8333,2,-4.3581,23,-1.5269,70,0.47256,16,-1.7806,146,1.73911,10,-2.3809,2,-4.3320
ENSG00000116688,MFN2,284,2.51936,8,-3.2080,76,0.15114,37,-1.1633,81,0.25776,108,0.73265,68,-0.0088,21,-1.7571,29,-1.3210
ENSG00000116731,PRDM2,284,2.90792,72,0.34996,2,-4.5189,23,-1.6846,61,0.07177,40,-0.5558,81,0.54332,41,-0.5467,21,-1.5062
ENSG00000116786,PLEKHM2,284,2.36098,85,0.22760,6,-3.6044,68,-0.1705,48,-0.6588,44,-0.7859,102,0.50608,40,-0.9189,5,-3.9924
ENSG00000065526,SPEN,284,3.00186,1,-4.9358,13,-2.1959,25,-1.5017,9,-2.6507,72,0.40908,58,0.07698,40,-0.5069,92,0.79864
ENSG00000055070,SZRD1,284,1.92567,1,-5.6524,308,2.09056,33,-1.8736,124,0.48351,62,-0.6116,43,-1.1411,34,-1.4820,113,0.32561
ENSG00000159363,ATP13A2,284,2.35936,33,-1.2015,35,-1.1193,50,-0.7679,74,0.00104,22,-1.8336,150,1.15325,79,0.10503,10,-3.0018
ENSG00000117118,SDHB,284,2.38905,19,-1.9815,135,1.00557,27,-1.8097,102,0.54225,16,-2.2299,73,-0.0045,93,0.39396,44,-0.7875
ENSG00000117115,PADI2,284,1.57793,42,-1.4689,14,-3.0157,46,-1.6300,477,2.62093,181,0.79868,21,-2.4943,26,-2.1503,97,-0.1985
ENSG00000077549,CAPZB,284,0.78221,142,-0.3212,304,0.89641,75,-1.5706,154,-0.1992,85,-1.1003,254,0.59871,459,1.62333,114,-0.6628
ENSG00000173436,MICOS10,284,0.20502,72,-1.8789,565,1.35759,159,-0.8854,254,0.03170,581,1.40737,198,-0.3608,146,-0.8239,254,0.02762
ENSG00000158747,NBL1,284,0.77253,313,0.93873,227,0.40833,100,-1.0953,4,-5.5234,51,-1.8707,314,0.94604,165,-0.0979,351,1.13395
ENSG00000162545,CAMK2N1,284,-0.5761,237,-0.8458,6,-6.0240,431,0.10354,882,1.25821,690,0.83565,700,0.86129,124,-1.8123,288,-0.5532
ENSG00000158828,PINK1,284,0.68765,33,-2.5604,300,0.78319,135,-0.6364,122,-0.6360,218,0.26291,209,0.19424,291,0.73242,221,0.27981
ENSG00000127483,HP1BP3,284,1.34681,58,-1.1790,63,-1.0586,60,-1.3858,186,0.62811,63,-1.0571,133,0.08948,338,1.66733,141,0.18841
ENSG00000075151,EIF4G3,284,1.92158,1,-5.6555,186,1.15300,28,-2.1316,106,0.22268,92,0.00874,122,0.44824,126,0.50497,74,-0.3372
ENSG00000076864,RAP1GAP,284,2.50059,46,-0.6134,2,-4.7756,48,-0.7181,33,-1.1197,9,-2.9204,256,2.28350,0,-6.9093,6,-3.4537
ENSG00000070831,CDC42,284,0.49039,156,-0.4498,471,1.34881,57,-2.3065,383,0.99122,196,-0.0994,239,0.21538,348,0.82829,197,-0.0874
ENSG00000125944,HNRNPR,284,1.89219,47,-1.0608,134,0.57275,51,-1.1548,121,0.41240,89,-0.0698,69,-0.4722,67,-0.5198,106,0.20224
ENSG00000117318,ID3,284,1.58221,1,-5.9156,315,1.78024,21,-2.8497,9,-3.6188,11,-3.3409,24,-2.2920,53,-1.1008,539,2.91397
ENSG00000142676,RPL11,284,-1.7781,1054,0.22224,1513,0.81113,515,-1.1153,1297,0.55616,2316,1.55296,230,-2.0894,1041,0.20211,1200,0.43040
ENSG00000057757,PITHD1,284,1.55231,68,-0.7678,287,1.57618,46,-1.6280,192,0.86925,64,-0.8675,109,-0.0376,114,0.03238,40,-1.5549
ENSG00000189266,PNRC2,284,1.83822,63,-0.6492,195,1.15643,30,-2.0852,77,-0.3449,63,-0.6446,40,-1.3285,152,0.73848,159,0.81170
ENSG00000001461,NIPAL3,284,2.33558,6,-3.5484,3,-4.7684,32,-1.5518,244,2.03055,201,1.66091,18,-2.1188,3,-4.5129,9,-3.1473
ENSG00000133226,SRRM1,284,2.23864,28,-1.5630,62,-0.3533,31,-1.6941,165,1.21674,108,0.51034,69,-0.1981,50,-0.6759,50,-0.6912
ENSG00000169504,CLIC4,284,1.18840,163,0.27372,176,0.38940,36,-2.3524,342,1.52186,134,-0.0448,7,-4.2860,128,-0.1085,270,1.10301
ENSG00000117614,SYF2,284,1.47768,83,-0.5201,201,0.87559,48,-1.6325,116,-0.0093,83,-0.5346,50,-1.2931,207,0.92575,185,0.73738
ENSG00000117616,RSRP1,284,1.80862,25,-2.0641,212,1.27570,17,-3.0212,166,0.85711,37,-1.4807,87,-0.1847,140,0.58007,155,0.74394
ENSG00000183726,TMEM50A,284,1.52758,91,-0.3497,167,0.61551,39,-1.9340,207,0.97641,71,-0.7226,94,-0.2849,103,-0.1465,189,0.82263
ENSG00000162430,SELENON,284,1.80011,1,-5.7469,302,1.92257,48,-1.3344,71,-0.4866,37,-1.4849,67,-0.5876,135,0.50646,85,-0.2226
ENSG00000117640,MTFR1L,284,2.64099,1,-5.1561,2,-4.6841,37,-1.0964,39,-0.7842,30,-1.1485,79,0.30029,161,1.50499,37,-0.8742
ENSG00000117632,STMN1,284,-0.3803,75,-2.3669,183,-1.0465,103,-2.2479,1576,2.64380,537,0.63264,565,0.71486,576,0.74866,138,-1.4681
ENSG00000142669,SH3BGRL3,284,0.12722,333,0.38495,654,1.53027,132,-1.3074,284,0.12988,179,-0.5841,148,-0.8764,372,0.56416,359,0.50418
ENSG00000198830,HMGN2,284,0.96511,103,-0.6502,117,-0.4561,72,-1.4487,230,0.61923,165,0.08514,56,-1.5676,454,1.80466,181,0.22891
