"cluster","carrier","E4E4","apoe_E2E2_E4E4","apoe_E3E4_E4E4","apoe_E2E3_E4E4","apoe_E2E2_E3E4","apoe_E2E2_E2E3","apoe_E2E3_E3E4","anyE2_E4E4","E2E2_anyE4","E2E3_anyE4","Sex","Anc"
"Astro",75,0,10,12,0,210,6,3,0,87,0,26,2
"Macro",15,2,0,13,0,18,0,104,0,0,11,2,0
"Micro",2,0,0,0,0,13,0,2,0,5,1,25,2
"OPC",0,0,0,0,0,5,0,13,0,0,0,34,2
"Oligo",178,0,0,1,0,886,0,1,0,44,0,28,8
"Vasc",0,0,0,0,0,0,1,8,0,0,0,15,0
"Excit",72,0,1,0,0,921,1,0,0,387,0,27,0
"Inhib",22,0,0,0,0,50,2,3,0,48,0,27,0
