"cluster","E2E2_E4E4","E3E4_E4E4","E2E3_E4E4","E2E2_E3E4","E2E2_E2E3","E2E3_E3E4","anyE2_E4E4","anyE2_anyE4","E2E2_anyE4","E2E3_anyE4","E4E4_other","Sex","Anc"
"Astro",368,127,1,1252,85,211,76,595,1078,0,0,23,2
"Macro",0,255,0,169,0,426,0,136,0,117,1,8,4
"Micro",2,66,3,268,2,48,0,62,82,1,0,12,23
"OPC",0,11,0,42,0,53,0,3,0,0,0,38,17
"Oligo",1,24,12,5307,0,3781,0,4157,2696,350,0,17,14
"Vasc",1,23,1,5,1,363,3,1,7,15,3,4,0
"Excit",386,0,0,3928,162,107,0,1966,2962,0,0,26,3
"Inhib",212,0,0,865,24,16,1,131,902,0,0,21,0
