Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,2,-3.5466,18,-0.3798,18,-0.4009,35,0.64733,30,0.56568,36,0.66151,17,-0.5361
ENSG00000188976,NOC2L,60,0.17610,15,-1.9204,24,-1.2324,48,-0.1579,72,0.69853,65,0.30352,47,-0.2243
ENSG00000188290,HES4,46,-0.7848,164,1.25750,66,-0.2142,60,-0.3628,73,-0.0987,75,-0.0256,71,-0.1390
ENSG00000187608,ISG15,62,-0.4462,144,0.91218,62,-0.4450,70,-0.2522,80,-0.0656,62,-0.4439,89,0.16402
ENSG00000188157,AGRN,17,-1.3875,33,-0.3655,31,-0.4512,46,0.13707,55,0.64158,44,0.05739,37,-0.2188
ENSG00000131591,C1orf159,5,-1.3667,7,-0.8706,22,0.79787,20,0.66084,13,-0.0058,17,0.39436,11,-0.2640
ENSG00000078808,SDF4,10,-3.0108,104,0.45506,56,-0.5164,108,0.51452,78,-0.0065,83,0.09776,88,0.23919
ENSG00000176022,B3GALT6,0,-5.5172,14,-1.4508,36,-0.0104,53,0.61431,43,0.37905,30,-0.2935,43,0.34746
ENSG00000160087,UBE2J2,29,-0.7943,27,-0.8641,35,-0.4911,68,0.55086,51,0.13989,56,0.24101,52,0.16546
ENSG00000162572,SCNN1D,5,-1.3571,23,0.80551,8,-0.7076,6,-1.2286,15,0.22420,16,0.23075,15,0.17512
ENSG00000131584,ACAP3,186,0.76665,61,-0.9816,95,-0.3074,143,0.33605,108,-0.1381,92,-0.3500,126,0.16232
ENSG00000169972,PUSL1,0,-4.0553,14,0.11849,13,0.05064,7,-0.8626,12,-0.1256,14,0.08873,19,0.80877
ENSG00000127054,INTS11,61,-0.0378,68,0.15466,47,-0.4181,64,0.04429,59,-0.0995,70,0.20062,66,0.11005
ENSG00000224051,CPTP,19,-0.9498,27,-0.4427,29,-0.3403,34,-0.0695,40,0.25230,42,0.26419,39,0.17881
ENSG00000107404,DVL1,21,-1.6458,73,0.20581,112,0.88870,62,-0.0647,64,-0.0043,74,0.20918,58,-0.1987
ENSG00000175756,AURKAIP1,143,-0.3115,234,0.46171,200,0.21552,153,-0.2055,161,-0.1703,190,0.12914,178,0.02961
ENSG00000221978,CCNL2,56,-0.0609,67,0.21767,33,-0.8787,57,-0.0132,68,0.36371,60,0.05151,50,-0.2672
ENSG00000242485,MRPL20,244,0.46530,188,0.04641,181,-0.0127,149,-0.3169,175,-0.0896,205,0.18541,174,-0.0888
ENSG00000235098,ANKRD65,0,-4.6615,31,0.61886,21,-0.0423,13,-0.7034,22,0.03678,17,-0.3236,29,0.58394
ENSG00000179403,VWA1,0,-5.2382,102,2.12230,24,-0.3151,8,-1.9399,34,0.27624,36,0.29896,17,-0.9743
ENSG00000160072,ATAD3B,28,0.89850,7,-1.0911,13,-0.2598,13,-0.3251,13,-0.3142,20,0.39302,18,0.24024
ENSG00000197785,ATAD3A,16,-0.2288,19,0.01681,12,-0.7131,22,0.25340,22,0.35963,19,-0.0473,17,-0.2259
ENSG00000205090,TMEM240,124,1.48133,11,-2.2140,39,-0.3990,43,-0.2549,43,-0.3297,44,-0.2371,58,0.27104
ENSG00000160075,SSU72,44,-1.8487,117,-0.3759,158,0.09499,195,0.42976,145,-0.0549,148,-5.0153,181,0.39037
ENSG00000228594,FNDC10,95,1.13588,21,-1.2134,33,-0.5625,48,0.00489,53,0.25966,69,0.58842,30,-0.8129
ENSG00000272106,AL691432.2,0,-4.6790,14,-0.6176,20,-0.0388,14,-0.5889,18,-0.3500,22,0.09363,36,1.19043
ENSG00000197530,MIB2,123,1.47133,72,0.56694,40,-0.3634,49,-0.0347,46,-0.1921,32,-0.7075,35,-0.6488
ENSG00000215790,SLC35E2A,15,-1.7181,32,-0.6328,45,-0.1092,59,0.32792,47,-0.0620,57,0.24809,61,0.47287
ENSG00000008130,NADK,0,-5.3654,27,-0.2783,40,0.33942,36,0.17385,40,0.47749,28,-0.2294,32,-0.0038
ENSG00000078369,GNB1,422,-0.1429,247,-0.9631,431,-0.1115,506,0.14132,487,0.11271,533,0.22363,488,0.10396
ENSG00000187730,GABRD,46,-1.8535,23,-2.8286,110,-0.5481,273,0.90283,129,-0.4035,165,0.08419,249,0.98078
ENSG00000067606,PRKCZ,99,-1.2611,57,-2.0759,173,-0.4137,269,0.27804,273,0.43477,244,0.12025,258,0.26480
ENSG00000162585,FAAP20,33,-0.7911,108,1.08560,61,0.14184,27,-1.0894,52,-0.1222,98,0.91180,43,-0.4568
ENSG00000157933,SKI,7,-2.3550,42,0.25684,31,-0.2057,33,-0.1535,48,0.68315,29,-0.3120,32,-0.2209
ENSG00000157916,RER1,92,0.28616,70,-0.1280,63,-0.2989,84,0.14534,61,-0.4626,84,0.14010,94,0.40322
ENSG00000157911,PEX10,56,0.63950,44,0.23089,48,0.38736,30,-0.3700,34,-0.1918,42,0.15155,32,-0.3145
ENSG00000149527,PLCH2,2,-4.0145,8,-2.1726,25,-0.4619,51,0.65546,48,0.83458,51,0.66024,26,-0.5024
ENSG00000157881,PANK4,1,-4.1917,8,-1.1694,13,-0.4411,12,-0.5985,16,-0.2286,38,1.20809,26,0.78074
ENSG00000197921,HES5,10,-1.2657,39,0.79683,50,1.20248,10,-1.2631,32,0.69905,21,-0.1975,9,-1.6473
ENSG00000157873,TNFRSF14,0,-4.2466,21,0.52279,12,-0.2526,17,0.18110,12,-0.3455,5,-1.4358,24,1.00289
ENSG00000157870,PRXL2B,97,0.24495,32,-1.4350,86,0.05917,103,0.35164,103,0.51085,63,-0.4309,66,-0.4101
ENSG00000177133,PRDM16-DT,41,0.68404,17,-0.7287,57,1.21438,4,-2.6027,30,0.21410,18,-0.6177,22,-0.3387
ENSG00000158109,TPRG1L,79,-1.3443,47,-2.1302,163,-0.2608,230,0.28524,234,0.44275,188,-0.0352,222,0.28431
ENSG00000116213,WRAP73,28,0.97141,18,0.23417,12,-0.4046,14,-0.1813,14,-0.2358,20,0.38579,13,-0.3315
ENSG00000130764,LRRC47,6,-3.7679,41,-1.0791,71,-0.2535,102,0.31447,97,0.34416,128,0.68643,88,0.10430
ENSG00000116198,CEP104,2,-2.7036,22,0.68786,9,-0.6488,17,0.20063,20,0.68639,3,-2.1656,14,-0.0514
ENSG00000196581,AJAP1,42,-0.1152,7,-2.7228,37,-0.2794,77,0.87297,39,-0.2993,42,-0.0930,59,0.55750
ENSG00000069424,KCNAB2,83,-1.6327,111,-1.2015,299,0.33108,202,-0.2889,267,0.20797,191,-0.3746,321,0.56320
ENSG00000116254,CHD5,76,-0.9334,34,-2.1291,131,-0.0926,153,0.15260,189,0.72625,137,-0.0191,127,-0.1677
ENSG00000116251,RPL22,966,0.76382,1240,1.18842,675,0.18167,306,-1.0351,459,-0.5509,627,0.06545,523,-0.2630
ENSG00000116237,ICMT,23,-0.9257,22,-1.0308,36,-0.2991,73,0.83917,41,-0.1152,49,0.19809,51,0.31266
ENSG00000158292,GPR153,0,-4.3903,11,-0.5873,25,0.68581,17,0.06122,15,-0.1131,14,-0.2715,22,0.61672
ENSG00000097021,ACOT7,129,-1.2089,66,-2.1895,184,-0.6727,491,0.88618,336,0.37760,251,-0.1932,315,0.20351
ENSG00000215788,TNFRSF25,15,-0.6937,20,-0.2225,24,0.02793,31,0.45843,19,-0.3591,22,-0.0763,30,0.48942
ENSG00000171680,PLEKHG5,16,-0.9978,8,-2.0648,28,-0.2001,33,0.07884,27,-0.3379,32,0.01097,52,1.04132
ENSG00000162408,NOL9,0,-5.4204,16,-1.1385,31,-0.1095,28,-0.2913,51,1.00266,43,0.40114,27,-0.3817
ENSG00000162413,KLHL21,3,-3.4482,46,0.60259,28,-0.1817,40,0.37486,37,0.37613,30,-0.0906,28,-0.2528
ENSG00000116273,PHF13,19,-0.0605,13,-0.6616,12,-0.7482,34,0.88413,24,0.43725,19,-0.0395,15,-0.5496
ENSG00000041988,THAP3,0,-4.7897,27,0.33899,21,-0.0222,27,0.33534,17,-0.4568,40,0.99087,25,0.28265
ENSG00000007923,DNAJC11,22,-0.5384,17,-0.8928,32,0.02645,48,0.69546,34,0.15320,14,-1.1564,36,0.25676
ENSG00000171735,CAMTA1,155,-0.2584,204,0.16772,159,-0.2262,149,-0.3215,215,0.36126,282,0.68853,130,-0.6231
ENSG00000049245,VAMP3,0,-5.1554,106,2.23745,32,0.15179,7,-2.0557,29,0.02717,26,-0.1497,20,-0.6924
ENSG00000049246,PER3,69,1.06883,52,0.57750,37,0.02760,26,-0.4828,33,-0.1473,46,0.40690,22,-0.8518
ENSG00000116288,PARK7,425,0.13005,374,-0.0719,426,0.13372,345,-0.1953,340,-0.2957,389,-0.0093,459,0.31690
ENSG00000116285,ERRFI1,0,-4.7653,17,-0.3652,10,-1.1334,33,0.71737,29,0.73508,21,0.01378,19,-0.2189
ENSG00000162426,SLC45A1,3,-3.5239,10,-1.8159,37,0.08484,78,1.29760,37,0.13976,32,-0.1654,37,0.12223
ENSG00000142599,RERE,46,-1.2538,101,-0.0608,104,-0.0145,132,0.37117,110,0.09857,90,-0.2397,115,0.18758
ENSG00000074800,ENO1,462,-0.5540,749,0.19992,621,-0.0974,716,0.12812,552,-0.3712,642,-0.0454,842,0.48895
ENSG00000171612,SLC25A33,1,-4.9057,75,1.29114,61,0.93071,20,-0.7691,39,0.28436,21,-0.7548,25,-0.5346
ENSG00000188807,TMEM201,7,-1.1720,11,-0.4755,14,-0.0873,14,-0.1083,21,0.71718,29,1.01420,8,-1.0705
ENSG00000171603,CLSTN1,588,-0.2787,305,-1.2784,430,-0.7607,1166,0.81824,777,0.22227,566,-0.3385,759,0.14723
ENSG00000178585,CTNNBIP1,43,0.16820,31,-0.3391,48,0.37136,24,-0.7220,42,0.20153,64,0.83467,27,-0.6199
ENSG00000162441,LZIC,25,-0.4762,63,1.01910,36,0.11463,25,-0.4274,33,-0.0663,29,-0.2430,32,-0.1128
ENSG00000130939,UBE4B,5,-2.7768,24,-0.5886,22,-0.7113,50,0.52864,44,0.48531,53,0.63482,32,-0.1917
ENSG00000054523,KIF1B,159,-0.7525,143,-0.9155,268,0.04999,282,0.13013,325,0.51675,233,-0.1685,244,-0.1222
ENSG00000142657,PGD,26,-0.9237,38,-0.3272,33,-0.5715,61,0.39915,64,0.70703,47,-0.0184,36,-0.5046
ENSG00000241563,CORT,8,-3.2929,34,-1.2699,38,-1.0958,22,-1.9271,151,1.83365,136,0.88863,33,-1.4957
ENSG00000160049,DFFA,66,1.35601,37,0.41956,31,0.09812,16,-0.8949,24,-0.3971,19,-0.6561,27,-0.0955
ENSG00000142655,PEX14,0,-4.7314,16,-0.4317,24,0.19932,26,0.37170,20,-0.1172,25,0.28612,27,0.48676
ENSG00000120948,TARDBP,52,-0.4886,65,-0.1432,59,-0.2903,100,0.53914,68,-0.0974,71,-0.0025,78,0.19020
ENSG00000116649,SRM,88,-0.4130,80,-0.5606,129,0.18808,124,0.12190,108,-0.1261,133,0.23495,130,0.24601
ENSG00000171824,EXOSC10,44,0.70112,28,0.02426,20,-0.5161,33,0.24741,25,-0.2200,40,0.57038,23,-0.3251
ENSG00000198793,MTOR,0,-5.6260,25,-0.7046,34,-0.2338,59,0.65708,40,0.06278,58,0.61912,44,0.24089
ENSG00000204624,DISP3,5,-1.4163,26,0.96638,13,-0.1110,16,0.20395,6,-1.4057,8,-0.9034,25,1.22944
ENSG00000116661,FBXO2,141,-1.2794,1211,2.30019,399,0.32288,220,-0.6078,240,-0.6215,220,-0.6080,254,-0.4636
ENSG00000132879,FBXO44,128,-0.4002,56,-1.6316,119,-0.5081,224,0.48151,191,0.32508,212,0.39702,160,-0.0598
ENSG00000116670,MAD2L2,0,-5.3169,46,0.62763,29,-0.1090,35,0.16387,28,-0.2553,28,-0.1940,42,0.59935
ENSG00000177674,AGTRAP,16,0.11040,66,2.70008,11,-0.3894,1,-3.2530,12,-0.3922,10,-0.6217,7,-1.1164
ENSG00000177000,MTHFR,11,-0.7457,24,0.42140,9,-0.9899,22,0.26665,21,0.30402,17,-0.1547,18,-0.0739
ENSG00000011021,CLCN6,21,-1.7113,24,-1.5184,47,-0.5375,108,0.76809,100,0.99943,72,0.11562,42,-0.8109
ENSG00000116685,KIAA2013,51,0.25746,41,-0.1049,30,-0.5932,45,0.06077,43,-0.0143,50,0.21750,44,0.02968
ENSG00000083444,PLOD1,0,-4.6508,35,0.92914,18,-0.1059,19,-0.0599,22,0.29117,23,0.25846,17,-0.2999
ENSG00000116688,MFN2,23,-1.8820,52,-0.6741,69,-0.2562,107,0.43337,105,0.59333,87,0.11381,72,-0.2208
ENSG00000116691,MIIP,0,-4.6532,30,0.64562,16,-0.2711,12,-0.7296,24,0.45682,30,0.68134,17,-0.2778
ENSG00000048707,VPS13D,146,1.66733,41,-0.4411,39,-0.4965,52,-0.0453,54,-0.0134,39,-0.5052,39,-0.6004
ENSG00000162496,DHRS3,1,-4.4097,101,2.44662,23,-0.1591,12,-1.1268,23,-0.2153,32,0.38363,14,-1.0092
ENSG00000116731,PRDM2,117,0.82635,27,-1.4507,40,-0.8704,70,0.00367,72,0.05277,40,-0.8546,87,0.42195
