Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,16,-0.6611,17,-0.5428,28,0.25442,34,0.59164,18,-0.4335,16,-0.5671,36,0.76680,25,0.09130,19,-0.3616
ENSG00000188976,NOC2L,37,-0.8500,45,-0.4879,78,0.38893,113,1.01037,68,0.17097,67,0.13391,61,-0.0008,67,0.14118,40,-0.6706
ENSG00000188290,HES4,68,0.24555,65,0.13666,73,0.32670,33,-0.9086,47,-0.3489,75,0.37592,68,0.25077,40,-0.6015,47,-0.3701
ENSG00000187608,ISG15,63,0.12693,49,-0.2606,52,-0.1777,44,-0.4353,63,0.13496,66,0.18874,57,-0.0237,82,0.55250,44,-0.4309
ENSG00000188157,AGRN,32,-0.2815,44,0.25679,41,0.12707,40,0.10182,23,-0.7856,31,-0.2924,35,-0.1073,56,0.62220,45,0.28523
ENSG00000078808,SDF4,81,0.03586,48,-0.7772,82,0.05818,74,-0.1076,121,0.69227,84,0.09688,62,-0.4108,57,-0.5126,118,0.65038
ENSG00000176022,B3GALT6,26,-0.2431,18,-0.7652,29,-0.0731,38,0.36635,37,0.31610,31,0.01346,37,0.33966,39,0.39768,15,-1.0175
ENSG00000160087,UBE2J2,31,-0.4768,49,0.28066,60,0.63081,30,-0.4866,52,0.40120,37,-0.1642,43,0.08038,41,0.02475,32,-0.3634
ENSG00000131584,ACAP3,118,-0.1543,124,-0.0619,122,-0.0865,159,0.33104,214,0.82887,76,-0.8129,129,-0.0043,94,-0.4870,136,0.08106
ENSG00000127054,INTS11,54,-0.4745,44,-0.7432,78,0.14742,115,0.77882,99,0.53924,65,-0.1503,79,0.18224,65,-0.1326,51,-0.5223
ENSG00000224051,CPTP,21,-0.5256,19,-0.6348,21,-0.4541,29,0.02062,44,0.71168,37,0.41152,41,0.67413,18,-0.6764,21,-0.4806
ENSG00000107404,DVL1,77,0.10480,67,-0.1211,115,0.75021,59,-0.3186,93,0.40890,41,-0.8736,57,-0.4042,102,0.54612,51,-0.5349
ENSG00000175756,AURKAIP1,109,-0.0284,98,-0.1881,164,0.64147,73,-0.6341,113,0.03399,106,-0.0590,78,-0.5905,144,0.41947,143,0.41873
ENSG00000221978,CCNL2,43,-0.4213,35,-0.7197,56,0.02982,48,-0.2312,66,0.27974,100,0.96804,67,0.35550,42,-0.4232,40,-0.4857
ENSG00000242485,MRPL20,152,-0.2178,158,-0.1306,141,-0.3071,205,0.28268,176,0.03642,162,-0.0941,187,0.14751,181,0.07976,191,0.16585
ENSG00000179403,VWA1,33,1.04739,19,-0.0140,40,1.21389,2,-3.3658,26,0.49638,18,-0.0489,9,-1.1617,13,-0.5197,6,-1.6962
ENSG00000197785,ATAD3A,18,0.03186,13,-0.4935,12,-0.5118,21,0.28888,17,-0.0516,27,0.71268,14,-0.4045,22,0.39988,16,-0.1056
ENSG00000205090,TMEM240,30,-0.4816,41,0.07010,52,0.43709,23,-0.7929,37,-0.0925,32,-0.3380,39,0.00765,73,1.02068,36,-0.1333
ENSG00000160075,SSU72,152,-0.3294,177,-0.0617,197,0.10793,178,-0.0533,234,0.37914,187,0.01966,211,0.23800,193,0.07606,136,-0.4786
ENSG00000228594,FNDC10,42,-0.2705,44,-0.1859,39,-0.3599,96,1.11054,49,0.00376,27,-0.9348,41,-0.3134,56,0.20937,64,0.41434
ENSG00000272106,AL691432.2,18,-0.7030,28,0.01052,36,0.39448,53,1.02132,48,0.87001,29,0.06167,18,-0.7592,20,-0.5397,23,-0.3228
ENSG00000197530,MIB2,43,-0.2773,55,0.13808,52,0.04007,49,-0.0550,37,-0.4968,28,-0.9090,69,0.55437,59,0.23774,54,0.09704
ENSG00000189339,SLC35E2B,20,0.07109,23,0.30755,33,0.85115,5,-1.9330,13,-0.6184,25,0.43137,15,-0.4035,26,0.47056,16,-0.2666
ENSG00000215790,SLC35E2A,22,-0.4255,42,0.64271,25,-0.1551,29,0.04069,39,0.51845,35,0.35668,26,-0.1078,21,-0.4723,21,-0.4027
ENSG00000008130,NADK,21,-0.2822,20,-0.3158,27,0.10527,33,0.42746,49,1.08230,20,-0.3309,26,0.08417,12,-1.0663,19,-0.3912
ENSG00000078369,GNB1,436,-0.2365,434,-0.2221,474,-0.0840,556,0.16978,451,-0.1628,567,0.20169,636,0.43721,490,-0.0306,382,-0.4224
ENSG00000187730,GABRD,110,-0.8124,156,-0.2056,151,-0.2535,184,0.05667,335,1.04353,170,-0.0673,117,-0.7125,231,0.41976,276,0.71328
ENSG00000067606,PRKCZ,185,-0.3504,242,0.10474,209,-0.1326,266,0.25560,175,-0.4046,274,0.29927,274,0.34153,233,0.04480,178,-0.3831
ENSG00000162585,FAAP20,55,0.66796,38,-0.0011,71,1.00902,35,-0.1469,19,-1.0515,41,0.09204,30,-0.4237,20,-0.9597,27,-0.5369
ENSG00000157933,SKI,36,0.08665,16,-1.1126,25,-0.4978,45,0.43909,53,0.71895,19,-0.8727,34,-0.0116,44,0.43273,32,-0.0753
ENSG00000157916,RER1,50,-0.3967,35,-0.9084,54,-0.2453,78,0.35518,79,0.36648,63,0.00303,59,-0.0925,66,0.08354,97,0.70589
ENSG00000157911,PEX10,31,0.39556,34,0.53351,44,0.96524,10,-1.3275,39,0.73951,22,-0.1885,17,-0.5600,8,-1.6727,16,-0.6336
ENSG00000149527,PLCH2,29,-0.1228,27,-0.2108,15,-1.1512,11,-1.5471,32,0.02447,26,-0.2803,37,0.27828,58,1.00864,44,0.53581
