Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
ENSG00000228794,LINC01128,17,-0.0785,15,-0.2506,22,0.33360,26,0.70709,14,-0.5125
ENSG00000188976,NOC2L,13,-1.5164,22,-0.7617,61,0.93214,47,0.58562,33,-0.0824
ENSG00000188290,HES4,246,1.91310,64,-0.4470,67,-0.3277,71,-0.2743,62,-0.6553
ENSG00000187608,ISG15,188,1.08828,72,-0.5417,67,-0.5917,83,-0.3046,105,0.15087
ENSG00000188157,AGRN,17,0.11859,11,-0.6673,15,-0.1102,20,0.42266,17,0.07192
ENSG00000078808,SDF4,78,0.39944,46,-0.4958,71,0.23731,68,0.18500,59,-0.0939
ENSG00000176022,B3GALT6,51,0.63540,20,-0.9177,35,0.03705,41,0.31817,34,-0.0242
ENSG00000160087,UBE2J2,30,-0.3929,24,-0.8384,46,0.29247,46,0.31683,43,0.24922
ENSG00000131584,ACAP3,64,0.18342,43,-0.4855,63,0.16096,79,0.60632,50,-0.3063
ENSG00000127054,INTS11,36,-0.3448,20,-1.3244,40,-0.1872,58,0.49027,54,0.46931
ENSG00000224051,CPTP,34,0.21498,17,-0.9026,30,-0.0038,45,0.77625,27,-0.1936
ENSG00000107404,DVL1,48,-0.0679,51,0.01341,36,-0.5147,46,-0.1556,57,0.27922
ENSG00000175756,AURKAIP1,139,-0.4124,172,-0.0874,123,-0.6039,177,-0.0313,211,0.39885
ENSG00000221978,CCNL2,57,0.55176,23,-0.9543,44,0.12185,54,0.54014,38,-0.1755
ENSG00000242485,MRPL20,171,-0.2874,212,0.06410,189,-0.1241,212,0.06246,210,0.05879
ENSG00000235098,ANKRD65,19,-0.1963,18,-0.3416,19,-0.1705,17,-0.4162,27,0.58023
ENSG00000179403,VWA1,52,1.27453,34,0.60893,37,0.67642,15,-0.8187,14,-1.1004
ENSG00000197785,ATAD3A,8,-0.8521,5,-1.4732,10,-0.5656,26,1.20005,15,0.14742
ENSG00000205090,TMEM240,31,-0.3081,28,-0.4958,51,0.52186,41,0.19077,38,0.04479
ENSG00000160075,SSU72,155,-0.0370,137,-0.2615,123,-0.3937,179,0.22811,168,0.15028
ENSG00000228594,FNDC10,23,-0.2758,20,-0.4903,60,1.32456,30,0.15933,22,-0.4438
ENSG00000272106,AL691432.2,19,-0.3857,19,-0.5064,20,-0.3436,35,0.64847,26,0.05936
ENSG00000197530,MIB2,11,-1.3362,18,-0.6294,28,0.10810,35,0.55666,29,0.25413
ENSG00000248333,CDK11B,24,0.88984,9,-0.6976,17,0.34689,15,0.11222,12,-0.2504
ENSG00000189339,SLC35E2B,21,0.33002,12,-0.5125,28,0.83375,13,-0.3816,17,0.01225
ENSG00000008128,CDK11A,14,0.50887,8,-0.4509,23,1.41125,10,-0.0117,7,-0.7628
ENSG00000215790,SLC35E2A,18,-0.1729,19,-0.1063,28,0.49889,19,-0.1752,21,0.02902
ENSG00000008130,NADK,28,0.24894,16,-0.7057,24,0.03432,25,0.09637,26,0.22173
ENSG00000078369,GNB1,326,-0.3790,311,-0.4987,391,-0.0899,405,-0.0377,498,0.47281
ENSG00000187730,GABRD,51,-1.4011,76,-0.8806,83,-0.6630,213,1.00737,140,0.23725
ENSG00000067606,PRKCZ,156,-0.3009,137,-0.5550,253,0.47754,214,0.23359,194,0.06412
ENSG00000162585,FAAP20,52,0.37202,41,-0.0332,48,0.24921,20,-1.2169,48,0.37789
ENSG00000157933,SKI,32,-0.0096,32,-0.0050,32,-0.0032,32,-0.0039,32,0.01088
