ensembl,gene,dataset,layer,top,marker_anno,SpD,layer_combo
ENSG00000104419,NDRG1,HumanPilot,WM,1,WM,NA,NA
ENSG00000184007,PTP4A2,HumanPilot,WM,2,WM,NA,NA
ENSG00000240583,AQP1,HumanPilot,WM,3,WM,NA,NA
ENSG00000160781,PAQR6,HumanPilot,WM,4,WM,NA,NA
ENSG00000136938,ANP32B,HumanPilot,WM,5,WM,NA,NA
ENSG00000166086,JAM3,HumanPilot,WM,6,WM,NA,NA
ENSG00000019144,PHLDB1,HumanPilot,WM,7,WM,NA,NA
ENSG00000109099,PMP22,HumanPilot,WM,8,WM,NA,NA
ENSG00000129422,MTUS1,HumanPilot,WM,9,WM,NA,NA
ENSG00000126822,PLEKHG3,HumanPilot,WM,10,WM,NA,NA
ENSG00000172005,MAL,HumanPilot,WM,11,WM,NA,NA
ENSG00000005893,LAMP2,HumanPilot,WM,12,WM,NA,NA
ENSG00000130175,PRKCSH,HumanPilot,WM,13,WM,NA,NA
ENSG00000065600,TMEM206,HumanPilot,WM,14,WM,NA,NA
ENSG00000143418,CERS2,HumanPilot,WM,15,WM,NA,NA
ENSG00000117691,NENF,HumanPilot,WM,16,WM,NA,NA
ENSG00000139737,SLAIN1,HumanPilot,WM,17,WM,NA,NA
ENSG00000129538,RNASE1,HumanPilot,WM,18,WM,NA,NA
ENSG00000165566,AMER2,HumanPilot,WM,19,WM,NA,NA
ENSG00000070214,SLC44A1,HumanPilot,WM,20,WM,NA,NA
ENSG00000176485,PLA2G16,HumanPilot,WM,21,WM,NA,NA
ENSG00000060237,WNK1,HumanPilot,WM,22,WM,NA,NA
ENSG00000187514,PTMA,HumanPilot,WM,23,WM,NA,NA
ENSG00000163517,HDAC11,HumanPilot,WM,24,WM,NA,NA
ENSG00000102934,PLLP,HumanPilot,WM,25,WM,NA,NA
ENSG00000115468,EFHD1,HumanPilot,WM,26,WM,NA,NA
ENSG00000068903,SIRT2,HumanPilot,WM,27,WM,NA,NA
ENSG00000173786,CNP,HumanPilot,WM,28,WM,NA,NA
ENSG00000165476,REEP3,HumanPilot,WM,29,WM,NA,NA
ENSG00000124920,MYRF,HumanPilot,WM,30,WM,NA,NA
ENSG00000109846,CRYAB,HumanPilot,WM,31,WM,NA,NA
ENSG00000071054,MAP4K4,HumanPilot,WM,32,WM,NA,NA
ENSG00000124126,PREX1,HumanPilot,WM,33,WM,NA,NA
ENSG00000064787,BCAS1,HumanPilot,WM,34,WM,NA,NA
ENSG00000005513,SOX8,HumanPilot,WM,35,WM,NA,NA
ENSG00000168314,MOBP,HumanPilot,WM,36,WM,NA,NA
ENSG00000169504,CLIC4,HumanPilot,WM,37,WM,NA,NA
ENSG00000250722,SELENOP,HumanPilot,WM,38,WM,NA,NA
ENSG00000064393,HIPK2,HumanPilot,WM,39,WM,NA,NA
ENSG00000107331,ABCA2,HumanPilot,WM,40,WM,NA,NA
ENSG00000167641,PPP1R14A,HumanPilot,WM,41,WM,NA,NA
ENSG00000065809,FAM107B,HumanPilot,WM,42,WM,NA,NA
ENSG00000184144,CNTN2,HumanPilot,WM,43,WM,NA,NA
ENSG00000179403,VWA1,HumanPilot,WM,44,WM,NA,NA
ENSG00000130150,MOSPD2,HumanPilot,WM,45,WM,NA,NA
ENSG00000100842,EFS,HumanPilot,WM,46,WM,NA,NA
ENSG00000066468,FGFR2,HumanPilot,WM,47,WM,NA,NA
ENSG00000126803,HSPA2,HumanPilot,WM,48,WM,NA,NA
ENSG00000080822,CLDND1,HumanPilot,WM,49,WM,NA,NA
ENSG00000180739,S1PR5,HumanPilot,WM,50,WM,NA,NA
ENSG00000207955,AL359091.1,HumanPilot,WM,51,WM,NA,NA
ENSG00000166091,CMTM5,HumanPilot,WM,52,WM,NA,NA
ENSG00000072310,SREBF1,HumanPilot,WM,53,WM,NA,NA
ENSG00000113578,FGF1,HumanPilot,WM,54,WM,NA,NA
ENSG00000108387,SEPT4,HumanPilot,WM,55,WM,NA,NA
ENSG00000107816,LZTS2,HumanPilot,WM,56,WM,NA,NA
ENSG00000012171,SEMA3B,HumanPilot,WM,57,WM,NA,NA
ENSG00000189058,APOD,HumanPilot,WM,58,WM,NA,NA
ENSG00000013297,CLDN11,HumanPilot,WM,59,WM,NA,NA
ENSG00000189067,LITAF,HumanPilot,WM,60,WM,NA,NA
ENSG00000107902,LHPP,HumanPilot,WM,61,WM,NA,NA
ENSG00000196187,TMEM63A,HumanPilot,WM,62,WM,NA,NA
ENSG00000066322,ELOVL1,HumanPilot,WM,63,WM,NA,NA
ENSG00000064651,SLC12A2,HumanPilot,WM,64,WM,NA,NA
ENSG00000176720,BOK,HumanPilot,WM,65,WM,NA,NA
ENSG00000211584,SLC48A1,HumanPilot,WM,66,WM,NA,NA
ENSG00000172508,CARNS1,HumanPilot,WM,67,WM,NA,NA
ENSG00000205927,OLIG2,HumanPilot,WM,68,WM,NA,NA
ENSG00000044115,CTNNA1,HumanPilot,WM,69,WM,NA,NA
ENSG00000067560,RHOA,HumanPilot,WM,70,WM,NA,NA
ENSG00000113269,RNF130,HumanPilot,WM,71,WM,NA,NA
ENSG00000197971,MBP,HumanPilot,WM,72,WM,NA,NA
ENSG00000138760,SCARB2,HumanPilot,WM,73,WM,NA,NA
ENSG00000184221,OLIG1,HumanPilot,WM,74,WM,NA,NA
ENSG00000105695,MAG,HumanPilot,WM,75,WM,NA,NA
ENSG00000164176,EDIL3,HumanPilot,WM,76,WM,NA,NA
ENSG00000112531,QKI,HumanPilot,WM,77,WM,NA,NA
ENSG00000100364,KIAA0930,HumanPilot,WM,78,WM,NA,NA
ENSG00000108381,ASPA,HumanPilot,WM,79,WM,NA,NA
ENSG00000141458,NPC1,HumanPilot,WM,80,WM,NA,NA
ENSG00000175130,MARCKSL1,HumanPilot,WM,81,WM,NA,NA
ENSG00000100146,SOX10,HumanPilot,WM,82,WM,NA,NA
ENSG00000176381,PRR18,HumanPilot,WM,83,WM,NA,NA
ENSG00000006831,ADIPOR2,HumanPilot,WM,84,WM,NA,NA
ENSG00000077380,DYNC1I2,HumanPilot,WM,85,WM,NA,NA
ENSG00000049245,VAMP3,HumanPilot,WM,86,WM,NA,NA
ENSG00000198835,GJC2,HumanPilot,WM,87,WM,NA,NA
ENSG00000179178,TMEM125,HumanPilot,WM,88,WM,NA,NA
ENSG00000165424,ZCCHC24,HumanPilot,WM,89,WM,NA,NA
ENSG00000101265,RASSF2,HumanPilot,WM,90,WM,NA,NA
ENSG00000168297,PXK,HumanPilot,WM,91,WM,NA,NA
ENSG00000065361,ERBB3,HumanPilot,WM,92,WM,NA,NA
ENSG00000167996,FTH1,HumanPilot,WM,93,WM,NA,NA
ENSG00000123560,PLP1,HumanPilot,WM,94,WM,NA,NA
ENSG00000198597,ZNF536,HumanPilot,WM,95,WM,NA,NA
ENSG00000148123,PLPPR1,HumanPilot,WM,96,WM,NA,NA
ENSG00000100242,SUN2,HumanPilot,WM,97,WM,NA,NA
ENSG00000204655,MOG,HumanPilot,WM,98,WM,NA,NA
ENSG00000165410,CFL2,HumanPilot,WM,99,WM,NA,NA
ENSG00000112851,ERBIN,HumanPilot,WM,100,WM,NA,NA
ENSG00000125144,MT1G,HumanPilot,Layer1,1,Layer1,NA,NA
ENSG00000026025,VIM,HumanPilot,Layer1,2,Layer1,NA,NA
ENSG00000164434,FABP7,HumanPilot,Layer1,3,Layer1,NA,NA
ENSG00000259527,LINC00052,HumanPilot,Layer1,4,Layer1,NA,NA
ENSG00000198417,MT1F,HumanPilot,Layer1,5,Layer1,NA,NA
ENSG00000101335,MYL9,HumanPilot,Layer1,6,Layer1,NA,NA
ENSG00000117525,F3,HumanPilot,Layer1,7,Layer1,NA,NA
ENSG00000179604,CDC42EP4,HumanPilot,Layer1,8,Layer1,NA,NA
ENSG00000018625,ATP1A2,HumanPilot,Layer1,9,Layer1,NA,NA
ENSG00000125398,SOX9,HumanPilot,Layer1,10,Layer1,NA,NA
ENSG00000105894,PTN,HumanPilot,Layer1,11,Layer1,NA,NA
ENSG00000120885,CLU,HumanPilot,Layer1,12,Layer1,NA,NA
ENSG00000163132,MSX1,HumanPilot,Layer1,13,Layer1,NA,NA
ENSG00000122786,CALD1,HumanPilot,Layer1,14,Layer1,NA,NA
ENSG00000133392,MYH11,HumanPilot,Layer1,15,Layer1,NA,NA
ENSG00000100427,MLC1,HumanPilot,Layer1,16,Layer1,NA,NA
ENSG00000187479,C11orf96,HumanPilot,Layer1,17,Layer1,NA,NA
ENSG00000205364,MT1M,HumanPilot,Layer1,18,Layer1,NA,NA
ENSG00000189056,RELN,HumanPilot,Layer1,19,Layer1,NA,NA
ENSG00000130287,NCAN,HumanPilot,Layer1,20,Layer1,NA,NA
ENSG00000101439,CST3,HumanPilot,Layer1,21,Layer1,NA,NA
ENSG00000136802,LRRC8A,HumanPilot,Layer1,22,Layer1,NA,NA
ENSG00000152661,GJA1,HumanPilot,Layer1,23,Layer1,NA,NA
ENSG00000164707,SLC13A4,HumanPilot,Layer1,24,Layer1,NA,NA
ENSG00000120149,MSX2,HumanPilot,Layer1,25,Layer1,NA,NA
ENSG00000078549,ADCYAP1R1,HumanPilot,Layer1,26,Layer1,NA,NA
ENSG00000105854,PON2,HumanPilot,Layer1,27,Layer1,NA,NA
ENSG00000123836,PFKFB2,HumanPilot,Layer1,28,Layer1,NA,NA
ENSG00000077942,FBLN1,HumanPilot,Layer1,29,Layer1,NA,NA
ENSG00000135821,GLUL,HumanPilot,Layer1,30,Layer1,NA,NA
ENSG00000185432,METTL7A,HumanPilot,Layer1,31,Layer1,NA,NA
ENSG00000107796,ACTA2,HumanPilot,Layer1,32,Layer1,NA,NA
ENSG00000205336,ADGRG1,HumanPilot,Layer1,33,Layer1,NA,NA
ENSG00000173905,GOLIM4,HumanPilot,Layer1,34,Layer1,NA,NA
ENSG00000136205,TNS3,HumanPilot,Layer1,35,Layer1,NA,NA
ENSG00000163453,IGFBP7,HumanPilot,Layer1,36,Layer1,NA,NA
ENSG00000184113,CLDN5,HumanPilot,Layer1,37,Layer1,NA,NA
ENSG00000111275,ALDH2,HumanPilot,Layer1,38,Layer1,NA,NA
ENSG00000262920,AC129507.4,HumanPilot,Layer1,39,Layer1,NA,NA
ENSG00000114698,PLSCR4,HumanPilot,Layer1,40,Layer1,NA,NA
ENSG00000163346,PBXIP1,HumanPilot,Layer1,41,Layer1,NA,NA
ENSG00000092820,EZR,HumanPilot,Layer1,42,Layer1,NA,NA
