Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000228794,LINC01128,12,-0.9209,18,-0.3875,24,0.09723,31,0.65967,21,-0.1315
ENSG00000188976,NOC2L,54,0.03404,28,-1.0077,44,-0.2790,72,0.61672,51,-0.0775
ENSG00000188290,HES4,108,0.68620,74,0.03836,58,-0.3578,91,0.46919,52,-0.7044
ENSG00000187608,ISG15,59,0.23851,65,0.39861,45,-0.2016,57,0.21417,42,-0.4312
ENSG00000188157,AGRN,25,-0.4065,22,-0.5951,21,-0.6733,30,-0.1434,43,0.75010
ENSG00000131591,C1orf159,14,0.44365,11,0.00857,9,-0.2143,10,-0.1954,11,0.00959
ENSG00000078808,SDF4,91,0.21202,64,-0.3622,72,-0.1620,72,-0.1909,89,0.26399
ENSG00000176022,B3GALT6,41,-0.1898,37,-0.3555,62,0.48331,51,0.19628,43,-0.1852
ENSG00000160087,UBE2J2,57,0.14325,37,-0.5514,50,-0.0735,63,0.34663,50,-0.1075
ENSG00000162572,SCNN1D,15,-0.0746,5,-1.6823,12,-0.3637,18,0.30843,19,0.42312
ENSG00000131584,ACAP3,121,-0.0198,86,-0.5586,107,-0.2228,114,-0.1241,145,0.41718
ENSG00000169972,PUSL1,14,0.13282,21,0.81078,14,0.19243,10,-0.3855,11,-0.3467
ENSG00000127054,INTS11,54,-0.4229,58,-0.3071,65,-0.1304,53,-0.5030,92,0.70427
ENSG00000224051,CPTP,20,-0.8897,22,-0.7417,20,-0.9214,48,0.56284,43,0.44535
ENSG00000107404,DVL1,70,-0.1874,81,0.05971,84,0.10279,83,0.10492,76,-0.0803
ENSG00000175756,AURKAIP1,180,0.21956,165,0.07336,193,0.33714,123,-0.4597,159,0.02305
ENSG00000221978,CCNL2,42,-0.5232,57,-0.0347,48,-0.3117,64,0.16903,64,0.22007
ENSG00000224870,MRPL20-AS1,9,-0.3750,7,-0.8077,9,-0.3312,12,0.11354,14,0.49577
ENSG00000242485,MRPL20,238,0.07551,199,-0.2118,283,0.36977,201,-0.2312,231,0.04520
ENSG00000235098,ANKRD65,27,0.80613,21,0.34544,13,-0.4541,12,-0.6626,17,0.01925
ENSG00000179403,VWA1,92,1.81510,47,0.53859,16,-1.1571,31,-0.1999,19,-1.1875
