"","cell_type_broad","cluster","mod","n_genes","n_FDR05","n_pval10","nUP","nDown"
"1","Astro","Astro.1_APOE_high","carrier",231,0,40,13,16
"2","Astro","Astro.1_APOE_low","carrier",215,0,41,15,10
"3","Astro","Astro.2_APOE_high","carrier",277,0,43,10,9
"4","Astro","Astro.2_APOE_low","carrier",293,0,47,13,11
"5","Astro","Astro.3_APOE_high","carrier",133,0,16,3,7
"6","Astro","Astro.3_APOE_low","carrier",134,1,22,4,6
"7","Astro","Astro.4_APOE_high","carrier",172,0,33,7,5
"8","Astro","Astro.4_APOE_low","carrier",189,0,28,6,10
"9","Astro","Astro.5_APOE_high","carrier",322,0,54,12,14
"10","Astro","Astro.5_APOE_low","carrier",325,0,34,13,8
"11","Oligo","APOE_high","carrier",363,0,50,7,15
"12","Oligo","APOE_high_nnA_far","carrier",348,0,30,5,7
"13","Oligo","APOE_high_nnA_near","carrier",351,0,56,8,14
"14","Oligo","APOE_high_nnA_Astro.1","carrier",262,0,29,4,6
"15","Oligo","APOE_high_nnA_Astro.2","carrier",313,0,47,11,9
"16","Oligo","APOE_high_nnA_Astro.3","carrier",93,0,11,2,3
"17","Oligo","APOE_high_nnA_Astro.4","carrier",176,0,33,8,9
"18","Oligo","APOE_high_nnA_Astro.5","carrier",356,0,45,16,6
"19","Oligo","APOE_low","carrier",364,0,48,16,6
"20","Oligo","APOE_low_nnA_far","carrier",352,0,36,8,7
"21","Oligo","APOE_low_nnA_near","carrier",357,0,49,16,5
"22","Oligo","APOE_low_nnA_Astro.1","carrier",256,0,29,5,4
"23","Oligo","APOE_low_nnA_Astro.2","carrier",309,0,22,5,3
"24","Oligo","APOE_low_nnA_Astro.3","carrier",113,0,14,2,5
"25","Oligo","APOE_low_nnA_Astro.4","carrier",192,0,18,2,11
"26","Oligo","APOE_low_nnA_Astro.5","carrier",355,0,40,13,8
"27","Oligo","nn_Astro.1","carrier",307,0,43,10,15
"28","Oligo","nn_Astro.2","carrier",340,0,36,11,7
"29","Oligo","nn_Astro.3","carrier",169,0,17,8,5
"30","Oligo","nn_Astro.4","carrier",254,0,44,7,17
"31","Oligo","nn_Astro.5","carrier",361,0,56,15,11
"32","Oligo","nnA_far","carrier",364,0,33,5,4
"33","Oligo","nnA_near","carrier",363,0,54,22,8
