test,Macnair_Oligo,n,cor
OPC.1,COP,1021,0.42972225962024774
OPC.1,OPC_1,1763,0.9134498886155936
OPC.1,OPC_2,965,0.9025096473577883
OPC.1,Oligo_A,2102,-0.3969416182095078
OPC.1,Oligo_Astro,217,0.06865277291816968
OPC.1,Oligo_B,2553,-0.7327317447800569
OPC.1,Oligo_C,2646,-0.8050922669808274
OPC.1,Oligo_D,2328,-0.3433604439737201
OPC.1,Oligo_E,2258,-0.5481631430040756
OPC.1,Oligo_F,2027,-0.1294515400652019
OPC.1,Oligo_G,1753,-0.12353152531245305
OPC.2,COP,1021,0.4353614110043147
OPC.2,OPC_1,1763,0.9154795448740317
OPC.2,OPC_2,965,0.9076290269984856
OPC.2,Oligo_A,2102,-0.40450426340013595
OPC.2,Oligo_Astro,217,0.07161840618615847
OPC.2,Oligo_B,2553,-0.7332026011160725
OPC.2,Oligo_C,2646,-0.8001964541183747
OPC.2,Oligo_D,2328,-0.34208957661142075
OPC.2,Oligo_E,2258,-0.5248142345519091
OPC.2,Oligo_F,2027,-0.11340877617284445
OPC.2,Oligo_G,1753,-0.11604508710443118
OPC.3,COP,1021,0.4709406159330184
OPC.3,OPC_1,1763,0.9063124915507484
OPC.3,OPC_2,965,0.8959062304854967
OPC.3,Oligo_A,2102,-0.3882734892178294
OPC.3,Oligo_Astro,217,0.05575084321744649
OPC.3,Oligo_B,2553,-0.7361914278492916
OPC.3,Oligo_C,2646,-0.7995811685344979
OPC.3,Oligo_D,2328,-0.339038435269938
OPC.3,Oligo_E,2258,-0.5570582354637756
OPC.3,Oligo_F,2027,-0.16898661313368946
OPC.3,Oligo_G,1753,-0.1505387870815481
OPC.4,COP,1021,0.4389915938443613
OPC.4,OPC_1,1763,0.9090656603899351
OPC.4,OPC_2,965,0.8978941293142537
OPC.4,Oligo_A,2102,-0.3938102215019761
OPC.4,Oligo_Astro,217,0.037030819951875175
OPC.4,Oligo_B,2553,-0.7299253271201351
OPC.4,Oligo_C,2646,-0.8038557245664982
OPC.4,Oligo_D,2328,-0.3629056836528081
OPC.4,Oligo_E,2258,-0.5641612523526163
OPC.4,Oligo_F,2027,-0.15680907176417244
OPC.4,Oligo_G,1753,-0.13396256133845513
OPC.5,COP,1021,0.33670795801911935
OPC.5,OPC_1,1763,0.838148838230147
OPC.5,OPC_2,965,0.8586851544819917
OPC.5,Oligo_A,2102,-0.34605121349503976
OPC.5,Oligo_Astro,217,0.04944902916332547
OPC.5,Oligo_B,2553,-0.6147584270218469
OPC.5,Oligo_C,2646,-0.688736737602263
OPC.5,Oligo_D,2328,-0.3164822145848239
OPC.5,Oligo_E,2258,-0.42807566935841296
OPC.5,Oligo_F,2027,-0.16281498368595992
OPC.5,Oligo_G,1753,-0.1346539579789833
