test,Jakel_Oligo,n,cor
OPC.1,Jakel_COPs,205,0.5397808927227432
OPC.1,Jakel_OPCs,394,0.8066690478635241
OPC.1,Jakel_Oligo1,219,-0.053102707894812196
OPC.1,Jakel_Oligo2,35,-0.24635295908339203
OPC.1,Jakel_Oligo3,64,0.25279644370297055
OPC.1,Jakel_Oligo4,28,-0.44596631210515264
OPC.1,Jakel_Oligo5,192,0.16196509056485572
OPC.1,Jakel_Oligo6,81,-0.35999395640726434
OPC.1,Jakel_imOLGs,116,-0.08986469485293996
OPC.2,Jakel_COPs,205,0.5406413752823276
OPC.2,Jakel_OPCs,394,0.8075398783357216
OPC.2,Jakel_Oligo1,219,-0.04229443593400241
OPC.2,Jakel_Oligo2,35,-0.24857721743665445
OPC.2,Jakel_Oligo3,64,0.23162291755188827
OPC.2,Jakel_Oligo4,28,-0.45705315318426404
OPC.2,Jakel_Oligo5,192,0.1614655547157579
OPC.2,Jakel_Oligo6,81,-0.3752542832917237
OPC.2,Jakel_imOLGs,116,-0.10323330369226916
OPC.3,Jakel_COPs,205,0.5417836942697299
OPC.3,Jakel_OPCs,394,0.8088684997520899
OPC.3,Jakel_Oligo1,219,-0.052092877229153345
OPC.3,Jakel_Oligo2,35,-0.2859534632420293
OPC.3,Jakel_Oligo3,64,0.2650149825280908
OPC.3,Jakel_Oligo4,28,-0.49584658372668716
OPC.3,Jakel_Oligo5,192,0.15591256302488432
OPC.3,Jakel_Oligo6,81,-0.34584110173974825
OPC.3,Jakel_imOLGs,116,-0.09892182587276369
OPC.4,Jakel_COPs,205,0.5361331249195432
OPC.4,Jakel_OPCs,394,0.8112241026802448
OPC.4,Jakel_Oligo1,219,-0.07793923021250156
OPC.4,Jakel_Oligo2,35,-0.2280461101528407
OPC.4,Jakel_Oligo3,64,0.24139333145526806
OPC.4,Jakel_Oligo4,28,-0.49446405224848705
OPC.4,Jakel_Oligo5,192,0.14312028640877653
OPC.4,Jakel_Oligo6,81,-0.3531637878587921
OPC.4,Jakel_imOLGs,116,-0.10572494809040585
OPC.5,Jakel_COPs,205,0.5171373480120316
OPC.5,Jakel_OPCs,394,0.794914347265663
OPC.5,Jakel_Oligo1,219,-0.06122879047953388
OPC.5,Jakel_Oligo2,35,-0.2999335691833322
OPC.5,Jakel_Oligo3,64,0.11489015041470496
OPC.5,Jakel_Oligo4,28,-0.4908868220775297
OPC.5,Jakel_Oligo5,192,0.12634015609121613
OPC.5,Jakel_Oligo6,81,-0.2889914904335524
OPC.5,Jakel_imOLGs,116,0.011071044861925073
Oligo.1,Jakel_COPs,205,-0.48854502672275224
Oligo.1,Jakel_OPCs,394,-0.7748959052458546
Oligo.1,Jakel_Oligo1,219,-0.015306395592156111
Oligo.1,Jakel_Oligo2,35,0.22041302679027153
Oligo.1,Jakel_Oligo3,64,-0.22348823414816557
Oligo.1,Jakel_Oligo4,28,0.5021325408716918
Oligo.1,Jakel_Oligo5,192,-0.22243135997526892
Oligo.1,Jakel_Oligo6,81,0.3898771230272936
Oligo.1,Jakel_imOLGs,116,-0.026627486321992806
Oligo.2,Jakel_COPs,205,-0.5201629275054982
Oligo.2,Jakel_OPCs,394,-0.8004301882824787
Oligo.2,Jakel_Oligo1,219,0.12858187309381167
Oligo.2,Jakel_Oligo2,35,0.2322456261757744
Oligo.2,Jakel_Oligo3,64,-0.26653894057704114
Oligo.2,Jakel_Oligo4,28,0.39421967283283327
Oligo.2,Jakel_Oligo5,192,-0.0730436409507253
Oligo.2,Jakel_Oligo6,81,0.37603700686274466
Oligo.2,Jakel_imOLGs,116,-0.07905065179028671
Oligo.3,Jakel_COPs,205,-0.46479147108101926
Oligo.3,Jakel_OPCs,394,-0.75098647611753
Oligo.3,Jakel_Oligo1,219,0.08779177643038659
Oligo.3,Jakel_Oligo2,35,0.28647473554747893
Oligo.3,Jakel_Oligo3,64,-0.20974332771242454
Oligo.3,Jakel_Oligo4,28,0.4925609479728424
Oligo.3,Jakel_Oligo5,192,-0.11069646179925048
Oligo.3,Jakel_Oligo6,81,0.307929936118504
Oligo.3,Jakel_imOLGs,116,0.3331701248559704
Oligo.4,Jakel_COPs,205,-0.5250984118024293
Oligo.4,Jakel_OPCs,394,-0.7888189046192764
Oligo.4,Jakel_Oligo1,219,0.005284717444615928
Oligo.4,Jakel_Oligo2,35,0.24912805954572753
Oligo.4,Jakel_Oligo3,64,-0.2444821757146524
Oligo.4,Jakel_Oligo4,28,0.51326021073064
Oligo.4,Jakel_Oligo5,192,-0.19792312395889838
Oligo.4,Jakel_Oligo6,81,0.3712735703520378
Oligo.4,Jakel_imOLGs,116,0.09661100475395695
Oligo.5,Jakel_COPs,205,-0.5262183042643006
Oligo.5,Jakel_OPCs,394,-0.7952634221231669
Oligo.5,Jakel_Oligo1,219,0.08786494475357771
Oligo.5,Jakel_Oligo2,35,0.3171057016931789
Oligo.5,Jakel_Oligo3,64,-0.23267149820037142
Oligo.5,Jakel_Oligo4,28,0.4765370802185316
Oligo.5,Jakel_Oligo5,192,-0.14502098638717562
Oligo.5,Jakel_Oligo6,81,0.32726799180348326
Oligo.5,Jakel_imOLGs,116,0.1812363622600323
