"Cluster","test","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Oligo.1","Oligo","GO:0097060","synaptic membrane","212/4010","348/11311",0.609195402298851,1.718356407831,10.087352549805,8.7026797157116e-23,5.58712037748685e-20,4.30553628040469e-20,"ANK3/IL1RAPL1/MUSK/ANK2/PTPRD/PCDH9/NEO1/DNAJC6/GNAO1/CACNA2D1/DLG1/PICALM/DNM3/STRN/NCAM2/DLG2/CRYAB/KCNJ2/NRXN3/LPAR1/ABHD17B/GRM3/CNTN2/SYT11/SEMA4D/PSEN1/CNTNAP4/IGSF11/SYNDIG1/ADAM10/SEMA4C/IGSF8/PCDH10/SLC4A8/KCNH1/MTMR2/SHC4/NAPEPLD/NECTIN1/GRID1/ITSN2/ABHD17A/DNM2/FAIM2/PICK1/ABHD6/GRIN2A/TIAM1/HIP1/GLRA2/PLXNB1/SORCS2/SLC6A9/CDH8/NCSTN/ZDHHC17/KCNK1/KCTD8/TRPV1/EPHB2/CLCN2/NDUFS7/KCNJ9/SYAP1/NRP1/SLC30A1/NECTIN3/ADGRB3/SHISA7/CNR1/VANGL2/ITSN1/NLGN2/LRRTM1/GRIA4/ADGRL1/UNC13C/KCNA3/GRID2/BAIAP2/SHANK1/ANK1/FXYD6/LRRC4/CNIH3/STX1B/GRIK4/GRID2IP/GNB5/KCNC4/DGKI/GRIA2/ITGA3/ADAM23/CNTN1/DBN1/KCNA2/ATP2B1/GLRB/ERC1/ARC/SLC9A5/LIN7A/STXBP1/CSMD2/DCC/KCNA1/KCNC1/CLSTN1/PRRT2/CHRNA4/CACNA2D2/NRXN2/LRRTM4/SNAP91/FZD3/NLGN4X/LRRC4C/CASK/CADM3/GRIK2/SNCAIP/GABRB1/SLITRK3/KCND3/CLSTN2/ATP2B4/CLSTN3/SRC/GABBR1/KCTD16/RPH3A/RIMS2/GRIN2D/TMEM108/ELFN2/CACNG4/KCNJ3/SHANK2/GRIA3/CNKSR2/GABRB2/CSPG5/GRIK3/CACNG5/GRM5/SORCS3/SCN8A/LRFN2/PTPRO/NETO2/ABHD17C/IGSF21/GRIK5/PLPPR4/SNAP25/ADCY8/CNTN6/PALM/SLC1A2/GRIK1/SLC6A11/NSG2/GRM7/SHISA9/CACNG2/NTNG1/CACNG8/SUSD4/VWC2/KCNMA1/KCND2/SCN2A/NRCAM/RGS7BP/ERC2/PTPRT/ASIC2/CNTN5/DNM1/GPR158/GABRB3/LRFN5/GRIP1/NETO1/ABCC8/LHFPL4/GABRA3/RIMS1/DGKB/GRIN2B/KCNB1/LRP8/GPM6A/SHISA6/NRXN1/CACNA2D3/IGSF9B/GRIA1/GABBR2/ADCY1/ATP2B2/UNC13A/GSG1L/SYNE1/FARP1/EGFR/ITGA8/KCNK2/FLRT2/CACNA1C/UTRN",212,"CC"
"Oligo.1","Oligo","GO:0009986","cell surface","250/4010","445/11311",0.561797752808989,1.58466194065398,9.32528886186632,7.76961655797473e-20,2.49404691510989e-17,1.92195778013059e-17,"ANK3/IL1RAPL1/ENOX1/APP/NEO1/UNC5C/PTPRK/CD9/PICALM/CLDND1/GPRC5B/TSPAN15/SFRP1/ALCAM/MBP/GPR37/HHIP/SORT1/HSPA2/CRYAB/SLIT2/CLIC4/TMEM123/ABCG1/LPAR1/CD55/LRP6/ICOSLG/MCAM/TF/USP14/CNTN2/FOLH1/ROBO1/MOG/PRNP/LAMP1/HPN/FGFR2/PSEN1/P2RX7/GREM1/GLDN/NDP/ADA/CPM/ADAM10/PCSK6/BACE1/CD22/LRP2/ITGA2/FZD5/MYO18A/ENOX2/CR1/ANXA4/MET/ROR1/NCAM1/LAYN/HSP90AA1/LIFR/CD226/HNRNPU/GPIHBP1/SLC11A2/CD47/CFTR/FAP/INSR/PACC1/SEMA7A/VAMP3/KDR/HBEGF/GRIN2A/IRAK4/ADAM15/PDGFA/CD99L2/MYH9/HAVCR2/SCARB1/ECE1/RER1/TRPV1/RPS6KB1/TYRO3/AZGP1/DIP2A/DSCAML1/PDIA4/EPHB2/CD200/CXCR4/CD46/NRDC/TLN1/SCUBE3/ITGAV/ADGRV1/CTSB/GPC1/SLC38A1/ITGA7/ENPP1/ACVR2A/THY1/PLXNB2/CD151/SRPX/S100A10/KLRC2/ADAMTS7/NLGN2/IQGAP2/NECTIN2/CD83/ENPP3/LPL/BSN/FAS/MDGA1/BTN3A1/CD59/TFRC/SPTB/BTN3A3/CDH13/FZD9/BTN3A2/GPC2/CX3CL1/GRIA2/SCUBE2/ITGA3/TNFRSF14/RTN4RL2/ACHE/HLA-A/SLC4A3/SORL1/CAPN5/F3/ADGRA3/DCC/KCNA1/CLEC2D/SEMA6C/PDGFC/HLA-C/PTGFRN/KCNC1/CLSTN1/ABCC4/CHRNA4/IL17RC/HLA-F/FZD6/PPFIA4/ASTN1/HLA-B/GPC5/IGSF5/FZD3/ANOS1/NLGN4X/SCN5A/TNFRSF10B/SFRP4/SLITRK3/PLA2R1/TNFRSF1A/WNT5A/CLSTN2/CLSTN3/MYH10/ABCG2/EPHA5/FGFR3/FCGRT/VEGFA/UNC5D/CACNG4/KCNH5/KCNJ3/CSPG5/IL1RAP/LRFN2/AXL/ANTXR2/CSPG4/IGSF21/GHR/RAMP1/ADCYAP1R1/MMP16/CNTFR/RTN4RL1/SDC3/MPZL1/SLC4A4/SLC1A2/CACNG2/KCNQ3/ADGRA2/TNR/ITGA9/PROM1/ATP1B2/NRCAM/KCNN2/PTPRT/BGN/OSMR/PLAT/NT5E/LRFN5/GFRA1/PXDN/BMPR2/PDGFRA/GRIN2B/JAM2/SLC7A5/KCNB1/LRP8/CD276/TGFBR3/TEK/NRXN1/MAP3K5/NOTCH2/GPC6/ANO6/SLC1A1/GRIA1/ADAMTS9/SULF2/CXCL12/ITGA4/RGMA/ANTXR1/EMP2/ROR2/EGFR/ITGA8/KCNK2/ATP1A2",250,"CC"
"Oligo.1","Oligo","GO:0045211","postsynaptic membrane","150/4010","248/11311",0.604838709677419,1.70606749255893,8.33197418592845,4.5463106314941e-16,9.72910475139738e-14,7.49742455018326e-14,"ANK3/IL1RAPL1/MUSK/ANK2/NEO1/GNAO1/DLG1/PICALM/DNM3/STRN/DLG2/KCNJ2/LPAR1/ABHD17B/GRM3/CNTN2/SEMA4D/IGSF11/SYNDIG1/SEMA4C/PCDH10/KCNH1/SHC4/NAPEPLD/GRID1/ABHD17A/DNM2/FAIM2/ABHD6/GRIN2A/TIAM1/HIP1/GLRA2/PLXNB1/SORCS2/SLC6A9/KCTD8/TRPV1/EPHB2/CLCN2/SYAP1/NRP1/SLC30A1/NECTIN3/ADGRB3/SHISA7/VANGL2/NLGN2/LRRTM1/GRIA4/KCNA3/GRID2/SHANK1/ANK1/FXYD6/LRRC4/CNIH3/GRIK4/GRID2IP/GNB5/KCNC4/GRIA2/ITGA3/CNTN1/DBN1/KCNA2/GLRB/ARC/SLC9A5/LIN7A/CSMD2/DCC/KCNA1/KCNC1/CLSTN1/PRRT2/CHRNA4/LRRTM4/NLGN4X/LRRC4C/GRIK2/GABRB1/SLITRK3/KCND3/CLSTN2/CLSTN3/GABBR1/KCTD16/RPH3A/GRIN2D/TMEM108/ELFN2/CACNG4/SHANK2/GRIA3/CNKSR2/GABRB2/CSPG5/GRIK3/CACNG5/GRM5/SORCS3/SCN8A/LRFN2/PTPRO/NETO2/ABHD17C/IGSF21/GRIK5/PLPPR4/GRIK1/SLC6A11/NSG2/GRM7/SHISA9/CACNG2/CACNG8/SUSD4/VWC2/KCNMA1/KCND2/NRCAM/RGS7BP/PTPRT/ASIC2/GPR158/GABRB3/LRFN5/GRIP1/NETO1/LHFPL4/GABRA3/DGKB/GRIN2B/KCNB1/LRP8/SHISA6/IGSF9B/GRIA1/GABBR2/ADCY1/ATP2B2/GSG1L/SYNE1/FARP1/ITGA8/KCNK2/FLRT2/CACNA1C/UTRN",150,"CC"
"Oligo.1","Oligo","GO:0030312","external encapsulating structure","172/4010","297/11311",0.579124579124579,1.63353568939604,8.1995324406544,1.15192632419501e-15,1.47907340026639e-13,1.13980078394032e-13,"SPOCK1/EDIL3/SPOCK3/ERBIN/DLG1/SFRP1/MEGF9/APLP1/VWA1/ADAMTS4/COL4A5/LRIG3/FGFR2/GREM1/NDP/SEMA3B/ADAMTS8/PCSK6/ADAMTS14/LAMA2/FGF1/ANXA4/DST/NCAM1/CHADL/HAPLN2/ADAMTS19/HSP90AA1/A1BG/ADAMTS1/SERPINB1/ADAMTS18/ADAMTSL3/LTBP1/COL10A1/FBN1/TIMP2/COL14A1/SEMA7A/HSP90B1/PSAP/LGALS3BP/SERAC1/PLOD3/CTSL/RELN/LRIG1/AZGP1/ADAMTS2/HNRNPM/LRIG2/CTSD/ADAM19/TGFB2/EFEMP2/CTSB/GPC1/EMILIN2/CTHRC1/COL25A1/CD151/SRPX/S100A10/ADAMTS7/MMP17/TIMP1/FBLN5/LRRTM1/THBS4/CDON/ELN/TNC/ADAMTS20/SERPING1/P3H2/ANGPTL1/FGL1/PLOD2/CHAD/CDH13/ADAMTS5/TRIL/GPC2/FRAS1/RTN4RL2/NTN4/FREM1/TIMP4/ACHE/LINGO1/F3/COL19A1/EMILIN3/PKM/ACAN/LRRTM4/HAPLN1/LRRN3/GPC5/ANOS1/SMOC2/BMP7/CASK/COL9A1/BMPER/FBLN2/RARRES2/WNT5A/SMOC1/COL20A1/LRRN1/NCAN/OTOGL/BCAN/LOXL3/LINGO3/VEGFA/FBLN7/COL8A1/ELFN2/SPON1/COL4A3/CSPG4/ALPL/MMP2/MMP16/ADAMTS6/PODN/GPLD1/RTN4RL1/ADAMTS17/SDC3/ANXA6/NTN1/IGFBP7/SERPINE2/FBN3/TNR/CTSC/VWC2/VCAN/COL4A4/BGN/PTPRZ1/LRRN2/COL11A1/PXDN/LAMA5/LRRC3B/NID1/AEBP1/EMID1/FBN2/SPARCL1/PLSCR1/CRISPLD2/NAV2/COL12A1/GPC6/COL5A3/ADAMTS9/CXCL12/ADAMTS10/COL6A1/TIMP3/COL5A1/SPOCK2/COL15A1/FLRT2/COL27A1/LAMC1/LAMA4",172,"CC"
"Oligo.1","Oligo","GO:0031012","extracellular matrix","172/4010","297/11311",0.579124579124579,1.63353568939604,8.1995324406544,1.15192632419501e-15,1.47907340026639e-13,1.13980078394032e-13,"SPOCK1/EDIL3/SPOCK3/ERBIN/DLG1/SFRP1/MEGF9/APLP1/VWA1/ADAMTS4/COL4A5/LRIG3/FGFR2/GREM1/NDP/SEMA3B/ADAMTS8/PCSK6/ADAMTS14/LAMA2/FGF1/ANXA4/DST/NCAM1/CHADL/HAPLN2/ADAMTS19/HSP90AA1/A1BG/ADAMTS1/SERPINB1/ADAMTS18/ADAMTSL3/LTBP1/COL10A1/FBN1/TIMP2/COL14A1/SEMA7A/HSP90B1/PSAP/LGALS3BP/SERAC1/PLOD3/CTSL/RELN/LRIG1/AZGP1/ADAMTS2/HNRNPM/LRIG2/CTSD/ADAM19/TGFB2/EFEMP2/CTSB/GPC1/EMILIN2/CTHRC1/COL25A1/CD151/SRPX/S100A10/ADAMTS7/MMP17/TIMP1/FBLN5/LRRTM1/THBS4/CDON/ELN/TNC/ADAMTS20/SERPING1/P3H2/ANGPTL1/FGL1/PLOD2/CHAD/CDH13/ADAMTS5/TRIL/GPC2/FRAS1/RTN4RL2/NTN4/FREM1/TIMP4/ACHE/LINGO1/F3/COL19A1/EMILIN3/PKM/ACAN/LRRTM4/HAPLN1/LRRN3/GPC5/ANOS1/SMOC2/BMP7/CASK/COL9A1/BMPER/FBLN2/RARRES2/WNT5A/SMOC1/COL20A1/LRRN1/NCAN/OTOGL/BCAN/LOXL3/LINGO3/VEGFA/FBLN7/COL8A1/ELFN2/SPON1/COL4A3/CSPG4/ALPL/MMP2/MMP16/ADAMTS6/PODN/GPLD1/RTN4RL1/ADAMTS17/SDC3/ANXA6/NTN1/IGFBP7/SERPINE2/FBN3/TNR/CTSC/VWC2/VCAN/COL4A4/BGN/PTPRZ1/LRRN2/COL11A1/PXDN/LAMA5/LRRC3B/NID1/AEBP1/EMID1/FBN2/SPARCL1/PLSCR1/CRISPLD2/NAV2/COL12A1/GPC6/COL5A3/ADAMTS9/CXCL12/ADAMTS10/COL6A1/TIMP3/COL5A1/SPOCK2/COL15A1/FLRT2/COL27A1/LAMC1/LAMA4",172,"CC"
"Oligo.1","Oligo","GO:0098797","plasma membrane protein complex","204/4010","372/11311",0.548387096774194,1.54683452658676,7.94787267349051,6.83461096558136e-15,7.31303373317206e-13,5.63555641021621e-13,"PDE4B/GNAI1/ERBB3/PLP1/NEO1/GNAO1/CACNA2D1/DLG1/PICALM/GJC2/ALCAM/DLG2/HSPA2/KCNMB4/GJB1/KCNJ2/EPS15/LRP6/TF/CALM2/ACVR1C/ABCA2/PSEN1/CDH1/CDH19/CRB2/ITGA2/ATP1B1/GJA9/TBC1D5/CORO1C/FAF1/GNAZ/BTBD8/KCNH1/NOX4/KCNAB1/GRID1/TRADD/JUP/CALM1/CTNNA1/HCN2/CLTC/INSR/GNAQ/ABHD6/GRIN2A/TMED10/CDH23/CTTN/GNG8/CDH8/VAMP2/RAC1/CATSPERG/NCSTN/KCNK1/TRAF1/GNB1/SGCB/SCN1B/CDH20/CFLAR/CATSPERE/ITGAV/KCNS3/KCNN1/ITGA7/STON2/MPP7/ACVR2A/CRB1/CDH11/GNB4/S100A10/GRIA4/EFCAB7/KCNA3/GRID2/TRAF3/KCNQ1/FAS/GPR156/TFRC/IRS1/CNIH3/KCNB2/GRIK4/EPS8/CDH13/KCNG2/CDH22/GNB5/KCNC4/GRIA2/CDH7/ITGA3/KCNA2/GLRB/LRP5/HLA-A/SGCZ/CDH24/LIN7A/KCNIP3/KCNA1/HLA-C/KCNC1/PDE4D/KCNG4/CHRNA4/GNA12/ACVR1/CACNA2D2/HLA-F/CACNA1E/CACNB4/HLA-B/CACNA1G/GNAS/SCN5A/DPP6/TNK2/GRIK2/KCNIP4/KCND3/KCNJ16/KCNF1/LYN/GABBR1/LRP1/SCN3A/CTNNA2/GRIN2D/DPP10/SGCD/RYR1/CACNG4/SCN9A/KCNH5/KCNJ3/GP1BB/KCNJ6/CDH4/GRIA3/GRIK3/CACNG5/SCN8A/KCNMB2/GRIK5/RAMP1/SCN1A/SNAP25/CDH6/CNTFR/SCN7A/GNG4/KCNQ2/GRIK1/SHISA9/GNAL/CACNG2/KCNQ3/ITGA9/CACNG8/CDH18/CACNA1D/SNTG1/VWC2/KCNMA1/KCND2/PRKCA/SCN2A/ATP1B2/OLFM2/OSMR/CDH10/KCNIP1/GFRA1/ABCC8/CACNA1A/GNG2/GRIN2B/SLC7A5/KCNB1/CACNB2/GNG12/TGFBR3/SHISA6/CACNA2D3/CALCRL/GRIA1/GABBR2/ITGA4/TRAF5/EGFR/SORBS1/ITGA8/KCNK2/CACNA1C/CACHD1/ATP1A2/UTRN",204,"CC"
"Oligo.1","Oligo","GO:0043025","neuronal cell body","206/4010","378/11311",0.544973544973545,1.53720592698149,7.8728021246616,1.18790972686533e-14,1.08948292092506e-12,8.39575295679256e-13,"PDE1C/TTLL7/APP/UNC5C/SLC12A2/MAPT/PICALM/GJC2/STRN/DIP2B/RTN4/ALCAM/ERMN/SLC38A2/DLG2/MBP/KLHL24/CRYAB/SHTN1/KCNJ2/LPAR1/LRP6/CNTN2/TUBB4A/COBL/HPN/SEPTIN4/SYT11/MYO1D/PSEN1/P2RX7/PALS1/PIEZO2/BACE1/CD22/FEZ1/PAFAH1B1/SMURF1/FZD5/TMC7/MAPK8IP1/TACR3/PDE1A/SERPINI1/WASHC5/HSP90AA1/ARHGEF7/WHRN/SLC4A8/RUFY3/ELOVL5/MAP1A/KCNH1/PURA/G3BP1/RPTOR/ROGDI/VTI1A/CRHBP/INSR/TMPRSS5/DPYSL5/WDFY3/PUM2/NUMA1/PRKCZ/PTPRF/AZIN2/TIAM1/MYOT/TMEM50A/SORCS2/CADM2/USP33/KCNK1/DCTN1/TRPV1/EPHB2/SCN1B/FBXW11/CD200/CLCN2/NDUFS7/CDC42/UBB/SYAP1/TRPC5/TGFB2/CPLX1/ASTN2/LMTK2/KCNN1/SLC38A1/SV2A/DAB2IP/THY1/RAP1GAP/KREMEN1/FYN/RIC3/TMEM266/GRIA4/BAIAP2/SEZ6/KCNQ1/KIF5A/PTK7/KCNB2/UNC5A/KNDC1/MYO10/KCNC4/GAP43/NSMF/CX3CL1/GRIA2/BRINP2/RTN4RL2/KCNA2/SLC2A3/INPP5F/ARC/SORL1/HOMER1/RNF112/KLHL1/KLHL14/KCNA1/KCNC1/NEGR1/CHRNA4/GNA12/CACNA1E/SLC8A3/ASTN1/FZD3/PLXDC1/TRPM4/TMEM100/DRP2/KCNN3/OLFM1/PSD2/GRIK2/SNCAIP/KCNIP4/LYPD6/KCND3/SRC/PCSK2/EPHA5/PRKAA2/VPS13A/MAST1/SHANK2/CNKSR2/ASCL1/MAOB/GRIK3/GRM5/PRKAR2B/BRINP1/CRMP1/NRSN1/GHR/SCN1A/SNAP25/ZNF804A/SLC8A1/ADCY8/RTN4RL1/SPTBN4/RIN3/DSCAM/BRINP3/KCND2/LRRK2/KCNN2/RGS7BP/ELAVL4/SLC4A10/ASIC2/SEZ6L/GRIP1/CPNE5/GFRA1/CACNA1A/BMPR2/MAP2/PDE9A/KCNB1/LRP8/GPM6A/SORBS2/NRXN1/SLC22A3/SLC1A1/GRIA1/ITGA4/ATP2B2/ROR2/ITGA8/KCNK2/CACNA1C/AKAP12/ATP1A2",206,"CC"
"Oligo.1","Oligo","GO:0098984","neuron to neuron synapse","202/4010","371/11311",0.544474393530997,1.53579797137883,7.77663424266389,2.45396408806458e-14,1.96930618067182e-12,1.51758305446099e-12,"PDE4B/SPOCK1/PTPRD/NEO1/DNAJC6/MAGI2/DLG1/PKP4/DNM3/STRN/RTN4/DLG2/SH3GL3/SORT1/ADD1/ABHD17B/GRM3/PRNP/CAMK2N1/SYT11/IGSF11/SYNDIG1/ADAM10/SPTBN1/BACE1/SEMA4C/IGSF8/SRCIN1/SYT9/SLC4A8/HOMER3/YWHAZ/KCNH1/MTMR2/NAPEPLD/PAK2/NECTIN1/GRID1/MPP2/ROGDI/ADD3/VTI1A/ABHD17A/CPEB1/DNM2/CHD4/DTNB/PRKCZ/PICK1/GRIN2A/TIAM1/SORCS2/MINK1/SLC6A9/HNRNPD/CDKL5/EIF3E/PCBP1/RTN3/EPHB2/MDM2/UBE3B/USP50/MPDZ/DROSHA/FABP5/SYT12/SLC30A1/LZTS3/NECTIN3/NOS1/ADGRB3/CPEB4/SHISA7/BAALC/VANGL2/ZDHHC15/ARHGEF9/SEPTIN11/FYN/LZTS1/NLGN2/PDLIM5/GRIA4/PSD/GRID2/BAIAP2/NCS1/SHANK1/BSN/LRRC4/GRIK4/EPS8/GRID2IP/CAMK2A/GAP43/NSMF/DGKI/SYNGAP1/GRIA2/DBN1/ADGRA1/SAMD14/ARC/NTRK2/HOMER1/RNF112/LIN7A/SYN1/CSMD2/DISC1/DCC/NEGR1/CABP1/CLSTN1/PRRT2/SLC8A3/DLGAP3/PLEKHA5/NLGN4X/LRRC4C/CAMK2B/DRP2/GRIK2/C1QL2/SLITRK3/CLSTN2/CLSTN3/LNX1/ADD2/C1QL1/ARHGAP44/GRIN2D/TMEM108/ELFN2/CACNG4/SHANK2/GRIA3/NCK2/CNKSR2/GRIK3/CACNG5/GRM5/SORCS3/SCN8A/LRFN2/SYN2/PTPRO/NETO2/ABHD17C/IGSF21/GRIK5/PLPPR4/PRKAR1B/SLC8A1/ADCY8/SYN3/ABI1/PALM/CAP2/GRIK1/DLGAP1/NSG2/GRM7/SHISA9/CACNG2/CACNG8/PLXNA4/PLXNC1/EEF2K/ATP1B2/NRCAM/RGS7BP/PTPRT/ASIC2/GPR158/ADGRB1/LRFN5/GRIP1/NETO1/KALRN/BMPR2/GRIN2B/LRP8/INPP4A/SHISA6/CAMK2G/PAK3/IGSF9B/RAPGEF4/SLC1A1/GRIA1/PRICKLE1/ADCY1/ATP2B2/BCR/GSG1L/ITGA8/KCNK2/CACNA1C/WWC1/PCLO",202,"CC"
"Oligo.1","Oligo","GO:0044297","cell body","226/4010","426/11311",0.530516431924883,1.49642677344198,7.7403053450558,2.93990761386332e-14,2.09713409788917e-12,1.61608956551551e-12,"PDE1C/TTLL7/APP/UNC5C/SLC12A2/GNAO1/MAPT/PICALM/GJC2/STRN/DIP2B/RTN4/ALCAM/ERMN/SLC38A2/DLG2/MBP/KLHL24/CRYAB/SHTN1/KCNJ2/LPAR1/LRP6/CNTN2/TUBB4A/COBL/HPN/SEPTIN4/SYT11/MYO1D/PSEN1/P2RX7/PALS1/SYNDIG1/PIEZO2/BACE1/CD22/PTPN13/FEZ1/PAFAH1B1/SMURF1/FZD5/TMC7/MAPK8IP1/TACR3/PDE1A/GLUL/SERPINI1/WASHC5/HSP90AA1/ARHGEF7/WHRN/SLC4A8/KCNJ10/RUFY3/GNAZ/STK39/ELOVL5/MAP1A/KCNH1/PURA/G3BP1/RPTOR/ROGDI/VTI1A/CRHBP/INSR/TMPRSS5/DPYSL5/WDFY3/PUM2/NUMA1/PRKCZ/PTPRF/AZIN2/TIAM1/MYOT/TMEM50A/SORCS2/CADM2/USP33/PLXND1/KCNK1/DCTN1/TRPV1/EPHB2/SCN1B/FBXW11/CD200/CLCN2/NDUFS7/CDC42/UBB/SYAP1/TRPC5/TGFB2/CPLX1/ASTN2/LMTK2/KCNN1/SLC38A1/SV2A/DAB2IP/THY1/GNB4/RAP1GAP/KREMEN1/FYN/RIC3/TMEM266/GRIA4/BAIAP2/SEZ6/KCNQ1/KIF5A/PTK7/KCNB2/UNC5A/KNDC1/MYO10/KCNC4/GAP43/NSMF/CX3CL1/GRIA2/BRINP2/RTN4RL2/KCNA2/SLC2A3/INPP5F/ARC/PACRG/SORL1/HOMER1/RNF112/KLHL1/KLHL14/SYN1/DISC1/KCNA1/KCNC1/NEGR1/CHRNA4/GNA12/CACNA1E/SLC8A3/ASTN1/FZD3/PLXDC1/RNF157/TRPM4/TMEM100/DRP2/KCNN3/OLFM1/PSD2/SLC2A13/GRIK2/SNCAIP/KCNIP4/LYPD6/TMEM132E/KCND3/SRC/PCSK2/EPHA5/PRKAA2/VPS13A/CACNG4/MAST1/SHANK2/CNKSR2/ASCL1/DPYSL3/MAOB/GRIK3/GRM5/PRKAR2B/BRINP1/CRMP1/NRSN1/GHR/SCN1A/SNAP25/ZNF804A/SLC8A1/ADCY8/RTN4RL1/SLC1A2/SPTBN4/RIN3/DSCAM/BRINP3/KCND2/ATP1B2/LRRK2/KCNN2/RGS7BP/ELAVL4/SLC4A10/ASIC2/RIT2/SEZ6L/GRIP1/CPNE5/GFRA1/CACNA1A/BMPR2/MAP2/PDE9A/KCNB1/LRP8/GPM6A/SORBS2/NRXN1/SLC22A3/SLC1A1/GRIA1/ITGA4/ATP2B2/ROR2/ITGA8/KCNK2/CACNA1C/AKAP12/ATP1A2",226,"CC"
"Oligo.1","Oligo","GO:0099572","postsynaptic specialization","193/4010","354/11311",0.545197740112994,1.53783831381997,7.61938382158032,7.96421995871512e-14,5.11302921349510e-12,3.94019303220643e-12,"PDE4B/SPOCK1/NEO1/DNAJC6/MAGI2/ERBIN/DLG1/PKP4/DNM3/STRN/RTN4/DLG2/SH3GL3/ADD1/ABHD17B/GRM3/PRNP/CAMK2N1/SYT11/IGSF11/SYNDIG1/ADAM10/SPTBN1/SEMA4C/SRCIN1/HOMER3/KCNH1/MTMR2/PAK2/GRID1/MPP2/ADD3/ABHD17A/CPEB1/DNM2/DTNB/PRKCZ/PICK1/GRIN2A/TIAM1/GLRA2/SORCS2/MINK1/SLC6A9/HNRNPD/CDKL5/EIF3E/PCBP1/RTN3/MDM2/UBE3B/USP50/MPDZ/DROSHA/FABP5/SLC30A1/LZTS3/NECTIN3/NOS1/ADGRB3/CPEB4/SHISA7/BAALC/VANGL2/ZDHHC15/ARHGEF9/SEPTIN11/FYN/LZTS1/NLGN2/LRRTM1/PDLIM5/GRIA4/PSD/GRID2/BAIAP2/NCS1/SHANK1/BSN/LRRC4/GRIK4/EPS8/GRID2IP/SIPA1L3/CAMK2A/GAP43/NSMF/DGKI/SYNGAP1/GRIA2/DBN1/GLRB/ADGRA1/SAMD14/ARC/NTRK2/HOMER1/RNF112/LIN7A/SYN1/CSMD2/DISC1/DCC/NEGR1/CABP1/CLSTN1/PRRT2/SLC8A3/DLGAP3/PLEKHA5/NLGN4X/LRRC4C/CAMK2B/DRP2/GRIK2/GABRB1/SLITRK3/KCND3/CLSTN2/CLSTN3/SRC/LYN/ADD2/ARHGAP44/GRIN2D/TMEM108/ELFN2/CACNG4/SHANK2/GRIA3/NCK2/CNKSR2/GABRB2/GRIK3/CACNG5/GRM5/SORCS3/SCN8A/LRFN2/SYN2/PTPRO/NETO2/ABHD17C/IGSF21/GRIK5/PLPPR4/SLC8A1/ADCY8/SYN3/ABI1/PALM/CAP2/GRIK1/DLGAP1/NSG2/SHISA9/CACNG2/CACNG8/EEF2K/KCND2/NRCAM/RGS7BP/PTPRT/ASIC2/GPR158/ADGRB1/GABRB3/LRFN5/GRIP1/NETO1/LHFPL4/KALRN/BMPR2/DLGAP4/GRIN2B/KCNB1/LRP8/INPP4A/SHISA6/CAMK2G/PAK3/IGSF9B/GRIA1/PRICKLE1/ADCY1/ATP2B2/BCR/GSG1L/ITGA8/KCNK2/CACNA1C/WWC1/PCLO",193,"CC"
