"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl","rank"
1,"enrichment","OPC.1","P3H2",9.77609029226337,1.13007122702837e-19,1.58594196001161e-15,3144,2.61295576337237,"ENSG00000090530",1
2,"enrichment","OPC.1","TLR10",7.4700697714078,9.67234404433205e-13,4.00592804723725e-09,3343,2.32357360162367,"ENSG00000174123",2
3,"enrichment","OPC.1","ASB3",7.46210296215878,1.01751318133308e-12,4.00592804723725e-09,1546,0.843559870713287,"ENSG00000115239",3
4,"enrichment","OPC.1","ENSG00000253361",7.40112131993588,1.49796143093401e-12,4.00592804723725e-09,6103,2.37447992368634,"ENSG00000253361",4
5,"enrichment","OPC.1","CLDN1",7.39248643512379,1.58201866582243e-12,4.00592804723725e-09,3145,2.95440762923721,"ENSG00000163347",5
6,"enrichment","OPC.1","LINC02293",7.36199238241527,1.91779996313789e-12,4.00592804723725e-09,9442,2.37268720979646,"ENSG00000257185",6
7,"enrichment","OPC.1","MPPED2-AS1",7.35346492678874,2.02366702383947e-12,4.00592804723725e-09,7763,2.22695112693705,"ENSG00000254489",7
8,"enrichment","OPC.1","REV3L",7.33426663843648,2.28355596251233e-12,4.00592804723725e-09,5014,1.63326071318699,"ENSG00000009413",8
9,"enrichment","OPC.1","ENSG00000237705",7.27305109658074,3.35218449110399e-12,4.32961381148908e-09,3953,2.08158513406623,"ENSG00000237705",9
10,"enrichment","OPC.1","TIMP4",7.24718340001618,3.94005164088796e-12,4.32961381148908e-09,2406,2.09027885954865,"ENSG00000157150",10
11,"enrichment","OPC.1","CLDN16",7.23277115821487,4.31050671400121e-12,4.32961381148908e-09,3146,2.57947800231161,"ENSG00000113946",11
12,"enrichment","OPC.1","DGKI",7.22973088723197,4.39293170093913e-12,4.32961381148908e-09,5843,1.28329851049642,"ENSG00000157680",12
13,"enrichment","OPC.1","NOVA1-DT",7.20640838229902,5.07905540170858e-12,4.32961381148908e-09,9439,2.85596173373951,"ENSG00000257842",13
14,"enrichment","OPC.1","MYCBP2",7.1881620613558,5.68852420531323e-12,4.32961381148908e-09,9277,0.571724466395239,"ENSG00000005810",14
15,"enrichment","OPC.1","GPD2",7.17171342609909,6.29936374770274e-12,4.32961381148908e-09,1942,1.00436211885869,"ENSG00000115159",15
16,"enrichment","OPC.1","GLCCI1",7.169967353376,6.36788217760881e-12,4.32961381148908e-09,5301,1.62592299936745,"ENSG00000106415",16
17,"enrichment","OPC.1","KIF26B-AS1",7.1670981093214,6.48207330789004e-12,4.32961381148908e-09,1296,2.36788178703252,"ENSG00000232192",17
18,"enrichment","OPC.1","TNRC6A",7.15191390395476,7.12080128161887e-12,4.32961381148908e-09,10549,0.586389660139803,"ENSG00000090905",18
19,"enrichment","OPC.1","RUFY4",7.149570589524,7.22474556687984e-12,4.32961381148908e-09,2210,2.62852719474647,"ENSG00000188282",19
20,"enrichment","OPC.1","GPR155",7.1487639269632,7.26087200900182e-12,4.32961381148908e-09,2018,1.47412276911058,"ENSG00000163328",20
21,"enrichment","OPC.1","ENSG00000250092",7.14660382616222,7.35849081259591e-12,4.32961381148908e-09,3309,2.61260421946537,"ENSG00000250092",21
22,"enrichment","OPC.1","LSAMP",7.14566830751678,7.40116868214928e-12,4.32961381148908e-09,2826,1.17166817515277,"ENSG00000185565",22
23,"enrichment","OPC.1","LINC02497",7.14433061732699,7.46261726757728e-12,4.32961381148908e-09,3333,1.98141580657221,"ENSG00000251182",23
24,"enrichment","OPC.1","ANKS1B",7.13744650396398,7.78688361086e-12,4.32961381148908e-09,8850,0.630303336410475,"ENSG00000185046",24
25,"enrichment","OPC.1","TSC22D1",7.12796553203245,8.25629404353403e-12,4.32961381148908e-09,9187,0.744258688479689,"ENSG00000102804",25
26,"enrichment","OPC.1","SSTR1",7.12254304257941,8.53718060877102e-12,4.32961381148908e-09,9486,2.4349957975935,"ENSG00000139874",26
27,"enrichment","OPC.1","DANT2",7.11977876043816,8.68397198280114e-12,4.32961381148908e-09,13859,0.871512303197124,"ENSG00000235244",27
28,"enrichment","OPC.1","ZMAT3",7.11709614440025,8.82880236883461e-12,4.32961381148908e-09,3076,1.69934054054047,"ENSG00000172667",28
29,"enrichment","OPC.1","NOVA1",7.11494314784976,8.94675791172746e-12,4.32961381148908e-09,9437,1.43779223908995,"ENSG00000139910",29
30,"enrichment","OPC.1","CASK",7.09489810926593,1.01221682069258e-11,4.66297863770362e-09,13633,1.6167023124473,"ENSG00000147044",30
31,"enrichment","OPC.1","LINC01844",7.09206446373458,1.03001523278333e-11,4.66297863770362e-09,4329,2.2096395392504,"ENSG00000236714",31
32,"enrichment","OPC.1","TAOK3",7.07764694681026,1.12545698653481e-11,4.89002939163057e-09,8971,0.679369258317292,"ENSG00000135090",32
33,"enrichment","OPC.1","ENSG00000251294",7.06225770804888,1.23694492313728e-11,4.89002939163057e-09,3859,2.96103525602451,"ENSG00000251294",33
34,"enrichment","OPC.1","CCDC50",7.05914414873418,1.26078953611929e-11,4.89002939163057e-09,3148,2.17033682182382,"ENSG00000152492",34
35,"enrichment","OPC.1","KLHL7",7.05858265095408,1.26513757064635e-11,4.89002939163057e-09,5334,1.23550213007809,"ENSG00000122550",35
36,"enrichment","OPC.1","ASPH",7.04660787841987,1.36146121652366e-11,4.89002939163057e-09,6168,0.929696882451056,"ENSG00000198363",36
37,"enrichment","OPC.1","ME2",7.0455775596414,1.37007862321908e-11,4.89002939163057e-09,11790,0.746795066735307,"ENSG00000082212",37
38,"enrichment","OPC.1","USP24",7.0444812194892,1.37930719324841e-11,4.89002939163057e-09,453,1.24876013254389,"ENSG00000162402",38
39,"enrichment","OPC.1","ENSG00000260832",7.04380432744008,1.38503553804079e-11,4.89002939163057e-09,10840,1.65047138181462,"ENSG00000260832",39
40,"enrichment","OPC.1","EPN2",7.04277792590636,1.39376639351021e-11,4.89002939163057e-09,11076,1.24764176970268,"ENSG00000072134",40
41,"enrichment","OPC.1","ASAP1",7.03779152760815,1.4369590869659e-11,4.91860581133644e-09,6406,1.32501657383801,"ENSG00000153317",41
42,"enrichment","OPC.1","LINC00839",7.03148346290906,1.49349218070927e-11,4.99039744382713e-09,7188,2.2563285172642,"ENSG00000185904",42
43,"enrichment","OPC.1","LINC02119",7.01133854847451,1.68909559114843e-11,5.37071754054573e-09,3898,1.9190613460726,"ENSG00000248461",43
44,"enrichment","OPC.1","RAPH1",7.00870870218847,1.71642372831461e-11,5.37071754054573e-09,2154,1.27223014879074,"ENSG00000173166",44
45,"enrichment","OPC.1","NBEA",7.00816575224112,1.72211977572009e-11,5.37071754054573e-09,9145,0.882146270856138,"ENSG00000172915",45
46,"enrichment","OPC.1","ASAH2B",6.99792191025418,1.83314160360327e-11,5.40077773019377e-09,7232,2.03612447408984,"ENSG00000204147",46
47,"enrichment","OPC.1","ENSG00000271860",6.98965672089925,1.92782859565014e-11,5.40077773019377e-09,4959,1.26026871416614,"ENSG00000271860",47
48,"enrichment","OPC.1","ICA1L",6.98877618399061,1.9381955111747e-11,5.40077773019377e-09,2148,0.880742903224707,"ENSG00000163596",48
49,"enrichment","OPC.1","CSRNP3",6.98505999117457,1.98255549698645e-11,5.40077773019377e-09,1975,1.23586418533377,"ENSG00000178662",49
50,"enrichment","OPC.1","DISC1",6.98224492378783,2.01682252955904e-11,5.40077773019377e-09,1246,1.53731279738533,"ENSG00000162946",50
51,"enrichment","OPC.1","NR2E1",6.97975343191837,2.04763657784377e-11,5.40077773019377e-09,4989,1.8413004298282,"ENSG00000112333",51
52,"enrichment","OPC.1","ENSG00000259481",6.97853723106551,2.0628460228921e-11,5.40077773019377e-09,10066,2.73532531396467,"ENSG00000259481",52
53,"enrichment","OPC.1","FHDC1",6.97561114918137,2.09989574504058e-11,5.40077773019377e-09,3691,1.78865145677937,"ENSG00000137460",53
54,"enrichment","OPC.1","ENSG00000289557",6.97436768179172,2.11583795821896e-11,5.40077773019377e-09,8879,2.1564440684536,"ENSG00000289557",54
55,"enrichment","OPC.1","NCALD",6.96499497866744,2.23989725294722e-11,5.40077773019377e-09,6324,2.47446858656343,"ENSG00000104490",55
56,"enrichment","OPC.1","SETD5",6.95785482165086,2.33918408520964e-11,5.40077773019377e-09,2376,0.610227617542709,"ENSG00000168137",56
57,"enrichment","OPC.1","ENSG00000285519",6.95702727116647,2.350967916584e-11,5.40077773019377e-09,1554,1.86851953867066,"ENSG00000285519",57
58,"enrichment","OPC.1","DBX2",6.94824869160461,2.47962256345682e-11,5.40077773019377e-09,8557,2.63238576760852,"ENSG00000185610",58
59,"enrichment","OPC.1","FARS2",6.94554577281474,2.5206123213026e-11,5.40077773019377e-09,4543,0.60275395422817,"ENSG00000145982",59
60,"enrichment","OPC.1","THBS4",6.93939981511254,2.61631354731764e-11,5.40077773019377e-09,4052,1.09048154256838,"ENSG00000113296",60
61,"enrichment","OPC.1","LINC02253",6.9372629397193,2.65041824600385e-11,5.40077773019377e-09,10303,2.33597356095187,"ENSG00000259485",61
62,"enrichment","OPC.1","ZNF462",6.9360993765028,2.66917235772448e-11,5.40077773019377e-09,6801,1.17765957371646,"ENSG00000148143",62
63,"enrichment","OPC.1","LINC03051",6.93326467714005,2.71540980708505e-11,5.40077773019377e-09,2830,1.90793718813229,"ENSG00000239268",63
64,"enrichment","OPC.1","NR6A1",6.93229721877706,2.73136991857699e-11,5.40077773019377e-09,6885,0.941947225587388,"ENSG00000148200",64
65,"enrichment","OPC.1","TRAF3IP2-AS1",6.93057024603815,2.76008944821849e-11,5.40077773019377e-09,5015,0.785969038933464,"ENSG00000231889",65
66,"enrichment","OPC.1","LRRC4C",6.92707126043582,2.81919135147171e-11,5.40077773019377e-09,7801,2.54972278400597,"ENSG00000148948",66
67,"enrichment","OPC.1","GALNT10",6.92685872900861,2.82282109405746e-11,5.40077773019377e-09,4387,1.01505999728073,"ENSG00000164574",67
68,"enrichment","OPC.1","RBFOX2",6.92618189098453,2.83441121560783e-11,5.40077773019377e-09,13380,0.776262765299992,"ENSG00000100320",68
69,"enrichment","OPC.1","CHD9",6.92437184295587,2.86563685813005e-11,5.40077773019377e-09,10658,0.617673597885357,"ENSG00000177200",69
70,"enrichment","OPC.1","LINC02328",6.92299015191821,2.88970034753109e-11,5.40077773019377e-09,9735,1.62406245192722,"ENSG00000258733",70
71,"enrichment","OPC.1","LINC01013",6.92217154866563,2.9040507854856e-11,5.40077773019377e-09,5085,1.55052932935285,"ENSG00000228495",71
72,"enrichment","OPC.1","NEGR1",6.91631606602428,3.00876428023209e-11,5.40077773019377e-09,514,0.891102462401145,"ENSG00000172260",72
73,"enrichment","OPC.1","ENSG00000255132",6.91516128483802,3.02984946173766e-11,5.40077773019377e-09,7802,2.82856593313222,"ENSG00000255132",73
74,"enrichment","OPC.1","DPY19L3",6.9143017425078,3.04563817649411e-11,5.40077773019377e-09,12285,1.16781573148062,"ENSG00000178904",74
75,"enrichment","OPC.1","PPP1R12A",6.913829739031,3.05434268821865e-11,5.40077773019377e-09,8789,0.839477379783019,"ENSG00000058272",75
76,"enrichment","OPC.1","NR3C2",6.90954730010531,3.13444451146506e-11,5.40077773019377e-09,3676,0.918392252068767,"ENSG00000151623",76
77,"enrichment","OPC.1","NTRK2",6.90814890754753,3.16104595093737e-11,5.40077773019377e-09,6692,1.207198572171,"ENSG00000148053",77
78,"enrichment","OPC.1","NAV1",6.9059454658116,3.20341307786864e-11,5.40077773019377e-09,1077,0.745084408721179,"ENSG00000134369",78
79,"enrichment","OPC.1","WNT5A",6.90491311453887,3.22345451620022e-11,5.40077773019377e-09,2668,2.8211159369328,"ENSG00000114251",79
80,"enrichment","OPC.1","CHL1-AS2",6.9047846257906,3.22595753386395e-11,5.40077773019377e-09,2345,3.02542886908231,"ENSG00000224318",80
81,"enrichment","OPC.1","C1QL2",6.90169363380041,3.28675101496602e-11,5.40077773019377e-09,1835,2.66612635906715,"ENSG00000144119",81
82,"enrichment","OPC.1","ABHD2",6.90101468811691,3.30025469685727e-11,5.40077773019377e-09,10259,2.03013731584561,"ENSG00000140526",82
83,"enrichment","OPC.1","SNAP25-AS1",6.90065970825186,3.30733667232795e-11,5.40077773019377e-09,12785,2.27328706365891,"ENSG00000227906",83
84,"enrichment","OPC.1","KHDRBS3",6.90057480093776,3.30903281800483e-11,5.40077773019377e-09,6418,2.00427249815505,"ENSG00000131773",84
85,"enrichment","OPC.1","CSMD3",6.8998723809595,3.32309752765267e-11,5.40077773019377e-09,6353,2.11426955052679,"ENSG00000164796",85
86,"enrichment","OPC.1","ENSG00000287158",6.89966095094187,3.32734254033619e-11,5.40077773019377e-09,2738,3.83634035146235,"ENSG00000287158",86
87,"enrichment","OPC.1","ENSG00000226939",6.89863255073418,3.34806657066309e-11,5.40077773019377e-09,1904,3.14232614259737,"ENSG00000226939",87
88,"enrichment","OPC.1","CPEB4",6.89552431963371,3.41147766835706e-11,5.44053154519579e-09,4449,0.740618414364247,"ENSG00000113742",88
89,"enrichment","OPC.1","GSAP",6.89312580204836,3.46121609401572e-11,5.45783220937264e-09,5559,1.35561207612285,"ENSG00000186088",89
90,"enrichment","OPC.1","NAV3",6.88329720950332,3.67259123849139e-11,5.60033395868923e-09,8783,1.21769634175065,"ENSG00000067798",90
91,"enrichment","OPC.1","ENSG00000250243",6.88247600668126,3.69081629262041e-11,5.60033395868923e-09,3307,3.23595256676865,"ENSG00000250243",91
92,"enrichment","OPC.1","ATP13A4",6.8806541933109,3.73156620541037e-11,5.60033395868923e-09,3156,2.04216773148893,"ENSG00000127249",92
93,"enrichment","OPC.1","ENSG00000289644",6.88045047214072,3.73615041400586e-11,5.60033395868923e-09,9267,3.50395924816273,"ENSG00000289644",93
94,"enrichment","OPC.1","ENSG00000289079",6.87845995695974,3.78123420922386e-11,5.60033395868923e-09,6790,3.89469463930059,"ENSG00000289079",94
95,"enrichment","OPC.1","ENSG00000270114",6.87803099094012,3.79101985232633e-11,5.60033395868923e-09,5926,2.49164135603616,"ENSG00000270114",95
96,"enrichment","OPC.1","KHDRBS2",6.87187636540467,3.93419337589077e-11,5.75129894138032e-09,4868,1.27283488150102,"ENSG00000112232",96
97,"enrichment","OPC.1","RUNX1T1",6.86638214033131,4.06648857875066e-11,5.7682627399923e-09,6276,1.36173680286231,"ENSG00000079102",97
98,"enrichment","OPC.1","ENSG00000258394",6.86295624576414,4.15118518228048e-11,5.7682627399923e-09,9500,1.82531193060357,"ENSG00000258394",98
99,"enrichment","OPC.1","NLGN4X",6.8627145254186,4.15722620836045e-11,5.7682627399923e-09,13542,1.96507715759515,"ENSG00000146938",99
100,"enrichment","OPC.1","RIMS1",6.8621113585528,4.17233816491956e-11,5.7682627399923e-09,4885,1.92355211970903,"ENSG00000079841",100
1,"enrichment","OPC.2","RPL37",9.43215566255017,1.41419095744134e-18,1.98467558967318e-14,3908,0.942940077473566,"ENSG00000145592",1
2,"enrichment","OPC.2","RPL13",8.6709139745644,3.20648134417091e-16,2.24998795920473e-12,10887,1.45588457593856,"ENSG00000167526",2
3,"enrichment","OPC.2","EMILIN3",7.7702538056086,1.39785723755874e-13,6.53917615729979e-10,12932,2.32052771751339,"ENSG00000183798",3
4,"enrichment","OPC.2","HIP1R",7.69211855124984,2.32346106717832e-13,8.15186315419514e-10,9018,0.92024169619331,"ENSG00000130787",4
5,"enrichment","OPC.2","TNK2",7.55045323691014,5.78955363694714e-13,1.62501191481832e-09,3168,1.95223765392239,"ENSG00000061938",5
6,"enrichment","OPC.2","CHAD",7.39382476373171,1.56873580103364e-12,3.08589420886273e-09,11351,2.30436612758647,"ENSG00000136457",6
7,"enrichment","OPC.2","SNX33",7.34027917143413,2.1988700362425e-12,3.08589420886273e-09,10172,1.89867837526779,"ENSG00000173548",7
8,"enrichment","OPC.2","SHD",7.30551720585599,2.73548175448645e-12,3.48997735840571e-09,11967,2.08802811707004,"ENSG00000105251",8
9,"enrichment","OPC.2","ENSG00000266268",7.23776010150186,4.1786487284303e-12,4.34427303526838e-09,11651,2.13654651904654,"ENSG00000266268",9
