test,Green_Oligo,n,cor
OPC.1,COP,2987,-0.12711120874192472
OPC.1,MFOL,3189,-0.27618975596129874
OPC.1,OPC.1,2827,-0.061164726558360694
OPC.1,OPC.2,2491,0.08064771853479057
OPC.1,OPC.3,2186,0.09636804693446467
OPC.1,Oli.1,129,0.5820845815875678
OPC.1,Oli.10,12,-0.1653592025288243
OPC.1,Oli.11,18,-0.3863777970787588
OPC.1,Oli.12,379,0.39390423796344254
OPC.1,Oli.2,60,0.6474113259009239
OPC.1,Oli.3,43,-0.43401588237798233
OPC.1,Oli.4,512,-0.29924342388504843
OPC.1,Oli.5,480,-0.04026278352626835
OPC.1,Oli.6,109,0.11847209035466338
OPC.1,Oli.7,223,0.40262311619295155
OPC.1,Oli.8,179,0.34544425485883684
OPC.1,Oli.9,16,-0.5932530090040113
OPC.2,COP,2987,-0.1272468389671334
OPC.2,MFOL,3189,-0.27644916582384915
OPC.2,OPC.1,2827,-0.046581905305125494
OPC.2,OPC.2,2491,0.08075066587142858
OPC.2,OPC.3,2186,0.09453909811242489
OPC.2,Oli.1,129,0.5641459135868351
OPC.2,Oli.10,12,-0.3453584976535239
OPC.2,Oli.11,18,-0.44051977496187145
OPC.2,Oli.12,379,0.38840198814115867
OPC.2,Oli.2,60,0.6817765723987332
OPC.2,Oli.3,43,-0.5127525527403849
OPC.2,Oli.4,512,-0.33365881527941593
OPC.2,Oli.5,480,-0.04929992365724324
OPC.2,Oli.6,109,0.17532105729908395
OPC.2,Oli.7,223,0.3968557494785745
OPC.2,Oli.8,179,0.36278924184120787
OPC.2,Oli.9,16,-0.6478894637432118
OPC.3,COP,2987,-0.1070693207857562
OPC.3,MFOL,3189,-0.2866808679017892
OPC.3,OPC.1,2827,-0.09831853078473526
OPC.3,OPC.2,2491,0.05942882697583622
OPC.3,OPC.3,2186,0.07731198385874784
OPC.3,Oli.1,129,0.593990797732903
OPC.3,Oli.10,12,-0.03720848062583261
OPC.3,Oli.11,18,-0.320608079505098
OPC.3,Oli.12,379,0.40631699024787615
OPC.3,Oli.2,60,0.5938172702639578
OPC.3,Oli.3,43,-0.3285039361926388
OPC.3,Oli.4,512,-0.2488126592525574
OPC.3,Oli.5,480,-0.003915802243026107
OPC.3,Oli.6,109,0.0764131302188973
OPC.3,Oli.7,223,0.39977561819679225
OPC.3,Oli.8,179,0.32678453006415464
OPC.3,Oli.9,16,-0.5212412738579065
OPC.4,COP,2987,-0.11869052180018477
OPC.4,MFOL,3189,-0.28101990289446926
OPC.4,OPC.1,2827,-0.076126913499376
OPC.4,OPC.2,2491,0.07150698077067406
OPC.4,OPC.3,2186,0.08920700997628196
OPC.4,Oli.1,129,0.5782438669569891
OPC.4,Oli.10,12,-0.1156383572733442
OPC.4,Oli.11,18,-0.37526633139556215
OPC.4,Oli.12,379,0.3596751632377148
OPC.4,Oli.2,60,0.6221763294323872
OPC.4,Oli.3,43,-0.4214711567665474
OPC.4,Oli.4,512,-0.27258679438787414
OPC.4,Oli.5,480,-0.04056064264565582
OPC.4,Oli.6,109,0.11200061344501197
OPC.4,Oli.7,223,0.40002496738834087
OPC.4,Oli.8,179,0.35740361666010534
OPC.4,Oli.9,16,-0.5696093833234289
OPC.5,COP,2987,-0.13724229205022856
OPC.5,MFOL,3189,-0.2916663715218671
OPC.5,OPC.1,2827,-0.06818268004254437
OPC.5,OPC.2,2491,0.035472258350016814
OPC.5,OPC.3,2186,0.051516841788992525
OPC.5,Oli.1,129,0.5576760683693714
OPC.5,Oli.10,12,-0.42678868331489944
OPC.5,Oli.11,18,-0.2852804034913062
OPC.5,Oli.12,379,0.3906608960844277
OPC.5,Oli.2,60,0.7075851708094127
OPC.5,Oli.3,43,-0.5119793830396967
OPC.5,Oli.4,512,-0.3299954199985862
OPC.5,Oli.5,480,-0.09226833509376721
OPC.5,Oli.6,109,0.21063164118122252
OPC.5,Oli.7,223,0.2986574510967938
OPC.5,Oli.8,179,0.2808196525175828
OPC.5,Oli.9,16,-0.6136466625180561
Oligo.1,COP,2987,0.12564549908923373
Oligo.1,MFOL,3189,0.2667103902951317
Oligo.1,OPC.1,2827,0.05424606630184045
Oligo.1,OPC.2,2491,-0.06618181918089504
Oligo.1,OPC.3,2186,-0.09000426886950706
Oligo.1,Oli.1,129,-0.5431427013124916
Oligo.1,Oli.10,12,0.3187063160283884
Oligo.1,Oli.11,18,0.4232305210541389
Oligo.1,Oli.12,379,-0.4138446072139811
Oligo.1,Oli.2,60,-0.6987205495105173
Oligo.1,Oli.3,43,0.49480697536276635
Oligo.1,Oli.4,512,0.3371318500923267
Oligo.1,Oli.5,480,-0.0351495803494857
Oligo.1,Oli.6,109,-0.20556842650749937
Oligo.1,Oli.7,223,-0.4115994754739234
Oligo.1,Oli.8,179,-0.3686116180465279
Oligo.1,Oli.9,16,0.6140569535834529
Oligo.2,COP,2987,0.12972194739796103
Oligo.2,MFOL,3189,0.2759420354942926
Oligo.2,OPC.1,2827,0.06753221360042577
Oligo.2,OPC.2,2491,-0.04831269953696699
Oligo.2,OPC.3,2186,-0.07073791509851063
Oligo.2,Oli.1,129,-0.548587235320325
Oligo.2,Oli.10,12,0.519613806466914
Oligo.2,Oli.11,18,0.5041931962184405
Oligo.2,Oli.12,379,-0.4001350866162495
Oligo.2,Oli.2,60,-0.7380810904869612
Oligo.2,Oli.3,43,0.5526208830910678
Oligo.2,Oli.4,512,0.34003558047751486
Oligo.2,Oli.5,480,0.23502489270688254
Oligo.2,Oli.6,109,-0.23515216802651134
Oligo.2,Oli.7,223,-0.3867533520024066
Oligo.2,Oli.8,179,-0.33392323791483397
Oligo.2,Oli.9,16,0.70867081392709
Oligo.3,COP,2987,0.0985633250428666
Oligo.3,MFOL,3189,0.2791045882327467
Oligo.3,OPC.1,2827,0.0902989993263813
Oligo.3,OPC.2,2491,-0.08598837688215692
Oligo.3,OPC.3,2186,-0.0975316171142644
Oligo.3,Oli.1,129,-0.6131200616625025
Oligo.3,Oli.10,12,-0.18799675563788942
Oligo.3,Oli.11,18,0.210156647826929
Oligo.3,Oli.12,379,-0.27011199609183406
Oligo.3,Oli.2,60,-0.4254945967668578
Oligo.3,Oli.3,43,0.2332884593853896
Oligo.3,Oli.4,512,0.14974698196748396
Oligo.3,Oli.5,480,-0.02157314128885217
Oligo.3,Oli.6,109,0.06774795293742349
Oligo.3,Oli.7,223,-0.3812712686802169
Oligo.3,Oli.8,179,-0.3224749453364057
Oligo.3,Oli.9,16,0.3965366931190315
Oligo.4,COP,2987,0.11761320003609851
Oligo.4,MFOL,3189,0.2792773967495491
Oligo.4,OPC.1,2827,0.07007765240853822
Oligo.4,OPC.2,2491,-0.07113992209422702
Oligo.4,OPC.3,2186,-0.08775242905423042
Oligo.4,Oli.1,129,-0.5820975199848496
Oligo.4,Oli.10,12,0.07434330269234472
Oligo.4,Oli.11,18,0.26924935607593564
Oligo.4,Oli.12,379,-0.39706719253376105
Oligo.4,Oli.2,60,-0.6320849399558227
Oligo.4,Oli.3,43,0.3800799078974585
Oligo.4,Oli.4,512,0.28947924655579305
Oligo.4,Oli.5,480,-0.06241162723081779
Oligo.4,Oli.6,109,-0.09943290703848547
Oligo.4,Oli.7,223,-0.40176420773933724
Oligo.4,Oli.8,179,-0.3684149969370465
