cluster,HumanPilot,spatialDLPFC,spatialERC,snDLPFC_PEC
Astro.1,Layer1,L1~Sp09D02,Sp09D05,Astro
Astro.2,Layer1,L1~Sp09D02,Sp09D05,Astro
Endo.1,Layer1*,L1~Sp09D01,Sp09D08,PC
Excit.1,Layer3*,L3~Sp09D05,Sp09D01/Sp09D03,L2.3.IT
Excit.2,Layer5*,L5~Sp09D04/L6~Sp09D07/L3~Sp09D05/L4~Sp09D08,Sp09D03,L5.IT
Excit.3,Layer3,L3~Sp09D05/L2~Sp09D03,Sp09D01,L2.3.IT
Excit.4,Layer6*,L6~Sp09D07,Sp09D04,L6b
Excit.5,Layer6*,L6~Sp09D07,Sp09D04,L6.CT
Excit.6,Layer3*,L3~Sp09D05,Sp09D03/Sp09D01,L2.3.IT*
Excit.7,Layer3/Layer5/Layer4*,L3~Sp09D05/L4~Sp09D08/L5~Sp09D04,Sp09D03,L5.IT/L2.3.IT/L5.6.NP*
Excit.8,Layer5*,L5~Sp09D04,Sp09D03/Sp09D04,L5.6.NP
Excit.9,Layer3*,L3~Sp09D05/L4~Sp09D08*,Sp09D09,Pax6
Inhib.1,Layer2/Layer3/Layer4*,L2~Sp09D03/L3~Sp09D05*,Sp09D09,Vip
Inhib.2,Layer4*,L4~Sp09D08,Sp09D09,Pvalb
Inhib.3,Layer4*,L4~Sp09D08/L3~Sp09D05*,Sp09D09,Lamp5.Lhx6/Lamp5
Micro.1,WM*,L1~Sp09D01*,Sp09D08*,Micro
Micro.2,WM*,WM~Sp09D06/L1~Sp09D01*,Sp09D08/Sp09D06*,Micro
Neu.1,Layer4*,L4~Sp09D08/L3~Sp09D05/L5~Sp09D04*,Sp09D09,Sst
Neu.2,Layer4*,L4~Sp09D08,Sp09D09,Chandelier
OPC.1,WM*,WM~Sp09D06/L1~Sp09D02*,Sp09D05*,OPC
Oligo.1,WM,WM~Sp09D06,Sp09D06,Oligo
Oligo.2,WM,WM~Sp09D06,Sp09D06,Oligo
