Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000188976,NOC2L,11,-1.9041,38,-0.0587,1,-5.2533,39,-0.0225,16,-1.4501,76,1.18073,95,1.64356
ENSG00000188290,HES4,1168,3.16662,25,-3.6515,242,-0.2334,63,-2.3007,223,-0.3617,181,-0.6955,43,-2.8588
ENSG00000187608,ISG15,51,-1.1013,49,-1.1768,141,0.55776,65,-0.7306,82,-0.3744,226,1.46124,102,-0.0040
ENSG00000188157,AGRN,11,-1.6615,0,-6.6017,77,1.52038,29,-0.2176,1,-4.5282,68,1.27335,48,0.63022
ENSG00000078808,SDF4,139,0.50669,59,-0.9073,162,0.78733,49,-1.2065,90,-0.2336,136,0.47064,90,-0.2301
ENSG00000176022,B3GALT6,12,-1.3694,6,-2.2837,65,1.47611,25,-0.2202,1,-4.3308,42,0.62529,52,1.01258
ENSG00000160087,UBE2J2,11,-1.4258,16,-0.8842,15,-1.0614,48,0.91188,20,-0.6173,38,0.45381,53,1.09275
ENSG00000131584,ACAP3,11,-3.1860,129,0.54120,74,-0.3928,117,0.36106,52,-0.9525,114,0.32237,163,0.96995
ENSG00000127054,INTS11,11,-2.1139,51,0.19274,79,0.98256,41,-0.1758,1,-4.8576,82,1.03929,53,0.25343
ENSG00000107404,DVL1,324,2.32472,36,-1.6433,6,-4.1166,100,-0.0328,82,-0.3573,89,-0.2213,74,-0.5139
ENSG00000175756,AURKAIP1,157,0.13937,41,-1.9653,197,0.52725,188,0.44837,75,-1.0616,195,0.51374,161,0.18020
ENSG00000221978,CCNL2,11,-2.4696,67,0.23004,80,0.54382,19,-1.7381,87,0.69501,94,0.83334,50,-0.2521
ENSG00000242485,MRPL20,572,1.75051,83,-1.5886,156,-0.6093,175,-0.4333,224,-0.0270,145,-0.7283,235,0.05808
ENSG00000205090,TMEM240,11,-1.6913,1,-5.2551,27,-0.3954,66,1.18670,26,-0.4266,70,1.29649,38,0.17427
ENSG00000160075,SSU72,196,0.12931,26,-2.9652,258,0.61007,182,0.00060,151,-0.3064,231,0.40912,228,0.38982
ENSG00000228594,FNDC10,11,-2.1933,0,-6.7147,1,-5.6219,64,0.48191,142,2.09700,69,0.63080,51,0.07899
ENSG00000197530,MIB2,11,-2.1072,30,-0.6858,55,0.31546,41,-0.1690,65,0.61416,50,0.17425,66,0.64248
ENSG00000215790,SLC35E2A,11,-1.2212,0,-6.1908,32,0.41029,37,0.67452,3,-2.9688,45,1.03578,47,1.10605
ENSG00000078369,GNB1,288,-0.4382,95,-2.1445,144,-1.5193,414,0.16121,584,0.77404,573,0.73609,535,0.61202
ENSG00000187730,GABRD,130,-0.0952,0,-8.6231,11,-3.7568,114,-0.3022,295,1.40912,249,1.06545,161,0.27630
ENSG00000067606,PRKCZ,11,-4.1335,65,-1.6109,112,-0.7817,285,0.79951,163,-0.1722,309,0.95171,320,1.02293
ENSG00000162585,FAAP20,11,-2.7487,63,-0.1790,99,0.59604,76,0.14730,109,0.77498,97,0.56028,35,-1.1195
ENSG00000157933,SKI,11,-1.5486,0,-6.4952,50,0.81601,43,0.55538,19,-0.7919,68,1.43373,27,-0.2571
ENSG00000157916,RER1,298,2.34869,36,-1.4992,59,-0.7173,38,-1.4140,52,-0.9198,102,0.17269,61,-0.6642
ENSG00000157870,PRXL2B,11,-2.6452,0,-7.5142,88,0.51715,78,0.30000,138,1.36124,64,-0.0391,78,0.30685
ENSG00000158109,TPRG1L,176,0.02265,0,-7.6728,128,-0.4975,153,-0.2073,137,-0.3972,261,0.71064,361,1.33518
ENSG00000130764,LRRC47,11,-2.8328,7,-3.5770,73,-0.0235,48,-0.7010,136,1.08448,124,0.90671,120,0.84414
ENSG00000196581,AJAP1,12,-2.2922,36,-0.6010,7,-2.9961,26,-1.0800,204,2.92390,54,0.06324,24,-1.1968
ENSG00000069424,KCNAB2,297,0.46743,0,-8.0807,83,-1.5934,254,0.19485,234,0.05951,380,0.92199,335,0.68712
ENSG00000116254,CHD5,160,0.18801,0,-8.6827,69,-1.1682,199,0.57637,101,-0.5657,279,1.21587,192,0.50836
ENSG00000116251,RPL22,719,-0.2200,1630,1.24842,1920,1.58961,471,-0.8981,340,-1.4058,297,-1.6085,368,-1.2845
ENSG00000116237,ICMT,11,-1.9614,4,-3.3264,136,2.41007,14,-1.6489,2,-4.2026,89,1.41024,30,-0.4841
ENSG00000097021,ACOT7,45,-2.3554,46,-2.3156,57,-1.9890,120,-0.8612,227,0.18175,404,1.23777,530,1.82081
ENSG00000007923,DNAJC11,11,-1.8122,22,-0.8271,39,0.10045,33,-0.1753,3,-3.5336,93,1.73349,57,0.74067
ENSG00000171735,CAMTA1,68,-0.9191,19,-2.8533,159,0.47127,152,0.40190,60,-1.1190,221,1.08505,165,0.54696
ENSG00000049245,VAMP3,414,2.74249,248,1.47312,57,-1.0708,18,-2.7530,24,-2.3729,11,-3.4976,10,-3.6561
ENSG00000116288,PARK7,268,-0.2041,136,-1.2719,291,-0.0630,305,0.01245,365,0.31981,323,0.11185,429,0.60934
ENSG00000162426,SLC45A1,40,0.26608,14,-1.4167,4,-3.2101,18,-1.0522,43,0.38381,61,1.01592,61,1.01155
ENSG00000142599,RERE,60,-0.7027,43,-1.1984,88,-0.0721,66,-0.5392,213,1.56223,112,0.33974,62,-0.6561
ENSG00000074800,ENO1,28,-4.3470,126,-2.1502,690,0.56057,430,-0.2501,723,0.64403,619,0.36728,881,1.01453
ENSG00000171603,CLSTN1,11,-5.6533,101,-2.5256,380,-0.5037,261,-1.0958,704,0.53897,1049,1.29414,1106,1.40334
ENSG00000178585,CTNNBIP1,11,-2.0479,70,0.84297,50,0.21902,47,0.13175,35,-0.3581,65,0.68408,27,-0.7895
ENSG00000162441,LZIC,11,-1.7754,104,2.04960,52,0.61467,34,-0.1251,1,-4.6486,31,-0.2516,20,-0.9381
ENSG00000130939,UBE4B,11,-1.3772,0,-6.3219,37,0.47486,18,-0.7023,2,-3.4395,62,1.48733,63,1.51769
ENSG00000054523,KIF1B,11,-4.5299,271,0.22203,142,-0.8291,232,-0.0348,351,0.68328,252,0.10202,402,0.93400
ENSG00000142657,PGD,11,-2.0207,32,-0.4725,9,-2.3864,34,-0.3568,20,-1.2301,113,1.84616,80,1.12230
ENSG00000241563,CORT,13207,7.32453,0,-12.450,1,-10.843,71,-4.9810,276,-3.0165,115,-4.2936,28,-6.3034
ENSG00000120948,TARDBP,11,-2.6059,101,0.80450,74,0.24825,31,-1.1476,18,-1.9556,125,1.22060,86,0.50920
ENSG00000116649,SRM,11,-3.5148,15,-3.1081,161,0.53032,85,-0.5469,288,1.66711,148,0.38207,121,0.03333
ENSG00000198793,MTOR,11,-1.3772,10,-1.5140,11,-1.4828,34,0.34894,35,0.39805,52,1.12785,40,0.63967
ENSG00000116661,FBXO2,11,-4.5024,45,-2.5332,293,0.39297,275,0.28426,455,1.21219,291,0.37895,261,0.18980
ENSG00000132879,FBXO44,11,-3.4985,52,-1.2816,9,-3.7580,130,0.18659,106,-0.1581,233,1.25646,275,1.59556
ENSG00000011021,CLCN6,11,-1.5727,0,-6.1308,1,-5.0150,44,0.55998,4,-2.9776,82,1.80546,79,1.71315
ENSG00000116685,KIAA2013,161,2.25810,41,-0.3624,24,-1.1837,13,-2.0801,3,-4.3002,44,-0.2615,74,0.62882
ENSG00000116688,MFN2,11,-2.9973,50,-0.8043,91,0.16904,56,-0.6389,84,0.02471,163,1.22322,124,0.69818
ENSG00000048707,VPS13D,87,0.67769,51,-0.2260,60,0.05018,17,-1.9036,54,-0.1391,71,0.32887,70,0.30174
ENSG00000116731,PRDM2,11,-2.0097,41,-0.0565,5,-3.1427,53,0.36566,45,0.10998,47,0.15683,95,1.48217
ENSG00000189337,KAZN,11,-2.6567,65,-0.0130,43,-0.6892,25,-1.5051,209,2.31289,68,0.06888,37,-0.9083
ENSG00000142634,EFHD2,11,-3.2539,75,-0.4626,137,0.56869,72,-0.5207,8,-3.7872,9,-3.6388,380,2.86005
ENSG00000116786,PLEKHM2,11,-3.1481,48,-1.0328,82,-0.1794,108,0.26915,133,0.64504,158,0.96338,102,0.17814
ENSG00000159363,ATP13A2,12,-3.6112,10,-3.7985,60,-1.2542,117,-0.2016,180,0.53783,308,1.58000,236,1.04147
ENSG00000117118,SDHB,11,-2.9228,6,-3.7148,60,-0.4389,50,-0.7336,220,1.98706,126,0.83214,76,-0.0495
ENSG00000117115,PADI2,91,-0.5365,575,3.46244,122,-0.0591,49,-1.5050,33,-2.0889,11,-3.7060,5,-4.8572
ENSG00000117154,IGSF21,11,-2.1308,32,-0.5971,31,-0.6503,55,0.28976,1,-4.9887,50,0.13744,142,2.22944
