Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,112,2.47049,7,-1.9270,24,-0.2058,21,-0.3619,19,-0.5259,18,-0.6297,18,-0.6122
ENSG00000188976,NOC2L,112,1.21329,49,-0.1275,29,-1.1296,62,0.25143,56,0.11312,47,-0.1957,71,0.51979
ENSG00000188290,HES4,112,0.40919,76,-0.2024,90,0.08969,52,-0.7626,133,0.77859,75,-0.2223,51,-0.8377
ENSG00000187608,ISG15,112,0.27840,59,-0.7048,66,-0.6691,46,-1.0690,201,1.44157,111,0.29460,54,-0.8786
ENSG00000188157,AGRN,112,1.31344,34,-0.5701,31,-0.8927,14,-1.8682,62,0.37696,42,-0.2666,77,0.77678
ENSG00000078808,SDF4,112,0.75251,60,-0.2210,58,-0.3604,59,-0.2606,79,0.22007,70,0.00686,72,0.05344
ENSG00000176022,B3GALT6,112,1.76816,19,-1.0524,26,-0.7447,33,-0.2211,33,-0.2449,41,0.10325,42,0.14635
ENSG00000160087,UBE2J2,112,1.45257,41,-0.1675,25,-1.1402,31,-0.6099,52,0.21187,40,-0.2140,65,0.60113
ENSG00000131584,ACAP3,112,0.44175,53,-0.7083,70,-0.3672,57,-0.6023,90,0.10274,86,0.03567,121,0.64228
ENSG00000169972,PUSL1,112,3.07928,6,-1.7244,13,-0.8492,3,-2.6760,22,0.12892,15,-0.4598,9,-1.2994
ENSG00000127054,INTS11,112,1.19191,40,-0.4250,30,-1.0953,46,-0.2378,74,0.57617,62,0.24728,53,-0.0131
ENSG00000224051,CPTP,112,1.74020,16,-1.3671,21,-1.1207,40,0.05319,31,-0.3980,51,0.44311,46,0.29325
ENSG00000107404,DVL1,112,0.91535,66,0.07924,64,0.02476,86,0.48386,27,-1.3616,60,-0.0885,64,0.01739
ENSG00000175756,AURKAIP1,112,-0.7327,206,0.20838,189,0.09999,134,-0.4569,248,0.56136,178,-0.0202,142,-0.4018
ENSG00000221978,CCNL2,112,1.54143,41,-0.0803,32,-0.6126,17,-1.4440,60,0.55619,29,-0.6561,46,0.09291
ENSG00000242485,MRPL20,112,-0.6772,205,0.26133,178,0.04649,165,-0.0793,201,0.25301,178,0.04316,154,-0.2069
ENSG00000235098,ANKRD65,112,3.36800,26,0.52833,8,-1.3878,8,-1.1723,10,-0.8662,8,-1.2610,10,-0.9107
ENSG00000179403,VWA1,112,2.09336,145,2.63416,17,-1.1913,20,-0.7372,9,-1.9208,5,-2.7711,24,-0.4926
ENSG00000197785,ATAD3A,112,2.56793,19,-0.4807,10,-1.6057,8,-1.6377,30,0.28818,14,-0.9483,32,0.38283
ENSG00000205090,TMEM240,112,1.43595,26,-0.8804,25,-1.1399,57,0.30956,39,-0.2791,60,0.43278,56,0.30961
ENSG00000160075,SSU72,112,-0.3410,104,-0.4443,134,-0.0820,90,-0.6723,183,0.47251,151,0.13579,151,0.14299
ENSG00000228594,FNDC10,112,1.97716,15,-1.2627,30,-0.2529,47,0.47198,20,-0.8704,33,-0.0587,23,-0.6312
ENSG00000272106,AL691432.2,112,2.59163,17,-0.5650,18,-0.6816,7,-1.9634,19,-0.4675,19,-0.4352,23,-0.1633
ENSG00000197530,MIB2,112,1.53525,46,0.06758,43,-0.0486,26,-0.7999,40,-0.1688,26,-0.8726,43,-0.0503
ENSG00000189339,SLC35E2B,112,2.72575,18,-0.4145,13,-1.0463,11,-1.1037,10,-1.3461,29,0.31021,19,-0.4057
ENSG00000215790,SLC35E2A,112,2.20134,17,-0.8501,21,-0.7370,15,-1.0515,25,-0.3202,35,0.24382,25,-0.3438
ENSG00000008130,NADK,112,2.16447,17,-0.9544,26,-0.3396,28,-0.1423,22,-0.5625,22,-0.5670,28,-0.1868
ENSG00000078369,GNB1,112,-1.8161,264,-0.5295,378,0.02798,256,-0.5769,461,0.36961,480,0.44330,410,0.16271
ENSG00000187730,GABRD,112,0.01137,36,-1.6834,88,-0.4654,71,-0.6843,118,0.11307,164,0.69264,154,0.57364
ENSG00000067606,PRKCZ,112,-0.8297,141,-0.4748,182,-0.1063,184,-0.0675,208,0.13515,210,0.15255,248,0.44318
ENSG00000162585,FAAP20,112,1.10964,78,0.51124,59,0.10536,50,-0.1657,44,-0.3949,57,0.02456,26,-1.2449
ENSG00000157933,SKI,112,2.36332,21,-0.4800,24,-0.3260,13,-1.1979,10,-1.6192,25,-0.1999,28,0.00385
ENSG00000157916,RER1,112,0.73734,47,-0.6058,54,-0.5287,33,-1.1579,103,0.67582,91,0.45201,59,-0.2789
ENSG00000157911,PEX10,112,1.88725,40,0.15231,32,-0.2656,40,0.14132,36,-0.0109,21,-0.8639,19,-1.0284
ENSG00000149527,PLCH2,112,2.30662,14,-1.0707,11,-1.7200,35,0.26774,32,0.18662,28,-0.0852,27,-0.1343
ENSG00000197921,HES5,112,3.17281,15,-0.4504,20,0.02231,5,-2.0148,4,-2.4775,7,-1.5978,12,-0.8096
ENSG00000157870,PRXL2B,112,1.13176,40,-0.4968,47,-0.3379,43,-0.3753,59,0.11827,44,-0.3931,66,0.29972
ENSG00000177133,PRDM16-DT,112,3.09358,11,-0.8727,25,0.45304,10,-0.9884,6,-1.8641,5,-2.0851,4,-2.3876
ENSG00000158109,TPRG1L,112,-0.4221,100,-0.5831,109,-0.5895,102,-0.5535,183,0.37813,174,0.28945,224,0.74913
ENSG00000116213,WRAP73,112,3.04822,7,-1.4877,10,-1.3144,4,-2.2883,22,0.11324,15,-0.5490,16,-0.4172
ENSG00000130764,LRRC47,112,0.65859,51,-0.5588,56,-0.5497,58,-0.3659,87,0.27699,66,-0.1863,105,0.61881
ENSG00000116198,CEP104,112,3.21542,18,-0.0698,10,-1.2150,0,-5.7474,13,-0.6598,9,-1.2579,19,0.00216
ENSG00000196581,AJAP1,112,1.80288,14,-1.4814,17,-1.4261,20,-0.9581,33,-0.2496,53,0.58040,53,0.60228
