"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl","rank"
1,"enrichment","Excit.L2","MOB1B",12.2525984827449,5.30973531411155e-24,6.64106294853645e-21,4583,0.875527266786114,"ENSG00000173542",1
2,"enrichment","Excit.L2","PUM3",11.4026062600943,8.69100502811168e-22,6.52207781329613e-19,8683,0.920786768412529,"ENSG00000080608",2
3,"enrichment","Excit.L2","RPS6KA6",11.251079970576,2.15566628238031e-21,1.55547904322066e-18,18444,0.809178152034074,"ENSG00000072133",3
4,"enrichment","Excit.L2","TENT2",11.0395823103152,7.65317609873488e-21,4.22297755259897e-18,5395,0.485749192420148,"ENSG00000164329",4
5,"enrichment","Excit.L2","TTLL5",10.6682804892057,7.05008821102976e-20,3.00606147561658e-17,12963,0.678339142731692,"ENSG00000119685",5
6,"enrichment","Excit.L2","ENSG00000287161",10.6201344330412,9.39801934303821e-20,3.67325501864042e-17,14565,4.11497278760234,"ENSG00000287161",6
7,"enrichment","Excit.L2","RFX3",10.5611840502222,1.3360352186313e-19,5.01307134734837e-17,8688,1.63235116974355,"ENSG00000080298",7
8,"enrichment","Excit.L2","DTNBP1",10.4115969758829,3.25909007838207e-19,1.11170525382775e-16,6139,1.36029651609708,"ENSG00000047579",8
9,"enrichment","Excit.L2","EPB41L4B",10.2602949645186,8.01963248416591e-19,2.3508800786787e-16,9126,0.719724176034052,"ENSG00000095203",9
10,"enrichment","Excit.L2","CDH9",9.99632920246997,3.84194083072536e-18,9.74035836827548e-16,5159,1.94811907588337,"ENSG00000113100",10
11,"enrichment","Excit.L2","LINC02073",9.95471318844831,4.91562725709628e-18,1.19768938922576e-15,15275,2.41831241128546,"ENSG00000267452",11
12,"enrichment","Excit.L2","SPTBN1",9.85572564265403,8.82808251234762e-18,2.12338020530966e-15,2096,0.367589840126543,"ENSG00000115306",12
13,"enrichment","Excit.L2","LONRF2",9.82968408481393,1.02966018370302e-17,2.43655163889129e-15,2385,0.741263823809295,"ENSG00000170500",13
14,"enrichment","Excit.L2","SIPA1L1",9.82815783803276,1.03898582757477e-17,2.43655163889129e-15,12913,0.861849093090036,"ENSG00000197555",14
15,"enrichment","Excit.L2","OGA",9.7992000302328,1.23277362654923e-17,2.85531679107285e-15,9988,0.53204952367317,"ENSG00000198408",15
16,"enrichment","Excit.L2","ZFR",9.78690095123105,1.32561586308164e-17,3.03291209844813e-15,5171,0.367919672871021,"ENSG00000056097",16
17,"enrichment","Excit.L2","LINC02009",9.71905886846443,1.97804573092793e-17,4.21705863158396e-15,3428,2.27218083463496,"ENSG00000283646",17
18,"enrichment","Excit.L2","ATP6V1H",9.54772430753751,5.42269973772492e-17,1.10581814977671e-14,8197,0.94204159161926,"ENSG00000047249",18
19,"enrichment","Excit.L2","TTC8",9.50667256094266,6.9013011425871e-17,1.36289800774818e-14,13030,0.644447845218828,"ENSG00000165533",19
20,"enrichment","Excit.L2","LINC00276",9.42572689766875,1.10953193789772e-16,2.10261905928273e-14,1841,1.71063304416871,"ENSG00000230448",20
21,"enrichment","Excit.L2","DNAH9",9.32418045315409,2.01049920760934e-16,3.59228339371037e-14,14797,0.886117858423248,"ENSG00000007174",21
22,"enrichment","Excit.L2","AKAP5",9.31581779931854,2.11123969157031e-16,3.70177269659352e-14,12843,1.6386805156955,"ENSG00000179841",22
23,"enrichment","Excit.L2","PRKAA2",9.29589110069855,2.37201026159254e-16,4.08268665300345e-14,605,0.644296485171145,"ENSG00000162409",23
24,"enrichment","Excit.L2","TMEM170B",9.29261229489723,2.41789095303588e-16,4.08900970314479e-14,6120,0.559715036426343,"ENSG00000205269",24
25,"enrichment","Excit.L2","C6orf141",9.29251439108703,2.41927443659225e-16,4.08900970314479e-14,6481,3.73720167689358,"ENSG00000197261",25
26,"enrichment","Excit.L2","MTHFD1",9.25610606853621,2.99246421939146e-16,4.9682850637171e-14,12840,0.734874240258685,"ENSG00000100714",26
27,"enrichment","Excit.L2","ENSG00000287280",9.2463426168009,3.16795152788317e-16,5.16816857518401e-14,13201,2.95472141461362,"ENSG00000287280",27
28,"enrichment","Excit.L2","MTMR12",9.22701413109897,3.54615079208575e-16,5.68626794960006e-14,5170,0.673331753719583,"ENSG00000150712",28
29,"enrichment","Excit.L2","PLEKHA5",9.18285815626114,4.58733935647819e-16,7.29348081922774e-14,11341,0.754785414047707,"ENSG00000052126",29
30,"enrichment","Excit.L2","ENSG00000289731",9.16394112623329,5.12178127951291e-16,8.07476794831442e-14,5951,0.766173797556303,"ENSG00000289731",30
31,"enrichment","Excit.L2","ACAP2",9.14587248556836,5.69001146016699e-16,8.67888658570675e-14,4232,0.544037900541151,"ENSG00000114331",31
32,"enrichment","Excit.L2","DCLK2",9.0952989802707,7.63642089765164e-16,1.14613513968674e-13,4904,0.613226732837657,"ENSG00000170390",32
33,"enrichment","Excit.L2","ENSG00000236885",9.08103341700093,8.2966315878383e-16,1.22561500172783e-13,2609,2.25753306382032,"ENSG00000236885",33
34,"enrichment","Excit.L2","PIAS1",9.07375298642059,8.65516245240094e-16,1.25875583542243e-13,13540,0.476550104939587,"ENSG00000033800",34
35,"enrichment","Excit.L2","INHBA",9.02659868552929,1.13812466180868e-15,1.61760278637823e-13,7244,3.75566721581516,"ENSG00000122641",35
36,"enrichment","Excit.L2","GRP",9.01690346247545,1.20398333539696e-15,1.68566651905838e-13,15870,3.14118160376031,"ENSG00000134443",36
37,"enrichment","Excit.L2","MYB",8.9826430459566,1.46858642918069e-15,2.0258933821955e-13,6814,3.04130150386095,"ENSG00000118513",37
38,"enrichment","Excit.L2","ARL5A",8.98109023744914,1.48186295207287e-15,2.02928692290797e-13,2612,0.451825875898745,"ENSG00000162980",38
39,"enrichment","Excit.L2","CROT",8.92884434441955,2.00546234719774e-15,2.66840277275012e-13,7462,1.21847299687187,"ENSG00000005469",39
40,"enrichment","Excit.L2","NBAS",8.92217473263474,2.08437318777172e-15,2.75386798421023e-13,1844,0.419404329310208,"ENSG00000151779",40
41,"enrichment","Excit.L2","STRIP2",8.91063847327242,2.22822405822146e-15,2.92333647246803e-13,7741,2.03966412136127,"ENSG00000128578",41
