cell_type,enrichment_top5,MeanRatio_top5,overlap_top10
Excit.L2,"MOB1B, PUM3, RPS6KA6, TENT2, TTLL5","ENSG00000287880, LINC01090, ENSG00000289178, CALB1, ENSG00000286003",NA
Excit.L2_5.1,"PABPN1, PLP1, CD9, BCAS1, TXNIP","MT-ND1, MT-CYB, MT-ND5, MT-ND2, PABPN1",PABPN1
Excit.L2_5.2,"AGPAT5, CDK5RAP2, ENSG00000287831, MCOLN2, TGFBI","TGFBI, MCOLN2, ENSG00000230552, DNAI3, PAWR","MCOLN2, TGFBI"
Excit.L5.1,"GCNT1, ENSG00000287989, PIK3R1, ENSG00000248431, ENSG00000224879","ENSG00000287172, ENSG00000224404, RORB, PTGFRN, TEX41",NA
Excit.L5.2,"HOTAIRM1, TANK, ARID1B, LINC02752, HMCN2","HMCN2, GPC5-AS1, ENSG00000287159, ZNF536, GPC5-AS2","LINC02752, HMCN2, DSC3"
Excit.L5_6_NP,"CD200R1L, LINC02042, CCDC80, HMGA2, GNAT3","CCDC80, FAM89A, GPRIN2, NXPH2, MYOCD","CCDC80, FAM89A, GPRIN2"
Excit.L6_CT,"MAP2K1, CDON, CEP70, JAM3, CPE","CAV1, TSPAN18, KIT, ENSG00000276256, SULF1",NA
Excit.L6b,"XKR4, NXPH4, FGF11, CPLX3, RNF220","CDH24, CPLX3, OLFML2B, GRAMD2B, EPHA8","CPLX3, CDH24"
