"gene","cellType.target","mean.target","cellType.2nd","mean.2nd","MeanRatio","MeanRatio.rank","MeanRatio.anno","gene_ensembl","gene_name"
"ENSG00000287880","Excit.L2",0.713674200942597,"Excit.L2_5.1",0.255534573450884,2.79286748288005,1,"Excit.L2/Excit.L2_5.1: 2.793","ENSG00000287880","ENSG00000287880"
"LINC01090","Excit.L2",1.2295666994403,"Excit.L2_5.1",0.473508667023724,2.59671424214649,2,"Excit.L2/Excit.L2_5.1: 2.597","ENSG00000231689","LINC01090"
"ENSG00000289178","Excit.L2",1.94559551061855,"Excit.L2_5.1",0.772745153896197,2.51777122225719,3,"Excit.L2/Excit.L2_5.1: 2.518","ENSG00000289178","ENSG00000289178"
"CALB1","Excit.L2",0.386925046517986,"Excit.L2_5.1",0.155092277003023,2.49480537648205,4,"Excit.L2/Excit.L2_5.1: 2.495","ENSG00000104327","CALB1"
"ENSG00000286003","Excit.L2",0.684441181760373,"Excit.L2_5.1",0.275142214270889,2.48759058501474,5,"Excit.L2/Excit.L2_5.1: 2.488","ENSG00000286003","ENSG00000286003"
"LINC02073","Excit.L2",0.679123669398981,"Excit.L2_5.1",0.286613184355054,2.36947812057972,6,"Excit.L2/Excit.L2_5.1: 2.369","ENSG00000267452","LINC02073"
"LINC02669","Excit.L2",0.374143389141695,"Excit.L5.1",0.160148714972523,2.33622473465296,7,"Excit.L2/Excit.L5.1: 2.336","ENSG00000233321","LINC02669"
"ENSG00000229425","Excit.L2",1.78171546665846,"Excit.L5.1",0.794061023166286,2.24380169115208,8,"Excit.L2/Excit.L5.1: 2.244","ENSG00000229425","ENSG00000229425"
"NRAD1","Excit.L2",0.432963781288263,"Excit.L5.2",0.198530654725195,2.18084094815266,9,"Excit.L2/Excit.L5.2: 2.181","ENSG00000233725","NRAD1"
"MET","Excit.L2",0.726957792034803,"Excit.L5.1",0.335123951593806,2.16922063784903,10,"Excit.L2/Excit.L5.1: 2.169","ENSG00000105976","MET"
"MT-ND1","Excit.L2_5.1",1.26906773627844,"Excit.L6b",1.05631577727304,1.20140943038325,1,"Excit.L2_5.1/Excit.L6b: 1.201","ENSG00000198888","MT-ND1"
"MT-CYB","Excit.L2_5.1",1.46416903178863,"Excit.L6b",1.24656868634681,1.17455945093529,2,"Excit.L2_5.1/Excit.L6b: 1.175","ENSG00000198727","MT-CYB"
"MT-ND5","Excit.L2_5.1",0.882018958849981,"Excit.L6b",0.753424452409179,1.17068002774479,3,"Excit.L2_5.1/Excit.L6b: 1.171","ENSG00000198786","MT-ND5"
"MT-ND2","Excit.L2_5.1",1.34599838284579,"Excit.L6b",1.14998800810221,1.17044558148658,4,"Excit.L2_5.1/Excit.L6b: 1.17","ENSG00000198763","MT-ND2"
"PABPN1","Excit.L2_5.1",1.33611041892724,"Excit.L2",1.17869803112187,1.13354768027867,5,"Excit.L2_5.1/Excit.L2: 1.134","ENSG00000100836","PABPN1"
"CFLAR","Excit.L2_5.1",0.535962975244441,"Excit.L2",0.474729954161186,1.12898495354364,6,"Excit.L2_5.1/Excit.L2: 1.129","ENSG00000003402","CFLAR"
"GRIN1","Excit.L2_5.1",1.82929534168074,"Excit.L2",1.6281592679505,1.12353587126856,7,"Excit.L2_5.1/Excit.L2: 1.124","ENSG00000176884","GRIN1"
"ACAP3","Excit.L2_5.1",0.961154284961855,"Excit.L2",0.855876646241024,1.12300562140959,8,"Excit.L2_5.1/Excit.L2: 1.123","ENSG00000131584","ACAP3"
"ENSG00000289474","Excit.L2_5.1",1.27788580509312,"Excit.L5_6_NP",1.13793444507489,1.12298719018829,9,"Excit.L2_5.1/Excit.L5_6_NP: 1.123","ENSG00000289474","ENSG00000289474"
"ENSG00000289901","Excit.L2_5.1",0.751133667743846,"Excit.L6b",0.668952591164169,1.12285037484743,10,"Excit.L2_5.1/Excit.L6b: 1.123","ENSG00000289901","ENSG00000289901"
"TGFBI","Excit.L2_5.2",0.578050202422295,"Excit.L2_5.1",0.0453261565892555,12.7531263605818,1,"Excit.L2_5.2/Excit.L2_5.1: 12.753","ENSG00000120708","TGFBI"
"MCOLN2","Excit.L2_5.2",0.352220005655485,"Excit.L2_5.1",0.0298825097892596,11.7868280857078,2,"Excit.L2_5.2/Excit.L2_5.1: 11.787","ENSG00000153898","MCOLN2"
"ENSG00000230552","Excit.L2_5.2",0.728601311222997,"Excit.L2_5.1",0.0677319298781211,10.757132013425,3,"Excit.L2_5.2/Excit.L2_5.1: 10.757","ENSG00000230552","ENSG00000230552"
"DNAI3","Excit.L2_5.2",0.627741744349156,"Excit.L2_5.1",0.0739467142094404,8.48910936828367,4,"Excit.L2_5.2/Excit.L2_5.1: 8.489","ENSG00000162643","DNAI3"
"PAWR","Excit.L2_5.2",0.627299125085571,"Excit.L2_5.1",0.0817099683905824,7.67714316186018,5,"Excit.L2_5.2/Excit.L2_5.1: 7.677","ENSG00000177425","PAWR"
"ADGRG2","Excit.L2_5.2",0.436591482803077,"Excit.L5.2",0.0631620194872513,6.9122470488962,6,"Excit.L2_5.2/Excit.L5.2: 6.912","ENSG00000173698","ADGRG2"
"NPNT","Excit.L2_5.2",0.587307333882837,"Excit.L5_6_NP",0.0968849535263644,6.06190448058602,7,"Excit.L2_5.2/Excit.L5_6_NP: 6.062","ENSG00000168743","NPNT"
"MCOLN3","Excit.L2_5.2",0.361108173938317,"Excit.L2_5.1",0.0744270129576751,4.8518428939728,8,"Excit.L2_5.2/Excit.L2_5.1: 4.852","ENSG00000055732","MCOLN3"
"CRHR2","Excit.L2_5.2",1.03408863105177,"Excit.L5_6_NP",0.231112478532901,4.47439548749662,9,"Excit.L2_5.2/Excit.L5_6_NP: 4.474","ENSG00000106113","CRHR2"
"LINC01886","Excit.L2_5.2",0.309577883578141,"Excit.L5.2",0.0692801155434556,4.46849548603828,10,"Excit.L2_5.2/Excit.L5.2: 4.468","ENSG00000224568","LINC01886"
"ENSG00000287172","Excit.L5.1",1.50688747421293,"Excit.L2_5.1",0.318796226777861,4.72680460946275,1,"Excit.L5.1/Excit.L2_5.1: 4.727","ENSG00000287172","ENSG00000287172"
"ENSG00000224404","Excit.L5.1",0.558497272687016,"Excit.L2",0.122462301819964,4.56056487904402,2,"Excit.L5.1/Excit.L2: 4.561","ENSG00000224404","ENSG00000224404"
"RORB","Excit.L5.1",2.44368298717539,"Excit.L2_5.1",0.578933836948256,4.22100563348797,3,"Excit.L5.1/Excit.L2_5.1: 4.221","ENSG00000198963","RORB"
