"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
1,"enrichment","L1~Sp09D05","GLUD1",13.6145324972045,1.26824929452585e-32,1.58226781985045e-28,6292,0.913232127072817,"ENSG00000148672"
2,"enrichment","L1~Sp09D05","TTYH1",13.3808432049882,8.54978883257755e-32,3.94855037311336e-28,11173,0.880431866039944,"ENSG00000167614"
3,"enrichment","L1~Sp09D05","CLU",13.3679821991931,9.49475081704077e-32,3.94855037311336e-28,5143,0.911938563920712,"ENSG00000120885"
4,"enrichment","L1~Sp09D05","SLC1A3",13.141236825555,6.00719132930824e-31,1.87364297561124e-27,3310,1.30114145340508,"ENSG00000079215"
5,"enrichment","L1~Sp09D05","MLC1",12.739291412166,1.55367472159803e-29,3.8767291653314e-26,11992,1.36695518828794,"ENSG00000100427"
6,"enrichment","L1~Sp09D05","CST3",12.4334008173459,1.81635035240359e-28,3.77679783276453e-25,11349,1.13412110459275,"ENSG00000101439"
7,"enrichment","L1~Sp09D05","TUBB2B",12.3817247970399,2.74739929185704e-28,4.89665050931549e-25,3828,1.00943972305493,"ENSG00000137285"
8,"enrichment","L1~Sp09D05","NTRK2",12.3071057883617,4.98971555769606e-28,7.78146141222701e-25,5687,0.831294200239134,"ENSG00000148053"
9,"enrichment","L1~Sp09D05","GJA1",12.2727593091128,6.56472238149238e-28,9.10016404794433e-25,4295,1.47224046949701,"ENSG00000152661"
10,"enrichment","L1~Sp09D05","GLUL",12.1394306612235,1.90025354001585e-27,2.37075631652377e-24,986,1.09060006089248,"ENSG00000135821"
11,"enrichment","L1~Sp09D05","MT1G",12.0956021322201,2.69297591222567e-27,3.05432431644795e-24,9281,1.72553950878826,"ENSG00000125144"
12,"enrichment","L1~Sp09D05","AGT",11.9742256465951,7.05870614480843e-27,7.05356145456337e-24,1176,1.51079488050124,"ENSG00000135744"
13,"enrichment","L1~Sp09D05","ATP1B2",11.9691271715822,7.34981555861845e-27,7.05356145456337e-24,9623,1.14056427582911,"ENSG00000129244"
14,"enrichment","L1~Sp09D05","AHCYL1",11.9548753031281,8.22860200519964e-27,7.33285990120505e-24,644,1.03241531163278,"ENSG00000168710"
15,"enrichment","L1~Sp09D05","MT1E",11.8931263679489,1.34164373828309e-26,1.11588981858799e-23,9277,1.1881891681298,"ENSG00000169715"
16,"enrichment","L1~Sp09D05","SERPINE2",11.8237800588657,2.3209522818232e-26,1.80976254175164e-23,1989,1.00614088918899,"ENSG00000135919"
17,"enrichment","L1~Sp09D05","FBXO2",11.812781531542,2.53150312662108e-26,1.85782547104263e-23,109,0.813754116940541,"ENSG00000116661"
18,"enrichment","L1~Sp09D05","MT1F",11.6424432358968,9.68312000508969e-26,6.71147806574994e-23,9280,1.24431989575032,"ENSG00000198417"
19,"enrichment","L1~Sp09D05","ALDOC",11.6262237719494,1.09989449452058e-25,7.22225458612568e-23,9728,0.794133918936872,"ENSG00000109107"
20,"enrichment","L1~Sp09D05","ITM2C",11.5321237913479,2.30085210137704e-25,1.435271540839e-22,2005,0.752269653666841,"ENSG00000135916"
21,"enrichment","L1~Sp09D05","SPARCL1",11.4789665593104,3.48800164568862e-25,2.07220516817196e-22,3021,0.924538698169088,"ENSG00000152583"
22,"enrichment","L1~Sp09D05","ATP1A2",11.4713998216942,3.70061642383974e-25,2.09858593199203e-22,889,1.16056085229675,"ENSG00000018625"
23,"enrichment","L1~Sp09D05","MT3",11.4376057442418,4.81916606324249e-25,2.61408329587014e-22,9275,0.838778954182499,"ENSG00000087250"
24,"enrichment","L1~Sp09D05","CPE",11.4031835494226,6.30496636513587e-25,3.27753168214313e-22,3185,0.835209918260513,"ENSG00000109472"
25,"enrichment","L1~Sp09D05","PON2",11.2317119788902,2.39466068607497e-24,1.19503146877885e-21,4764,1.19788521745662,"ENSG00000105854"
26,"enrichment","L1~Sp09D05","APOE",11.074639788165,8.07942236197844e-24,3.87687974569396e-21,11009,1.11341128549862,"ENSG00000130203"
27,"enrichment","L1~Sp09D05","SLC1A2",11.0512968189328,9.67467259146173e-24,4.4704153796695e-21,6697,1.32321558062196,"ENSG00000110436"
28,"enrichment","L1~Sp09D05","ENHO",10.956348688499,2.01053181424646e-23,8.95835532662099e-21,5594,0.81648656504088,"ENSG00000168913"
29,"enrichment","L1~Sp09D05","C1orf61",10.9420902003076,2.24350869165835e-23,9.65172911625158e-21,863,0.818772382792947,"ENSG00000125462"
30,"enrichment","L1~Sp09D05","SLC3A2",10.8812609626975,3.57935816990071e-23,1.48853575092271e-20,6829,0.78880667745197,"ENSG00000168003"
31,"enrichment","L1~Sp09D05","METTL7A",10.8535970673577,4.42513731959503e-23,1.78090365158928e-20,7469,1.21089733562261,"ENSG00000185432"
32,"enrichment","L1~Sp09D05","MT1M",10.7448547828128,1.0166266935373e-22,3.96357332142853e-20,9278,1.20570565417698,"ENSG00000205364"
33,"enrichment","L1~Sp09D05","NTSR2",10.734826905433,1.09749340044425e-22,4.14919020119467e-20,1282,0.986738973237647,"ENSG00000169006"
34,"enrichment","L1~Sp09D05","AQP4",10.5825134831814,3.49761275897751e-22,1.28341814061775e-19,10311,1.592481454827,"ENSG00000171885"
35,"enrichment","L1~Sp09D05","FXYD1",10.4901226788642,7.04190162298449e-22,2.51013613281013e-19,10845,0.884035468505191,"ENSG00000266964"
36,"enrichment","L1~Sp09D05","PTPRZ1",10.4652790783227,8.49622549391237e-22,2.94441414616808e-19,4901,1.00194555961957,"ENSG00000106278"
37,"enrichment","L1~Sp09D05","LRIG1",10.3638298785745,1.82534366340084e-21,6.15486149853753e-19,2394,1.3786891913773,"ENSG00000144749"
38,"enrichment","L1~Sp09D05","F3",10.2764729090557,3.51751306435381e-21,1.15485507870732e-18,583,1.52841402366619,"ENSG00000117525"
39,"enrichment","L1~Sp09D05","SFXN5",10.2679080561314,3.75070039718081e-21,1.19983943987764e-18,1512,0.956250900148165,"ENSG00000144040"
40,"enrichment","L1~Sp09D05","METRN",10.2089743203659,5.82985041259883e-21,1.81288338562599e-18,8958,1.01657375550418,"ENSG00000103260"
41,"enrichment","L1~Sp09D05","ALDH6A1",10.2060719434658,5.95769628171415e-21,1.81288338562599e-18,8381,0.93487129365191,"ENSG00000119711"
42,"enrichment","L1~Sp09D05","TPP1",10.2009475958103,6.19025964879629e-21,1.83880188996149e-18,6585,0.751998003928571,"ENSG00000166340"
43,"enrichment","L1~Sp09D05","ETNPPL",10.1778203576079,7.35733783159075e-21,2.11014251315383e-18,3072,1.18995848145023,"ENSG00000164089"
44,"enrichment","L1~Sp09D05","LRRC8A",10.1762877221706,7.44199026761531e-21,2.11014251315383e-18,5899,0.796017165054011,"ENSG00000136802"
45,"enrichment","L1~Sp09D05","BCAN",10.0832522420888,1.48823600434178e-20,4.08699732891274e-18,868,0.874379092857505,"ENSG00000132692"
