"","cluster","contrast","n_FDR05","nUP","nDown"
"1","Astro.1","carrier_AA",17,14,3
"2","Astro.1","carrier_EA",2,0,2
"3","Astro.2","carrier_AA",2,0,2
"4","Astro.2","carrier_EA",0,0,0
"5","Astro.3","carrier_AA",0,0,0
"6","Astro.3","carrier_EA",0,0,0
"7","Astro.4","carrier_AA",0,0,0
"8","Astro.4","carrier_EA",0,0,0
"9","Astro.5","carrier_AA",0,0,0
"10","Astro.5","carrier_EA",0,0,0
"11","Macro","carrier_AA",0,0,0
"12","Macro","carrier_EA",0,0,0
"13","Micro.1","carrier_AA",15,12,3
"14","Micro.1","carrier_EA",1,1,0
"15","Micro.2","carrier_AA",0,0,0
"16","Micro.2","carrier_EA",0,0,0
"17","Micro.3","carrier_AA",0,0,0
"18","Micro.3","carrier_EA",3,3,0
"19","Micro.4","carrier_AA",3,1,2
"20","Micro.4","carrier_EA",3,2,1
"21","Micro.5","carrier_AA",0,0,0
"22","Micro.5","carrier_EA",0,0,0
"23","OPC.1","carrier_AA",1,1,0
"24","OPC.1","carrier_EA",0,0,0
"25","OPC.2","carrier_AA",0,0,0
"26","OPC.2","carrier_EA",0,0,0
"27","OPC.3","carrier_AA",1,1,0
"28","OPC.3","carrier_EA",1,1,0
"29","OPC.4","carrier_AA",4,1,3
"30","OPC.4","carrier_EA",0,0,0
"31","OPC.5","carrier_AA",0,0,0
"32","OPC.5","carrier_EA",1,0,1
"33","Oligo.1","carrier_AA",0,0,0
"34","Oligo.1","carrier_EA",0,0,0
"35","Oligo.2","carrier_AA",0,0,0
"36","Oligo.2","carrier_EA",3,3,0
"37","Oligo.3","carrier_AA",5,4,1
"38","Oligo.3","carrier_EA",225,164,61
"39","Oligo.4","carrier_AA",0,0,0
"40","Oligo.4","carrier_EA",0,0,0
"41","Oligo.5","carrier_AA",0,0,0
"42","Oligo.5","carrier_EA",1,1,0
"43","Vasc.Endo","carrier_AA",2,1,1
"44","Vasc.Endo","carrier_EA",59,23,36
"45","Vasc.VLMC","carrier_AA",3,0,3
"46","Vasc.VLMC","carrier_EA",1,1,0
"47","Excit.L2","carrier_AA",0,0,0
"48","Excit.L2","carrier_EA",0,0,0
"49","Excit.L2_5.1","carrier_AA",0,0,0
"50","Excit.L2_5.1","carrier_EA",0,0,0
"51","Excit.L2_5.2","carrier_AA",0,0,0
"52","Excit.L2_5.2","carrier_EA",1,1,0
"53","Excit.L5.1","carrier_AA",0,0,0
"54","Excit.L5.1","carrier_EA",1,1,0
"55","Excit.L5.2","carrier_AA",175,173,2
"56","Excit.L5.2","carrier_EA",0,0,0
"57","Excit.L6_CT","carrier_AA",0,0,0
"58","Excit.L6_CT","carrier_EA",0,0,0
"59","Excit.L6b","carrier_AA",0,0,0
"60","Excit.L6b","carrier_EA",0,0,0
"61","Inhib.Lamp5_Lhx6","carrier_AA",0,0,0
"62","Inhib.Lamp5_Lhx6","carrier_EA",0,0,0
"63","Inhib.Pvalb","carrier_AA",0,0,0
"64","Inhib.Pvalb","carrier_EA",0,0,0
"65","Inhib.Vip","carrier_AA",0,0,0
"66","Inhib.Vip","carrier_EA",0,0,0
"67","Inhib.Chandelier","carrier_AA",0,0,0
"68","Inhib.Chandelier","carrier_EA",0,0,0
"69","Inhib.Sst","carrier_AA",0,0,0
"70","Inhib.Sst","carrier_EA",0,0,0
