"","APOEE2.E3","APOEE3.E4","APOEE4.E4","AveExpr","F","P.Value","adj.P.Val"
"Excit.L6b",-0.37743457730628,-1.64239739140424,-1.01749642938208,-1.0645144580454,4.70327820044866,0.0114009740763122,0.237491719673152
"Oligo.2",-0.388453908892614,-1.14263147450113,-0.88266248555518,2.25352392939194,3.77074417205579,0.0258860481210179,0.237491719673152
"Excit.L2",0.174352957302203,0.984704657716878,0.653632583583575,-0.131425487076438,3.23105578172652,0.0427287556972933,0.237491719673152
"Oligo.1",-0.171496403552078,-0.908017893148921,-0.577824509194811,2.96385104297568,2.88229653411164,0.0597099710351671,0.237491719673152
"Inhib.Pvalb",0.436343126761499,0.806416670795485,0.968619087871282,-0.431162560682035,2.8553192640894,0.0612973565569679,0.237491719673152
"Endo",-0.450167049636843,-0.112186375881811,-0.8104614682837,-0.213088985594654,2.79882125948425,0.0647704690017687,0.237491719673152
"Inhib.Vip",-0.375770476947447,0.0677731827842303,-0.15749827250482,1.54349283263863,2.24781596337349,0.11214198975596,0.35244625351873
"Astro.1",-0.322040832951192,-0.550757851998729,-0.55486484711842,2.16549934838202,1.99235125777312,0.145609672561158,0.391960065631683
"Astro.2",-0.484777688179246,-0.4053819808257,-0.141342800001006,1.63410522719209,1.89897301542931,0.160347299576598,0.391960065631683
"Micro.2",0.11383902578576,0.52046542833125,0.411201405826907,0.620978855804111,1.58672153670133,0.222048758351028,0.444526896173659
"Inhib.Sst",0.201681667458078,0.679148249354898,0.30790920760835,-0.776470387972815,1.58580052775359,0.22226344808683,0.444526896173659
"Inhib.Lamp5_Lhx6",-0.184227566011921,0.33186773755691,0.0741200478171484,-0.40078697682068,1.40663960426319,0.268365483244025,0.492003385947379
"OPC",-0.429967685926662,-0.415694200163145,-0.443587910571657,2.29945311922919,1.22316622761704,0.325705098195578,0.551193243100209
"Excit.L6_CT",0.235050570431672,-0.434704911197674,-0.157221949655199,-1.35625428344344,1.14850529663521,0.352408860643126,0.553785352439197
"Excit.L2_5.1",-0.511936549239554,-0.195132759647349,-0.189086652752495,1.52948213360786,0.91834871332652,0.448835916454317,0.644424158483756
"Excit.L5_6_NP",0.511438228822839,1.19962676940632,0.456611117096125,-3.11083757106732,0.876881156220233,0.468672115260913,0.644424158483756
"Inhib.Pax6",-0.166505399145242,0.303865641295025,-0.0951110934480082,-2.60222424283379,0.761036310071046,0.528365244869257,0.674185453046271
"Inhib.Chandelier",-0.228039939130186,0.44287182397403,0.150194727828792,-1.8349365752615,0.719019286741273,0.551606279765131,0.674185453046271
"Excit.L2_5.2",0.488686397116539,0.00343292128329226,0.664107907366199,-1.859861750972,0.562643398160446,0.645527335294724,0.725005697715442
"Excit.L5.1",0.191100132874843,0.678878958127965,0.185673062276267,-0.416375806041243,0.541494327521939,0.65909608883222,0.725005697715442
"Micro.1",0.0297697012428197,-0.234544994590646,-0.00115071244065844,1.77666152264006,0.405749180804808,0.750402682570007,0.786136143644769
"Excit.L5.2",0.352794113403165,0.418303160612922,0.308646807127491,-2.58910892605026,0.156753138769152,0.924165465024532,0.924165465024532
