"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Excit.L6b",-1.13127881532546,-1.0645144580454,-3.04776590036162,0.00582003802517356,0.0603250126826504,-2.17140079911793
"Oligo.2",-0.742218152798112,2.25352392939194,-2.92328889165223,0.00777535597595148,0.0603250126826504,-2.40650058816097
"Excit.L2",0.704993511276667,-0.131425487076438,2.89889100465427,0.0082261380930887,0.0603250126826504,-2.48446676718184
"Oligo.1",-0.526610280643624,2.96385104297568,-2.46905512715301,0.0216229133859795,0.105945756323072,-3.22520554414881
"Inhib.Pvalb",0.558994311196379,-0.431162560682035,2.41958243088257,0.0240785809825164,0.105945756323072,-3.41968742271306
"Micro.2",0.376437003600093,0.620978855804111,2.21917710213662,0.0368923101131474,0.135271803748207,-3.72870567142969
"Inhib.Lamp5_Lhx6",0.338982948625354,-0.40078697682068,1.82763497324116,0.0809469029952256,0.254404552270709,-4.31502183410896
"Astro.1",-0.284372330021717,2.16549934838202,-1.74293092216316,0.0950487875574537,0.261384165782998,-4.44176135703034
"Inhib.Chandelier",0.500463553685094,-1.8349365752615,1.58506116028,0.126959467182792,0.293061288710935,-4.67204561029619
"Inhib.Sst",0.330570151235825,-0.776470387972815,1.55812923505076,0.133209676686788,0.293061288710935,-4.65893294578601
"Excit.L6_CT",-0.448768097463668,-1.35625428344344,-1.41889620796587,0.169684491159202,0.331886509754461,-4.84814062768796
"Inhib.Vip",0.220523462353299,1.54349283263863,1.38055011657401,0.181029005320615,0.331886509754461,-4.84031023791022
"Excit.L5_6_NP",0.523357040865553,-3.11083757106732,1.03098039171247,0.313545924703952,0.504901689554971,-5.2893272104489
"Micro.1",-0.198435711377786,1.77666152264006,-1.00051008751777,0.327742042583877,0.504901689554971,-5.3289694526557
"Excit.L2_5.1",0.213953301720182,1.52948213360786,0.966203964873242,0.344251151969298,0.504901689554971,-5.31891464136201
"Astro.2",0.132958792100124,1.63410522719209,0.820692172981673,0.420463743922998,0.521393103712252,-5.40232360765089
"Excit.L5.1",0.325367628832014,-0.416375806041243,0.814377569954356,0.423996004483705,0.521393103712252,-5.59693571373545
"Inhib.Pax6",0.216143353518639,-2.60222424283379,0.809753463564604,0.426594357582751,0.521393103712252,-5.59144524437848
"Endo",-0.203569414335866,-0.213088985594654,-0.716753528942265,0.480927954887615,0.556863947764607,-5.52738331623975
"OPC",-0.102034214601729,2.29945311922919,-0.549814162148556,0.587883522673593,0.646671874940952,-5.53569500335351
"Excit.L2_5.2",-0.0180404744812847,-1.859861750972,-0.0330694017174835,0.973911932327047,0.991969440515889,-5.87441284245538
"Excit.L5.2",-0.00452827593146103,-2.58910892605026,-0.0101778344217089,0.991969440515889,0.991969440515889,-5.7539977067783
