gene,Layer,Source
TRABD2A,Layer5,ERC RNAScope
RELN,Layer1,ERC RNAScope
MBP,WM,ERC RNAScope
FREM3,Layer3,ERC RNAScope
AQP4,Layer1,HumanPilot RNAScope
HPCAL1,Layer2,HumanPilot RNAScope
TRABD2A,Layer5,HumanPilot RNAScope
KRT17,Layer6,HumanPilot RNAScope
