Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,15,-0.4302,17,-0.1851,38,1.16262,39,1.23102,0,-4.8708,12,-0.7828
ENSG00000188976,NOC2L,28,-0.6994,47,0.24641,74,1.01047,75,1.04360,8,-2.4282,23,-0.9357
ENSG00000188290,HES4,83,-0.0773,51,-0.9599,102,0.27689,70,-0.3460,183,1.31745,71,-0.3229
ENSG00000187608,ISG15,108,0.23462,44,-1.3608,118,0.35521,77,-0.3505,175,1.04233,93,-0.0559
ENSG00000188157,AGRN,38,0.35595,15,-1.2345,49,0.74467,43,0.52075,14,-1.2406,40,0.37863
ENSG00000078808,SDF4,72,-0.1053,61,-0.3931,86,0.19637,79,0.06113,61,-0.3480,116,0.71280
ENSG00000176022,B3GALT6,34,-0.1334,42,0.28374,48,0.47688,46,0.38408,27,-0.4563,18,-1.1367
ENSG00000160087,UBE2J2,32,-0.3647,43,0.21646,64,0.86463,51,0.47339,2,-4.3035,42,0.14080
ENSG00000131584,ACAP3,59,-0.8486,132,0.67092,113,0.28891,121,0.41003,83,-0.2189,60,-0.7230
ENSG00000127054,INTS11,34,-0.6316,48,-0.0051,63,0.46158,53,0.16835,37,-0.4141,67,0.56090
ENSG00000224051,CPTP,30,-0.3631,35,-0.0604,34,-0.1207,37,0.03382,59,0.82239,31,-0.2601
ENSG00000107404,DVL1,66,-0.0266,86,0.51623,53,-0.3813,53,-0.3818,58,-0.2215,66,-0.0155
ENSG00000175756,AURKAIP1,164,-0.0642,170,0.00352,166,-0.0396,197,0.24850,122,-0.5394,206,0.31833
ENSG00000221978,CCNL2,30,-0.7060,39,-0.2398,81,1.04923,62,0.59126,27,-0.7661,45,0.03177
ENSG00000242485,MRPL20,174,0.03523,235,0.65477,153,-0.1770,139,-0.3300,91,-1.0050,165,-0.0597
ENSG00000235098,ANKRD65,13,-0.3120,20,0.46795,16,0.07265,12,-0.3817,0,-4.7298,30,1.12852
ENSG00000179403,VWA1,33,-0.7486,34,-0.6950,10,-2.3780,36,-0.5307,29,-0.8540,192,2.65561
ENSG00000197785,ATAD3A,10,-1.0874,15,-0.4126,28,0.72977,20,0.14406,30,0.83309,20,0.10779
ENSG00000205090,TMEM240,38,-0.1670,45,0.15056,56,0.52133,65,0.76724,27,-0.6924,18,-1.3224
ENSG00000160075,SSU72,154,0.20723,146,0.09603,171,0.35374,148,0.10837,113,-0.3366,77,-0.9249
ENSG00000228594,FNDC10,45,0.01364,31,-0.6350,62,0.57360,68,0.74127,47,0.08881,25,-0.8910
ENSG00000272106,AL691432.2,16,-0.8767,43,0.99000,27,0.04291,27,0.01998,21,-0.3529,20,-0.4851
ENSG00000197530,MIB2,34,-0.4471,35,-0.4094,42,-0.0491,92,1.34181,43,0.00771,31,-0.5273
ENSG00000189339,SLC35E2B,26,0.10736,32,0.56592,29,0.29249,30,0.36568,0,-5.1986,19,-0.4090
ENSG00000215790,SLC35E2A,17,-0.4196,19,-0.2093,32,0.62581,14,-0.6360,40,1.03092,15,-0.6030
ENSG00000008130,NADK,23,-0.4231,26,-0.1683,32,0.19107,44,0.73583,31,0.16193,23,-0.3320
ENSG00000078369,GNB1,410,0.16352,381,0.02492,516,0.53073,388,0.04904,290,-0.4214,237,-0.7424
ENSG00000187730,GABRD,85,-0.2969,125,0.45068,200,1.21252,114,0.21174,47,-1.2009,19,-2.5125
ENSG00000067606,PRKCZ,177,-0.2032,193,-0.0471,294,0.67240,333,0.90012,118,-0.8237,96,-1.1387
ENSG00000162585,FAAP20,77,0.59805,39,-0.6863,67,0.24867,59,0.04401,35,-0.8054,66,0.23584
ENSG00000157933,SKI,36,0.12134,43,0.47325,39,0.22589,26,-0.4232,26,-0.4406,22,-0.6606
ENSG00000157916,RER1,41,-0.6381,54,-0.1463,89,0.71829,59,0.00847,27,-1.2286,103,0.97066
ENSG00000157911,PEX10,30,-0.2892,37,0.09722,31,-0.2134,44,0.36129,31,-0.2212,42,0.29259
ENSG00000149527,PLCH2,19,0.62019,11,-0.5255,24,0.90504,6,-1.1896,0,-4.8160,23,0.79060
ENSG00000197921,HES5,24,0.44486,32,1.07274,8,-1.4123,9,-1.1947,11,-0.8507,14,-0.4844
ENSG00000157870,PRXL2B,40,-0.5785,61,0.19366,76,0.53217,74,0.48968,68,0.34952,22,-1.4641
ENSG00000177133,PRDM16-DT,40,0.98810,19,-0.5353,7,-1.9502,23,-0.1380,34,0.47679,20,-0.3852
ENSG00000158109,TPRG1L,97,-0.4342,154,0.46810,202,0.86264,131,0.11575,92,-0.4519,50,-1.3889
ENSG00000130764,LRRC47,56,-0.3398,66,-0.0258,90,0.48871,58,-0.2277,91,0.51102,54,-0.3624
ENSG00000196581,AJAP1,12,-0.9915,37,1.09160,43,1.16176,33,0.67271,0,-5.4221,1,-3.8092
ENSG00000069424,KCNAB2,190,0.11426,217,0.38443,266,0.66925,168,-0.1037,145,-0.3402,39,-2.3209
ENSG00000116254,CHD5,110,-0.1623,112,-0.1321,152,0.39967,242,1.23681,93,-0.4099,28,-2.2204
ENSG00000116251,RPL22,594,-0.1968,655,-0.0127,290,-1.2911,384,-0.8635,1219,1.07288,882,0.49235
ENSG00000116237,ICMT,32,-0.1637,26,-0.5667,77,1.38690,16,-1.1635,57,0.84640,14,-1.4203
ENSG00000097021,ACOT7,148,-0.5136,205,0.08819,479,1.62025,214,0.14620,109,-0.9358,59,-1.8579
ENSG00000215788,TNFRSF25,13,-0.8472,38,1.23791,20,-0.1117,16,-0.4702,30,0.57892,3,-3.0108
ENSG00000171680,PLEKHG5,16,-0.4066,32,1.04347,24,0.29353,18,-0.1784,13,-0.6318,7,-1.5568
ENSG00000162408,NOL9,24,-0.1694,31,0.29795,32,0.33060,47,1.00387,4,-2.6840,18,-0.6400
ENSG00000162413,KLHL21,20,-0.3958,20,-0.3906,32,0.39223,32,0.38778,18,-0.5328,39,0.71459
ENSG00000041988,THAP3,22,0.15766,23,0.25906,17,-0.2772,26,0.43988,5,-2.1604,23,0.24815
ENSG00000007923,DNAJC11,33,-0.0259,37,0.18620,38,0.20521,56,0.89196,20,-0.8059,14,-1.3842
ENSG00000171735,CAMTA1,187,-0.0016,145,-0.4687,198,0.09027,282,0.69800,238,0.40301,115,-0.7746
ENSG00000049245,VAMP3,21,-1.0396,21,-1.0764,14,-1.5428,24,-0.7316,78,1.22249,109,1.90171
