Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,2,-2.9340,13,-0.5124,23,0.42809,32,1.45145,16,-0.2177,6,-1.8040
ENSG00000188976,NOC2L,39,-0.4719,41,-0.3923,78,0.66221,67,0.54012,37,-0.5884,45,-0.2697
ENSG00000188290,HES4,138,0.33964,261,1.44255,86,-0.4192,92,-0.4009,112,0.00281,69,-0.8378
ENSG00000187608,ISG15,59,-0.3375,129,0.92976,115,0.74041,61,-0.3539,43,-0.8906,80,0.15700
ENSG00000188157,AGRN,45,-0.1586,110,1.31936,60,0.29461,52,0.06685,37,-0.5409,29,-0.9300
ENSG00000078808,SDF4,52,-0.5916,123,0.78555,100,0.43475,81,0.11506,55,-0.5597,68,-0.2073
ENSG00000176022,B3GALT6,21,-0.7707,19,-0.9455,59,0.88231,43,0.47250,32,-0.1301,27,-0.4416
ENSG00000160087,UBE2J2,70,0.54567,32,-0.6823,51,0.03226,60,0.39055,46,-0.1448,37,-0.5078
ENSG00000162572,SCNN1D,0,-4.6895,18,0.13834,48,1.88333,9,-1.0425,18,0.15611,17,0.05266
ENSG00000131584,ACAP3,33,-1.6003,67,-0.5502,134,0.56542,115,0.41698,93,-0.0414,92,-0.0591
ENSG00000127054,INTS11,31,-0.7841,59,0.23501,40,-0.3793,61,0.38024,51,-0.0130,48,-0.1068
ENSG00000224051,CPTP,67,1.06106,24,-0.6128,37,0.08656,34,-0.0858,37,0.06581,25,-0.5776
ENSG00000107404,DVL1,24,-1.5101,95,0.65170,58,-0.1665,54,-0.3216,84,0.51556,66,0.04566
ENSG00000175756,AURKAIP1,137,-0.0606,116,-0.3292,120,-0.2658,167,0.34138,165,0.27014,110,-0.4541
ENSG00000221978,CCNL2,51,-0.0187,70,0.50118,49,-0.0691,68,0.59232,40,-0.4205,31,-0.8799
ENSG00000242485,MRPL20,81,-0.9123,146,0.00660,105,-0.5152,166,0.27874,207,0.66767,106,-0.5552
ENSG00000179403,VWA1,49,0.45282,79,1.25820,7,-2.4713,13,-1.8767,39,0.08776,61,0.93878
ENSG00000197785,ATAD3A,37,0.90299,18,-0.2658,16,-0.4613,26,0.43857,13,-0.7958,18,-0.2329
ENSG00000205090,TMEM240,68,0.92428,7,-2.4315,78,1.17406,38,-0.0316,38,-0.0537,22,-0.9342
