"geneName","LFC","FDR"
"HSPA1A","-2.725","0.000"
"XIST","2.523","0.000"
"NEAT1","2.378","0.000"
"SLC5A11","2.130","0.000"
"ADAMTS18","1.936","0.000"
"CRYAB","-1.655","5.762e-298"
"ERBB2IP","1.308","1.118e-252"
"MT-CO2","-1.784","1.089e-240"
"NDRG2","-1.643","7.597e-221"
"MALAT1","0.5527","2.176e-211"
"GRID1","1.381","8.595e-200"
"FKBP5","1.323","2.996e-189"
"TMTC4","1.403","1.087e-188"
"MT-ND4","-1.549","7.623e-186"
"MT-ND2","-1.544","3.110e-181"
"ZNF565","1.412","3.037e-178"
"MT-CO3","-1.518","5.894e-175"
"GRID2","-1.607","5.687e-174"
"PRUNE2","1.080","1.633e-153"
"TMEM144","0.9470","9.455e-149"
"SYNJ2","1.201","3.561e-147"
"GOLGA4","1.243","4.916e-146"
"BOK","-1.501","1.872e-141"
"UTY","-1.307","9.537e-126"
"S100A6","1.266","3.442e-125"
"MT-ND3","-1.425","1.972e-121"
"EVA1C","1.216","2.993e-116"
"MT-CYB","-1.313","3.608e-115"
"DNAJB2","-1.264","1.290e-114"
"CERCAM","-1.137","9.638e-113"
"HSP90AA1","-1.109","7.308e-112"
"LINGO1","-0.9431","7.487e-111"
"PLP1","-0.6739","2.220e-110"
"CH17-189H20.1","1.111","4.647e-110"
"PDE8A","0.9787","2.177e-108"
"MEG3","-1.313","3.389e-105"
"PCDH9","-0.5575","5.316e-105"
"TMSB4X","-1.101","1.195e-99"
"RFX3-AS1","1.098","2.450e-98"
"APOD","-1.013","1.111e-96"
"APLP1","-0.9933","1.982e-96"
"MT-CO1","-1.185","6.384e-94"
"CNDP1","0.9838","2.688e-93"
"CST3","-1.188","1.106e-91"
"DIP2B","0.9019","5.511e-89"
"RAPGEF3","-1.270","6.001e-89"
"DYNLL1","-1.113","3.671e-88"
"SLC1A2","-1.160","1.102e-85"
"AHI1","0.9425","3.834e-84"
"FRMD5","0.7268","6.078e-84"
"KCNMB4","0.9146","1.316e-82"
"APOE","-1.137","1.610e-82"
"NRXN1","-1.308","3.668e-81"
"MT-ATP6","-1.169","6.731e-81"
"ITPKB","0.9469","3.188e-80"
"HSPA1B","-1.192","3.234e-80"
"CDH19","0.9405","6.997e-80"
"TSPAN19","0.8836","4.460e-79"
"UBB","-1.032","1.451e-77"
"PPA1","1.002","1.805e-77"
"SLC39A11","0.9275","6.515e-76"
"RP11-1055B8.3","0.9803","5.020e-75"
"CTNNA2","-1.146","3.852e-74"
"NLGN4Y","-0.9691","3.852e-74"
"C1orf61","-1.070","4.548e-74"
"CNTN2","-0.8842","6.062e-74"
"PALM2","0.8638","1.498e-70"
"MDGA2","-1.074","1.599e-70"
"STARD13","0.8583","1.072e-69"
"SSH2","0.8224","1.526e-68"
"GFAP","-1.318","1.792e-66"
"TMEM165","0.7587","2.129e-66"
"GOLGB1","0.9404","4.190e-66"
"GPM6A","-1.093","3.095e-65"
"DPP6","-0.9882","3.095e-65"
"RNF220","0.6556","4.759e-65"
"KIRREL3","0.7981","8.026e-63"
"ZBTB16","0.8847","1.408e-62"
"TTTY14","-0.8043","8.468e-62"
"ZNF536","0.7495","5.411e-61"
"TPPP","-0.9635","5.975e-61"
"MAML3","0.8954","6.252e-61"
"CD81","-0.9636","7.149e-61"
"SLC35F3","0.8167","7.199e-61"
"GPRC5B","-0.7962","3.372e-60"
"LINC-PINT","0.8002","7.250e-60"
"L3MBTL4","0.8438","9.454e-60"
"SEPP1","-0.8715","4.176e-59"
"SIK3","0.5701","7.522e-59"
"PSAP","-0.8131","1.065e-58"
"LINC01099","-0.9634","1.448e-58"
"DOCK1","0.7720","2.583e-58"
"SLC4A8","0.8478","3.646e-56"
"RP11-557H15.4","0.8238","6.819e-56"
"HMGN3","0.8053","8.904e-56"
"PTGES3","-0.9917","1.951e-55"
"RP11-371F15.3","0.8386","6.084e-55"
"SPP1","0.6339","7.482e-55"
"KDM6A","0.8314","1.981e-54"
"ZNF146","0.8532","5.656e-54"
"C10orf90","0.7221","6.330e-54"
"MT3","-0.9490","8.147e-54"
"HSPB1","-1.340","1.068e-53"
"CEP57","0.8399","2.264e-53"
"HSD17B3","0.8087","9.650e-53"
"PTK2","0.6500","1.961e-52"
"RBP7","0.8110","4.058e-52"
"S100B","-0.8867","1.902e-51"
"PTPRZ1","-0.9786","1.148e-50"
"KLHL32","0.7013","1.990e-50"
"ATP6V0B","-0.8746","2.450e-50"
"TMTC2","0.6099","2.492e-50"
"MT-ND1","-1.019","2.822e-50"
