"geneName","LFC","FDR"
"LINC00486","-0.9549","4.436e-159"
"MALAT1","0.5837","3.116e-144"
"PLP1","0.8867","1.654e-129"
"LINGO1","-1.296","3.478e-91"
"MIR219A2","1.092","1.888e-79"
"PPP1R14A","1.139","6.233e-73"
"FTH1","0.7002","1.047e-59"
"NEAT1","-1.190","3.186e-52"
"PDE1A","0.8952","6.247e-47"
"OPALIN","0.9346","1.695e-44"
"CNP","0.7377","2.396e-37"
"CD9","0.8456","5.831e-35"
"GFAP","-1.346","1.476e-31"
"MARCKSL1","0.7789","4.074e-31"
"SEPT7","0.6267","5.941e-31"
"SEPT4","0.7263","3.704e-27"
"SCD","0.6939","7.677e-27"
"AC072062.1","0.7771","7.870e-27"
"CLDND1","0.6343","1.575e-26"
"APOD","0.6270","2.877e-25"
"RPL21","0.7621","1.531e-24"
"ACTB","0.6528","5.815e-24"
"LINC01608","0.6784","7.401e-24"
"RNASE1","0.6679","2.107e-23"
"ZFYVE16","0.7021","3.023e-23"
"MOG","0.7000","3.439e-23"
"H3F3B","0.6977","7.092e-23"
"SEPP1","0.6444","1.144e-22"
"AK5","0.6660","1.181e-22"
"HS3ST5","0.6999","5.426e-22"
"LINC01099","0.6025","1.246e-21"
"MAG","0.6540","4.215e-21"
"RPS6","0.7517","4.719e-21"
"MT3","-0.9111","1.975e-20"
"TTLL7","0.5047","1.147e-19"
"PLLP","0.6250","2.977e-19"
"CBR1","0.6742","5.977e-19"
"UBB","0.5898","6.922e-18"
"KCNH8","0.5697","8.384e-18"
"HSPB1","-1.200","1.068e-17"
"LANCL1","0.6103","9.805e-17"
"FKBP5","-0.9991","1.025e-16"
"PCDH9-AS2","0.6383","2.856e-16"
"SLC5A11","-0.9392","8.556e-16"
"TMEFF2","0.5391","2.709e-15"
"TSC22D4","0.5927","3.557e-15"
"RPS14","0.6375","1.081e-14"
"HSPA1A","-1.062","1.767e-14"
"PPFIA2","0.5514","4.880e-14"
"HHIP","0.5261","2.913e-13"
"FEZ1","0.5818","3.221e-13"
"TPPP3","0.6126","4.558e-13"
"MT-ND1","-0.8496","4.970e-13"
"CARNS1","0.5482","6.602e-13"
"S100B","0.5408","8.897e-13"
"LPAR1","0.5237","9.561e-13"
"CA2","0.5488","1.073e-12"
"BCYRN1","-0.7730","2.377e-12"
"TMEM125","0.5689","3.712e-12"
"DNAJB2","-0.6762","3.744e-12"
"RPL7","0.5878","7.380e-12"
"CMTM5","0.5656","8.697e-12"
"LSAMP-AS1","0.5560","1.193e-11"
"TMPRSS5","-0.7100","1.257e-11"
"OMG","0.5505","5.022e-11"
"SMOC1","-0.7192","5.702e-11"
"MT-ND4","-0.6028","1.101e-10"
"RP11-50D16.4","0.5141","4.877e-10"
"DAB1","-0.6217","5.673e-10"
"NAV2","-0.6396","6.365e-10"
"ADAMTS18","-0.7747","9.659e-10"
"MIR100HG","0.5027","9.751e-10"
"KCNIP4","-0.6097","1.654e-9"
"HSD17B4","0.5188","2.350e-9"
"COL9A3","0.5207","6.771e-9"
"PTPRM","-0.5926","9.630e-9"
"CSMD1","-0.6365","1.084e-8"
"RPL35A","0.5200","1.669e-8"
"RAPGEF3","-0.7309","1.924e-8"
"FRMD4A","-0.6493","2.707e-8"
"ITGB4","-0.5506","3.595e-8"
"RPS13","0.5002","4.276e-8"
"AZGP1","-0.5465","7.354e-8"
"WASH1","-0.6225","8.478e-8"
"PICK1","-0.5199","3.644e-7"
"PLOD3","-0.5923","4.378e-7"
"SELO","-0.5253","5.453e-7"
"SRPRB","-0.5335","8.249e-7"
"SLC6A8","-0.5485","0.000001630"
"OPCML","-0.6299","0.000001690"
"SORBS1","-0.5254","0.000002596"
"BOK","-0.6038","0.000002727"
"VCAN","-0.6141","0.000006954"
"PCDH15","-0.6410","0.00001521"
"BCOR","-0.5409","0.00001926"
"MICALL2","-0.5259","0.00003415"
"DNAJB1","-0.7024","0.00003583"
"DSCAM","-0.6147","0.00004344"
"STIP1","-0.5634","0.00006029"
"TPD52L2","-0.5079","0.00009401"
"SNTG1","-0.5226","0.0001338"
"RANGAP1","-0.5381","0.0002024"
"SLC26A3","-0.5528","0.0002477"
"MT-ATP6","-0.5159","0.0002678"
"HIF3A","-0.5377","0.0002874"
"HSPH1","-0.5219","0.0003949"
"AEBP1","-0.6704","0.002262"
"PTPRZ1","-0.5860","0.02119"
