"geneName","LFC","FDR"
"FKBP5","2.186","6.422e-34"
"LINGO1","2.030","1.551e-24"
"SLC11A1","1.880","4.979e-22"
"MT-ND4","1.893","2.936e-20"
"CCL3","-2.038","7.325e-20"
"CD83","-1.936","3.931e-18"
"CD163","1.787","6.012e-18"
"DPYD","1.641","2.228e-16"
"MT-CO2","1.694","1.112e-15"
"SRGN","-1.894","1.163e-15"
"MT-CO3","1.621","2.074e-15"
"TMEM163","1.592","8.891e-15"
"PTPRG","1.514","1.138e-13"
"RP11-480C22.1","-1.628","5.980e-13"
"OLR1","-1.549","1.868e-12"
"ZBTB16","1.446","2.630e-12"
"MT-CYB","1.504","2.694e-12"
"XIST","1.321","3.505e-12"
"SNX6","1.526","4.098e-12"
"MT-ATP6","1.495","4.098e-12"
"SERPINE1","1.421","8.054e-12"
"RPS28","1.406","1.603e-11"
"HSP90B1","1.441","2.491e-11"
"RP11-556E13.1","1.301","2.491e-11"
"MT-ND2","1.441","3.050e-11"
"ZNF331","-1.498","6.697e-11"
"LINC00486","1.066","7.350e-11"
"LPAR6","-1.257","1.858e-10"
"DUSP1","-1.399","1.882e-10"
"MCF2L2","-1.386","1.882e-10"
"FMN1","1.186","6.231e-10"
"MT-ND1","1.338","2.271e-9"
"DPP10","-1.234","2.679e-9"
"GPR183","-1.339","4.586e-9"
"CH25H","-1.292","5.305e-9"
"FCGBP","1.300","5.446e-9"
"GLDN","1.103","3.579e-8"
"SPP1","1.288","5.552e-8"
"HSPA5","1.189","1.227e-7"
"CD69","-1.198","1.227e-7"
"ACSL1","1.135","2.217e-7"
"NEAT1","0.9886","3.991e-7"
"CD86","-1.123","4.020e-7"
"HAMP","1.146","5.061e-7"
"LSAMP","-1.105","5.227e-7"
"SAT1","-1.047","8.894e-7"
"MT-ND3","1.158","0.000001362"
"BTG2","-1.182","0.000002182"
"NR4A2","-1.112","0.000002182"
"JUNB","-1.122","0.000002445"
"CCK","-1.069","0.000002525"
"CX3CR1","-1.086","0.000002993"
"ADGRG1","1.026","0.000003390"
"VSIG4","0.9873","0.000003555"
"F13A1","1.114","0.000003875"
"P2RY13","-1.144","0.000004031"
"CCL2","-0.8999","0.000006224"
"ZMAT1","-1.017","0.000008975"
"STAB1","1.087","0.00001188"
"BOK","1.004","0.00001231"
"PADI2","-1.060","0.00002549"
"MIR99AHG","-0.9243","0.00002549"
"ITPR2","-0.8587","0.00002549"
"CD163L1","0.9764","0.00002607"
"RP11-707P17.1","0.9322","0.00002649"
"PLEKHA6","1.015","0.00002757"
"NAV2","-1.011","0.00003572"
"RPS6","-1.009","0.00003779"
"RPL23A","-0.9992","0.00003982"
"NHSL1","0.9003","0.00005694"
"TMSB4X","-0.8553","0.00005940"
"PDIA4","0.8638","0.00006236"
"DOCK4","-0.8153","0.00006895"
"NRXN1","-0.9706","0.00007654"
"TBC1D14","0.9640","0.00008268"
"STARD13","0.9625","0.00008849"
"NR4A3","-0.7824","0.00008849"
"MEF2C","-0.7651","0.0001204"
"FTH1","-0.9233","0.0001302"
"CBWD5","0.9124","0.0001387"
"FOS","-0.9071","0.0001387"
"GRID2","-1.037","0.0001555"
"UBC","-0.8888","0.0002162"
"RPS19","0.8643","0.0002497"
"TNRC6B","-0.8407","0.0002736"
"LPL","0.5934","0.0004690"
"RP5-1031D4.2","-0.9341","0.0005091"
"AIF1","-0.9144","0.0005844"
"FGF14","-0.7835","0.0006043"
"PRDM11","-0.9253","0.0006806"
