"geneName","LFC","FDR"
"MALAT1","-1.599","1.149e-37"
"LINGO1","3.583","1.867e-26"
"HSPA1A","3.615","1.557e-25"
"CADPS2","-3.244","2.908e-24"
"CA10","-2.750","1.341e-21"
"ZFPM2","-2.929","1.422e-21"
"RIT2","-2.721","9.671e-21"
"CHN2","-2.701","1.201e-19"
"RIMS1","-2.660","1.201e-19"
"CNTN5","3.390","8.358e-19"
"SPP1","2.763","1.493e-18"
"UNC13C","-2.573","2.479e-18"
"RP11-649A16.1","-3.433","7.415e-18"
"ZBTB20","-2.523","7.415e-18"
"CAMK4","-2.518","7.449e-18"
"ADARB2","2.933","1.352e-17"
"CDH18","-2.363","8.787e-16"
"RALYL","-2.304","2.143e-15"
"PDE1A","-2.326","2.354e-15"
"ZNF385D","-2.419","2.906e-15"
"ETV1","-2.249","4.142e-15"
"KCND2","-2.456","7.250e-15"
"SNTG1","2.633","9.582e-15"
"QDPR","2.441","1.241e-14"
"GFAP","2.398","1.444e-14"
"CSMD1","2.713","3.095e-14"
"MBP","2.379","3.992e-14"
"NRG3","2.384","6.954e-14"
"NFIA","-2.084","8.811e-14"
"GRM5","2.406","1.429e-13"
"SNAP25","-2.152","1.526e-13"
"STXBP5L","-2.103","2.334e-13"
"LHFP","-2.243","3.230e-13"
"KCNQ5","2.395","3.886e-13"
"CRYAB","2.269","3.886e-13"
"TRPM3","-2.206","4.735e-13"
"FSTL5","-1.990","1.069e-12"
"SH3GL2","-2.075","1.283e-12"
"GRIK1","2.337","1.308e-12"
"GPRC5B","2.284","1.839e-12"
"SPOCK3","2.280","2.166e-12"
"PLP1","2.058","2.626e-12"
"NCAM2","2.225","3.131e-12"
"MSRA","-1.843","9.556e-12"
"NRG1","-2.051","4.152e-11"
"LRRTM4","2.082","5.371e-11"
"BOK","2.168","7.311e-11"
"RBFOX3","-2.031","7.900e-11"
"JMJD1C","-1.827","1.031e-10"
"TENM2","2.130","1.111e-10"
"PLCB4","-1.963","2.127e-10"
"GALNTL6","2.147","2.344e-10"
"NDRG2","1.927","2.587e-10"
"NPAS3","2.033","2.753e-10"
"QKI","2.013","2.967e-10"
"ZIC1","-2.064","3.135e-10"
"CNKSR2","-1.776","3.135e-10"
"KCTD16","2.086","3.469e-10"
"RAPGEF3","2.173","3.582e-10"
"KCNC2","2.146","3.582e-10"
"PDE3B","-1.998","6.218e-10"
"LIMA1","-2.019","8.447e-10"
"RBMS3","2.035","1.034e-9"
"TIAM1","-1.777","1.319e-9"
"PDE5A","-1.998","1.346e-9"
"UCHL1","2.010","2.106e-9"
"CNTN2","1.998","2.875e-9"
"RP11-242P2.1","-1.942","2.899e-9"
"NXPH1","2.052","3.004e-9"
"MT3","1.755","5.120e-9"
"ROBO2","1.941","2.362e-8"
"RPL7","-1.744","3.237e-8"
"ERC1","-1.620","3.402e-8"
"AC007392.3","-1.858","3.590e-8"
"TMEM178A","-1.767","3.590e-8"
"GRIN2B","1.895","4.615e-8"
"PPP3CA","-1.553","6.259e-8"
"PKIB","-1.726","6.295e-8"
"PACS2","1.921","7.714e-8"
"FLRT2","1.901","7.714e-8"
"HSPB1","1.817","8.243e-8"
"PSD3","-1.653","9.074e-8"
"KCNIP4","-1.573","1.374e-7"
"EDIL3","1.689","1.420e-7"
"LINC00486","0.9959","1.453e-7"
"CERCAM","1.741","2.419e-7"
"GALNT13","-1.483","2.419e-7"
"CNP","1.718","2.576e-7"
"MT-CO2","1.640","2.637e-7"
"SLC8A1","1.791","2.657e-7"
"UNC5D","1.821","3.022e-7"
"SLIT3","-1.748","3.031e-7"
"MRPL41","1.829","3.609e-7"
"SPHKAP","-1.714","4.470e-7"
"DNAJB1","1.832","4.899e-7"
"IQCJ-SCHIP1","1.768","4.899e-7"
