"geneName","LFC","FDR"
"MT-ND2","1.529","1.464e-140"
"MT-ND3","1.538","1.549e-126"
"MT-CO2","1.372","1.610e-120"
"LINGO1","1.116","1.635e-117"
"LINC00486","0.7436","2.041e-113"
"MT-CYB","1.326","5.941e-104"
"MT-ND4","1.178","2.349e-93"
"MT-ND1","1.361","6.179e-88"
"MT-ATP6","1.197","3.401e-82"
"HSPA1A","0.8643","9.281e-75"
"MT-CO3","1.100","8.019e-73"
"CRYAB","0.8256","2.966e-52"
"PCDH9","0.5255","9.591e-46"
"ABCA6","1.124","1.701e-41"
"HSPB1","0.7491","1.082e-37"
"TTLL7","0.7327","5.223e-34"
"LURAP1L-AS1","1.086","1.416e-32"
"CHRM5","0.9488","1.700e-32"
"FKBP5","0.8197","4.928e-28"
"LRRTM4","-1.174","1.580e-27"
"HSP90AA1","0.7173","1.637e-27"
"LAMA2","0.9103","3.675e-26"
"BCYRN1","0.8635","5.085e-24"
"SPOCK1","0.6775","2.667e-22"
"PWRN1","0.8277","3.654e-22"
"PLCL1","0.6900","1.871e-21"
"ZDHHC20","0.7907","1.404e-20"
"OTUD7A","0.7625","2.921e-20"
"GPM6B","0.5163","4.057e-20"
"MT-CO1","0.6785","2.654e-19"
"APOLD1","0.8498","7.380e-19"
"APLP1","0.5893","2.618e-18"
"MIR219A2","-0.7840","3.377e-18"
"STEAP1B","0.7908","3.521e-18"
"DYSF","0.7892","2.236e-16"
"SLC5A11","0.6411","3.436e-16"
"SHTN1","0.5498","5.654e-16"
"LRP1B","-0.6782","4.238e-15"
"PDK4","0.7338","4.271e-15"
"RPS28","0.7226","4.271e-15"
"MAML2","-0.8508","4.843e-15"
"HSP90AB1","0.5634","7.716e-15"
"MT-ND5","0.6391","5.071e-14"
"CH17-189H20.1","0.6704","5.472e-14"
"NDRG1","0.5503","1.062e-13"
"ZNF365","0.6919","1.762e-13"
"MEG3","-0.8572","2.304e-13"
"PDE1A","-0.9052","6.179e-13"
"RPL37A","0.6690","1.741e-12"
"PRKX","0.5858","1.746e-12"
"PAQR8","0.6482","3.384e-12"
"LIFR","0.6540","4.851e-12"
"MT-ND4L","0.5446","9.323e-12"
"EEF1A1","0.5536","3.565e-11"
"GRM3","0.5342","4.159e-11"
"CD163L1","0.6466","5.824e-11"
"CDKL1","0.6403","8.444e-11"
"OGFRL1","0.5473","1.114e-10"
"RFTN2","0.5901","1.229e-10"
"GRIK2","-0.7644","1.337e-10"
"AZGP1","0.5204","2.434e-10"
"LRRC4C","-0.7268","2.993e-10"
"LINC00609","0.5661","5.343e-10"
"CCK","-0.6544","1.111e-9"
"AC073283.4","0.5969","1.140e-9"
"RPL38","0.5888","2.757e-9"
"CDH19","0.5425","2.963e-9"
"ARMC9","0.5706","3.746e-9"
"DOCK9","0.5252","4.208e-9"
"LSAMP","-0.5277","4.885e-9"
"CTNNA2","-0.7198","5.236e-9"
"NCOA7","0.5328","6.299e-9"
"HP1BP3","0.5080","9.874e-9"
"HSP90B1","0.5212","2.742e-8"
"NRXN1","-0.8453","2.838e-8"
"GALNT13","-0.6236","3.766e-8"
"MDGA2","-0.6703","5.544e-8"
"AC004448.5","0.5042","9.268e-8"
"ZNF90","0.5395","1.265e-7"
"P2RX7","0.5108","2.555e-7"
"CPB2-AS1","0.5215","4.033e-7"
"ZNF708","0.5070","5.569e-7"
"RBFOX1","-0.6945","7.712e-7"
"LRRC63","0.5076","0.000001794"
"SYT1","-0.6432","0.000003019"
"DTNA","-0.5987","0.000003405"
"CNDP1","-0.5075","0.000003919"
"ITPR2","-0.5753","0.000004016"
"GPM6A","-0.6729","0.000005601"
"SNAP25","-0.5748","0.000008359"
"HS3ST5","-0.5359","0.00001650"
"COL16A1","-0.5205","0.00003427"
"BCAN","-0.5879","0.00005595"
"LINC01170","-0.5253","0.00007128"
"RORA","-0.5358","0.0002135"
"DSCAM","-0.6411","0.0002981"
"MEF2C","-0.5026","0.0003750"
"LHFPL3","-0.5490","0.0005899"
"RP11-1055B8.3","-0.5002","0.0008658"
"GABRB1","-0.5017","0.001154"
"OPCML","-0.5487","0.002364"
"KCND2","-0.6086","0.002569"
"FGF14","-0.5472","0.004900"
"FAM155A","-0.5050","0.01524"
