"geneName","LFC","FDR"
"PDE1A","1.257","8.856e-176"
"CTNNA2","1.199","4.478e-131"
"PPP2R2B","1.157","6.720e-239"
"HS3ST5","1.086","1.022e-108"
"LINC01170","1.078","9.174e-101"
"LMCD1-AS1","1.077","1.375e-106"
"NKAIN2","0.9992","2.140e-125"
"CNTNAP4","0.9802","5.282e-85"
"ZFYVE16","0.9712","2.175e-99"
"ANO4","0.9114","4.861e-81"
"AUTS2","0.8957","1.244e-91"
"AK5","0.8910","3.300e-80"
"ANK3","0.8742","3.513e-117"
"IL1RAPL1","0.8460","2.310e-206"
"MDGA2","0.8452","7.736e-77"
"MIR219A2","0.8444","1.948e-86"
"NAALADL2","0.8363","4.127e-69"
"TMEFF2","0.8222","4.307e-71"
"CTNNA3","0.8188","4.101e-131"
"NRXN3","0.7987","1.013e-71"
"SLIT2","0.7922","3.908e-47"
"IFNG-AS1","0.7800","1.837e-50"
"FCHSD2","0.7708","2.992e-58"
"ST18","0.7560","6.783e-92"
"SLC24A2","0.7532","2.284e-84"
"ZNF536","0.7501","1.632e-58"
"GALNT13","0.7498","6.664e-56"
"SH3GL3","0.7479","1.555e-56"
"NCKAP5","0.7388","6.778e-66"
"LANCL1","0.7346","2.352e-51"
"LINC00639","0.7290","8.108e-48"
"DSCAML1","0.7240","1.802e-44"
"PDE4D","0.7187","7.304e-48"
"CREB5","0.7185","3.460e-56"
"LINC01608","0.7144","1.646e-51"
"KCNH8","0.7082","9.019e-55"
"DLG2","0.7070","5.684e-112"
"ZEB2","0.7043","1.608e-65"
"RAD51B","0.7014","3.457e-38"
"PDE1C","0.6953","4.968e-54"
"MIR100HG","0.6919","8.381e-38"
"LIMCH1","0.6850","5.056e-50"
"MAML2","0.6818","6.443e-42"
"FBXL7","0.6807","8.101e-44"
"PDE4B","0.6743","3.765e-89"
"ST6GALNAC3","0.6668","1.292e-40"
"FAM13C","0.6662","2.339e-35"
"DOCK10","0.6627","3.718e-56"
"PSD3","0.6610","1.880e-41"
"UTY","0.6563","1.237e-59"
"PALM2","0.6538","1.207e-37"
"FRMD4B","0.6410","6.125e-45"
"HLA-B","0.6393","1.843e-34"
"C9orf3","0.6368","7.965e-40"
"KLHL32","0.6342","2.681e-39"
"LSAMP","0.6311","1.654e-50"
"GRM3","0.6250","5.322e-40"
"PPP1R14A","0.6219","1.923e-40"
"FMNL2","0.6218","1.351e-48"
"C10orf90","0.6179","8.436e-38"
"CNTNAP2","0.6175","2.009e-36"
"KIF6","0.6129","1.511e-29"
"OPALIN","0.6074","7.737e-36"
"MYO1D","0.6057","1.238e-34"
"TMTC2","0.6021","6.019e-47"
"ZBTB20","0.6020","2.641e-53"
"SAMD12","0.5972","8.121e-33"
"MAGI2","0.5937","1.405e-72"
"FUT8","0.5891","4.996e-34"
"TULP4","0.5854","8.606e-33"
"CCK","0.5789","2.040e-36"
"MIR181A1HG","0.5788","2.151e-32"
"SIK3","0.5782","5.444e-58"
"EXOC6B","0.5758","5.267e-35"
"LPGAT1","0.5748","1.426e-31"
"ATP10B","0.5724","5.122e-28"
"TJP1","0.5677","1.209e-32"
"KIF13A","0.5662","1.142e-30"
"NLGN4Y","0.5646","1.229e-40"
"FRMD5","0.5567","9.616e-47"
"PHLPP1","0.5545","7.231e-43"
"PTN","0.5528","6.467e-26"
"MOB3B","0.5508","1.069e-24"
"SHROOM4","0.5481","2.056e-26"
"AC012593.1","0.5474","1.939e-25"
"RNF220","0.5472","3.354e-43"
"GAB2","0.5448","9.223e-26"
"AKAP6","0.5437","1.448e-31"
"LPAR1","0.5424","1.665e-27"
"NTM","0.5405","8.269e-34"
"NLK","0.5401","5.735e-22"
"ANKS1B","0.5392","3.676e-34"
"AGPAT4","0.5391","3.219e-22"
"GLDN","0.5381","1.180e-24"
"PDE8A","0.5325","1.981e-30"
"ERBB4","0.5287","4.503e-34"
"KCTD8","0.5272","3.953e-20"
"BCAS1","0.5256","1.164e-27"
"MALAT1","0.5223","5.239e-185"
"ENOSF1","0.5218","8.685e-22"
"HECW2","0.5203","2.679e-23"
"CADM2","0.5128","5.126e-60"
"PCDH9-AS2","0.5126","6.515e-22"
"PTPRD","0.5107","4.267e-46"
"ELMO1","0.5097","7.511e-34"
"UBE2E2","0.5092","5.829e-24"
"PARK2","0.5086","2.671e-23"
"LINC00609","0.5084","8.553e-23"
"TTLL7","0.5080","1.455e-38"
"NLGN1","0.5074","1.669e-35"
"POLR2F","0.5054","7.653e-25"
"FHIT","0.5051","2.026e-23"
"RP11-81H3.2","0.5032","2.264e-22"
"PCDH9","0.5028","9.998e-92"
"PPM1H","0.5013","9.721e-19"
"COL4A5","0.5006","8.686e-24"
"EFCAB11","0.5006","3.962e-21"
"RP11-141M1.3","0.5005","6.677e-18"
"NKX6-2","-0.5004","6.900e-16"
"B3GAT3","-0.5016","8.799e-15"
"SPTBN4","-0.5018","5.483e-13"
"HP1BP3","-0.5046","4.349e-15"
"RP3-406A7.7","-0.5053","3.735e-12"
"MT-ND5","-0.5053","7.545e-16"
"PIDD1","-0.5109","7.051e-18"
"LAMP1","-0.5123","1.711e-16"
"RALGDS","-0.5149","4.334e-16"
"BCAN","-0.5149","2.685e-10"
"PDK4","-0.5154","8.081e-13"
"ATP5I","-0.5166","4.344e-13"
"PTOV1","-0.5166","1.740e-12"
"MTCH1","-0.5168","2.122e-17"
"ITGB4","-0.5177","1.176e-11"
"BIN1","-0.5207","5.128e-25"
"TPRN","-0.5216","1.228e-15"
"PKD1","-0.5232","2.965e-14"
"B3GAT1","-0.5238","3.505e-15"
"SHC2","-0.5249","4.154e-15"
"NISCH","-0.5278","2.337e-14"
"KIFC2","-0.5291","1.669e-10"
"DDIT4","-0.5316","9.347e-17"
"PRNP","-0.5318","8.125e-20"
"NFKBIA","-0.5325","2.538e-17"
"AZGP1","-0.5342","8.971e-15"
"KIF19","-0.5344","2.122e-17"
"TPPP","-0.5348","1.603e-16"
"KLC1","-0.5350","7.534e-15"
"LMNA","-0.5354","3.990e-18"
"S100A6","-0.5384","9.444e-13"
"SEPW1","-0.5394","1.537e-24"
"INF2","-0.5461","3.670e-15"
"CCP110","-0.5463","1.056e-22"
"ARFGAP1","-0.5505","1.707e-15"
"MAT2A","-0.5511","9.907e-20"
"GDI1","-0.5530","5.687e-19"
"RGCC","-0.5626","7.083e-24"
"CNTN2","-0.5704","2.644e-30"
"CLU","-0.5708","5.321e-23"
"DNAJA1","-0.5717","6.992e-17"
"UBC","-0.5740","5.352e-22"
"MYO9B","-0.5766","1.600e-19"
"MYLPF","-0.5790","1.196e-17"
"TSPYL2","-0.5808","2.029e-18"
"PER1","-0.5865","4.817e-20"
"GIT1","-0.5873","1.596e-20"
"QDPR","-0.5876","6.799e-39"
