"geneName","LFC","FDR"
"HSPA1A","2.970","0.000"
"LINGO1","2.643","0.000"
"HSPA1B","2.065","0.000"
"GFAP","1.955","0.000"
"DNAJB1","1.935","0.000"
"LINC00486","1.884","0.000"
"HSPB1","1.764","3.469e-309"
"MT3","1.762","0.000"
"BOK","1.612","1.626e-306"
"CRYAB","1.519","0.000"
"DNAJB2","1.512","3.479e-261"
"SLC26A3","1.431","3.139e-151"
"PTGES3","1.413","5.686e-172"
"NDRG2","1.387","1.099e-233"
"HSP90AB1","1.378","2.773e-206"
"RAPGEF3","1.323","4.290e-161"
"MT-CO3","1.308","3.316e-208"
"STIP1","1.301","2.482e-122"
"AEBP1","1.286","1.228e-150"
"BCOR","1.273","2.732e-112"
"FKBP4","1.248","2.660e-124"
"MT-CO2","1.245","7.202e-196"
"HSP90AA1","1.223","2.326e-173"
"CLK1","1.215","2.507e-135"
"MT-ND4","1.209","1.206e-196"
"DHCR24","1.166","4.463e-99"
"RANGAP1","1.146","6.423e-98"
"PSAP","1.144","1.134e-138"
"WASH1","1.060","1.430e-80"
"NDRG1","1.051","2.860e-109"
"ATF4","0.9905","6.481e-62"
"MYLPF","0.9884","2.168e-77"
"HSPH1","0.9869","2.079e-72"
"GPRC5B","0.9693","4.269e-100"
"FOS","0.9613","3.553e-63"
"MEG3","0.9568","1.149e-92"
"ATP5I","0.9480","1.952e-60"
"PLOD3","0.9476","1.902e-62"
"PRNP","0.9353","1.713e-74"
"CNTN2","0.9331","2.860e-93"
"B3GAT1","0.9258","1.404e-57"
"SEPW1","0.9182","6.480e-79"
"PLXNB1","0.9117","2.817e-65"
"KIFC2","0.9081","5.046e-73"
"UBC","0.9064","1.000e-68"
"MAT2A","0.8803","1.669e-58"
"HIF3A","0.8796","4.802e-61"
"ARRDC2","0.8662","3.452e-48"
"GDI1","0.8646","1.274e-56"
"DYNLL1","0.8602","1.859e-64"
"SERF2","0.8544","6.746e-54"
"HP1BP3","0.8483","2.103e-56"
"LAMP1","0.8449","2.253e-52"
"DNAJA1","0.8420","2.331e-48"
"SLC6A8","0.8285","2.879e-48"
"MT-CYB","0.8225","5.627e-88"
"PLEC","0.8195","3.603e-55"
"SLC27A4","0.8192","5.604e-41"
"MT-ATP6","0.8188","1.177e-82"
"B4GALNT4","0.8134","2.010e-50"
"TPPP","0.8131","7.260e-52"
"DYNLL2","0.8102","6.404e-42"
"MICALL2","0.8047","2.741e-48"
"YPEL3","0.8042","1.933e-45"
"FXR1","0.8017","7.699e-41"
"SRPRB","0.7943","3.213e-40"
"PAPOLA","0.7942","4.509e-41"
"INF2","0.7913","7.071e-45"
"TMPRSS5","0.7906","8.975e-45"
"ZDHHC20","0.7893","9.541e-46"
"ENO2","0.7878","1.172e-42"
"RPS27","0.7856","4.663e-40"
"PTOV1","0.7834","2.278e-43"
"AHSA1","0.7741","8.060e-40"
"TUBA1B","0.7712","6.183e-42"
"NAT8L","0.7702","7.694e-42"
"MRPL41","0.7659","3.573e-37"
"SLC22A17","0.7656","3.034e-41"
"STARD7","0.7650","1.559e-34"
"PCBP1","0.7609","2.520e-37"
"RABL6","0.7589","7.133e-39"
"CD81","0.7565","9.824e-44"
"CERCAM","0.7551","1.957e-58"
"APBB1","0.7538","2.136e-40"
"MT-ND1","0.7509","2.740e-59"
"PACS2","0.7508","7.995e-38"
"SOD1","0.7489","2.485e-39"
"YJEFN3","0.7473","3.645e-50"
"CLU","0.7466","1.112e-47"
"NISCH","0.7456","2.998e-40"
"QDPR","0.7456","4.291e-67"
"RPL36","0.7453","3.111e-35"
"CHORDC1","0.7451","5.485e-37"
"PABPN1","0.7446","5.967e-35"
"HNRNPH1","0.7434","7.844e-36"
"LAMTOR4","0.7374","4.143e-34"
"CDKN1B","0.7348","5.914e-35"
"TMEM259","0.7334","1.456e-36"
"CCP110","0.7320","1.617e-43"
"KIF1A","0.7291","1.773e-33"
"EIF3H","0.7264","3.455e-30"
"CRELD1","0.7254","5.556e-41"
"DDX17","0.7238","1.340e-54"
"C4orf48","0.7233","1.386e-32"
"ACADVL","0.7231","2.548e-36"
"HSPA4L","0.7210","1.160e-41"
"SEC61A1","0.7207","1.559e-34"
"CYHR1","0.7130","3.369e-35"
"CAMK2N1","0.7097","6.030e-32"
"KLC1","0.7075","1.860e-35"
"PLOD1","0.7067","6.402e-37"
"COL16A1","0.7050","1.602e-31"
"TSPYL2","0.7049","3.289e-35"
"CSRP1","0.6997","2.571e-38"
"MAPK8IP1","0.6992","2.976e-32"
"HEPACAM","0.6943","9.646e-36"
"EEF2","0.6938","4.378e-31"
"ARPP19","0.6929","1.853e-30"
"MAP3K11","0.6910","4.410e-28"
