"geneName","LFC","FDR"
"NEAT1","2.168","3.285e-256"
"LINGO1","2.859","2.819e-255"
"NRXN1","-2.172","8.745e-166"
"LINC00486","1.184","6.104e-161"
"GFAP","2.006","7.718e-120"
"NKAIN3","-1.965","8.226e-103"
"XIST","1.915","5.241e-97"
"SLC1A2","-1.570","1.550e-92"
"SLC6A1-AS1","-2.345","6.883e-83"
"LSAMP","-0.8384","1.129e-82"
"GPC5","-1.301","1.770e-81"
"RNF219-AS1","-1.665","3.569e-81"
"LSAMP-AS1","-2.329","7.898e-77"
"MAOB","1.630","2.770e-75"
"GPM6A","-0.9743","3.485e-73"
"NTM","-0.9882","4.458e-73"
"HIF3A","1.388","9.954e-72"
"ITGB4","1.544","2.527e-66"
"CH17-189H20.1","1.483","2.905e-66"
"C1orf61","-1.620","5.374e-64"
"PLEKHA5","1.517","1.368e-63"
"WIF1","-2.072","1.842e-59"
"ADGRB3","-1.122","1.666e-56"
"HSPA1A","1.581","1.070e-53"
"CD44","1.545","1.681e-53"
"AC002429.5","-1.824","1.279e-52"
"BCYRN1","1.547","1.546e-52"
"ARHGAP24","-1.825","2.396e-52"
"LRRC4C","-1.540","1.055e-51"
"MT-CO2","1.479","1.370e-51"
"HSPB1","1.472","5.884e-51"
"FTH1","-1.243","1.608e-50"
"SGCD","-1.595","2.199e-49"
"PLCE1","1.421","2.291e-49"
"ERBB4","-0.8999","4.960e-49"
"GRM3","-1.752","3.998e-48"
"MT-ND1","1.488","4.851e-47"
"SLC7A2","1.475","1.901e-46"
"FAM155A","-1.349","2.926e-46"
"PDE4D","-1.279","8.433e-46"
"GLUD1","-1.438","1.024e-45"
"MT-ND2","1.394","8.214e-45"
"GOLGB1","1.281","9.366e-45"
"ESRRG","-1.554","1.132e-43"
"CADM2","-0.9309","3.203e-43"
"RP11-403A3.3","1.265","3.375e-43"
"DNAJB2","1.404","3.483e-43"
"VCAN","1.238","3.949e-42"
"FKBP5","1.362","8.338e-42"
"MT-ATP6","1.346","9.863e-42"
"RHPN1","1.321","8.069e-41"
"GABRB1","-1.153","1.457e-40"
"RP11-317N12.1","-1.616","1.701e-40"
"ADGRV1","-0.8274","1.742e-40"
"MT-CYB","1.322","2.831e-39"
"SPP1","1.312","1.007e-38"
"DLC1","-1.269","2.297e-38"
"BOK","1.360","4.319e-38"
"CRYAB","1.216","7.466e-38"
"SAT1","-1.460","1.826e-37"
"SLC4A4","-1.280","2.893e-37"
"MT-ND4","1.276","4.875e-37"
"TENM2","-1.187","1.362e-36"
"PREX2","-1.151","2.765e-36"
"MAGI2","-0.8190","2.770e-36"
"MGAT4C","-1.141","1.153e-35"
"PTN","-1.379","1.272e-35"
"ANGPTL4","1.164","2.144e-35"
"APOE","-1.136","5.424e-35"
"GNA14-AS1","-1.540","7.783e-35"
"TPST1","1.219","1.083e-34"
"NHSL1","-1.242","1.131e-34"
"TNIK","-0.8955","3.230e-34"
"AEBP1","1.202","4.339e-34"
"GADD45G","1.232","1.193e-33"
"SPARCL1","-0.9557","8.554e-33"
"ZFP36","1.235","1.066e-32"
"MT-ND3","1.247","1.163e-31"
"RP11-275H4.1","-1.412","2.231e-31"
"NR2F2-AS1","-1.395","2.260e-31"
"SLC39A11","1.007","6.720e-31"
"RP11-507B12.2","1.203","2.671e-30"
"ITPKB","1.010","3.047e-30"
"RP11-39M21.1","-1.341","2.310e-29"
"PIK3C2A","-1.252","4.159e-29"
"FRMD4A","-1.263","1.728e-28"
"PAMR1","-1.191","3.656e-28"
"MT-CO3","1.122","3.656e-28"
"RP11-3B12.2","-1.375","3.995e-28"
"CTNNA2","-0.7049","5.649e-28"
"ARHGEF3","1.184","6.079e-28"
"NPAS3","-0.5062","6.715e-28"
"LRRC3B","-1.260","3.397e-27"
"GABRA2","-1.191","6.177e-27"
"NTRK2","-0.7212","2.425e-26"
"MAP1B","1.070","8.593e-26"
"NCKAP5","-1.027","9.935e-26"
"RORA","-0.6096","4.061e-25"
"TMEM241","-1.303","7.273e-25"
"PCDH9-AS2","-1.129","9.200e-25"
"P2RY14","-1.249","1.777e-24"
"LINC00461","-0.9717","1.778e-24"
"PPP2R2B","-0.6117","1.816e-24"
"CDH20","-0.7179","2.118e-24"
"CHI3L1","1.087","2.261e-24"
"ADAMTS9-AS2","1.054","3.803e-24"
"SLC1A3","-0.6777","3.834e-24"
"UTY","-1.253","4.173e-24"
"RORB","-1.112","4.671e-24"
"FBXL7","-0.8531","7.555e-24"
"FUT9","-0.8581","9.069e-24"
"MSI2","-0.7903","9.418e-24"
"RGS7","-1.104","1.501e-23"
"AHNAK","1.015","1.846e-23"
"CTC-498M16.4","-1.090","2.101e-23"
"ERBB2IP","0.8254","2.147e-23"
"EPHA6","-1.146","2.303e-23"
"ADGRL3","-0.7706","2.511e-23"
"LRP1B","-0.5750","2.819e-23"
"MRAS","1.040","3.460e-23"
"FAM19A1","-1.241","8.683e-23"
"KCNQ3","-1.226","1.076e-22"
"HILPDA","1.001","1.279e-22"
"C3","0.9808","1.730e-22"
"FAT3","-1.066","4.009e-22"
"HSP90AA1","1.009","4.075e-22"
"COL21A1","0.9952","1.061e-21"
"GARNL3","-1.070","1.186e-21"
"GRIA2","-1.015","1.318e-21"
"ALDH1L1","0.8946","2.501e-21"
"CSGALNACT1","-0.8616","3.807e-21"
"TMEM108","-1.058","6.246e-21"
"MIR99AHG","-0.5460","6.259e-21"
"IGFBP7","0.9542","6.287e-21"
