"geneName","LFC","FDR"
"BICC1","-3.520","9.692e-13"
"KCNK2","-3.121","1.251e-11"
"LINC01088","-3.479","4.484e-11"
"SLC13A3","-2.735","1.540e-9"
"SLC7A11","-3.912","3.486e-9"
"KCNMA1","-3.750","5.841e-9"
"EPHA7","-2.798","5.891e-9"
"A2M","2.862","7.075e-9"
"GPC6","-3.200","7.409e-9"
"RGS5","3.087","1.947e-8"
"TRPM3","-4.943","2.143e-8"
"RP11-413B19.2","-2.613","2.461e-8"
"MAPK4","-2.544","2.461e-8"
"IFI27","3.127","2.480e-8"
"SLC4A4","-2.342","4.271e-8"
"FLRT2","-2.792","6.082e-8"
"HSPB1","2.970","9.323e-8"
"FLT1","4.071","9.815e-8"
"ABCB1","3.004","1.176e-7"
"FGF13","-2.451","1.705e-7"
"CLDN5","4.209","2.224e-7"
"CEMIP","-4.307","3.278e-7"
"HIGD1B","2.437","4.244e-7"
"BNC2","-2.523","4.624e-7"
"PRKAG2","-2.336","5.623e-7"
"RANBP3L","-2.246","6.686e-7"
"EPAS1","2.427","0.000001189"
"ELOVL7","2.440","0.000001299"
"SLC13A4","-2.332","0.000001299"
"MPP6","-2.320","0.000001299"
"ETS2","2.412","0.000001679"
"ADAMTSL3","-2.241","0.000001990"
"EYS","-2.155","0.000001990"
"CNTN5","-2.027","0.000002302"
"SLC6A20","-2.292","0.000003942"
"ROBO1","-2.157","0.000003942"
"SNX6","2.269","0.000004912"
"F3","-2.268","0.000004966"
"BACH2","-2.189","0.000004966"
"NAMPT","2.702","0.000005425"
"TSHZ2","2.550","0.000005594"
"GPM6A","-2.149","0.000005767"
"HERC2","2.306","0.000007868"
"PTPN13","-2.108","0.000007868"
"RBFOX1","-2.113","0.000008734"
"GPC5","2.251","0.00001392"
"LCNL1","-2.117","0.00001404"
"HSPA1A","2.485","0.00001511"
"LGALS1","2.082","0.00001542"
"COL11A1","-2.058","0.00001888"
"RSPO2","-2.014","0.00001888"
"IL18","-1.990","0.00001888"
"DLC1","3.502","0.00002205"
"SLC2A1","2.166","0.00002205"
"PDE8B","2.073","0.00002205"
"SNCAIP","-2.073","0.00002453"
"PDE1A","-2.031","0.00002453"
"NEGR1","-1.969","0.00002453"
"HSP90AA1","2.220","0.00003252"
"BSG","2.386","0.00003710"
"SVIL","-2.141","0.00003710"
"HIF1A-AS2","2.074","0.00003710"
"EHBP1","-1.965","0.00003710"
"NDUFA4L2","2.202","0.00003752"
"LRFN5","-1.991","0.00004713"
"PRKCA","-1.934","0.00005443"
"CLU","-2.098","0.00005778"
"SLCO4A1","2.121","0.00006074"
"PTH1R","2.019","0.00006074"
"GRM3","2.250","0.00006894"
"PKP2","-1.938","0.00006894"
"LINC01482","-1.937","0.00006894"
"SRPX2","-1.902","0.00006894"
"ASTN2","-2.038","0.00008674"
"SLC24A3","-1.955","0.00008674"
"MIR100HG","-1.786","0.00008674"
"CYTH3","1.990","0.0001022"
"PDE7B","2.041","0.0001024"
"MECOM","2.145","0.0001233"
"COL21A1","-1.861","0.0001416"
"IGFBP7","2.441","0.0001441"
"SRGN","2.000","0.0001441"
"LAMA4","-1.923","0.0001441"
"GMDS","-1.842","0.0001441"
"FLI1","2.030","0.0001721"
"MAP2","1.951","0.0001721"
"PTPRK","2.044","0.0001907"
"ANKS1B","-1.803","0.0001989"
"ATP1B3","-1.756","0.0002179"
"GALNT18","1.971","0.0002237"
"SGIP1","1.874","0.0002237"
"RHOJ","1.953","0.0002368"
"EIF1","1.913","0.0002368"
"ADAMTS12","-1.856","0.0002675"
"ACKR3","-1.812","0.0002675"
"CACNA2D3","-1.656","0.0002675"
"PTPRG","2.190","0.0002687"
"MYH9","1.896","0.0002759"
"C10orf10","1.894","0.0002759"
"FAM20A","-1.874","0.0002759"
"DGKB","1.860","0.0002759"
"ALCAM","-1.670","0.0002854"
"ITSN1","-1.846","0.0002927"
"PRDM6","-1.822","0.0002927"
"MT2A","2.342","0.0003198"
"FRMD3","1.826","0.0003362"
"KIAA1217","-1.705","0.0004259"
"PARD3B","-1.643","0.0005024"
"ADAM12","-1.809","0.0005164"
"RP11-317N12.1","-1.728","0.0005164"
"LINGO2","-1.714","0.0005164"
"C7orf73","-1.697","0.0005164"
"SEMA3C","-1.665","0.0005164"
"GAPDH","1.880","0.0005272"
"RAC1","1.853","0.0005417"
"CPNE8","1.818","0.0006123"
"CYP1B1","-1.709","0.0006347"
"EXT1","-1.707","0.0007505"
"DOCK9","1.642","0.0007667"
"RP11-71N10.1","-1.743","0.0009791"
"FMNL2","-1.597","0.001010"
"ENPP6","-1.693","0.001072"
"PRDM5","-1.685","0.001072"
"ITGA8","-1.659","0.001072"
"TIAM1","-1.700","0.001119"
"CD59","1.642","0.001176"
"DANT2","-1.765","0.001211"
"IFITM2","1.621","0.001214"
"COL18A1","-1.697","0.001271"
"NAALADL2","-1.577","0.001331"
"DACH1","1.761","0.001389"
"PDE10A","1.717","0.001389"
"SLC7A5","1.696","0.001389"
"RGS4","1.667","0.001389"
"MAPK10","-1.511","0.001389"
"NOTCH3","1.744","0.001392"
"TMSB10","2.215","0.001487"
"ERG","1.853","0.001657"
"ADAMTS9","1.720","0.001657"
"FNDC3A","-1.711","0.001708"
"TMEM117","-1.649","0.001708"
"CHSY3","-1.566","0.001968"
"TLN2","-1.729","0.002031"
"LDLRAD4","-1.704","0.002031"
"CAB39L","-1.694","0.002031"
"TDRD3","-1.662","0.002031"
"C8orf34","-1.623","0.002031"
"GREB1","-1.593","0.002031"
"HLF","-1.572","0.002031"
"TRDN","-1.448","0.002031"
"NR2F1-AS1","-1.729","0.002170"
"PDE7A","-1.658","0.002170"
"IFITM3","2.110","0.002238"
"ENG","1.688","0.002248"
"SPARC","1.636","0.002248"
"DNAJB1","1.616","0.002248"
"MYL12B","1.591","0.002248"
"HES4","1.580","0.002248"
"KTN1","1.531","0.002357"
"SPP1","1.718","0.002556"
"CRIP2","1.677","0.002556"
"PFN1","1.624","0.002556"
"PTMA","1.626","0.002907"
"MDGA2","-1.620","0.003001"
"LINGO1","2.463","0.003163"
"USP34","1.664","0.003275"
"COBLL1","1.547","0.003515"
"TBC1D4","1.673","0.003526"
"SLC38A11","1.553","0.003526"
"PDE4D","1.786","0.003677"
"ALDH1A2","-1.662","0.003677"
"ZNRF3","-1.630","0.003677"
"FBN1","-1.606","0.003677"
"RP11-434D9.1","-1.598","0.003677"
"LRP1B","-1.479","0.003717"
"RPGR","1.613","0.003788"
"PTPRB","1.592","0.003788"
"LPL","1.534","0.003788"
"PRICKLE1","-1.501","0.003870"
"RP11-238K6.1","-1.477","0.003870"
"KCTD8","1.736","0.004088"
"GRM8","1.631","0.004088"
"FHIT","-1.443","0.005163"
"WWOX","-1.784","0.005272"
"COL4A5","-1.562","0.005392"
"MYL9","1.540","0.005392"
"EBF1","1.508","0.006023"
"SGCD","-1.477","0.006023"
"ECHDC2","-1.558","0.006201"
"CLDN11","-1.467","0.006201"
"ITGA6","1.528","0.006514"
"RBM17","1.525","0.006514"
"AGRN","1.524","0.006514"
"PLOD1","1.469","0.006514"
"AMER2","1.463","0.006514"
"SNCG","1.455","0.006514"
"MGLL","1.400","0.006514"
"PRICKLE2","1.587","0.006644"
"MT-CO1","1.556","0.006644"
"CD99","1.532","0.006644"
"P2RY14","1.529","0.006644"
"JAZF1","-1.537","0.006756"
"STOM","1.507","0.007237"
"CYR61","-1.460","0.007602"
"RP11-284M14.1","-1.412","0.007602"
"MEF2C","1.412","0.007602"
"SLC41A2","-1.404","0.007602"
"RP11-39M21.1","-1.397","0.007602"
"CHFR","-1.395","0.007602"
"MAP3K5","-1.357","0.007602"
"NDST4","-1.301","0.007602"
"ACTB","1.745","0.007935"
"RGCC","1.577","0.007935"
"TMEM123","1.560","0.007935"
"NDRG1","1.529","0.007935"
"USP53","-1.347","0.008356"
"MYL6","1.459","0.008786"
"HLA-E","1.418","0.008786"
"MYRIP","1.405","0.008786"
"AC074363.1","-1.537","0.009163"
"IGFBP5","-1.524","0.009163"
"ANKRD12","1.386","0.009163"
"PLXDC2","-1.321","0.009774"
"KAZN","-1.407","0.01012"
"SIPA1L1","-1.385","0.01012"
"MIR99AHG","-1.937","0.01038"
"BTG1","1.566","0.01038"
"SLC27A4","1.456","0.01038"
"ARPC1A","1.435","0.01038"
"SLC1A1","1.433","0.01038"
"CCND3","1.423","0.01038"
"CCDC85B","1.414","0.01038"
"PLIN2","1.382","0.01038"
"HSPH1","1.382","0.01038"
"ATP5EP2","1.370","0.01038"
"AHCYL2","-1.275","0.01038"
"VEZT","-1.408","0.01159"
"SOD2","1.551","0.01177"
"FBXL7","-1.324","0.01177"
"CD74","1.515","0.01204"
"ROR2","-1.494","0.01204"
"GOLGA8A","-1.459","0.01204"
"RHOB","1.450","0.01204"
"COX7A2","1.436","0.01204"
"SSBP3","-1.332","0.01461"
"SIDT1","-1.322","0.01461"
"MMP24","-1.309","0.01461"
"CACNB2","-1.308","0.01461"
"MEGF10","-1.300","0.01461"
"AGBL4","-1.300","0.01461"
"PTGFR","-1.286","0.01461"
"LMO4","-1.267","0.01461"
"CUBN","-1.234","0.01461"
"PDGFD","-1.200","0.01461"
"SLC12A2","1.338","0.01534"
"HSP90AB1","1.329","0.01624"
"MT-ND2","1.525","0.01636"
"TMEM2","1.493","0.01636"
"ZNF385B","1.473","0.01636"
"ADGRL2","1.454","0.01636"
"RPS4X","1.453","0.01636"
"SLC25A6","1.451","0.01636"
"CPEB2","-1.314","0.01694"
"CNN3","1.440","0.01718"
"IVNS1ABP","1.389","0.01718"
"FKBP4","1.341","0.01718"
"SLC7A1","1.340","0.01718"
"SGPP2","1.319","0.01718"
"RBMS2","1.318","0.01718"
"PSMB3","1.307","0.01718"
"KIAA1109","1.301","0.01718"
"GNB2","1.295","0.01718"
"PSMB5","1.289","0.01718"
"PTGDS","-2.950","0.01733"
"PHLDB2","-1.231","0.01756"
"FLNA","1.512","0.01808"
"MCTP1","1.476","0.01808"
"MYL12A","1.452","0.01808"
"AGFG1","1.440","0.01808"
