"geneName","LFC","FDR"
"GFAP","2.417","8.430e-210"
"NRXN1","2.344","6.469e-151"
"FRMD4A","2.169","2.573e-136"
"HSPA1A","1.610","2.434e-126"
"PCDH15","2.325","1.509e-124"
"DSCAM","2.268","2.775e-123"
"PTPRZ1","2.115","1.806e-107"
"MT-ND4","1.774","1.960e-107"
"OPCML","2.134","1.284e-98"
"FGF14","2.092","6.794e-93"
"MEG3","1.757","8.602e-88"
"CSMD1","1.903","9.840e-84"
"KCND2","2.017","2.625e-83"
"FAM155A","1.931","2.222e-79"
"LRRC4C","1.761","4.667e-76"
"RBFOX1","1.919","6.558e-76"
"VCAN","1.814","3.872e-71"
"LHFPL3","1.782","1.098e-65"
"SNTG1","1.814","1.052e-61"
"TNR","1.676","3.168e-61"
"GPM6A","1.668","1.025e-60"
"RORA","1.645","1.525e-60"
"KCNIP4","1.624","4.881e-57"
"DPP10","1.571","3.113e-56"
"LRRTM4","1.588","2.555e-54"
"LUZP2","1.628","1.256e-53"
"AEBP1","1.393","9.530e-53"
"MT-ATP6","1.361","1.669e-52"
"MMP16","1.620","8.310e-52"
"GRIK2","1.599","2.017e-49"
"NRG3","1.558","2.801e-49"
"DNAJB2","1.296","8.400e-47"
"BOK","1.299","1.793e-46"
"MT-CYB","1.239","5.189e-45"
"TMEM108","1.369","3.509e-44"
"GPR17","1.183","4.159e-44"
"NRCAM","1.509","3.111e-42"
"KLF12","1.401","1.101e-41"
"SMOC1","1.518","2.836e-41"
"CHL1","1.458","4.626e-40"
"MEF2C","1.395","1.123e-39"
"CELF2","1.379","1.531e-38"
"MT-CO3","1.161","1.774e-38"
"HSPB1","1.139","2.754e-38"
"SYT1","1.480","4.163e-38"
"NSMF","1.348","1.491e-36"
"MT-CO2","1.115","6.451e-36"
"MAP2","1.336","5.676e-35"
"RAPGEF3","1.235","1.714e-34"
"NXPH1","1.256","2.806e-34"
"DLGAP1","1.391","1.175e-33"
"MT-ND2","1.099","1.738e-33"
"BRINP3","1.269","3.030e-33"
"ATRNL1","1.273","3.604e-33"
"NDRG2","1.083","7.220e-33"
"SOX5","1.249","6.346e-32"
"PLCB1","1.283","1.055e-31"
"CTNNA3","-1.166","2.753e-31"
"PDZD4","1.128","3.649e-31"
"HIF3A","1.271","5.424e-31"
"BCAN","1.259","2.142e-30"
"SLC8A1","1.278","3.483e-30"
"FGF12","1.339","5.255e-30"
"MT-ND1","1.103","6.779e-30"
"CEMIP","0.9777","1.097e-29"
"DNAJB1","1.107","1.419e-29"
"GRM7","1.282","3.563e-29"
"IL1RAPL1","-0.8772","2.302e-28"
"PLP1","-0.8957","6.275e-28"
"LSAMP","1.055","8.688e-28"
"SNAP25","1.275","1.154e-27"
"LINGO1","0.8102","1.284e-27"
"CA10","1.107","1.891e-27"
"SLC35F1","1.251","2.129e-26"
"MALAT1","-0.5253","8.587e-26"
"GRIN1","1.095","1.526e-25"
"CSPG4","0.9016","3.904e-25"
"RHPN1","1.086","8.676e-25"
"C1orf61","1.102","1.983e-24"
"SOX6","1.149","4.016e-24"
"SLC1A2","1.078","8.343e-24"
"MDGA2","1.038","1.505e-23"
"GRID2","0.9979","1.513e-23"
"GABRB1","1.112","3.729e-23"
"TMEM144","-1.107","3.891e-23"
"GRIK1","1.153","8.510e-23"
"PCDH9","-0.6940","1.121e-22"
"ST6GALNAC6","0.9583","1.787e-22"
"TRPM3","1.112","2.689e-22"
"GPC5","1.120","4.617e-22"
"RALYL","1.118","7.545e-22"
"CST3","1.046","1.369e-21"
"DGKG","1.070","2.321e-21"
"MACROD2","1.101","1.222e-20"
"PTPRG","1.089","1.426e-20"
"CNTN5","1.100","2.668e-20"
"ST18","-1.015","3.795e-20"
"THRB","1.004","3.795e-20"
"ZEB1","0.9490","6.255e-20"
"MT-CO1","0.9748","6.504e-20"
"CHD5","0.9047","1.335e-19"
"TPD52L2","1.054","1.921e-19"
"HS6ST3","0.9922","7.941e-19"
"CADPS2","0.9552","8.210e-19"
"SCN1A","0.9084","1.503e-18"
"SGCZ","1.057","2.174e-18"
"DCLK2","1.003","2.517e-18"
"ARHGEF4","1.018","2.961e-18"
"TMEM63B","0.9923","3.921e-18"
"RELA","0.9415","4.944e-18"
"SCN2A","0.9836","5.324e-18"
"ALDH1L1","0.8599","5.688e-18"
"CDH10","0.9163","5.886e-18"
"RP4-668E10.4","0.7756","6.472e-18"
"PDZRN4","1.019","8.831e-18"
"PCDH7","0.9906","9.424e-18"
"DPP6","0.9761","1.069e-17"
"CTNNA2","0.9857","1.255e-17"
"DGKB","0.8710","1.360e-17"
"TTLL7","-0.9797","1.387e-17"
"LRFN5","0.8734","1.488e-17"
"PLCL1","-1.156","1.794e-17"
"ZFPM2","1.055","1.823e-17"
"FAM107A","0.8526","2.216e-17"
"SLC24A2","-0.9717","2.488e-17"
"PEX5L","-1.082","2.624e-17"
"NTRK3","0.9311","2.661e-17"
"TF","-1.111","3.132e-17"
"GPC6","0.9776","3.651e-17"
"RP11-384F7.2","1.016","3.725e-17"
"KIFC2","0.8787","4.603e-17"
"NOL4","0.8543","5.135e-17"
"CCSER1","0.9916","6.922e-17"
"MT3","0.8492","7.544e-17"
"RBCK1","0.9815","1.058e-16"
"TOX","0.8192","1.230e-16"
"SEZ6L","0.8846","1.432e-16"
"PITPNC1","0.9724","1.692e-16"
"C10orf11","0.9160","1.816e-16"
"NEBL","0.9700","2.040e-16"
"FAM19A2","1.024","2.464e-16"
"DTNA","1.033","3.247e-16"
"CHST11","0.9073","3.494e-16"
"QKI","-0.6688","4.502e-16"
"RIMS2","0.9422","4.882e-16"
"RGS7","0.9722","8.699e-16"
"RANGAP1","0.8795","1.394e-15"
"PALLD","0.9145","1.686e-15"
"ATP1A2","0.9389","1.744e-15"
"LINC00599","0.7879","2.961e-15"
"TMTC2","-0.9659","2.964e-15"
"CKB","0.8329","2.982e-15"
"PARD3","0.9245","3.210e-15"
"CACNA1C","0.8866","3.321e-15"
"COL11A1","0.8107","5.410e-15"
"LRP1","0.9146","7.732e-15"
"DDAH1","0.7979","7.965e-15"
"WASH1","0.8641","8.689e-15"
"PIP4K2A","-0.8517","1.390e-14"
"ACAP3","0.9521","1.420e-14"
"DPYD","-1.080","1.699e-14"
"STK32A","0.6603","1.725e-14"
"MEGF11","0.7821","2.345e-14"
"GRIA1","0.8593","2.352e-14"
"ABLIM1","0.8716","2.385e-14"
"FSTL5","0.9206","2.572e-14"
"SHC2","0.8789","2.990e-14"
"DGCR5","0.6960","4.366e-14"
"SPTBN4","0.8959","5.668e-14"
"CSMD3","0.9384","5.869e-14"
"TNS3","0.6909","6.427e-14"
"ZNF385D","0.9352","6.762e-14"
"XKR4","0.8557","7.597e-14"
"CDH18","0.8884","7.649e-14"
"KCNT2","0.7187","7.886e-14"
"NELL1","0.7748","8.377e-14"
"GRIN2B","0.7244","1.026e-13"
"CRELD1","0.8068","1.252e-13"
"LPCAT1","0.6565","1.260e-13"
"SPARCL1","0.8962","1.360e-13"
"ADCY2","0.9114","1.465e-13"
"CLK1","0.8166","1.579e-13"
"LRP1B","0.7689","1.651e-13"
"RUSC1","0.7442","2.031e-13"
"TBKBP1","0.6518","2.031e-13"
"NFATC4","0.6294","2.243e-13"
"FKBP4","0.7294","2.325e-13"
"PTPRK","-0.9632","2.382e-13"
"CSGALNACT1","0.8132","3.497e-13"
"GPNMB","0.6280","3.610e-13"
"SHTN1","-0.8752","3.654e-13"
"TCAP","0.6278","3.791e-13"
"RGS12","0.9094","3.924e-13"
"MAGI2","-0.6909","4.225e-13"
"RUNDC3A","0.7883","5.655e-13"
"STMN2","0.6550","5.655e-13"
"CNTN1","0.8930","6.391e-13"
"PID1","0.7522","6.573e-13"
"COL9A1","0.6860","6.968e-13"
"RIMS1","0.8572","7.039e-13"
"ROBO2","0.8627","7.816e-13"
"ARFGAP1","0.9108","8.835e-13"
"GABBR1","0.8170","1.176e-12"
"STXBP5L","0.8775","1.183e-12"
"NAV2","0.8401","1.183e-12"
"RXRA","0.7422","1.377e-12"
"RP3-406A7.7","0.8116","1.429e-12"
"SLC2A13","0.8123","1.580e-12"
"DAB1","0.8947","1.628e-12"
"CERS6","0.7375","1.768e-12"
"UNC80","0.7520","1.870e-12"
"SHISA9","0.7422","1.930e-12"
"JDP2","0.5368","2.428e-12"
"COL5A3","0.7302","3.011e-12"
"ADGRB1","0.6945","3.282e-12"
"RAPGEF4","0.7981","3.306e-12"
"ADGRV1","0.8195","3.469e-12"
"CDH19","-1.079","3.495e-12"
"SEMA5A","0.8211","3.690e-12"
"CACNB2","0.8171","3.754e-12"
"PTGES3","0.7464","4.073e-12"
"ANK3","-0.7835","4.215e-12"
"PCSK1N","0.8635","5.623e-12"
"TSPYL2","0.7924","5.897e-12"
"NCAM2","-0.7132","6.145e-12"
"SIK3","-0.7171","6.712e-12"
"FLRT2","0.6722","6.885e-12"
"PAM","0.7321","8.355e-12"
"SPTAN1","0.8289","8.863e-12"
"LINC01322","0.8268","9.077e-12"
"LAMC1","0.5466","9.872e-12"
"OBSL1","0.6187","1.103e-11"
"SDC3","0.6732","1.144e-11"
"SAT1","0.8147","1.238e-11"
"PSD","0.6861","1.422e-11"
"SCN3A","0.6702","1.456e-11"
"PAK3","0.6293","1.771e-11"
"KCNMA1","0.8392","1.877e-11"
"XYLT1","0.8032","1.919e-11"
"SLC1A3","0.7425","1.950e-11"
"CLDN11","-0.8144","2.118e-11"
"SNRNP70","0.7713","2.382e-11"
"CASKIN1","0.5771","2.388e-11"
"RBMS3","0.7358","2.544e-11"
"ERBB2IP","-0.7927","2.686e-11"
"GRM5","0.8363","3.057e-11"
"PSAP","0.7019","3.111e-11"
"CERS5","0.8248","3.187e-11"
"MAP7","-0.8264","3.243e-11"
"DOCK10","-0.8186","3.250e-11"
"SGSM3","0.7742","3.567e-11"
"C10orf90","-0.9454","3.613e-11"
"ELMO1","-0.7979","4.090e-11"
"SRSF6","0.7997","4.913e-11"
"CABP1","0.6321","5.363e-11"
