"geneName","LFC","FDR"
"LINGO1","2.824","0.000"
"HSPA1A","2.414","0.000"
"NEAT1","2.269","0.000"
"LINC00486","1.716","0.000"
"XIST","1.763","6.725e-297"
"FKBP5","1.770","2.527e-280"
"GFAP","1.726","1.014e-255"
"IL1RAPL1","-0.7483","2.513e-226"
"CTNNA2","-1.425","1.791e-198"
"MT-ND4","1.482","9.343e-189"
"SLC5A11","1.384","2.409e-176"
"ZFYVE16","-1.175","1.644e-175"
"MIR219A2","-1.059","4.261e-175"
"ADAMTS18","1.358","2.336e-171"
"PPP2R2B","-0.8600","1.762e-168"
"MT3","1.319","2.081e-165"
"PCDH9","-0.5797","2.449e-162"
"HSPB1","1.393","1.383e-155"
"NKAIN2","-0.9231","6.156e-149"
"ERBB2IP","0.9311","2.487e-148"
"MDGA2","-1.152","5.226e-148"
"MT-CO3","1.270","6.401e-140"
"PDE1A","-1.026","6.355e-138"
"PPP1R14A","-1.020","7.442e-138"
"HS3ST5","-1.042","7.834e-137"
"AK5","-1.001","5.504e-134"
"HSPA1B","1.270","9.353e-129"
"HSP90AB1","1.124","2.905e-128"
"MT-ATP6","1.178","1.038e-126"
"SPP1","0.9094","1.432e-126"
"MT-CO2","1.201","1.745e-125"
"BOK","1.151","1.119e-120"
"DNAJB1","1.225","6.097e-120"
"LSAMP","-0.8959","2.651e-118"
"DLG2","-0.6213","2.996e-118"
"MT-CYB","1.128","5.450e-118"
"CTNNA3","-0.6200","7.671e-110"
"GRID2","-1.022","5.201e-106"
"MT-ND1","1.123","5.883e-105"
"GALNT13","-0.9267","1.797e-101"
"PLP1","-0.5300","1.708e-100"
"S100A6","1.050","1.939e-100"
"NAALADL2","-0.8969","3.983e-100"
"TMTC4","0.9625","6.095e-100"
"AUTS2","-0.7945","9.597e-100"
"SLC24A2","-0.6754","3.467e-97"
"DNAJB2","0.9942","1.686e-95"
"ANK3","-0.6570","3.083e-94"
"NRXN3","-0.8050","1.369e-93"
"CRYAB","0.8451","3.321e-90"
"UTY","-0.9507","3.581e-90"
"OPALIN","-0.8280","2.137e-89"
"ZEB2","-0.6894","5.759e-87"
"LMCD1-AS1","-0.8620","6.130e-87"
"FCHSD2","-0.7735","7.044e-81"
"ITPKB","0.8845","4.486e-79"
"SLC6A8","0.9546","4.434e-78"
"SLC26A3","0.9227","5.459e-77"
"KCNMB4","0.8079","1.161e-76"
"ST18","-0.5715","2.516e-76"
"GRM3","-0.7520","5.267e-75"
"CH17-189H20.1","0.8288","1.748e-72"
"TTLL7","-0.5944","1.332e-71"
"PDE4B","-0.5086","6.644e-71"
"ANO4","-0.7105","1.850e-70"
"CCP110","0.7718","2.515e-70"
"LANCL1","-0.7260","6.036e-70"
"SLC38A2","0.8155","1.163e-69"
"KCNH8","-0.6814","4.323e-69"
"MT-ND2","0.8636","7.168e-69"
"PTGES3","0.9078","1.099e-68"
"CREB5","-0.6712","4.329e-68"
"PSAP","0.7845","1.072e-67"
"HSP90AA1","0.7693","6.726e-67"
"BCYRN1","0.8888","7.159e-67"
"CCK","-0.7840","1.290e-66"
"MIR100HG","-0.8274","9.848e-66"
"NLGN4Y","-0.7910","1.560e-64"
"PTPRD","-0.5070","1.560e-64"
"TMEFF2","-0.6592","1.969e-64"
"LIMCH1","-0.6574","3.064e-64"
"LINC01170","-0.7245","3.681e-62"
"RAPGEF3","0.8695","1.398e-60"
"NDRG1","0.7451","1.398e-60"
"NTM","-0.6409","8.154e-60"
"LINC01608","-0.6549","1.168e-59"
"ABCA6","0.7519","3.314e-59"
"BCOR","0.8265","8.457e-59"
"SLIT2","-0.7613","1.628e-58"
"ZBTB20","-0.5369","3.010e-58"
"DOCK10","-0.5641","4.393e-58"
"NDRG2","0.7588","1.023e-57"
"NLGN1","-0.5510","4.749e-57"
"AEBP1","0.7518","4.976e-57"
"STIP1","0.8210","1.464e-56"
"CLK1","0.7709","2.417e-56"
"CNTNAP4","-0.6699","1.944e-55"
"AZGP1","0.7173","3.342e-55"
"KIF19","0.7512","1.859e-54"
"SEPT7","-0.5026","2.122e-54"
"NPTX2","0.6024","2.980e-54"
"PDE4D","-0.6772","6.477e-53"
"LSS","0.7419","1.543e-52"
"IFNG-AS1","-0.6941","1.584e-52"
"MID1IP1","0.7286","2.987e-52"
"CDH19","0.6575","8.720e-51"
"MT-ND3","0.7382","3.766e-50"
"SLC39A11","0.6948","6.585e-50"
"S100B","-0.6785","3.408e-49"
"LINC00639","-0.6301","3.954e-49"
"DHCR24","0.7485","2.475e-48"
"FKBP4","0.7518","2.764e-48"
"SH3GL3","-0.5789","3.829e-48"
"RANGAP1","0.7572","1.471e-47"
"LRP1B","-0.5492","1.006e-46"
"CNTNAP2","-0.6068","1.158e-46"
"WASH1","0.7452","1.846e-45"
"DPP6","-0.6421","2.053e-45"
"FUT8","-0.5723","2.665e-45"
"DSCAML1","-0.6323","6.548e-45"
"CTNND2","-0.5699","8.784e-45"
"PTN","-0.6484","1.593e-44"
"TSPAN19","0.5510","1.819e-44"
"ERBB4","-0.5221","4.069e-44"
"BCAS1","-0.5702","4.914e-44"
"MICALL2","0.6670","1.252e-43"
"CMTM5","-0.6713","4.605e-43"
"QDPR","0.5141","5.081e-43"
"HTRA1","0.6290","7.688e-43"
"NRXN1","-0.6438","1.961e-42"
"RP11-384F7.2","-0.6619","2.511e-42"
"SLC6A1-AS1","-0.5822","4.374e-42"
"MOBP","-0.5350","4.469e-42"
"LINC01099","-0.6741","8.491e-42"
"LRRTM3","-0.6343","8.637e-42"
"SYNJ2","0.5791","1.045e-41"
"METTL7A","0.6754","4.598e-41"
"APOE","-0.6304","8.310e-41"
"ITGB4","0.5824","1.848e-40"
"MT2A","0.6225","5.351e-40"
"MIR181A1HG","-0.5489","2.235e-39"
"ZBTB16","0.6437","5.045e-39"
"HIF3A","0.6472","2.175e-38"
"PLOD3","0.6637","3.493e-38"
"PLXDC2","-0.5299","6.373e-38"
"LRRTM4","-0.5953","1.029e-37"
"ST6GALNAC3","-0.5394","2.234e-37"
"MYLPF","0.5915","3.237e-37"
"LMNA","0.6227","1.046e-36"
"ARRDC2","0.6435","1.112e-36"
"EVA1C","0.6079","1.458e-36"
"NFKBIA","0.6253","1.846e-36"
"PER1","0.6116","1.912e-36"
"LPGAT1","-0.5219","8.824e-36"
"PLXNB1","0.6391","1.022e-35"
"FAM13C","-0.5769","1.505e-35"
"PCDH9-AS2","-0.5871","2.240e-35"
