"geneName","LFC","FDR"
"LINC00486","1.394","5.280e-102"
"LINGO1","2.529","7.720e-101"
"XIST","2.045","3.180e-41"
"CRYAB","1.771","1.225e-34"
"MT-ND4","1.618","1.866e-29"
"HIF3A","1.452","9.814e-27"
"HSPA1A","1.583","1.213e-26"
"MT-CYB","1.633","2.398e-25"
"FKBP5","1.635","5.874e-25"
"MT-CO2","1.472","2.753e-24"
"PCDH15","-0.7979","6.387e-22"
"MT-CO3","1.394","9.571e-22"
"MT-ATP6","1.469","2.028e-19"
"ZFPM2","1.059","1.946e-18"
"NEAT1","1.335","4.253e-17"
"ANKS1B","-1.048","4.282e-17"
"DNAJB2","1.456","7.411e-17"
"RBFOX1","-1.266","2.411e-16"
"GFAP","1.413","3.478e-16"
"LSAMP-AS1","-1.553","3.294e-15"
"SLC6A1-AS1","-1.668","7.072e-15"
"CRISPLD2","1.333","1.765e-14"
"SEMA3E","1.328","2.695e-14"
"GPC5","-1.737","2.982e-14"
"PTPRT","-1.355","8.449e-14"
"NRXN1","-0.5584","1.894e-13"
"LIFR","1.182","2.857e-13"
"MT-ND1","1.263","2.132e-12"
"CNTN5","-1.509","2.415e-12"
"MT3","1.011","2.476e-12"
"EEF2K","1.247","2.907e-12"
"NR2F2-AS1","-1.514","5.169e-12"
"NRXN3","-1.323","5.433e-12"
"DGKG","0.8805","2.778e-11"
"BCL6","1.150","7.508e-11"
"HSPB1","1.184","1.117e-10"
"MT-ND2","1.155","1.133e-10"
"SPP1","1.174","1.505e-10"
"RAPGEF3","1.143","3.683e-10"
"SPOCK1","0.9277","4.425e-10"
"GPC6","-0.9851","4.547e-10"
"LUZP2","-0.7093","2.001e-9"
"MGLL","1.107","2.332e-9"
"NCALD","-1.123","3.648e-9"
"MIR3681HG","-1.183","8.831e-9"
"VCAN","0.6344","9.079e-9"
"HIP1","0.8786","9.774e-9"
"SOX6","-0.7198","1.077e-8"
"C1orf61","-0.9937","1.130e-8"
"QDPR","1.021","1.889e-8"
"MT-ND3","1.056","2.116e-8"
"KIF19","0.9990","3.111e-8"
"RP11-116O11.1","-1.239","6.166e-8"
"XYLT1","-0.7561","6.653e-8"
"ABCC8","0.9987","1.304e-7"
"KIAA1217","0.8065","2.094e-7"
"DNAJB1","0.9901","2.400e-7"
"SMOC1","0.7242","2.514e-7"
"REV3L","-0.8347","2.606e-7"
"RGS6","-1.094","2.766e-7"
"RANGAP1","0.9795","2.766e-7"
"SLC26A3","0.8967","4.764e-7"
"HSP90AA1","0.8721","6.921e-7"
"CH507-513H4.1","0.9925","7.095e-7"
"APOE","-1.002","8.084e-7"
"CNTNAP2","-0.9266","8.882e-7"
"SAMHD1","0.9590","9.388e-7"
"CDH19","0.8847","9.388e-7"
"PSAP","0.7874","9.388e-7"
"NPTX2","0.6877","0.000001003"
"BCYRN1","0.9145","0.000001080"
"BEST3","0.9323","0.000001187"
"GPM6A","-0.6212","0.000001202"
"GALNT13","0.6219","0.000001254"
"RPL13","-0.8568","0.000001658"
"CD81","0.8436","0.000001789"
"CLK1","0.8867","0.000002452"
"AGAP1","-0.6551","0.000003599"
"AHNAK","0.7775","0.000004032"
"LUC7L3","0.7454","0.000004032"
"CTNND2","-0.6216","0.000004120"
"PDZD2","0.6097","0.000005103"
"NKAIN3","-0.8770","0.000005645"
"BCOR","0.8921","0.000006000"
"B3GAT1","0.9125","0.000008634"
"CD82","0.8948","0.000009614"
"MKLN1","0.6579","0.00001080"
"GPRC5B","0.8205","0.00001083"
"DLGAP1","-0.6483","0.00001088"
"TSPYL2","0.8717","0.00001575"
"MEG3","-0.5446","0.00001575"
"RP4-668E10.4","-0.7117","0.00001685"
"LPL","0.7988","0.00001991"
"KAZN","-0.7092","0.00002258"
"SEMA6D","-0.9985","0.00002402"
"NXPH1","-0.6509","0.00002402"
"CST3","0.6389","0.00002472"
"MPHOSPH8","0.8443","0.00002520"
"SLC24A2","0.7494","0.00002717"
"KIAA0930","0.8696","0.00002845"
"CNTN2","0.8536","0.00003048"
"TFEB","0.8196","0.00003066"
"CACNB2","-0.9154","0.00003081"
"C1orf21","-0.8431","0.00003090"
"LDLR","0.5402","0.00003313"
"ANO4","-0.8502","0.00003772"
"PID1","-0.7277","0.00003916"
"FAM155A","-0.5154","0.00004194"
"BOK","0.8322","0.00004441"
"CNTN3","0.7347","0.00004566"
"NLGN4Y","-0.7655","0.00004759"
"FAM107A","0.7217","0.00004759"
"MAPK8IP1","0.7780","0.00004780"
"CHST11","-0.6198","0.00006081"
"AC012593.1","-0.9002","0.00007353"
"AF121898.3","0.7907","0.00008669"
"CSPG4","0.7959","0.00008722"
"EZH1","0.8300","0.00008754"
"ZEB1","-0.6617","0.0001191"
"NELL1","-0.7784","0.0001208"
"MYRFL","0.7742","0.0001208"
"RP11-39M21.1","-0.9269","0.0001319"
"FGF12","-0.5843","0.0001713"
"BIN1","0.8158","0.0001843"
"CLU","0.6596","0.0001939"
"HES1","-0.8918","0.0001973"
"GRIP1","-0.8174","0.0001984"
"PHLDB1","0.7416","0.0001984"
"CTD-2537O9.1","-0.8630","0.0002208"
"NCOA1","0.6001","0.0002230"
"LINC-PINT","0.6871","0.0002349"
"SLC2A5","0.5972","0.0002349"
"RP11-347C12.1","0.6004","0.0002403"
"CNTN4","-0.8663","0.0002446"
"S100B","-0.8127","0.0002506"
"PCDH11X","-0.7939","0.0002519"
"ADGRV1","-0.8835","0.0002937"
"SGCZ","-0.6108","0.0002963"
"PREX2","-0.8288","0.0003189"
"ANLN","0.6911","0.0003314"
"ASTN2","-0.6287","0.0003750"
"KCNMB2-AS1","-0.6895","0.0004057"
"PTN","-0.6732","0.0004302"
"PARD3","0.6136","0.0004302"
"KIAA1468","-0.8724","0.0004357"
"PTGDS","0.6206","0.0004629"
"NUMBL","0.5768","0.0004629"
"SORBS1","0.7080","0.0004630"
"H3F3B","-0.7542","0.0004842"
"PTGES3","0.7544","0.0005003"
"HS6ST3","-0.6275","0.0005003"
"PTPRD","-0.5499","0.0005105"
"SNRPN","-0.7628","0.0005172"
"CTNNB1","0.7608","0.0005172"
"RP3-406A7.7","0.5003","0.0005521"
"ALK","0.6446","0.0005663"
"LINC00461","-0.7648","0.0005829"
"TYRO3","0.7578","0.0005829"
"PTPRO","-0.8406","0.0006016"
"CLDND1","0.7497","0.0006021"
"AC004158.3","-0.8306","0.0006769"
"PDZD4","0.6139","0.0007559"
"CDK2AP2","0.6887","0.0007771"
"GABRB2","-0.7831","0.0008211"
"SPATA6","-0.6816","0.0008211"
"CLDN11","0.7340","0.0008225"
"TPST1","0.7320","0.0008274"
"CA8","-0.8231","0.0008431"
"CTD-2341M24.1","-0.7772","0.0008431"
"NUP153","0.7181","0.0008449"
"DAB1","-0.5450","0.0008449"
"ABCA2","0.7322","0.0008929"
"DNAJA4","0.6409","0.0009331"
"FAM196A","-0.8002","0.0009731"
"NFASC","0.7222","0.0009731"
"RALGDS","0.7212","0.001011"
"SEZ6L2","0.6734","0.001067"
"NDRG2","0.6798","0.001116"
"MIR4300HG","-0.7956","0.001142"
"RPS28","0.7099","0.001171"
"CSRP1","0.7076","0.001257"
"PLEKHH2","-0.7378","0.001272"
"CEBPD","0.6894","0.001272"
"HSP90AB1","0.6784","0.001272"
"LMNA","0.6604","0.001494"
"AMER2","0.7186","0.001536"
"RP11-43D2.2","-0.7086","0.001536"
"YPEL3","0.7096","0.001651"
"SHC3","-0.6694","0.001665"
"NFKBIA","0.6883","0.001967"
"PTPRM","-0.7141","0.001971"
"COPS8","-0.6865","0.001991"
"DLL1","0.6721","0.002205"
"UTRN","-0.7816","0.002242"
"ARL17A","0.6671","0.002276"
"RTKN","0.6622","0.002443"
"PIM3","0.5852","0.002443"
"FAM157C","0.5761","0.002443"
"ZDHHC14","0.5618","0.002526"
"TFB1M","-0.6801","0.002544"
"IGFBP5","0.6522","0.002704"
"FKBP4","0.6030","0.002704"
"MID1IP1","0.5802","0.002704"
"HSPH1","0.6945","0.002820"
"CD163L1","0.6411","0.002820"
"MT2A","0.5698","0.002844"
"CCDC117","0.5496","0.002882"
"LAMA4","-0.7521","0.002909"
"TMEM259","0.6781","0.002924"
"IL1RAP","-0.6722","0.002961"
"PHLPP1","-0.5782","0.003050"
"AC010127.3","-0.7743","0.003079"
"ENTPD1-AS1","-0.7210","0.003098"
"RP11-436K8.1","-0.7508","0.003117"
"RP13-578N3.3","-0.7167","0.003197"
"NPIPB5","0.6431","0.003197"
"PLA2G4C","0.6425","0.003197"
"WSB1","-0.5920","0.003197"
"BRINP1","-0.6817","0.003268"
"MAML2","-0.5536","0.003280"
"NDRG1","0.6754","0.003318"
"PLOD3","0.6791","0.003363"
"SLC4A4","-0.7448","0.003536"
"LRRFIP2","-0.7468","0.003549"
"CCK","-0.7430","0.003644"
"RP11-257I14.1","-0.7605","0.003738"
"SORCS2","0.6092","0.003751"
"ITGB4","0.5251","0.003760"
"MYT1L","-0.6737","0.003775"
"XKR4","-0.5794","0.003798"
"FGF13","-0.6401","0.003880"
"OXR1","-0.6326","0.003997"
"DPP7","0.6563","0.004043"
"NCOR2","0.6518","0.004083"
"MED12L","-0.7291","0.004185"
"NTRK2","-0.5420","0.004335"
"PTPRJ","0.5467","0.004401"
"FAM66D","-0.7484","0.004448"
"CDIPT","0.6052","0.004670"
"PCDH11Y","-0.6665","0.004916"
"GCDH","0.6050","0.004923"
"TMED10","0.6447","0.005032"
"FMO5","0.6237","0.005059"
"HES5","-0.6609","0.005409"
"PDE10A","-0.7223","0.005563"
"LINC01170","-0.7153","0.005563"
"MKL1","-0.7200","0.005651"
"ARL15","-0.6950","0.005651"
"P2RY14","-0.7079","0.005691"
"RXRA","0.6652","0.005691"
"AUP1","0.6376","0.005691"
"RP11-403A3.3","0.5275","0.005691"
"SGK1","0.5038","0.005691"
"MT-CO1","0.6097","0.005841"
"RPL3","0.6228","0.005935"
"DBI","-0.6423","0.005994"
"RP11-759A24.3","-0.6149","0.006087"
"INF2","0.6430","0.006284"
"PLP1","0.5303","0.006284"
"LMAN2L","0.5443","0.006336"
"ITGA8","0.6093","0.006442"
"LRRN1","-0.6274","0.006444"
"RNF144A","-0.6202","0.006676"
"FAM84B","0.5682","0.006676"
"DOK5","-0.7094","0.006810"
"TTTY14","-0.6214","0.006810"
"PTOV1","0.6573","0.006868"
"ADGRG1","0.5774","0.007570"
"HSPA4","0.5950","0.007631"
"ZNF804B","-0.6684","0.007851"
"FARS2","-0.6701","0.007863"
"ZHX3","0.5843","0.007863"
"TTC8","-0.6350","0.008069"
"MAPK8IP3","0.6350","0.008069"
"FOXK2","0.6286","0.008069"
"GALR1","-0.6883","0.008114"
"RP11-454P21.1","-0.6752","0.008114"
"APC2","0.6383","0.008114"
"HIBADH","-0.6820","0.009071"
"ZMYND8","0.5660","0.009071"
"RP11-21A7A.2","0.5321","0.009153"
"LINC01322","-0.5793","0.009211"
"PTCHD1-AS","0.5982","0.009264"
"U2SURP","0.5844","0.009264"
"AC004540.5","-0.6521","0.009475"
"OGT","0.6307","0.009603"
"BIRC6-AS2","-0.7014","0.009705"
"TRPS1","-0.5818","0.009705"
"PCDH9-AS2","-0.6074","0.009835"
"SLC4A10","-0.6583","0.01003"
"STIP1","0.5770","0.01042"
"SNCAIP","-0.5761","0.01076"
"ZFAND5","0.5961","0.01127"
"GNG7","0.5714","0.01127"
"CBWD3","0.5700","0.01127"
"GRAMD3","-0.6572","0.01161"
"C10orf11","-0.5303","0.01189"
"MYLPF","0.5002","0.01189"
"NBPF14","0.5841","0.01193"
"PRDX6","0.6085","0.01203"
"THSD7A","-0.6161","0.01205"
"ELOVL1","0.5540","0.01218"
"SNPH","0.5396","0.01218"
"PDZRN4","-0.5048","0.01218"
"KXD1","0.5171","0.01219"
"BPTF","0.5393","0.01240"
"CAPN3","0.5579","0.01318"
"CTC-444N24.11","0.6041","0.01330"
"FBXW5","0.5899","0.01330"
"FOXN3","-0.5771","0.01336"
"GPR158","-0.6643","0.01369"
"NOVA1-AS1","-0.5950","0.01392"
"STAT1","0.5761","0.01392"
"PROM1","-0.6298","0.01400"
"NBPF12","0.5976","0.01400"
"KANSL1L","0.5214","0.01400"
"SEMA6A","-0.6379","0.01483"
