Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,42,1.36894,17,-1.1453,15,-1.3991
ENSG00000188976,NOC2L,63,0.54445,46,-0.3959,40,-0.5962
ENSG00000188290,HES4,115,-0.5131,102,-0.3216,226,0.99516
ENSG00000187608,ISG15,104,-0.0678,73,-0.5764,145,0.53041
ENSG00000188157,AGRN,70,-0.0922,53,-0.4527,96,0.49438
ENSG00000078808,SDF4,94,-0.2214,104,0.11383,115,0.27288
ENSG00000176022,B3GALT6,37,0.31776,34,-0.0421,24,-0.5693
ENSG00000160087,UBE2J2,59,0.39118,48,-0.2281,41,-0.4867
ENSG00000131584,ACAP3,125,0.05384,109,-0.2009,131,0.09297
ENSG00000127054,INTS11,72,0.25095,52,-0.4658,70,-0.0135
ENSG00000224051,CPTP,36,0.74186,26,-0.3999,17,-1.0072
ENSG00000107404,DVL1,75,-0.4049,89,0.17090,110,0.52101
ENSG00000175756,AURKAIP1,182,-0.1779,206,0.15627,207,0.15790
ENSG00000221978,CCNL2,71,0.26990,33,-1.1079,84,0.33215
ENSG00000242485,MRPL20,199,0.20749,178,-0.1292,166,-0.2443
ENSG00000179403,VWA1,23,-3.0046,71,0.38196,305,3.40652
ENSG00000197785,ATAD3A,21,0.00601,26,0.33252,16,-0.4217
ENSG00000205090,TMEM240,49,0.71764,31,-0.6090,29,-0.6989
ENSG00000160075,SSU72,190,0.42323,181,0.01088,102,-0.8928
ENSG00000228594,FNDC10,61,0.72708,52,-0.1277,22,-1.4566
ENSG00000272106,AL691432.2,20,-0.4860,23,0.10675,33,0.69535
ENSG00000197530,MIB2,53,0.52805,31,-0.7020,41,-0.2802
ENSG00000189339,SLC35E2B,19,-0.0196,22,0.18376,17,-0.1657
ENSG00000215790,SLC35E2A,28,0.46649,31,0.25877,9,-1.5784
ENSG00000008130,NADK,38,0.27557,21,-0.8476,41,0.19766
ENSG00000078369,GNB1,573,0.49114,493,-0.1468,323,-0.8047
ENSG00000187730,GABRD,157,1.70297,46,-1.6312,49,-1.5447
ENSG00000067606,PRKCZ,264,0.55779,216,-0.2145,142,-0.8572
ENSG00000162585,FAAP20,67,-0.6530,88,0.24536,125,0.83905
ENSG00000157933,SKI,29,0.07395,31,0.11181,24,-0.2633
ENSG00000157916,RER1,85,0.23506,67,-0.3156,77,-0.1117
ENSG00000157911,PEX10,33,-0.1836,45,0.44312,30,-0.1695
ENSG00000149527,PLCH2,30,0.06265,35,0.26465,23,-0.4467
ENSG00000197921,HES5,13,-1.0640,40,1.54471,16,-0.0248
ENSG00000157870,PRXL2B,65,0.83794,39,-0.6611,34,-0.8770
ENSG00000158109,TPRG1L,247,0.80220,163,-0.5077,119,-0.9919
ENSG00000116213,WRAP73,15,-0.1886,18,0.23694,16,0.09317
ENSG00000130764,LRRC47,93,0.42545,60,-0.5938,78,-0.1969
ENSG00000196581,AJAP1,35,0.77237,18,-0.8716,22,-0.5523
ENSG00000069424,KCNAB2,289,0.96884,183,-0.5566,112,-1.3052
ENSG00000116254,CHD5,153,0.79387,101,-0.5141,75,-0.9653
ENSG00000116251,RPL22,449,-1.1486,864,0.71809,1129,1.18854
ENSG00000116237,ICMT,50,0.41207,35,-0.4619,39,-0.2858
ENSG00000158292,GPR153,15,0.21977,16,0.07539,11,-0.5196
ENSG00000097021,ACOT7,390,1.41678,176,-1.0260,115,-1.6637
