Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000228794,LINC01128,2,-3.5466,18,-0.3798,18,-0.4009,35,0.64733,30,0.56568,22,-0.1366
ENSG00000188976,NOC2L,60,0.17610,15,-1.9204,24,-1.2324,48,-0.1579,72,0.69853,52,-0.0685
ENSG00000188290,HES4,46,-0.7848,164,1.25750,66,-0.2142,60,-0.3628,73,-0.0987,72,-0.1251
ENSG00000187608,ISG15,62,-0.4462,144,0.91218,62,-0.4450,70,-0.2522,80,-0.0656,83,0.00794
ENSG00000188157,AGRN,17,-1.3875,33,-0.3655,31,-0.4512,46,0.13707,55,0.64158,39,-0.1606
ENSG00000131591,C1orf159,5,-1.3667,7,-0.8706,22,0.79787,20,0.66084,13,-0.0058,13,-0.0609
ENSG00000078808,SDF4,10,-3.0108,104,0.45506,56,-0.5164,108,0.51452,78,-0.0065,87,0.23843
ENSG00000176022,B3GALT6,0,-5.5172,14,-1.4508,36,-0.0104,53,0.61431,43,0.37905,40,0.21268
ENSG00000160087,UBE2J2,29,-0.7943,27,-0.8641,35,-0.4911,68,0.55086,51,0.13989,53,0.22678
ENSG00000162572,SCNN1D,5,-1.3571,23,0.80551,8,-0.7076,6,-1.2286,15,0.22420,15,0.23116
ENSG00000131584,ACAP3,186,0.76665,61,-0.9816,95,-0.3074,143,0.33605,108,-0.1381,117,0.03186
ENSG00000169972,PUSL1,0,-4.0553,14,0.11849,13,0.05064,7,-0.8626,12,-0.1256,18,0.75010
ENSG00000127054,INTS11,61,-0.0378,68,0.15466,47,-0.4181,64,0.04429,59,-0.0995,67,0.16469
ENSG00000224051,CPTP,19,-0.9498,27,-0.4427,29,-0.3403,34,-0.0695,40,0.25230,40,0.24690
ENSG00000107404,DVL1,21,-1.6458,73,0.20581,112,0.88870,62,-0.0647,64,-0.0043,62,-0.0863
ENSG00000175756,AURKAIP1,143,-0.3115,234,0.46171,200,0.21552,153,-0.2055,161,-0.1703,181,0.07063
ENSG00000221978,CCNL2,56,-0.0609,67,0.21767,33,-0.8787,57,-0.0132,68,0.36371,53,-0.2018
ENSG00000242485,MRPL20,244,0.46530,188,0.04641,181,-0.0127,149,-0.3169,175,-0.0896,182,-0.0065
ENSG00000235098,ANKRD65,0,-4.6615,31,0.61886,21,-0.0423,13,-0.7034,22,0.03678,26,0.42043
ENSG00000179403,VWA1,0,-5.2382,102,2.12230,24,-0.3151,8,-1.9399,34,0.27624,22,-0.6187
ENSG00000160072,ATAD3B,28,0.89850,7,-1.0911,13,-0.2598,13,-0.3251,13,-0.3142,18,0.34949
ENSG00000197785,ATAD3A,16,-0.2288,19,0.01681,12,-0.7131,22,0.25340,22,0.35963,17,-0.2042
ENSG00000205090,TMEM240,124,1.48133,11,-2.2140,39,-0.3990,43,-0.2549,43,-0.3297,55,0.16023
ENSG00000160075,SSU72,44,-1.8487,117,-0.3759,158,0.09499,195,0.42976,145,-0.0549,173,0.33884
ENSG00000228594,FNDC10,95,1.13588,21,-1.2134,33,-0.5625,48,0.00489,53,0.25966,40,-0.3644
ENSG00000272106,AL691432.2,0,-4.6790,14,-0.6176,20,-0.0388,14,-0.5889,18,-0.3500,33,1.11826
ENSG00000197530,MIB2,123,1.47133,72,0.56694,40,-0.3634,49,-0.0347,46,-0.1921,34,-0.7590
ENSG00000215790,SLC35E2A,15,-1.7181,32,-0.6328,45,-0.1092,59,0.32792,47,-0.0620,60,0.49720
ENSG00000008130,NADK,0,-5.3654,27,-0.2783,40,0.33942,36,0.17385,40,0.47749,31,-0.0777
ENSG00000078369,GNB1,422,-0.1429,247,-0.9631,431,-0.1115,506,0.14132,487,0.11271,499,0.16816
ENSG00000187730,GABRD,46,-1.8535,23,-2.8286,110,-0.5481,273,0.90283,129,-0.4035,228,0.91173
ENSG00000067606,PRKCZ,99,-1.2611,57,-2.0759,173,-0.4137,269,0.27804,273,0.43477,255,0.26851
ENSG00000162585,FAAP20,33,-0.7911,108,1.08560,61,0.14184,27,-1.0894,52,-0.1222,57,0.05243
ENSG00000157933,SKI,7,-2.3550,42,0.25684,31,-0.2057,33,-0.1535,48,0.68315,31,-0.2873
ENSG00000157916,RER1,92,0.28616,70,-0.1280,63,-0.2989,84,0.14534,61,-0.4626,91,0.39703
ENSG00000157911,PEX10,56,0.63950,44,0.23089,48,0.38736,30,-0.3700,34,-0.1918,34,-0.2012
ENSG00000149527,PLCH2,2,-4.0145,8,-2.1726,25,-0.4619,51,0.65546,48,0.83458,32,-0.1133
ENSG00000157881,PANK4,1,-4.1917,8,-1.1694,13,-0.4411,12,-0.5985,16,-0.2286,29,1.21805
ENSG00000197921,HES5,10,-1.2657,39,0.79683,50,1.20248,10,-1.2631,32,0.69905,12,-1.2914
ENSG00000157873,TNFRSF14,0,-4.2466,21,0.52279,12,-0.2526,17,0.18110,12,-0.3455,19,0.61097
ENSG00000157870,PRXL2B,97,0.24495,32,-1.4350,86,0.05917,103,0.35164,103,0.51085,65,-0.4813
ENSG00000177133,PRDM16-DT,41,0.68404,17,-0.7287,57,1.21438,4,-2.6027,30,0.21410,21,-0.4752
ENSG00000158109,TPRG1L,79,-1.3443,47,-2.1302,163,-0.2608,230,0.28524,234,0.44275,214,0.23352
ENSG00000116213,WRAP73,28,0.97141,18,0.23417,12,-0.4046,14,-0.1813,14,-0.2358,15,-0.1168
ENSG00000130764,LRRC47,6,-3.7679,41,-1.0791,71,-0.2535,102,0.31447,97,0.34416,98,0.36331
ENSG00000116198,CEP104,2,-2.7036,22,0.68786,9,-0.6488,17,0.20063,20,0.68639,11,-0.4848
ENSG00000196581,AJAP1,42,-0.1152,7,-2.7228,37,-0.2794,77,0.87297,39,-0.2993,55,0.46089
ENSG00000069424,KCNAB2,83,-1.6327,111,-1.2015,299,0.33108,202,-0.2889,267,0.20797,288,0.38801
ENSG00000116254,CHD5,76,-0.9334,34,-2.1291,131,-0.0926,153,0.15260,189,0.72625,130,-0.1464
ENSG00000116251,RPL22,966,0.76382,1240,1.18842,675,0.18167,306,-1.0351,459,-0.5509,549,-0.1932
ENSG00000116237,ICMT,23,-0.9257,22,-1.0308,36,-0.2991,73,0.83917,41,-0.1152,50,0.33782
ENSG00000158292,GPR153,0,-4.3903,11,-0.5873,25,0.68581,17,0.06122,15,-0.1131,20,0.46465
ENSG00000097021,ACOT7,129,-1.2089,66,-2.1895,184,-0.6727,491,0.88618,336,0.37760,299,0.11341
ENSG00000215788,TNFRSF25,15,-0.6937,20,-0.2225,24,0.02793,31,0.45843,19,-0.3591,28,0.40398
ENSG00000171680,PLEKHG5,16,-0.9978,8,-2.0648,28,-0.2001,33,0.07884,27,-0.3379,47,0.94695
ENSG00000162408,NOL9,0,-5.4204,16,-1.1385,31,-0.1095,28,-0.2913,51,1.00266,31,-0.1482
ENSG00000162413,KLHL21,3,-3.4482,46,0.60259,28,-0.1817,40,0.37486,37,0.37613,28,-0.2413
ENSG00000116273,PHF13,19,-0.0605,13,-0.6616,12,-0.7482,34,0.88413,24,0.43725,16,-0.4588
ENSG00000041988,THAP3,0,-4.7897,27,0.33899,21,-0.0222,27,0.33534,17,-0.4568,29,0.66099
ENSG00000007923,DNAJC11,22,-0.5384,17,-0.8928,32,0.02645,48,0.69546,34,0.15320,30,-0.0609
ENSG00000171735,CAMTA1,155,-0.2584,204,0.16772,159,-0.2262,149,-0.3215,215,0.36126,168,-0.1834
ENSG00000049245,VAMP3,0,-5.1554,106,2.23745,32,0.15179,7,-2.0557,29,0.02717,21,-0.6102
ENSG00000049246,PER3,69,1.06883,52,0.57750,37,0.02760,26,-0.4828,33,-0.1473,28,-0.4831
ENSG00000116288,PARK7,425,0.13005,374,-0.0719,426,0.13372,345,-0.1953,340,-0.2957,442,0.27062
ENSG00000116285,ERRFI1,0,-4.7653,17,-0.3652,10,-1.1334,33,0.71737,29,0.73508,19,-0.1766
