Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to9,Feature log2 fold change topic 3to9
ENSG00000188976,NOC2L,79,0.59509,44,-0.3501,53,-0.2080
ENSG00000188290,HES4,389,2.49126,62,-0.8280,70,-1.6833
ENSG00000187608,ISG15,197,1.50697,79,-0.0754,68,-1.0282
ENSG00000078808,SDF4,175,1.26224,156,1.05033,61,-1.4378
ENSG00000160087,UBE2J2,60,0.34143,2,-4.6912,54,0.79320
ENSG00000131584,ACAP3,56,-0.9321,66,-0.6568,112,0.87310
ENSG00000127054,INTS11,67,0.30998,66,0.28396,52,-0.3449
ENSG00000224051,CPTP,99,1.49130,34,-0.3400,35,-0.9137
ENSG00000107404,DVL1,26,-1.7387,69,-0.2329,89,0.90678
ENSG00000175756,AURKAIP1,46,-1.4935,71,-0.8490,140,1.24768
ENSG00000221978,CCNL2,225,1.98302,41,-0.9398,59,-1.1735
ENSG00000242485,MRPL20,126,-0.5113,139,-0.3642,186,0.48900
ENSG00000205090,TMEM240,8,-3.1265,17,-1.9906,78,2.61344
ENSG00000160075,SSU72,195,0.35561,91,-0.8555,161,0.17016
ENSG00000228594,FNDC10,19,-1.1747,58,0.58732,41,0.09910
ENSG00000197530,MIB2,55,0.78303,0,-5.9295,37,0.38943
ENSG00000189339,SLC35E2B,0,-5.3289,2,-3.7594,40,4.52647
ENSG00000078369,GNB1,289,-0.6216,239,-0.9171,475,0.84509
ENSG00000187730,GABRD,44,-2.0856,93,-0.9647,202,1.55179
ENSG00000067606,PRKCZ,23,-3.1522,56,-1.8663,230,2.53403
ENSG00000162585,FAAP20,87,0.86695,81,0.73880,43,-0.9662
ENSG00000157933,SKI,100,0.87700,42,-0.5231,56,-0.3483
ENSG00000157916,RER1,83,0.60006,24,-1.3810,59,0.14722
ENSG00000157870,PRXL2B,84,0.25064,64,-0.1831,71,-0.0530
ENSG00000158109,TPRG1L,177,-0.2100,95,-1.1766,220,0.69600
ENSG00000130764,LRRC47,60,-0.1263,32,-1.0880,71,0.60341
ENSG00000196581,AJAP1,0,-5.9887,44,-0.2055,58,1.36638
ENSG00000069424,KCNAB2,53,-2.4061,96,-1.5151,308,2.04055
ENSG00000116254,CHD5,23,-3.2257,81,-1.4120,243,2.21293
ENSG00000116251,RPL22,1452,1.68335,733,0.43565,412,-1.4070
ENSG00000116237,ICMT,106,1.29823,9,-2.4798,48,-0.2761
ENSG00000097021,ACOT7,82,-1.7184,83,-1.7053,298,1.84840
ENSG00000162408,NOL9,43,-0.0690,18,-1.4074,49,0.67855
ENSG00000007923,DNAJC11,51,0.35282,42,0.02656,40,-0.2270
ENSG00000171735,CAMTA1,228,0.14743,188,-0.1663,208,0.00325
ENSG00000116288,PARK7,163,-0.7995,164,-0.7847,301,0.87669
ENSG00000142599,RERE,163,0.72175,70,-0.6637,103,-0.1762
ENSG00000074800,ENO1,352,-0.6513,515,-0.0494,558,0.36574
ENSG00000171603,CLSTN1,242,-1.2930,207,-1.5349,650,1.53247
ENSG00000178585,CTNNBIP1,55,0.38093,33,-0.4334,44,-0.0206
ENSG00000162441,LZIC,56,0.32291,77,0.86925,40,-0.7272
ENSG00000130939,UBE4B,39,-0.2208,25,-0.9209,49,0.59789
ENSG00000054523,KIF1B,286,-0.3680,210,-0.8493,392,0.65947
ENSG00000142657,PGD,37,-0.2293,20,-1.1353,47,0.69299
ENSG00000241563,CORT,0,-7.2140,18,-2.8118,148,3.93553
ENSG00000120948,TARDBP,66,-0.1672,93,0.38233,72,-0.1465
ENSG00000116649,SRM,60,-0.6805,50,-0.9697,103,0.90550
ENSG00000198793,MTOR,25,-0.6409,25,-0.5930,40,0.68684
ENSG00000116661,FBXO2,89,-1.3685,243,0.20778,228,0.45655
ENSG00000132879,FBXO44,66,-1.2486,82,-0.9051,167,1.17179
ENSG00000011021,CLCN6,11,-2.3128,1,-5.7317,67,3.37022
ENSG00000116688,MFN2,51,-1.2697,78,-0.6119,129,1.00142
