Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,21,-0.4974,30,0.07386,26,-0.2158,15,-1.0063,61,1.42034
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,39,-0.5459,94,1.04066,48,-0.1831,58,0.13094,67,0.40761
ENSG00000188290,HES4,677,3.51560,3,-5.0680,67,-0.8250,65,-0.8634,84,-0.4898,21,-2.4897,52,-1.2147
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,53,-0.7001,39,-1.2136,49,-0.9092,16,-2.3725,80,-0.0391
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,19,-1.3318,35,-0.3634,36,-0.3712,13,-1.8024,37,-0.2891
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,64,-0.3665,62,-0.4079,101,0.47445,57,-0.5176,108,0.55566
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,28,-0.5164,50,0.46669,53,0.66738,29,-0.4408,50,0.48754
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,44,-0.2809,75,0.65898,41,-0.4523,36,-0.5479,79,0.75356
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,12,-0.4730,24,0.73366,5,-1.7823,17,0.12743,17,0.09233
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,81,-0.5695,149,0.48700,99,-0.2591,163,0.58273,143,0.41199
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,42,-0.6016,51,-0.2945,70,0.26874,36,-0.7988,96,0.82988
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,34,-0.2465,47,0.33569,36,-0.1378,26,-0.6020,55,0.61342
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,84,0.45209,72,0.18453,63,-0.0681,79,0.29791,65,-0.0125
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,95,-0.2133,85,-0.3931,130,0.37046,178,0.81168,107,-0.0164
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,40,-0.5482,55,-0.0117,51,-0.1271,23,-1.3045,61,0.16716
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,110,-0.2964,115,-0.2287,136,0.06968,187,0.56485,128,-0.0502
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,22,0.15944,10,-1.0457,17,-0.2771,14,-0.4971,25,0.39089
ENSG00000179403,VWA1,139,1.48559,306,3.15592,22,-1.4984,34,-0.8528,34,-0.8931,0,-9.1539,10,-2.6274
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,17,0.31751,18,0.38513,9,-0.8462,5,-1.4545,27,1.18954
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,10,-0.7929,24,0.65496,21,0.44856,6,-1.4984,22,0.48696
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,62,-0.0364,82,0.45176,73,0.26137,42,-0.6279,97,0.76602
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,140,-0.0635,141,-0.0505,169,0.30088,172,0.27055,181,0.39944
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,48,0.32302,53,0.50192,54,0.62197,15,-1.4985,46,0.23585
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,32,-0.5423,44,0.02284,33,-0.5040,107,1.48240,49,0.20978
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,29,-0.2405,47,0.57504,36,0.14364,30,-0.1715,45,0.52145
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,32,-0.3408,37,-0.1177,55,0.65683,41,0.06880,50,0.40434
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,29,0.21210,19,-0.4702,30,0.35796,10,-1.3645,33,0.45261
ENSG00000008130,NADK,32,0.03533,24,-0.4305,27,-0.2665,26,-0.3290,32,0.04822,43,0.48662,38,0.34325
