Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000228794,LINC01128,16,-0.6611,22,-0.1094,26,0.16900,16,-0.5671,29,0.47612
ENSG00000188976,NOC2L,37,-0.8500,61,0.00503,91,0.72661,67,0.13391,57,-0.1484
ENSG00000188290,HES4,68,0.24555,69,0.26268,40,-0.6590,75,0.37592,56,-0.1318
ENSG00000187608,ISG15,63,0.12693,51,-0.2410,54,-0.1402,66,0.18874,60,0.07864
ENSG00000188157,AGRN,32,-0.2815,43,0.21623,31,-0.3129,31,-0.2924,43,0.30027
ENSG00000078808,SDF4,81,0.03586,65,-0.3390,98,0.37766,84,0.09688,75,-0.1215
ENSG00000176022,B3GALT6,26,-0.2431,24,-0.4207,38,0.38484,31,0.01346,32,0.11921
ENSG00000160087,UBE2J2,31,-0.4768,54,0.52587,41,0.01401,37,-0.1642,40,-0.0559
ENSG00000131584,ACAP3,118,-0.1543,123,-0.0821,187,0.68014,76,-0.8129,122,-0.1262
ENSG00000127054,INTS11,54,-0.4745,61,-0.2648,107,0.75926,65,-0.1503,68,-0.0854
ENSG00000224051,CPTP,21,-0.5256,20,-0.5913,36,0.44959,37,0.41152,30,0.14700
ENSG00000107404,DVL1,77,0.10480,91,0.41188,76,0.09144,41,-0.8736,67,-0.1769
ENSG00000175756,AURKAIP1,109,-0.0284,131,0.30696,93,-0.2943,106,-0.0590,111,0.00522
ENSG00000221978,CCNL2,43,-0.4213,45,-0.3339,57,0.04742,100,0.96804,54,-0.0388
ENSG00000242485,MRPL20,152,-0.2178,150,-0.2388,191,0.18314,162,-0.0941,186,0.18609
ENSG00000179403,VWA1,33,1.04739,29,0.79585,14,-0.5317,18,-0.0489,9,-1.3272
ENSG00000197785,ATAD3A,18,0.03186,12,-0.5490,19,0.14147,27,0.71268,16,-0.1153
ENSG00000205090,TMEM240,30,-0.4816,46,0.29514,30,-0.4452,32,-0.3380,47,0.42910
ENSG00000160075,SSU72,152,-0.3294,187,0.02792,206,0.19671,187,0.01966,188,0.03940
ENSG00000228594,FNDC10,42,-0.2705,41,-0.2978,73,0.72550,27,-0.9348,50,0.05763
ENSG00000272106,AL691432.2,18,-0.7030,32,0.23829,50,1.10398,29,0.06167,20,-0.7436
ENSG00000197530,MIB2,43,-0.2773,54,0.10007,43,-0.2880,28,-0.9090,63,0.50704
ENSG00000189339,SLC35E2B,20,0.07109,28,0.68299,9,-1.2275,25,0.43137,18,-0.1349
ENSG00000215790,SLC35E2A,22,-0.4255,34,0.32237,34,0.33183,35,0.35668,24,-0.3570
ENSG00000008130,NADK,21,-0.2822,24,-0.1025,41,0.90109,20,-0.3309,21,-0.3667
ENSG00000078369,GNB1,436,-0.2365,454,-0.1676,504,0.01253,567,0.20169,536,0.16137
ENSG00000187730,GABRD,110,-0.8124,154,-0.2528,259,0.69897,170,-0.0673,185,0.09041
ENSG00000067606,PRKCZ,185,-0.3504,225,-0.0110,221,-0.0483,274,0.29927,240,0.12817
ENSG00000162585,FAAP20,55,0.66796,55,0.64873,27,-0.5871,41,0.09204,27,-0.7356
ENSG00000157933,SKI,36,0.08665,20,-0.8414,49,0.66633,19,-0.8727,36,0.13914
ENSG00000157916,RER1,50,-0.3967,44,-0.5933,79,0.40713,63,0.00303,71,0.27341
ENSG00000157911,PEX10,31,0.39556,39,0.87669,24,-0.0041,22,-0.1885,15,-1.0022
ENSG00000149527,PLCH2,29,-0.1228,21,-0.6691,21,-0.6320,26,-0.2803,44,0.84433
ENSG00000157881,PANK4,12,-0.5793,25,0.67922,19,0.20152,8,-1.1447,17,-0.0147
