"Cluster","DE_classes","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0097060","synaptic membrane","40/209","434/15122",0.0921658986175115,6.66857760236368,14.1846465993694,6.16670302746233e-22,1.86851101732109e-19,1.55790392272733e-19,"FARP1/PDE10A/IL1RAPL1/CSMD2/CNTN1/LINGO2/DGKB/DCC/DLG2/NLGN1/SORCS3/RIMS1/ERC1/FLRT2/GABRB1/CNTNAP2/DNM3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/GRM7/ASIC2/NCAM2/PCDH9/PTCH1/NLGN4X/KCTD16/LRRC7/LRRC4C/ADGRB3/DENND1A/TMEM108/CACNA2D1/NETO1/SLC16A7/NRXN3/NRXN1",40,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0032279","asymmetric synapse","37/209","374/15122",0.0989304812834225,7.15802266970294,14.2755027098696,2.26305791311604e-21,3.4285327383708e-19,2.85859946919921e-19,"PDE10A/CSMD2/CTNND2/DCC/DLG2/NLGN1/SORCS3/CADM1/NEGR1/SIPA1L1/DNM3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/GRM7/ASIC2/NTRK2/PLEKHA5/NLGN4X/LRRC7/LRRC4C/ADGRB3/SORT1/SLC8A1/TMEM108/SYN2/CPEB4/NETO1/KALRN/SLC16A7/DCLK1/DLGAP2/DLGAP1/HOMER1",37,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0014069","postsynaptic density","35/209","358/15122",0.0977653631284916,7.07372163267488,13.7681398783731,4.51556191695005e-20,4.02899862982256e-18,3.35924846676191e-18,"PDE10A/CSMD2/CTNND2/DCC/DLG2/NLGN1/SORCS3/CADM1/NEGR1/SIPA1L1/DNM3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/ASIC2/NTRK2/PLEKHA5/NLGN4X/LRRC7/LRRC4C/ADGRB3/SLC8A1/TMEM108/SYN2/CPEB4/NETO1/KALRN/SLC16A7/DCLK1/DLGAP2/DLGAP1/HOMER1",35,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0098984","neuron to neuron synapse","37/209","410/15122",0.0902439024390244,6.52951336211927,13.4376669488306,5.31881007237302e-20,4.02899862982256e-18,3.35924846676191e-18,"PDE10A/CSMD2/CTNND2/DCC/DLG2/NLGN1/SORCS3/CADM1/NEGR1/SIPA1L1/DNM3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/GRM7/ASIC2/NTRK2/PLEKHA5/NLGN4X/LRRC7/LRRC4C/ADGRB3/SORT1/SLC8A1/TMEM108/SYN2/CPEB4/NETO1/KALRN/SLC16A7/DCLK1/DLGAP2/DLGAP1/HOMER1",37,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0099572","postsynaptic specialization","36/209","392/15122",0.0918367346938776,6.64476125378381,13.4050404556581,1.00624820685567e-19,6.09786413354535e-18,5.08420146621812e-18,"PDE10A/CSMD2/CTNND2/DCC/DLG2/NLGN1/SORCS3/CADM1/GABRB1/NEGR1/SIPA1L1/DNM3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/ASIC2/NTRK2/PLEKHA5/NLGN4X/LRRC7/LRRC4C/ADGRB3/SLC8A1/TMEM108/SYN2/CPEB4/NETO1/KALRN/SLC16A7/DCLK1/DLGAP2/DLGAP1/HOMER1",36,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0045211","postsynaptic membrane","30/209","309/15122",0.0970873786407767,7.02466669763553,12.6669379922189,3.2603382801039e-17,1.64647083145247e-15,1.37277401267533e-15,"FARP1/PDE10A/IL1RAPL1/CSMD2/CNTN1/DGKB/DCC/DLG2/NLGN1/SORCS3/FLRT2/GABRB1/DNM3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/GRM7/ASIC2/PTCH1/NLGN4X/KCTD16/LRRC7/LRRC4C/ADGRB3/TMEM108/NETO1/SLC16A7",30,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0099634","postsynaptic specialization membrane","20/209","153/15122",0.130718954248366,9.45804797197986,12.4480222543273,2.87225152418116e-14,1.24327458832413e-12,1.03660205383982e-12,"PDE10A/CSMD2/DCC/DLG2/NLGN1/SORCS3/GABRB1/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/ASIC2/NLGN4X/LRRC4C/ADGRB3/TMEM108/NETO1/SLC16A7",20,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0098839","postsynaptic density membrane","18/209","125/15122",0.144,10.418985645933,12.5180832844912,1.06104266635923e-13,4.01869909883559e-12,3.35066105166074e-12,"PDE10A/CSMD2/DCC/DLG2/SORCS3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B/GRM5/ASIC2/NLGN4X/LRRC4C/ADGRB3/TMEM108/NETO1/SLC16A7",18,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0043197","dendritic spine","15/209","175/15122",0.0857142857142857,6.20177717019822,8.19359780574805,2.0243981111585e-08,6.81547364090029e-07,5.68252101377825e-07,"FARP1/NLGN1/SIPA1L1/DNM3/GRIA3/GRID1/GRIN2A/GRM5/KCNN2/ASIC2/NTRK2/ASAP1/PTK2/CPEB4/HOMER1",15,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0044309","neuron spine","15/209","177/15122",0.0847457627118644,6.13170059200389,8.12981894846375,2.35996976978579e-08,7.15070840245094e-07,5.96202889209041e-07,"FARP1/NLGN1/SIPA1L1/DNM3/GRIA3/GRID1/GRIN2A/GRM5/KCNN2/ASIC2/NTRK2/ASAP1/PTK2/CPEB4/HOMER1",15,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0042734","presynaptic membrane","13/209","175/15122",0.0742857142857143,5.37487354750513,6.89109762421777,9.51705274803354e-07,2.62151543877651e-05,2.18573460241919e-05,"CNTN1/RIMS1/ERC1/FLRT2/GABRB1/CNTNAP2/GRIK2/GRIN2A/KCTD16/DENND1A/CACNA2D1/NRXN3/NRXN1",13,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0060076","excitatory synapse","8/209","70/15122",0.114285714285714,8.26903622693096,7.21621791070379,5.27168584784567e-06,0.000133110067658103,0.000110982859954646,"NLGN1/GRIA3/NLGN4X/ADGRB3/SORT1/NETO1/SLC16A7/HOMER1",8,"CC"
"Excit-L2_5-2_down","Excit-L2_5-2_down","GO:0008328","ionotropic glutamate receptor complex","6/209","40/15122",0.15,10.8531100478469,7.38677297536726,1.6824418426359e-05,0.000392138367937445,0.000326952260917098,"OLFM3/GRIA3/GRID1/GRIK2/GRIN2A/GRIN2B",6,"CC"
