Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,22,0.23904,9,-1.0839,22,0.41712,16,-0.2428,16,-0.3404
ENSG00000188976,NOC2L,58,0.90227,29,-0.3067,41,0.34023,10,-1.9397,23,-0.7920
ENSG00000188290,HES4,73,-0.0978,56,-0.5113,61,-0.5432,240,1.92764,61,-0.4450
ENSG00000187608,ISG15,75,-0.3364,92,0.01013,90,-0.0321,177,1.08302,75,-0.3558
ENSG00000188157,AGRN,17,0.03164,14,-0.2681,20,0.48863,17,-0.0171,12,-0.6313
ENSG00000078808,SDF4,66,0.14345,71,0.23688,63,0.07445,80,0.42005,45,-0.5582
ENSG00000176022,B3GALT6,39,0.28038,26,-0.3626,37,0.26536,46,0.52328,21,-0.7962
ENSG00000160087,UBE2J2,47,0.37171,41,0.09893,45,0.43523,23,-0.7586,25,-0.7711
ENSG00000131584,ACAP3,55,-0.0811,67,0.23977,68,0.42642,56,-0.0457,40,-0.6687
ENSG00000127054,INTS11,38,-0.1776,58,0.48650,56,0.75365,31,-0.5010,22,-1.1567
ENSG00000224051,CPTP,27,-0.1131,22,-0.4548,38,0.70810,33,0.19640,17,-0.9301
ENSG00000107404,DVL1,38,-0.4215,60,0.32085,50,0.04877,45,-0.1256,52,0.12270
ENSG00000175756,AURKAIP1,135,-0.5089,201,0.14353,217,0.44556,126,-0.5791,172,-0.1172
ENSG00000221978,CCNL2,45,0.21114,23,-0.8001,46,0.40542,52,0.45068,26,-0.7466
ENSG00000242485,MRPL20,195,-0.0970,195,-0.0903,209,0.03813,183,-0.1839,220,0.12499
ENSG00000235098,ANKRD65,20,-0.0262,34,0.77302,22,0.11326,15,-0.4600,17,-0.3834
ENSG00000179403,VWA1,44,0.99467,5,-2.2620,12,-1.5721,60,1.38282,32,0.43813
ENSG00000197785,ATAD3A,11,-0.4561,7,-0.9828,22,1.40030,11,-0.3772,6,-1.4321
ENSG00000205090,TMEM240,46,0.34666,42,0.16947,42,0.30008,24,-0.6664,27,-0.5794
ENSG00000160075,SSU72,131,-0.2981,199,0.38485,183,0.40564,130,-0.2888,124,-0.4281
ENSG00000228594,FNDC10,55,1.24944,15,-0.9013,25,-0.2975,21,-0.4223,22,-0.4128
ENSG00000272106,AL691432.2,22,-0.2874,48,0.99269,29,0.32292,16,-0.6765,18,-0.5994
ENSG00000197530,MIB2,26,0.00586,27,0.05762,34,0.72099,9,-1.5062,18,-0.6561
ENSG00000248333,CDK11B,18,0.44799,8,-0.7221,14,0.11271,19,0.54018,10,-0.5939
ENSG00000189339,SLC35E2B,26,0.82801,10,-0.6891,15,-0.1834,18,0.10274,14,-0.3304
