Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to9,Feature log2 fold change topic 5to9
ENSG00000228794,LINC01128,7,-2.0767,14,-1.0258,22,-0.3804,35,0.41604,34,0.78431
ENSG00000188976,NOC2L,23,-1.1366,32,-0.6354,67,0.53629,49,0.03055,53,0.29345
ENSG00000188290,HES4,62,-0.7081,62,-0.7006,41,-1.3270,58,-0.8017,130,1.21072
ENSG00000187608,ISG15,179,-0.2902,212,-0.0190,97,-1.2333,230,0.11316,243,0.43269
ENSG00000188157,AGRN,33,-0.7175,39,-0.4745,28,-0.9757,59,0.18961,63,0.64972
ENSG00000131591,C1orf159,13,-0.0368,13,0.02562,14,0.12303,12,-0.0839,13,-0.0137
ENSG00000078808,SDF4,67,-0.2687,56,-0.5530,91,0.22356,81,0.04455,83,0.17893
ENSG00000176022,B3GALT6,13,-1.3816,24,-0.4654,37,0.19210,34,0.04903,38,0.45667
ENSG00000160087,UBE2J2,27,-0.8978,40,-0.2678,40,-0.2649,60,0.36681,53,0.32364
ENSG00000131584,ACAP3,77,-0.1772,83,-0.0691,87,0.00674,124,0.59305,81,-0.1846
ENSG00000169972,PUSL1,5,-1.6600,9,-0.7531,14,-0.1740,14,-0.1009,19,0.82418
ENSG00000127054,INTS11,40,-0.6266,43,-0.4979,50,-0.2644,69,0.24129,66,0.38920
ENSG00000224051,CPTP,8,-1.9257,27,-0.1975,18,-0.8321,56,1.01374,33,0.27940
ENSG00000107404,DVL1,45,-0.4978,82,0.44841,47,-0.4332,65,0.07167,64,0.09717
ENSG00000175756,AURKAIP1,184,0.04331,185,0.04812,210,0.25760,140,-0.3910,179,-0.0067
ENSG00000221978,CCNL2,46,-0.3314,47,-0.3044,32,-0.9179,64,0.18726,65,0.45252
ENSG00000242485,MRPL20,141,-0.3924,137,-0.4431,223,0.34248,150,-0.2958,195,0.26078
ENSG00000235098,ANKRD65,40,0.62310,20,-0.4962,43,0.75581,13,-1.1308,26,-0.1551
ENSG00000179403,VWA1,163,3.07031,34,-0.0395,29,-0.3186,20,-0.8806,14,-2.1086
ENSG00000160072,ATAD3B,7,-0.8447,10,-0.3868,12,-0.1030,18,0.51676,14,0.21338
ENSG00000197785,ATAD3A,25,0.03284,12,-1.0844,28,0.26420,49,1.21458,21,-0.4630
ENSG00000205090,TMEM240,21,-1.0320,28,-0.6286,42,0.02687,36,-0.2051,49,0.61452
ENSG00000160075,SSU72,98,-0.8257,145,-0.2173,180,0.13294,191,0.23013,176,0.19495
ENSG00000228594,FNDC10,12,-1.9940,40,-0.1572,23,-1.0036,46,0.09445,54,0.84828
ENSG00000272106,AL691432.2,19,-0.3138,15,-0.7024,32,0.51947,36,0.71285,22,-0.2336
ENSG00000197530,MIB2,33,-0.4886,54,0.28613,65,0.59688,47,0.04750,42,-0.2495
ENSG00000215790,SLC35E2A,17,-1.6924,51,0.00875,54,0.07590,63,0.33482,55,0.25375
ENSG00000008130,NADK,13,-1.1104,25,-0.1876,38,0.51405,43,0.72336,26,-0.1842
ENSG00000078369,GNB1,223,-1.0935,457,0.03248,368,-0.3163,457,0.03156,505,0.42606
ENSG00000187730,GABRD,19,-3.0758,60,-1.4019,125,-0.2598,112,-0.4412,202,1.35209
ENSG00000067606,PRKCZ,83,-1.4247,189,-0.1602,189,-0.1567,255,0.33107,232,0.37335
ENSG00000162585,FAAP20,96,0.25741,73,-0.1896,46,-0.9023,67,-0.3210,91,0.36954
ENSG00000157933,SKI,32,0.71487,22,0.12994,13,-0.7020,7,-1.6042,22,0.25458
ENSG00000157916,RER1,71,0.02419,57,-0.3473,71,0.02113,60,-0.2563,75,0.20585
ENSG00000157911,PEX10,36,-0.0490,29,-0.4072,29,-0.4266,29,-0.4241,43,0.48166
ENSG00000149527,PLCH2,18,0.17332,16,-0.0274,0,-8.0418,22,0.45694,18,0.38609
ENSG00000157870,PRXL2B,26,-0.8429,40,-0.1426,45,0.02544,72,0.80905,43,-0.0870
ENSG00000177133,PRDM16-DT,12,-0.1567,35,1.73210,12,-0.1690,0,-5.1237,12,-0.3096
ENSG00000158109,TPRG1L,60,-1.7036,145,-0.3441,208,0.23408,233,0.42579,195,0.27176
ENSG00000116213,WRAP73,9,-0.9337,11,-0.5054,18,0.16824,31,1.13952,15,-0.2147
ENSG00000130764,LRRC47,50,-0.9849,55,-0.8472,115,0.33718,96,0.04177,106,0.41655
ENSG00000116198,CEP104,35,1.20008,15,-0.2145,12,-0.5738,25,0.63646,14,-0.6730
ENSG00000198912,C1orf174,10,-0.3155,13,0.02617,10,-0.4243,15,0.30852,13,0.12330
ENSG00000196581,AJAP1,10,-1.6641,11,-1.5261,32,0.05097,18,-0.8813,42,1.20411
ENSG00000069424,KCNAB2,49,-2.3722,227,-0.0254,161,-0.5700,303,0.44624,268,0.53239
ENSG00000116254,CHD5,37,-1.6780,80,-0.5203,100,-0.1706,123,0.17162,132,0.62775
