Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,24,0.02894,21,-0.1674,34,0.68306,33,0.71293,14,-0.8587,9,-1.4999
ENSG00000188976,NOC2L,68,0.76866,52,0.33996,52,0.39377,42,-0.0239,34,-0.3612,23,-1.0135
ENSG00000188290,HES4,51,-0.4469,54,-0.3638,73,0.11365,70,0.03665,80,0.27065,66,-0.0520
ENSG00000187608,ISG15,124,0.43452,65,-0.5708,119,0.41042,91,-0.0663,89,-0.0994,80,-0.2837
ENSG00000188157,AGRN,24,-0.1062,19,-0.4552,36,0.62540,26,0.04334,17,-0.7373,28,0.12786
ENSG00000078808,SDF4,80,0.11799,57,-0.4256,82,0.18319,76,0.03629,56,-0.4835,89,0.31391
ENSG00000176022,B3GALT6,19,-0.9031,38,0.12503,48,0.60148,40,0.29662,25,-0.5443,29,-0.3192
ENSG00000160087,UBE2J2,44,0.07079,45,0.09018,44,0.06376,44,0.06529,39,-0.1131,39,-0.1379
ENSG00000131584,ACAP3,20,-1.7602,85,0.45500,84,0.48198,66,0.05892,62,-0.0554,55,-0.2565
ENSG00000169972,PUSL1,0,-4.5860,12,-0.0166,19,0.74672,12,-0.1414,13,0.00612,14,0.15289
ENSG00000127054,INTS11,59,0.48456,43,-0.0203,59,0.56504,44,0.01530,31,-0.5570,32,-0.5218
ENSG00000224051,CPTP,25,-0.2553,47,0.72119,38,0.44386,32,0.12925,28,-0.1430,15,-1.1560
ENSG00000107404,DVL1,61,-0.1848,50,-0.4820,52,-0.4767,70,0.04618,87,0.42439,78,0.22154
ENSG00000175756,AURKAIP1,201,0.19105,125,-0.5515,205,0.25238,179,0.00528,190,0.11054,154,-0.2503
ENSG00000221978,CCNL2,53,0.48669,42,0.13347,50,0.45238,34,-0.2700,35,-0.1806,31,-0.4023
ENSG00000242485,MRPL20,198,0.22773,206,0.29221,160,-0.1228,158,-0.1541,172,0.00555,172,0.00321
ENSG00000179403,VWA1,20,-0.8548,34,-0.0256,14,-1.4165,19,-1.1187,39,0.18379,83,1.77804
ENSG00000197785,ATAD3A,23,0.36832,22,0.34213,19,0.07966,18,0.02977,14,-0.3865,16,-0.2131
ENSG00000205090,TMEM240,14,-1.4180,47,0.45114,39,0.16997,54,0.90500,23,-0.7033,21,-0.8312
ENSG00000160075,SSU72,85,-0.9358,139,-0.1851,193,0.38032,193,0.44141,152,-0.0499,112,-0.5599
ENSG00000228594,FNDC10,65,0.84780,54,0.52462,34,-0.2001,46,0.35152,25,-0.7152,25,-0.7489
ENSG00000272106,AL691432.2,48,0.87883,31,0.13756,29,0.07582,30,0.12574,26,-0.1460,15,-1.0289
ENSG00000197530,MIB2,40,0.24173,39,0.21703,32,-0.1000,39,0.26994,24,-0.6342,34,-0.0002
ENSG00000189339,SLC35E2B,6,-1.3701,18,0.12836,18,0.09893,21,0.44820,14,-0.2640,16,-0.0436
ENSG00000215790,SLC35E2A,17,-0.1940,23,0.24019,28,0.65342,21,0.14412,18,-0.1182,10,-1.1322
ENSG00000008130,NADK,47,0.84221,21,-0.4409,27,-0.0799,28,0.02816,23,-0.3327,28,-0.0270
ENSG00000078369,GNB1,292,-0.5059,342,-0.2596,509,0.41892,458,0.25405,371,-0.1481,338,-0.3097
ENSG00000187730,GABRD,104,-0.4812,65,-1.1988,243,1.02966,209,0.84590,109,-0.4439,28,-2.5622
ENSG00000067606,PRKCZ,152,-0.3761,298,0.70080,206,0.11130,197,0.03735,196,0.02610,141,-0.5390
ENSG00000162585,FAAP20,79,0.31403,69,0.10763,29,-1.3041,72,0.22620,63,-0.0435,81,0.40482
ENSG00000157933,SKI,15,-1.1610,36,0.22535,30,-0.1113,32,0.00246,26,-0.3194,45,0.64346
ENSG00000157916,RER1,119,0.86596,53,-0.4408,96,0.57109,58,-0.3555,57,-0.3478,59,-0.2910
ENSG00000157911,PEX10,32,0.10054,29,-0.0624,32,0.12481,28,-0.1355,28,-0.1091,32,0.12809
ENSG00000149527,PLCH2,8,-1.4495,12,-0.7218,28,0.59247,22,0.15443,31,0.78271,9,-1.2490
ENSG00000157870,PRXL2B,65,0.08181,74,0.28742,87,0.63519,65,0.10979,54,-0.2262,31,-1.1466
ENSG00000177133,PRDM16-DT,5,-1.9233,25,0.43612,7,-1.6575,11,-0.9364,44,1.64672,23,0.30304
ENSG00000158109,TPRG1L,151,-0.1868,185,0.13245,221,0.47792,196,0.28169,143,-0.3010,111,-0.7295
ENSG00000130764,LRRC47,42,-0.5974,72,0.25981,85,0.59633,62,0.04206,56,-0.1469,45,-0.5236
ENSG00000116198,CEP104,50,1.42929,32,0.68371,8,-1.4700,18,-0.2564,17,-0.3810,22,0.08244
ENSG00000196581,AJAP1,9,-2.0836,34,-0.0456,65,1.16429,43,0.39991,31,-0.2092,12,-1.7022
ENSG00000069424,KCNAB2,155,-0.5313,116,-0.9751,276,0.42899,301,0.68826,246,0.21301,90,-1.4520
ENSG00000116254,CHD5,149,0.47998,230,1.21547,99,-0.1901,105,-0.1033,93,-0.2933,69,-0.7903
ENSG00000116251,RPL22,931,0.68514,468,-0.4177,394,-0.7423,453,-0.5647,612,0.00159,976,0.88055
ENSG00000116237,ICMT,60,0.64567,13,-1.6550,59,0.69455,55,0.62998,21,-1.0383,23,-0.9280
ENSG00000158292,GPR153,0,-4.1995,4,-1.8937,20,0.63954,21,0.80488,20,0.61169,5,-1.7514
ENSG00000097021,ACOT7,258,-0.1276,245,-0.2124,502,1.11751,300,0.14021,189,-0.6642,148,-1.0656
