"","cell_type_broad","cluster","mod","n_genes","n_FDR05","n_pval05","nUP","nDown"
"1","Astro","Astro.1","carrier",348,0,33,15,18
"2","Astro","Astro.2","carrier",356,0,34,15,19
"3","Astro","Astro.3","carrier",193,0,23,12,11
"4","Astro","Astro.4","carrier",312,0,22,9,13
"5","Astro","Astro.5","carrier",364,0,26,9,17
"6","Macro","Macro","carrier",200,0,12,5,7
"7","Micro","Micro.2","carrier",343,0,18,10,8
"8","Micro","Micro.3","carrier",174,0,3,1,2
"9","Micro","Micro.5","carrier",350,0,27,13,14
"10","Oligo","Oligo.1","carrier",322,0,38,21,17
"11","Oligo","Oligo.2","carrier",309,0,53,35,18
"12","Oligo","Oligo.3","carrier",366,0,21,15,6
"13","Oligo","Oligo.4","carrier",365,0,38,16,22
"14","Oligo","Oligo.5","carrier",251,0,17,12,5
"15","OPC","OPC.2","carrier",345,0,27,9,18
"16","OPC","OPC.4","carrier",232,0,16,5,11
"17","OPC","OPC.5","carrier",341,0,20,8,12
"18","Vasc","Vasc.Endo","carrier",365,0,12,4,8
"19","Vasc","Vasc.PC","carrier",355,0,11,6,5
"20","Vasc","Vasc.VLMC","carrier",290,0,12,5,7
"21","Excit","Excit.L2","carrier",361,0,21,12,9
"22","Excit","Excit.L2_5.1","carrier",329,0,20,10,10
"23","Excit","Excit.L2_5.2","carrier",331,1,43,21,22
"24","Excit","Excit.L5.1","carrier",311,0,19,12,7
"25","Excit","Excit.L5.2","carrier",277,0,33,15,18
"26","Excit","Excit.L6_CT","carrier",253,0,13,7,6
"27","Excit","Excit.L6b","carrier",271,0,10,5,5
"28","Inhib","Inhib.Pax6","carrier",235,0,6,2,4
"29","Inhib","Inhib.Lamp5_Lhx6","carrier",308,0,21,14,7
"30","Inhib","Inhib.Pvalb","carrier",315,0,37,23,14
"31","Inhib","Inhib.Vip","carrier",334,0,15,7,8
"32","Inhib","Inhib.Chandelier","carrier",241,2,20,7,13
"33","Inhib","Inhib.Sst","carrier",285,0,26,12,14
