cluster_sn,cluster_xenium,n_genes,cor,p_value,n_genes_p01,cor_p01,p_value_p01,cluster_match,FDR,FDR_p01
Astro.1,Astro.1,277,0.31148278677324975,1.4034457294398168e-7,78,0.14111205250445755,0.21734849303280032,TRUE,8.104899087514942e-5,0.5886771259387116
Astro.1,Astro.2,277,0.26862277247735633,6.270406279926262e-6,78,0.11733835784468694,0.30557177883479236,FALSE,5.173085180939166e-4,0.7010326980245302
Astro.1,Astro.3,187,0.46507547924641873,2.480976850294596e-11,45,0.43952569169960465,0.002751878727672082,FALSE,2.8655282620902584e-8,0.050040958870574866
Astro.1,Astro.4,256,0.1254620622568093,0.044963619942086266,67,0.07578418070077421,0.5413021336694619,FALSE,0.21025498393971512,0.8370342813865261
Astro.1,Astro.5,279,0.26464874183602427,8.026742985533306e-6,78,0.08552207286384499,0.4557845467267241,FALSE,5.779206705783481e-4,0.804830679600578
Astro.1,Macro,152,0.06570916969088088,0.42080005175443985,36,0.1675675675675676,0.32731699798080494,FALSE,0.7113491026798057,0.7146599003284633
Astro.1,Micro.2,271,0.1928225164604587,0.0014502443998338811,75,0.05246088193456614,0.6542150671686271,FALSE,0.019706262138919208,0.8956395276774328
Astro.1,Micro.3,140,0.13432901095536948,0.11350846249018172,31,0.3326612903225807,0.06799185676048373,FALSE,0.37565121540446955,0.3304995472096557
Astro.1,Micro.5,273,0.16586730144050882,0.006064577519222847,77,0.057468846942531154,0.6188832633956621,FALSE,0.056036696277619105,0.8769473871690118
Astro.1,OPC.2,271,0.1338150881508815,0.027688205926781534,78,0.06607316733899012,0.5647139214201747,FALSE,0.15177053709129618,0.8484036574405478
Astro.1,OPC.4,209,0.1605618066144382,0.020301366973125453,58,0.05576917161401459,0.6767939854207978,FALSE,0.12539079601048075,0.906015119125478
Astro.1,OPC.5,273,0.20045508377410481,8.849238440340192e-4,78,0.13451105856169143,0.23979915174716324,FALSE,0.014395592110694256,0.6264674115445594
Astro.1,Oligo.1,260,0.16513148237286165,0.007685200453888669,73,0.12587930396149571,0.2879184597141922,FALSE,0.0647912884981125,0.6815908785355168
Astro.1,Oligo.2,251,0.22834604439385317,2.73786972932669e-4,66,0.308297672476777,0.01207197699068282,FALSE,0.006453550076270055,0.1173606110920295
Astro.1,Oligo.3,281,0.2740094538610477,3.420211021910151e-6,78,0.22674793560869505,0.04609821817458157,FALSE,5.173085180939166e-4,0.25513766296624846
Astro.1,Oligo.4,280,0.0833959252395712,0.16393049427350795,78,0.04472742447425991,0.6968262622743702,FALSE,0.44826595881532383,0.9111716505529192
Astro.1,Oligo.5,212,0.16484024418351292,0.016375572457813216,55,0.26435786435786435,0.05142047866329364,FALSE,0.10807877822156722,0.2686359586241229
Astro.1,Vasc.Endo,280,0.13169227741607492,0.027631561618159845,78,0.036583669495061893,0.7500218658518275,FALSE,0.15177053709129618,0.9345694215170789
Astro.1,Vasc.PC,275,0.10030351115086121,0.09690771247019742,77,0.14588043535411954,0.2050864553671471,FALSE,0.34356085733367436,0.5872799243176652
Astro.1,Vasc.VLMC,235,0.08566765606073216,0.19050530171644184,62,0.09536400493566013,0.4599613663157922,FALSE,0.4843288776606708,0.8071690254793182
Astro.1,Excit.L2,279,0.09186088916884926,0.1257853721865715,78,0.07092907092907091,0.536403521901256,FALSE,0.394789344736212,0.8355759340891984
Astro.1,Excit.L2_5.1,263,0.0011148257309694628,0.9856385083650987,73,0.058373441935085764,0.6230216711311786,FALSE,0.9950308319466985,0.8807466660161293
Astro.1,Excit.L2_5.2,267,0.05696406032690312,0.35359978483141646,76,0.017361585782638415,0.881472891707065,FALSE,0.6587221798069129,0.9835196536212562
Astro.1,Excit.L5.1,258,0.051162231688880865,0.41291559579120035,72,-0.15007395974017623,0.20781060706074184,FALSE,0.7084292652613021,0.5886771259387116
Astro.1,Excit.L5.2,237,0.09505299652579333,0.14450996117876153,70,0.17011635027556643,0.158839681395969,FALSE,0.4236766822752967,0.5030673195487063
Astro.1,Excit.L6_CT,226,0.03713279534261173,0.5784040286423563,62,-4.784568507466445e-4,0.9972017828879457,FALSE,0.8287365621886966,0.9998848370123079
Astro.1,Excit.L6b,233,0.08085726862550897,0.21866998432937013,67,0.06987788331071915,0.5733431520730896,FALSE,0.5175488358615216,0.8489501094789784
Astro.1,Inhib.Pax6,211,0.07126122558475237,0.3026103702974392,62,0.20460325854297298,0.11058901678069609,FALSE,0.6091546168709573,0.411230607530084
Astro.1,Inhib.Lamp5_Lhx6,257,-0.008724464980544746,0.8892313783722675,74,0.0065012958163643084,0.9561483231546369,FALSE,0.9627666876797015,0.9937136084671272
Astro.1,Inhib.Pvalb,256,0.09088392652780955,0.14696821749397335,74,-0.03386893743058127,0.7740743015824647,FALSE,0.4256821901006279,0.9402368067522076
Astro.1,Inhib.Vip,271,0.06746798350336444,0.26819806734445223,77,0.03396603396603397,0.768884073422668,FALSE,0.5768326878736416,0.9384414782604179
Astro.1,Inhib.Chandelier,214,0.030636940530380716,0.6555939649962713,67,0.033482321015244634,0.7875030107762947,FALSE,0.8562872931692366,0.9450792176982065
Astro.1,Inhib.Sst,243,0.03484505595782297,0.5885748823021805,70,-5.2488846120199454e-5,0.9997699976924446,FALSE,0.8310562213435434,1
Astro.2,Astro.1,187,0.20439956103487134,0.005085242274113365,75,0.27075391180654335,0.019065883268250528,FALSE,0.050200468603426814,0.1493577856546408
Astro.2,Astro.2,187,0.34447751771826224,1.612533239264103e-6,75,0.49988620199146505,6.703228902102515e-6,TRUE,3.1041264855833983e-4,0.001873552478137653
Astro.2,Astro.3,154,0.3307014301321702,3.108680618646333e-5,56,0.5075871496924129,8.204095603418593e-5,FALSE,0.001380971582514044,0.007231881307948097
Astro.2,Astro.4,184,0.1320394521392383,0.07401098184406665,73,0.14713686289028752,0.21366179448332445,FALSE,0.2849422800996566,0.5886771259387116
Astro.2,Astro.5,188,0.31207840970043726,1.4393690965185973e-5,75,0.38876244665718346,6.21911455003486e-4,FALSE,8.312356532394899e-4,0.021128129247236078
Astro.2,Macro,106,0.048028818298611976,0.6243915467650506,34,0.2589763177998472,0.1389123757685274,FALSE,0.8457426268158034,0.4679475350100278
Astro.2,Micro.2,184,0.2970931016547552,4.5613887653794e-5,73,0.4017339257065284,4.738844379381848e-4,FALSE,0.001816691042763175,0.019620821771100288
Astro.2,Micro.3,104,0.3346207190867385,5.534005355582162e-4,35,0.5285714285714287,0.0012891590667488068,FALSE,0.010652960309495661,0.038953509097977464
Astro.2,Micro.5,184,0.23027489356783723,0.0017038508264252117,73,0.28045168456127356,0.016519716587598657,FALSE,0.022620088557714017,0.13782868018608432
Astro.2,OPC.2,186,0.30266633720144154,2.9254204490968224e-5,74,0.4511958533876341,6.564014938327875e-5,FALSE,0.001351544247482732,0.007231881307948097
Astro.2,OPC.4,155,0.18459282652831038,0.02160630049050772,57,0.40782991962665294,0.001778827392923232,FALSE,0.12863544879657948,0.04516681553936184
Astro.2,OPC.5,186,0.3109166437439682,1.7261858573928163e-5,74,0.4727878563495001,2.6401403612606322e-5,FALSE,9.062475751312286e-4,0.003928510126441586
Astro.2,Oligo.1,181,0.32504199299779407,9.006555905117112e-6,71,0.43524480214621053,1.721703732444053e-4,FALSE,5.779206705783481e-4,0.01203040483045282
Astro.2,Oligo.2,178,0.2554820630068867,6.00287781882413e-4,69,0.36138107416879806,0.002418959673713997,FALSE,0.011366104722527656,0.050040958870574866
Astro.2,Oligo.3,188,0.3210759481097404,7.889131278803502e-6,75,0.4341963015647226,1.160762354635366e-4,FALSE,5.779206705783481e-4,0.009269516517730995
Astro.2,Oligo.4,188,0.22350087681752262,0.002093427907339232,75,0.26210526315789473,0.023375199163523017,FALSE,0.02657043113161333,0.17080701088116818
Astro.2,Oligo.5,155,0.21141116947568558,0.008377448491771324,60,0.3216449013614894,0.01252900267380827,FALSE,0.06961117271939482,0.11972158110527903
Astro.2,Vasc.Endo,188,0.23744507474169554,0.001064894179993101,75,0.20139402560455189,0.08320844519412339,FALSE,0.01576862535759015,0.37122662217456204
