"","cluster","Oligo","OPC","oligo_prop","cell_type","n","cluster_anno"
"1","48",124,448,0.216783216783217,"Mix",572,"multi_Mix.01"
"2","24",60,92,0.394736842105263,"Mix",152,"multi_Mix.02"
"3","25",18,21,0.461538461538462,"Mix",39,"multi_Mix.03"
"4","35",19,9,0.678571428571429,"Mix",28,"multi_Mix.04"
"5","6",12,7055,0.00169803311164568,"OPC",7067,"multi_OPC.01"
"6","5",0,3890,0,"OPC",3890,"multi_OPC.02"
"7","41",121,2947,0.0394393741851369,"OPC",3068,"multi_OPC.03"
"8","23",107,1369,0.0724932249322493,"OPC",1476,"multi_OPC.04"
"9","14",1,1267,0.000788643533123028,"OPC",1268,"multi_OPC.05"
"10","27",0,1009,0,"OPC",1009,"multi_OPC.06"
"11","59",0,220,0,"OPC",220,"multi_OPC.07"
"12","29",0,186,0,"OPC",186,"multi_OPC.08"
"13","33",0,96,0,"OPC",96,"multi_OPC.09"
"14","16",2,67,0.0289855072463768,"OPC",69,"multi_OPC.10"
"15","18",0,64,0,"OPC",64,"multi_OPC.11"
"16","10",0,62,0,"OPC",62,"multi_OPC.12"
"17","28",3,52,0.0545454545454545,"OPC",55,"multi_OPC.13"
"18","1",3,47,0.06,"OPC",50,"multi_OPC.14"
"19","13",3,41,0.0681818181818182,"OPC",44,"multi_OPC.15"
"20","55",1,41,0.0238095238095238,"OPC",42,"multi_OPC.16"
"21","60",0,33,0,"OPC",33,"multi_OPC.17"
"22","40",1,31,0.03125,"OPC",32,"multi_OPC.18"
"23","32",0,28,0,"OPC",28,"multi_OPC.19"
"24","45",2,21,0.0869565217391304,"OPC",23,"multi_OPC.20"
"25","56",0,19,0,"OPC",19,"multi_OPC.21"
"26","15",23094,0,1,"Oligo",23094,"multi_Oligo.01"
"27","42",22938,1,0.999956406120581,"Oligo",22939,"multi_Oligo.02"
"28","2",10637,0,1,"Oligo",10637,"multi_Oligo.03"
"29","46",6607,9,0.998639661426844,"Oligo",6616,"multi_Oligo.04"
"30","19",2562,6,0.997663551401869,"Oligo",2568,"multi_Oligo.05"
"31","4",2326,0,1,"Oligo",2326,"multi_Oligo.06"
"32","54",1190,0,1,"Oligo",1190,"multi_Oligo.07"
"33","37",745,2,0.997322623828648,"Oligo",747,"multi_Oligo.08"
"34","34",571,1,0.998251748251748,"Oligo",572,"multi_Oligo.09"
"35","22",481,2,0.995859213250518,"Oligo",483,"multi_Oligo.10"
"36","12",403,5,0.987745098039216,"Oligo",408,"multi_Oligo.11"
"37","57",386,0,1,"Oligo",386,"multi_Oligo.12"
"38","20",335,13,0.96264367816092,"Oligo",348,"multi_Oligo.13"
"39","26",296,19,0.93968253968254,"Oligo",315,"multi_Oligo.14"
"40","8",194,2,0.989795918367347,"Oligo",196,"multi_Oligo.15"
"41","38",179,1,0.994444444444444,"Oligo",180,"multi_Oligo.16"
"42","43",179,0,1,"Oligo",179,"multi_Oligo.17"
"43","30",170,0,1,"Oligo",170,"multi_Oligo.18"
"44","58",160,1,0.993788819875776,"Oligo",161,"multi_Oligo.19"
"45","49",140,0,1,"Oligo",140,"multi_Oligo.20"
"46","39",124,2,0.984126984126984,"Oligo",126,"multi_Oligo.21"
"47","9",124,0,1,"Oligo",124,"multi_Oligo.22"
"48","31",121,0,1,"Oligo",121,"multi_Oligo.23"
"49","52",115,0,1,"Oligo",115,"multi_Oligo.24"
"50","21",97,9,0.915094339622642,"Oligo",106,"multi_Oligo.25"
"51","3",103,0,1,"Oligo",103,"multi_Oligo.26"
"52","53",89,0,1,"Oligo",89,"multi_Oligo.27"
"53","11",63,0,1,"Oligo",63,"multi_Oligo.28"
"54","51",56,2,0.96551724137931,"Oligo",58,"multi_Oligo.29"
"55","36",53,2,0.963636363636364,"Oligo",55,"multi_Oligo.30"
"56","17",48,0,1,"Oligo",48,"multi_Oligo.31"
"57","47",42,1,0.976744186046512,"Oligo",43,"multi_Oligo.32"
"58","44",36,3,0.923076923076923,"Oligo",39,"multi_Oligo.33"
"59","7",30,3,0.909090909090909,"Oligo",33,"multi_Oligo.34"
"60","50",28,1,0.96551724137931,"Oligo",29,"multi_Oligo.35"
"61","61",19,0,1,"Oligo",19,"multi_Oligo.36"
