"","cluster","Oligo","OPC","oligo_prop","cell_type","n","cluster_anno"
"1","34",54,111,0.327272727272727,"Mix",165,"multi_Mix.1"
"2","7",20,66,0.232558139534884,"Mix",86,"multi_Mix.2"
"3","20",41,20,0.672131147540984,"Mix",61,"multi_Mix.3"
"4","15",4,6185,0.000646307965745678,"OPC",6189,"multi_OPC.1"
"5","1",191,5789,0.0319397993311037,"OPC",5980,"multi_OPC.2"
"6","2",0,3359,0,"OPC",3359,"multi_OPC.3"
"7","5",171,1111,0.133385335413417,"OPC",1282,"multi_OPC.4"
"8","12",0,1220,0,"OPC",1220,"multi_OPC.5"
"9","36",0,746,0,"OPC",746,"multi_OPC.6"
"10","13",0,214,0,"OPC",214,"multi_OPC.7"
"11","21",3,85,0.0340909090909091,"OPC",88,"multi_OPC.8"
"12","29",4,43,0.0851063829787234,"OPC",47,"multi_OPC.9"
"13","46",0,44,0,"OPC",44,"multi_OPC.10"
"14","22",1,42,0.0232558139534884,"OPC",43,"multi_OPC.11"
"15","25",1,39,0.025,"OPC",40,"multi_OPC.12"
"16","45",0,22,0,"OPC",22,"multi_OPC.13"
"17","39",0,18,0,"OPC",18,"multi_OPC.14"
"18","3",28402,10,0.999648036041109,"Oligo",28412,"multi_Oligo.1"
"19","26",21926,0,1,"Oligo",21926,"multi_Oligo.2"
"20","38",9802,0,1,"Oligo",9802,"multi_Oligo.3"
"21","28",4187,0,1,"Oligo",4187,"multi_Oligo.4"
"22","23",2598,6,0.997695852534562,"Oligo",2604,"multi_Oligo.5"
"23","19",1825,0,1,"Oligo",1825,"multi_Oligo.6"
"24","44",894,1,0.998882681564246,"Oligo",895,"multi_Oligo.7"
"25","8",801,16,0.980416156670747,"Oligo",817,"multi_Oligo.8"
"26","42",670,1,0.998509687034277,"Oligo",671,"multi_Oligo.9"
"27","27",478,2,0.995833333333333,"Oligo",480,"multi_Oligo.10"
"28","11",459,3,0.993506493506494,"Oligo",462,"multi_Oligo.11"
"29","31",327,3,0.990909090909091,"Oligo",330,"multi_Oligo.12"
"30","17",311,2,0.993610223642173,"Oligo",313,"multi_Oligo.13"
"31","32",232,15,0.939271255060729,"Oligo",247,"multi_Oligo.14"
"32","18",222,0,1,"Oligo",222,"multi_Oligo.15"
"33","40",205,0,1,"Oligo",205,"multi_Oligo.16"
"34","43",178,7,0.962162162162162,"Oligo",185,"multi_Oligo.17"
"35","16",172,1,0.994219653179191,"Oligo",173,"multi_Oligo.18"
"36","14",142,7,0.953020134228188,"Oligo",149,"multi_Oligo.19"
"37","24",149,0,1,"Oligo",149,"multi_Oligo.20"
"38","37",144,2,0.986301369863014,"Oligo",146,"multi_Oligo.21"
"39","30",128,0,1,"Oligo",128,"multi_Oligo.22"
"40","9",102,1,0.990291262135922,"Oligo",103,"multi_Oligo.23"
"41","10",98,0,1,"Oligo",98,"multi_Oligo.24"
"42","6",88,1,0.98876404494382,"Oligo",89,"multi_Oligo.25"
"43","35",50,2,0.961538461538462,"Oligo",52,"multi_Oligo.26"
"44","33",48,3,0.941176470588235,"Oligo",51,"multi_Oligo.27"
"45","4",44,3,0.936170212765957,"Oligo",47,"multi_Oligo.28"
"46","41",46,0,1,"Oligo",46,"multi_Oligo.29"
