"","cluster","Oligo","OPC","oligo_prop","cell_type","n","cluster_anno"
"1","18",21,31,0.403846153846154,"Mix",52,"multi_Mix.1"
"2","53",6,2,0.75,"Mix",8,"multi_Mix.2"
"3","3",25,8359,0.00298187022900763,"OPC",8384,"multi_OPC.1"
"4","21",175,3226,0.0514554542781535,"OPC",3401,"multi_OPC.2"
"5","48",0,3126,0,"OPC",3126,"multi_OPC.3"
"6","20",0,1451,0,"OPC",1451,"multi_OPC.4"
"7","16",186,885,0.173669467787115,"OPC",1071,"multi_OPC.5"
"8","19",0,837,0,"OPC",837,"multi_OPC.6"
"9","50",0,286,0,"OPC",286,"multi_OPC.7"
"10","17",0,235,0,"OPC",235,"multi_OPC.8"
"11","45",0,69,0,"OPC",69,"multi_OPC.9"
"12","31",0,64,0,"OPC",64,"multi_OPC.10"
"13","36",0,60,0,"OPC",60,"multi_OPC.11"
"14","13",0,52,0,"OPC",52,"multi_OPC.12"
"15","32",0,51,0,"OPC",51,"multi_OPC.13"
"16","56",3,47,0.06,"OPC",50,"multi_OPC.14"
"17","12",4,42,0.0869565217391304,"OPC",46,"multi_OPC.15"
"18","26",0,43,0,"OPC",43,"multi_OPC.16"
"19","42",3,38,0.0731707317073171,"OPC",41,"multi_OPC.17"
"20","39",0,38,0,"OPC",38,"multi_OPC.18"
"21","2",0,30,0,"OPC",30,"multi_OPC.19"
"22","41",2,18,0.1,"OPC",20,"multi_OPC.20"
"23","35",1,18,0.0526315789473684,"OPC",19,"multi_OPC.21"
"24","62",0,16,0,"OPC",16,"multi_OPC.22"
"25","63",0,15,0,"OPC",15,"multi_OPC.23"
"26","61",0,14,0,"OPC",14,"multi_OPC.24"
"27","67",0,11,0,"OPC",11,"multi_OPC.25"
"28","64",0,8,0,"OPC",8,"multi_OPC.26"
"29","22",36879,0,1,"Oligo",36879,"multi_Oligo.1"
"30","4",14003,0,1,"Oligo",14003,"multi_Oligo.2"
"31","30",13083,7,0.999465240641711,"Oligo",13090,"multi_Oligo.3"
"32","15",2752,5,0.998186434530287,"Oligo",2757,"multi_Oligo.4"
"33","14",1753,0,1,"Oligo",1753,"multi_Oligo.5"
"34","6",1202,29,0.976441917140536,"Oligo",1231,"multi_Oligo.6"
"35","40",1131,1,0.999116607773852,"Oligo",1132,"multi_Oligo.7"
"36","1",431,2,0.995381062355658,"Oligo",433,"multi_Oligo.8"
"37","54",417,2,0.995226730310263,"Oligo",419,"multi_Oligo.9"
"38","38",338,5,0.985422740524781,"Oligo",343,"multi_Oligo.10"
"39","44",235,5,0.979166666666667,"Oligo",240,"multi_Oligo.11"
"40","5",198,27,0.88,"Oligo",225,"multi_Oligo.12"
"41","59",190,0,1,"Oligo",190,"multi_Oligo.13"
"42","9",181,2,0.989071038251366,"Oligo",183,"multi_Oligo.14"
"43","27",175,0,1,"Oligo",175,"multi_Oligo.15"
"44","7",172,1,0.994219653179191,"Oligo",173,"multi_Oligo.16"
"45","55",157,0,1,"Oligo",157,"multi_Oligo.17"
"46","52",127,2,0.984496124031008,"Oligo",129,"multi_Oligo.18"
"47","25",127,0,1,"Oligo",127,"multi_Oligo.19"
"48","10",119,4,0.967479674796748,"Oligo",123,"multi_Oligo.20"
"49","23",123,0,1,"Oligo",123,"multi_Oligo.21"
"50","66",115,0,1,"Oligo",115,"multi_Oligo.22"
"51","60",101,0,1,"Oligo",101,"multi_Oligo.23"
"52","43",95,3,0.969387755102041,"Oligo",98,"multi_Oligo.24"
"53","8",78,19,0.804123711340206,"Oligo",97,"multi_Oligo.25"
"54","24",80,6,0.930232558139535,"Oligo",86,"multi_Oligo.26"
"55","46",84,0,1,"Oligo",84,"multi_Oligo.27"
"56","28",80,0,1,"Oligo",80,"multi_Oligo.28"
"57","51",63,3,0.954545454545455,"Oligo",66,"multi_Oligo.29"
"58","47",51,2,0.962264150943396,"Oligo",53,"multi_Oligo.30"
"59","49",41,0,1,"Oligo",41,"multi_Oligo.31"
"60","34",36,1,0.972972972972973,"Oligo",37,"multi_Oligo.32"
"61","11",31,1,0.96875,"Oligo",32,"multi_Oligo.33"
"62","58",32,0,1,"Oligo",32,"multi_Oligo.34"
"63","37",29,0,1,"Oligo",29,"multi_Oligo.35"
"64","29",23,1,0.958333333333333,"Oligo",24,"multi_Oligo.36"
"65","33",24,0,1,"Oligo",24,"multi_Oligo.37"
"66","57",18,0,1,"Oligo",18,"multi_Oligo.38"
"67","65",18,0,1,"Oligo",18,"multi_Oligo.39"
